,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,114,4,24,I could look over it briefly.,side_chat,THE WITNESS,start_chat
2,115,4,25,Okay.  I think that he's -- he's not waiving reading or signing.,side_chat,MR. CRANE,start_question
3,119,5,3,"Mr. Rudd, you're a sworn witness.",q,MR. CRANE,start_answer
4,120,5,4,"Yes, I am.",a,THE WITNESS,start_question
5,121,5,5,Can you give us your complete name.,q,MR. CRANE,start_answer
6,122,5,6,Robert Lee Rudd.,a,THE WITNESS,start_question
7,123,5,7,And what is your address?,q,MR. CRANE,start_answer
8,124,5,8,"5045 Ellsworth Street, Philadelphia, Pennsylvania 19143.",a,THE WITNESS,start_chat
9,126,5,10,"And that address is also on Exhibit -- that's indicated right on Rudd-1.  You can see it's in the second line there, okay?",side_chat,MR. CRANE,start_question
10,130,5,14,"Sir, what is your date of birth?",q,MR. CRANE,start_answer
11,131,5,15,2/16/53.,a,THE WITNESS,start_question
12,132,5,16,Are you married?,q,MR. CRANE,start_answer
13,133,5,17,Yes.,a,THE WITNESS,start_question
14,134,5,18,Do you have any children?,q,MR. CRANE,start_answer
15,135,5,19,Yes.,a,THE WITNESS,start_question
16,136,5,20,Ages?,q,MR. CRANE,start_answer
17,137,5,21,"25, 40, and 33.",a,THE WITNESS,start_question
18,138,5,22,"Do you have any military experience, sir?  Military experience.",q,MR. CRANE,start_answer
19,140,5,24,"No, I do not.",a,THE WITNESS,start_question
20,141,5,25,Tell us about your education.  How far did you go in school?,q,MR. CRANE,start_answer
21,144,6,2,"12th grade, three years of college.",a,THE WITNESS,start_question
22,145,6,3,You graduated from high school?,q,MR. CRANE,start_answer
23,146,6,4,Yes.,a,THE WITNESS,start_question
24,147,6,5,From where?,q,MR. CRANE,start_answer
25,148,6,6,West Philadelphia High.,a,THE WITNESS,start_question
26,149,6,7,Yes.  What year?,q,MR. CRANE,start_answer
27,150,6,8,1970.,a,THE WITNESS,start_question
28,151,6,9,And then you attended college three years?,q,MR. CRANE,start_answer
29,152,6,10,Yes.,a,THE WITNESS,start_question
30,153,6,11,Where?,q,MR. CRANE,start_answer
31,154,6,12,Reading University -- I mean Reading Community College --,a,THE WITNESS,start_question
32,156,6,14,Yes.,q,MR. CRANE,start_answer
33,157,6,15,-- and Temple University.,a,THE WITNESS,start_question
34,158,6,16,Have you obtained any degrees?,q,MR. CRANE,start_answer
35,159,6,17,I have associate's --,a,THE WITNESS,start_question
36,160,6,18,Yes.,q,MR. CRANE,start_answer
37,161,6,19,"-- in psychology, anthropology, and sociology.",a,THE WITNESS,start_question
38,162,6,20,Where did you get that associate's from?,q,MR. CRANE,start_answer
39,163,6,21,"Well, actually, I gained most of the credits at Reading Community College --",a,THE WITNESS,start_question
40,165,6,23,Understood.,q,MR. CRANE,start_answer
41,166,6,24,-- and then transferred to Temple.,a,THE WITNESS,start_question
42,167,6,25,"Yes.  All right.  Are you employed, sir?",q,MR. CRANE,start_answer
43,169,7,1,Not at this time.,a,THE WITNESS,start_question
44,170,7,2,Are you retired?,q,MR. CRANE,start_answer
45,171,7,3,"I'm retired, yes.",a,THE WITNESS,start_question
46,172,7,4,And when did you retire?,q,MR. CRANE,start_answer
47,173,7,5,I -- I got injured.  I had a stroke in --,a,THE WITNESS,start_question
48,174,7,6,A stroke.,q,MR. CRANE,start_answer
49,175,7,7,-- just about ten years ago.,a,THE WITNESS,start_question
50,176,7,8,So you mean in 2009?,q,MR. CRANE,start_answer
51,177,7,9,Yes.,a,THE WITNESS,start_question
52,178,7,10,"Who were -- and is that when you last worked, in 2009?  2009, is that when you last worked?",q,MR. CRANE,start_answer
53,180,7,12,"No.  I did food service just after that, but I -- I couldn't hack it.",a,THE WITNESS,start_question
54,182,7,14,Who -- who was -- who was your employer that you retired from?,q,MR. CRANE,start_answer
55,184,7,16,"Actually, at the time of retirement, I was working for a caterer.",a,THE WITNESS,start_question
56,186,7,18,A caterer?,q,MR. CRANE,start_answer
57,187,7,19,"Yeah.  Well, actually Betty the Caterer in Philadelphia is one of the --",a,THE WITNESS,start_question
58,189,7,21,What -- what was it called?,q,MR. CRANE,start_answer
59,190,7,22,Betty the Caterer.,a,THE WITNESS,start_question
60,191,7,23,Betty the Caterer?,q,MR. CRANE,start_answer
61,192,7,24,Uh-huh.  That's mostly where I'm known in Philadelphia.,a,THE WITNESS,start_question
62,195,8,1,All right.  How long did you work for Betty the Caterer?,q,MR. CRANE,start_answer
63,197,8,3,Twenty years.,a,THE WITNESS,start_question
64,198,8,4,"About 20 years, okay.  Where was that -- where is that located generally?  We don't need the address.  You know, where in Philadelphia?",q,MR. CRANE,start_answer
65,201,8,7,Philadelphia.,a,THE WITNESS,start_question
66,202,8,8,What section?,q,MR. CRANE,start_answer
67,203,8,9,Mount Airy section.,a,THE WITNESS,start_question
68,204,8,10,Mount -- is it still in existence?,q,MR. CRANE,start_answer
69,205,8,11,"Yes, it is.",a,THE WITNESS,start_question
70,206,8,12,Is it still called Betty the Caterer?,q,MR. CRANE,start_answer
71,207,8,13,Yeah.  I think they moved the location though.,a,THE WITNESS,start_question
72,208,8,14,"Well, that's fine.  We could -- this is just some background information to give -- to give us an idea of -- of yourself.  The purpose of this deposition, Mr. Rudd, is to ask you about the statement that you provided. You may end up being a witness in this case, essentially what we call ""damages witnesses,"" a witness to give a before-and-after picture to the jury relative to your knowledge of Mr. Bassett, the injuries he sustained in the 2/27/18 automobile accident, if you have any information regarding that, if you have any information regarding the accident, and any information or knowledge you have regarding how the accident has affected Mr. Bassett's life.  And much of that, you've revealed in this five-page statement --",q,MR. CRANE,start_answer
73,223,9,3,That's correct.,a,THE WITNESS,start_question
74,224,9,4,"-- that we -- we marked as Rudd-1.  It's gonna be attached to this transcript as an exhibit, okay? And so this is just an investigative tool for the defendants to learn or inquire about those areas that I just told you about.",q,MR. CRANE,start_answer
75,229,9,9,Yes.,a,THE WITNESS,start_question
76,230,9,10,"This is not a cross-examination or a -- this is not an interrogation, okay?",q,MR. CRANE,start_answer
77,232,9,12,Uh-huh.,a,THE WITNESS,start_question
78,233,9,13,"So if -- if you don't understand a question that we pose to you -- myself and Mr. O'Donnell or Mr. Sheridan, they may pose questions to you.  If you don't understand a question, say so, and we'll rephrase it, okay?",q,MR. CRANE,start_answer
79,237,9,17,Okay.,a,THE WITNESS,start_question
80,238,9,18,"And if you don't know the answer to a question, the answer ""I don't know"" is a perfectly acceptable answer, all right?",q,MR. CRANE,start_answer
81,241,9,21,Yes.,a,THE WITNESS,start_question
82,242,9,22,"Try to wait until the question is posed before you answer, and the attorneys will wait until you give your answer before we ask our next question.  That -- the purpose is to facilitate the court reporter.  One person speaking at a time, easier for the court reporter to take an accurate -- take the transcript accurately, okay?",q,MR. CRANE,start_answer
83,249,10,3,I understand.,a,THE WITNESS,start_question
84,250,10,4,"And the -- and the same instruction relative to answer verbally, which you have been doing.  Some people, you know, they shrug and they -- you know, they grunt. But you've been answering verbally, with -- with words, which is good.  That's what we need.  Once again, it facilitates the court reporter, okay?",q,MR. CRANE,start_answer
85,256,10,10,I understand.,a,THE WITNESS,start_question
86,257,10,11,"Have you ever given a deposition before, Mr. Rudd?",q,MR. CRANE,start_answer
87,258,10,12,"Yeah, I think I have.",a,THE WITNESS,start_question
88,259,10,13,"What are the details in that regard, do you know? Was that a civil case?  What was the matter about generally?",q,MR. CRANE,start_answer
89,262,10,16,"It would -- it would probably be civil, yes.",a,THE WITNESS,start_question
90,263,10,17,"Well, when you say ""probably,"" this is what I'm telling you:  If you don't remember or if you don't know, the answer ""I don't know"" is perfectly acceptable.  When you use a word like ""probably"" --",q,MR. CRANE,start_answer
91,267,10,21,"Well, definitely.  Let me -- let me say ""definitely.""",a,THE WITNESS,start_question
92,269,10,23,"Just a, you know, final instruction here.  When you use the word ""probably,"" that leads us to believe you're drawing a conclusion, which sometimes we might want; but mostly, we just want to have some facts from you.  And if you don't know a fact, then you can just say you don't know.",q,MR. CRANE,start_answer
93,276,11,4,Right.,a,THE WITNESS,start_question
94,277,11,5,But you did give a prior deposition?,q,MR. CRANE,start_answer
95,278,11,6,Yes.,a,THE WITNESS,start_question
