,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, was examined and testified as follows:,,,symbols
1,104,4,8,-  -  - EXAMINATION,symbols,,symbols
2,106,4,10,-  -  -,symbols,,start_question
3,108,4,12,"Hi.  My name is Patricia Bilardo and I represent Ms. Charles.  She's the other defendant that was named as a defendant in this lawsuit.  I know that you sat here and you heard some instructions that were given to the two other witnesses, but just so our record is clean, I'm going to give you some instructions.  Have you ever given a deposition before?",q,MS. BILARDO,start_answer
4,115,4,19,No.,a,THE WITNESS,start_question
5,116,4,20,"So this is really more for your benefit than anyone else's.  There's a court reporter seated to your right, at the end of the table.  His job is to literally take down every answer that you give and every question that I ask. In order for him to do that accurately, only one of us can talk at one time. I see that you nod your head.  He cannot put any verbal gestures onto the record.  So if there's a question that requires an answer, I ask that you just please give an answer.  If you forget to do that, I'll remind you. Your attorney is seated to your left.  If at any time you need to speak with your attorney, use the restroom, get anything to drink, we can go off the record. You can do that.  The only thing that I do ask is that you answer the question that's currently pending, because it just makes it easier for the court reporter, so we don't have to all remember where we were.",q,MS. BILARDO,start_answer
6,135,5,13,Okay.,a,THE WITNESS,start_question
7,136,5,14,And then take a break.,q,MS. BILARDO,start_answer
8,137,5,15,Okay.,a,THE WITNESS,start_question
9,138,5,16,"I'm gonna ask you -- just to give you a road map, I'm gonna ask you about your background first before we even get to the accident that we're here for today.",q,MS. BILARDO,start_answer
10,141,5,19,Okay.,a,THE WITNESS,start_question
11,142,5,20,"And all the answers that you give, we ask that you answer them to the best of your knowledge.  I'm not here to try to trick you, so if there's a question that I ask you and you do not understand the question, please don't answer it.  Just tell me, ""I do not understand the question,"" because perhaps I can rephrase it in a way that you can answer it. And if there's something that you just don't know, that's okay as well.  But what happens afterwards is a little booklet gets prepared.  All the answers and the questions are in there.  And if you answer a question that you didn't understand, then it's not helpful to anyone, you know, at any other proceeding.",q,MS. BILARDO,start_answer
12,156,6,8,Okay.,a,THE WITNESS,start_question
13,157,6,9,It's just better that you tell me that.,q,MS. BILARDO,start_answer
14,158,6,10,Okay.,a,THE WITNESS,start_question
15,159,6,11,"And if there's a question that I ask you in reference to speed, distance, or time, a lot of times, people wouldn't know the exact speed, the exact time, or the exact distance.  It's not as if you get out and measure.  But if you can give an approximate answer, then we ask that you do that. But if you are giving an estimate, we ask that you say, ""This is an estimate.""  You know, this way it's clear to everyone here that you're estimating and that you're not saying that something is just true.",q,MS. BILARDO,start_answer
16,169,6,21,Okay.,a,THE WITNESS,start_question
17,170,6,22,"Okay?  So by way of background, what is your full name?  And if you could spell it, this way, the court reporter can make sure that we have it accurate.",q,MS. BILARDO,start_answer
18,173,6,25,"Tracey, T-R-A-C-E-Y, A. Proietto, P-R-O-I-E-T-T-O.",a,THE WITNESS,start_question
19,175,7,1,What is your current home address?,q,MS. BILARDO,start_answer
20,176,7,2,"63 Varnum Road, Norristown, PA 19403.",a,THE WITNESS,start_question
21,177,7,3,And is that --,q,MS. BILARDO,start_chat
22,178,7,4,"Could you spell the street for the reporter, please.",side_chat,MR. BRANCA,start_chat
23,180,7,6,"63 Varnum, V as in Victor, A-R, N as in Nancy, U, M as in Mary, Road.",side_chat,THE WITNESS,start_chat
24,182,7,8,Thank you.,side_chat,MR. BRANCA,start_question
25,184,7,10,And is that where you lived on the date of this accident?,q,MS. BILARDO,start_answer
26,186,7,12,Yes.,a,THE WITNESS,start_question
27,187,7,13,And are you single or married?,q,MS. BILARDO,start_answer
28,188,7,14,Married.,a,THE WITNESS,start_question
29,189,7,15,And what is it that you do for a living?,q,MS. BILARDO,start_answer
30,190,7,16,I am a secretary.,a,THE WITNESS,start_question
31,191,7,17,Where do you work and how long have you been there?,q,MS. BILARDO,start_answer
32,192,7,18,"Marshall Street Elementary School, which is the Norristown Area School District.  And I've been employed there approximately 19 years.",a,THE WITNESS,start_question
33,195,7,21,And what is your highest level of education?,q,MS. BILARDO,start_answer
34,196,7,22,"Montgomery County Community College, two years.",a,THE WITNESS,start_question
35,197,7,23,Did you get an associate's degree there?,q,MS. BILARDO,start_answer
36,198,7,24,Yes.,a,THE WITNESS,start_question
37,199,7,25,And how old are you today?,q,MS. BILARDO,start_answer
38,201,8,1,51.,a,THE WITNESS,start_question
39,202,8,2,"Where were you coming from at the time of the accident and where were you going, meaning what was your destination?",q,MS. BILARDO,start_answer
40,205,8,5,63 Varnum Road.,a,THE WITNESS,start_question
41,206,8,6,That's where you were coming from?,q,MS. BILARDO,start_answer
42,207,8,7,Yes.,a,THE WITNESS,start_question
43,208,8,8,Where were you intending to go?,q,MS. BILARDO,start_answer
44,209,8,9,"Back to work, 1525 West Marshall Street.",a,THE WITNESS,start_question
45,210,8,10,Do you recall the date of the accident independently?  Like would you --,q,MS. BILARDO,start_answer
46,212,8,12,Yes.,a,THE WITNESS,start_question
47,213,8,13,-- remember when it was?  When was it?,q,MS. BILARDO,start_answer
