,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, was examined and testified as follows:,,,symbols
1,96,4,8,-  -  - EXAMINATION,symbols,,symbols
2,98,4,10,-  -  -,symbols,,start_question
3,100,4,12,"Good morning, Mr. Switken.  My name is Lindsay Ettl.  I am the attorney that represents Paul Duncan in this case.  Can you please state your full name for the record.",q,MS. ETTL,start_answer
4,104,4,16,It's Francis Switken.,a,THE WITNESS,start_question
5,105,4,17,Do you have a middle name?,q,MS. ETTL,start_answer
6,106,4,18,Joseph.,a,THE WITNESS,start_question
7,107,4,19,Have you ever gone by any names other than Francis Joseph Switken?,q,MS. ETTL,start_answer
8,109,4,21,Frank.,a,THE WITNESS,start_question
9,110,4,22,Have you ever had your deposition taken before?,q,MS. ETTL,start_answer
10,111,4,23,"I have had depositions taken before, yes.",a,THE WITNESS,start_question
11,112,4,24,When was that?,q,MS. ETTL,start_answer
12,113,4,25,I do not remember.,a,THE WITNESS,start_question
13,115,5,1,Was it within the last five years?,q,MS. ETTL,start_answer
14,116,5,2,Yes.,a,THE WITNESS,start_question
15,117,5,3,And why did you have your deposition taken before?,q,MS. ETTL,start_answer
16,118,5,4,It was for a workmans' comp issue.,a,THE WITNESS,start_question
17,119,5,5,And who was the -- who was your employer at that time?,q,MS. ETTL,start_answer
18,121,5,7,I was unemployed at that time.,a,THE WITNESS,start_question
19,122,5,8,So who was your employer that you had the Workers' Compensation through?,q,MS. ETTL,start_answer
20,124,5,10,Brinker International.,a,THE WITNESS,start_question
21,125,5,11,"And we'll talk about that a little bit later, okay? Do you remember the date of the accident that we're here for today?",q,MS. ETTL,start_answer
22,128,5,14,That was December 12th of 2016.,a,THE WITNESS,start_question
23,129,5,15,"So going forward in the deposition, if I say ""the accident"" or ""this accident,"" that's gonna be the date that I'm referring to, okay?",q,MS. ETTL,start_answer
24,132,5,18,Okay.,a,THE WITNESS,start_question
25,133,5,19,"If I refer to another accident or something like that, I'll talk about that other date specifically, okay?",q,MS. ETTL,start_answer
26,135,5,21,Okay.,a,THE WITNESS,start_question
27,136,5,22,Are you under the influence today of any medications or substances which would prevent you from understanding my questions and answering them truthfully?,q,MS. ETTL,start_answer
28,139,5,25,No.,a,THE WITNESS,start_question
29,141,6,1,"I'm gonna go over some ground rules for the deposition so that you know what to expect from me and what it is that I expect of you here today, okay?",q,MS. ETTL,start_answer
30,144,6,4,Yes.,a,THE WITNESS,start_question
31,145,6,5,"A deposition, as you know, is just a question-and-answer session.  I'll be asking you questions, a little bit about your history, a little bit about the accident, and you'll be giving me the answers, okay?",q,MS. ETTL,start_answer
32,150,6,10,Yes.,a,THE WITNESS,start_question
33,151,6,11,"All of your answers have to be verbal responses. The court -- the court reporter can't take down things like nods of the head or hand gestures or slang responses like ""uh-huh"" or ""uh-uh,"" okay?",q,MS. ETTL,start_answer
34,155,6,15,Yes.,a,THE WITNESS,start_question
35,156,6,16,"So if I say to you, ""Is that a 'yes'?"" or ""Is that a 'no'?"" I'm not trying to be fresh.  I'm not trying to confuse you at all.  I'm just trying to make it clear for the record okay?",q,MS. ETTL,start_answer
36,160,6,20,Yes.,a,THE WITNESS,start_question
37,161,6,21,"If you -- at the same time, we can't talk at the same time, so let me get my whole question out.  Even if you know what the question is that I'm going to ask, let me ask the whole thing, and then you'll have the opportunity to give your full response, okay?",q,MS. ETTL,start_answer
38,167,7,1,Yes.,a,THE WITNESS,start_question
39,168,7,2,"If you don't know the answer to a question, that's okay.  This isn't a test, and I don't want you to guess at anything.  However, if there's a circumstance where you can give me an estimate for something like time, distance, speed, or something along those -- along that nature, go head and just let me know that you're giving me an estimate, okay?",q,MS. ETTL,start_answer
40,175,7,9,Yes.,a,THE WITNESS,start_question
41,176,7,10,"If you don't understand the question that I'm asking you, stop me and let me know.  Whether it's the whole question that's confusing or whether there's just one word that I'm using that's odd, just say, ""Wait.  I don't understand that,"" okay?",q,MS. ETTL,start_answer
42,181,7,15,Yes.,a,THE WITNESS,start_question
43,182,7,16,"And the reason for that is is that if you give me an answer to a question and you don't tell me that you don't understand it, I'm going to assume that you understood the question that I'm asking you and that you're answering it truthfully, okay?",q,MS. ETTL,start_answer
44,187,7,21,Yes.,a,THE WITNESS,start_question
45,188,7,22,"If you need to take any breaks or speak with your attorney at all, if you need to stand, use the bathroom, get a drink, you can do any of that during the deposition. Just stop me and let me know, all right?",q,MS. ETTL,start_answer
46,193,8,1,Yes.,a,THE WITNESS,start_question
47,194,8,2,"The only rule about taking a break is that if I've asked you a question, you have to answer that question before you take your break, okay?",q,MS. ETTL,start_answer
48,197,8,5,Yes.,a,THE WITNESS,start_question
49,198,8,6,"All right.  Your testimony today is the same as if you were in a courtroom, so it's equally important to be truthful and accurate, okay?",q,MS. ETTL,start_answer
50,201,8,9,Yes.,a,THE WITNESS,start_question
51,202,8,10,Do you understand all of the instructions that I've given you today?,q,MS. ETTL,start_answer
52,204,8,12,Yes.,a,THE WITNESS,start_question
53,205,8,13,Do you have any questions for me about how a deposition works or what it is that I expect of you?,q,MS. ETTL,start_answer
54,207,8,15,No.,a,THE WITNESS,start_question
55,208,8,16,"In preparation for your deposition today, did you review any kind of documents such as a police report, medical records, personal notes, anything of that nature?",q,MS. ETTL,start_answer
56,211,8,19,Yes.,a,THE WITNESS,start_question
57,212,8,20,What did you look at?,q,MS. ETTL,start_answer
58,213,8,21,A personal record.,a,THE WITNESS,start_question
59,214,8,22,And is that personal record something that you've maintained?,q,MS. ETTL,start_answer
60,216,8,24,No.,a,THE WITNESS,start_question
61,217,8,25,Explain to me what it is that your personal record is.,q,MS. ETTL,start_answer
62,220,9,2,It was a -- my narrative of the accident.,a,THE WITNESS,start_question
