,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, Crabbe.,,,symbols
1,143,6,14,- - - VOIR DIRE EXAMINATION,symbols,,symbols
2,145,6,16,- - -,symbols,,start_question
3,147,6,18,"Doctor, would you please introduce yourself to the jury?",q,MR. LAVIN,start_answer
4,149,6,20,My name is Sachin Dheer.  I'm a diagnostic radiologist with training in orthopedic imaging.,a,THE WITNESS,start_question
5,151,6,22,"Thank you, Dr. Dheer.  Would you please tell us what kind of medicine you practice?",q,MR. LAVIN,start_answer
6,153,6,24,"I'm a diagnostic radiologist, Board certified, and I have subspecialty or further fellowship training in orthopedic imaging.",a,THE WITNESS,start_question
7,157,7,3,What does the field of radiology entail?,q,MR. LAVIN,start_answer
8,158,7,4,"It's one of the specialities of medicine. It has to do with all of the imaging that's performed, whether it's x-rays, or ultrasound, or mammograms even.  My specialty is, as I said, orthopedic imaging.  Most of that is MRI, but we do other things as well, x-rays, and CAT scans.",a,THE WITNESS,start_question
9,164,7,10,All right.  And so would those be considered subspecialties?,q,MR. LAVIN,start_answer
10,166,7,12,Yes.,a,THE WITNESS,start_question
11,167,7,13,And what is the importance of your subspecialty in orthopedic imaging?,q,MR. LAVIN,start_answer
12,169,7,15,"So the importance of it is that we have added training with regard to analyzing images and determining if there is a traumatic injury, what type of traumatic injury it is. We grade it the way an orthopedic surgeon would find it useful.  We specifically convey information that an orthopedic surgeon or other type of orthopedic physician would find useful.  And we are kind of used to using the same kind of terminology and coming up with what we call a mechanism of injury if we find a certain set of findings. So basically, we are kind of like the imaging counterpart of an orthopedic surgeon.",a,THE WITNESS,start_question
13,184,8,5,Can you tell us a little bit about your educational background?,q,MR. LAVIN,start_answer
14,186,8,7,"I went to college at The University Of Maryland.  After graduating, I moved to Philadelphia to come to medical school at The University Of Pennsylvania.  After graduating from medical school, I entered my first year of post-graduate training. We call that internship down at Georgetown University Hospital, also in Washington, D.C. After finishing that, I moved back to Philadelphia to start my radiology residency. That's a four-year program, which I did at Jefferson University Hospital, here downtown.  After finishing that, I elected to stay at Jefferson for an additional year of training.  That was the orthopedic imaging, which I finished in 2007. I have been in practice ever since.  Most recently, I worked at Jefferson as a faculty member, doing orthopedic imaging.",a,THE WITNESS,start_question
15,203,8,24,"All right.  And Doctor, can you please describe your past and present teaching responsibilities?",q,MR. LAVIN,start_answer
16,207,9,3,"Sure.  Most of my teaching is to the residents and the fellows at Jefferson University Hospital.  I obviously teach them orthopedic imaging.  In addition to that, I give lectures around the country to other practicing radiologists on various topics in orthopedic imaging. I do teaching for emergency medicine residents, emergency medicine attendings, primarily in New Jersey, podiatry residents, who deal with the foot and ankle, orthopedic residents, who are, you know, orthopedic surgery trainings, both at the Rothman Institute here in Philadelphia and in New Jersey, and then various medical students from medical schools as well.",a,THE WITNESS,start_question
17,221,9,17,"Dr. Dheer, are you Board certified?",q,MR. LAVIN,start_answer
18,222,9,18,I am.,a,THE WITNESS,start_question
19,223,9,19,And can you explain to the jury what the significance of a Board certification is?,q,MR. LAVIN,start_answer
20,225,9,21,"Sure.  So to be Board certified, you essentially have to pass a series of examinations at different points in your training.  It starts all the way in medical school.  So you take a three-part examination at the various different stages of medical school in order to pass that.  You have to pass those in order to graduate from medical school. Then you take another series of three examinations over the course of your radiology residency to successfully complete that.  And then most recently, actually, we have instituted a re-certification process in radiology.  I'm actually part of the group that develops that test and puts questions to other radiologists in order to take that test. I have obviously taken it myself as well.  I have passed it.  So that's essentially what it is. The bottom line is it gives the public, the general public, a degree of confidence that, you know, someone that's Board certified basically meets a certain level of expertise and experience in their intended profession.",a,THE WITNESS,start_question
21,248,10,19,All right.  How long have you been Board certified?,q,MR. LAVIN,start_answer
22,250,10,21,I completed my Board certification for the first time in 2006.  And then I have re-certified several times since then.,a,THE WITNESS,start_question
23,253,10,24,All right.  Do you belong to any professional societies?,q,MR. LAVIN,start_answer
24,256,11,2,"I do.  I'm pretty much a member of all of the major radiology societies, and then also the largest subspecialty society for orthopedic radiologists.",a,THE WITNESS,start_question
25,260,11,6,All right.  Have you ever been published?,q,MR. LAVIN,start_answer
26,261,11,7,"I have.  Being published, essentially, is you do research.  You add to the peer-review literature in the specialty that people learn from, and kind of we grow our knowledge base from that. In order to publish, obviously, you go through a process some call peer-review.  It's where your research methodology and your conclusions and your findings are all critiqued by your colleagues. So I have published several papers in the orthopedic radiology literature, in the orthopedic literature as well. And now in addition to publishing, I also critique other people's research, so I serve as an editor as well.",a,THE WITNESS,start_question
27,275,11,21,"All right.  And I'm going to hand you now what has been previously marked for identification purposes as Dheer-1.  Can you identify that document, please?",q,MR. LAVIN,start_answer
28,280,12,1,"This is my CV.  It's actually not the most updated CV.  So for example, I used to be a clinical instructor.  Now, I'm an assistant professor at Jefferson.  But you know, so there is going to be more publications and such, but essentially, it's the same.",a,THE WITNESS,start_chat
29,286,12,7,All right.  At this time I would like to move Dheer-1 into evidence.,side_chat,MR. LAVIN,start_chat
30,288,12,9,No objection.,side_chat,MR. SPEZIALI,start_chat
31,289,12,10,"All right.  Your Honor, at this time I would like to offer Dr. Sachin Dheer as an expert in the field of radiology and orthopedic radiology.",side_chat,MR. LAVIN,start_chat
32,293,12,14,I have a few questions on Voir Dire.,side_chat,MR. SPEZIALI,symbols
33,295,12,16,- - - VOIR DIRE EXAMINATION,symbols,,symbols
34,297,12,18,- - -,symbols,,start_question
35,299,12,20,"Doctor, where do you currently practice medicine?",q,MR. SPEZIALI,start_answer
36,301,12,22,"So my clinical practice is in both New Jersey and Philadelphia.  My academic work that I do as a professor, the research and the teaching, the teaching is both in New Jersey and Philadelphia, primarily New Jersey.  The research is exclusively here in Philadelphia.",a,THE WITNESS,start_question
37,308,13,4,"So the clinical practice, where is that located?",q,MR. SPEZIALI,start_answer
38,310,13,6,"So physically, most of the days I sit in New Jersey, but obviously, we are all connected electronically now through our computer systems.  So even though I am sitting physically in New Jersey, I read studies from all across the Delaware Valley. Frankly, we have facilities all the way up in Collegeville, Pennsylvania, all the way through to, you know, New Jersey.",a,THE WITNESS,start_question
39,318,13,14,"And in New Jersey, that's the Cherry Hill campus; is that correct?",q,MR. SPEZIALI,start_answer
40,320,13,16,"That's one of them.  So most days I'm actually physically in Marlton, New Jersey.  And the reason is because the Rothman Institute has a large -- kind of their New Jersey hub is in Marlton. It's a massive building.  We have an imaging center on the ground floor of their building.  Obviously, most of what we do is there imaging, because of the Rothman, you know, surgeons.  So I find myself there most days.",a,THE WITNESS,start_question
41,330,14,1,"How many days do you find yourself actively, as far as it relates to your clinical practice, practicing medicine in Pennsylvania?",q,MR. SPEZIALI,start_answer
42,333,14,4,So physically how often do I come?,a,THE WITNESS,start_question
43,334,14,5,Yes.,q,MR. SPEZIALI,start_answer
44,335,14,6,I drive into Philly a couple times a month.,a,THE WITNESS,start_question
45,336,14,7,Okay.  And that's just for your clinical practice?  That's not --,q,MR. SPEZIALI,start_answer
46,338,14,9,"No.  That's -- that's -- again, when I come into Philly, it's -- I have to give lectures, you know, to medical students and residents, and you know, I have meetings for research projects that are ongoing and things like that.",a,THE WITNESS,start_question
47,343,14,14,"Maybe my question wasn't clear.  You differentiated the clinical practice and your teaching practice and your research earlier.  I'm just concerned about clinical practice, right? Reviewing films for patients as a treating physician, right?  How many days do you spend doing that work in Pennsylvania?",q,MR. SPEZIALI,start_answer
48,350,14,21,"So again, the vast majority of the studies that I read are from Pennsylvania.",a,THE WITNESS,start_question
49,352,14,23,"No.  I'm asking you physically.  How often do you physically -- do you go to Pennsylvania, go to Philadelphia as it relates to you treating as a treating physician?",q,MR. SPEZIALI,start_answer
50,357,15,3,"So I come to Philadelphia a few days a month.  When I come in, I'm not just giving lecture. That's like two hours a day, an hour a day.  Most of my time is spent at the work station, reading, dictating, you know, MRIs and x-rays, and things like that.",a,THE WITNESS,start_question
51,363,15,9,So maybe twice a month at most you come to Philadelphia.  The rest you are in New Jersey; is that accurate?,q,MR. SPEZIALI,start_answer
52,366,15,12,Yes.,a,THE WITNESS,start_question
53,367,15,13,"Okay.  And Doctor, how would you describe the work that you are doing for this case here today, litigation practice in your words?",q,MR. SPEZIALI,start_answer
54,370,15,16,"Sure.  So it's essentially consulting work that I'm asked to do.  So I get sent imaging studies.  I'm asked to determine if there is a traumatic injury of any kind.  If there is, I'm asked to describe it, characterize it, and determine if it could relate to an event that happened on a particular day.",a,THE WITNESS,start_question
55,377,15,23,And defense counsel's office hired you for this consulting work; is that correct?,q,MR. SPEZIALI,start_answer
56,380,16,1,That is correct.,a,THE WITNESS,start_question
57,381,16,2,And have you done work for them previously?,q,MR. SPEZIALI,start_answer
58,382,16,3,"Yes, I have.",a,THE WITNESS,start_question
59,383,16,4,"And how long have you been engaging in this litigation, giving consulting work, in your opinion, for litigation cases?",q,MR. SPEZIALI,start_answer
60,386,16,7,"So I first started doing it in 2011.  And that was at the recommendation of my orthopedic colleagues, you know.",a,THE WITNESS,start_question
61,389,16,10,Okay.  And how long have you been doing it for defense counsel's office?,q,MR. SPEZIALI,start_answer
62,391,16,12,This particular firm?,a,THE WITNESS,start_question
63,392,16,13,Yes.,q,MR. SPEZIALI,start_answer
64,393,16,14,I'm not sure.  It would have been some time after that.,a,THE WITNESS,start_question
65,395,16,16,Okay.  How often do you -- how often do you give depositions for litigation cases?,q,MR. SPEZIALI,start_answer
66,397,16,18,A few times a month.,a,THE WITNESS,start_question
67,398,16,19,And how often do you author reports in relation to those cases?,q,MR. SPEZIALI,start_answer
68,400,16,21,So how often do I author reports for litigation purposes?,a,THE WITNESS,start_question
69,402,16,23,Yes.,q,MR. SPEZIALI,start_answer
70,403,16,24,I would say maybe four to five a week.  So it would amount to maybe 15 to 20 a month.,a,THE WITNESS,start_question
71,406,17,2,"And you're paid for that work, correct?",q,MR. SPEZIALI,start_answer
72,407,17,3,Correct.,a,THE WITNESS,start_question
73,408,17,4,"And in this matter, how much did you charge for -- well, let me be clear.  You authored one report in this matter; is that correct?",q,MR. SPEZIALI,start_answer
74,411,17,7,Yes.,a,THE WITNESS,start_question
75,412,17,8,"And that report is dated May 16th, 2019, right?",q,MR. SPEZIALI,start_answer
76,414,17,10,Yes.,a,THE WITNESS,start_question
77,415,17,11,And how much did you charge for that report?,q,MR. SPEZIALI,start_answer
78,416,17,12,"So the MRI report that I authored consists of three MRI examinations, one of the cervical spine, two of the right shoulder.  So for each MRI it's $200.  So the whole report would have been $600.",a,THE WITNESS,start_question
79,421,17,17,And you are also being -- you're also charging for your time and giving your opinions here today; is that correct?,q,MR. SPEZIALI,start_answer
80,424,17,20,Correct.,a,THE WITNESS,start_question
81,425,17,21,And how much do you charge for that?,q,MR. SPEZIALI,start_answer
82,426,17,22,"$2,000.",a,THE WITNESS,start_question
83,427,17,23,Flat fee?,q,MR. SPEZIALI,start_answer
84,428,17,24,Yes.,a,THE WITNESS,start_question
85,430,18,1,"Is there any other -- any other charges you made for this case, anything else, reviewing anything?",q,MR. SPEZIALI,start_answer
86,433,18,4,"Not that I can think of, no.",a,THE WITNESS,start_question
87,434,18,5,"Okay.  And Doctor, what is the split, if you know, between the work that you perform on behalf of plaintiffs in these litigation cases and on behalf of defendants, like the one here?",q,MR. SPEZIALI,start_answer
88,438,18,9,"So in the situations where I actually know whether it's coming from a plaintiff attorney or a defense attorney, it's roughly 50/50.  And the reason I say ""in the cases where I know"" is because most of the time I actually don't know. And the reason for that is that most of the work that I get actually comes from these companies that basically, you know, put medical records together for their clients, whether, you know, whoever it may be.  And then they send it to me or they send it to whoever the appropriate expert might be in that particular matter. So in those cases, I don't know who their client is.  I don't know what side of the case they may be on.  It's makes no difference to me, because the way I do my reports is entirely the same. But in situations where I do know who it's coming from and I do have a general sense of, you know, whether it's a plaintiff attorney or defense attorney, it's roughly 50/50.  That being said, there are some firms that do both.  So you know, in cases where I know, it's roughly 50/50.",a,THE WITNESS,start_chat
89,461,19,7,That's all I have. No objections to the witness.,side_chat,MR. SPEZIALI,start_chat
90,463,19,9,"All right.  Joe Lavin here again on behalf of the defendant, Talia Crabbe.",side_chat,MR. LAVIN,symbols
91,466,19,12,- - - DIRECT EXAMINATION,symbols,,symbols
92,468,19,14,- - -,symbols,,start_question
