,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," duly sworn, was examined and testified as follows:",,,symbols
1,128,5,4,- - - EXAMINATION,symbols,,symbols
2,130,5,6,- - -,symbols,,start_question
3,132,5,8,"Good morning, Ms. Grous.  We met a few moments ago.  I'm going to introduce myself again.  My name is David Inscho.  I represent the family of Fred Adami, the individual who died at the Bucks County Correctional Facility.  I understand that you are an employee who works for Prime Care at the Bucks County Correctional Facility; is that correct?",q,MR. INSCHO,start_answer
4,139,5,15,Yes.,a,THE WITNESS,start_question
5,140,5,16,Okay. Your name is Samantha Grous.  Were you previously known by another name?,q,MR. INSCHO,start_answer
6,143,5,19,"Yeah, Samantha Dunfee.",a,THE WITNESS,start_question
7,144,5,20,Okay. And is Grous your married name?,q,MR. INSCHO,start_answer
8,146,5,22,Yes.,a,THE WITNESS,start_question
9,147,5,23,Okay. And when did you change your name?,q,MR. INSCHO,start_answer
10,150,6,1,"July, 2016 -- I'm sorry, no, July, 2018.",a,THE WITNESS,start_question
11,151,6,2,Okay. So all the entries we'll see in the records today relate to Samantha Dunfee that would that be you; is that right?,q,MR. INSCHO,start_answer
12,155,6,6,Yes.,a,THE WITNESS,start_question
13,156,6,7,Okay. Do you also go by Sam?,q,MR. INSCHO,start_answer
14,158,6,9,Yes.,a,THE WITNESS,start_question
15,159,6,10,Okay. Do you know if there are any other Samantha's or Sam's that work in the Medical Department at Prime Care?,q,MR. INSCHO,start_answer
16,163,6,14,Not in the Medical Department.,a,THE WITNESS,start_question
17,164,6,15,"What we're going to do today is a deposition, have you ever done a deposition before?",q,MR. INSCHO,start_answer
18,166,6,17,Yes.,a,THE WITNESS,start_question
19,167,6,18,Okay. How many times have you been deposed?,q,MR. INSCHO,start_answer
20,169,6,20,Once.,a,THE WITNESS,start_question
21,170,6,21,When was that?,q,MR. INSCHO,start_answer
22,171,6,22,Last summer.,a,THE WITNESS,start_question
23,172,6,23,Did that involve your work for Prime Care at the Bucks County Correctional Facility?,q,MR. INSCHO,start_answer
24,175,7,1,Yes.,a,THE WITNESS,start_question
25,176,7,2,Okay. Where did that deposition take place?,q,MR. INSCHO,start_answer
26,178,7,4,The Department of Health in Doylestown or Warrington.,a,THE WITNESS,start_question
27,180,7,6,What was the nature of that matter in which you were deposed?,q,MR. INSCHO,start_answer
28,182,7,8,Like what was the case about or what was my involvement?,a,THE WITNESS,start_question
29,184,7,10,"Better question, what was the case about?",q,MR. INSCHO,start_answer
30,185,7,11,"An inmate had an injury that -- how do I explain it, I'm sorry.",a,THE WITNESS,start_chat
31,187,7,13,I can help.  It's an alleged failure to diagnose osteomyelitis.  The case is Farrington.  It's pending in the Eastern District. Motions for summary judgment are pending.,side_chat,MR. NINOSKY,start_chat
