,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," DEREK THOMAS, M.D., the witness, having been first duly sworn, was deposed and testified as follows: EXAMINATION ON QUALIFICATIONS",,,start_question
1,100,4,22,"Good afternoon, Doctor.",q,MR. FLAHERTY,start_answer
2,101,4,23,Hello.,a,THE WITNESS,start_question
3,102,4,24,Would you please you introduce yourself to the jury?,q,MR. FLAHERTY,start_answer
4,105,5,1,I'm Dr. Derek Thomas.,a,THE WITNESS,start_question
5,106,5,2,"And we are here today to take your testimony on behalf of one of your patients and one of my clients, Carlos Hawthorne following his January 2017 motor vehicle accident.  Any opinions you formed as an expert in this case as a result of that treatment and evaluation -- before we get there, I would like to ask you a couple questions about your qualifications so the jury understands why you're here and what your qualifications are. Can you tell me what type of physician you are.",q,MR. FLAHERTY,start_answer
6,117,5,13,Orthopedic surgeon.,a,THE WITNESS,start_question
7,118,5,14,And what does that mean?,q,MR. FLAHERTY,start_answer
8,119,5,15,"Orthopedics is a study of bone and joint disorders.  In my case, specifically, I only deal with adult spinal problems.",a,THE WITNESS,start_question
9,122,5,18,And can you estimate for me what percentage of the patients you see require surgery?,q,MR. FLAHERTY,start_answer
10,125,5,21,"Probably -- I see about 120 patients per week and I do about eight spine surgeries a week.  But in that 120 patients are mostly non-operative patients, some are patients we've already operated on.  So I'm not sure how those numbers work out but that's what I see.",a,THE WITNESS,start_question
11,132,6,2,Fair enough. Are you licensed to practice in the Commonwealth of Pennsylvania?,q,MR. FLAHERTY,start_answer
12,135,6,5,Yes.,a,THE WITNESS,start_question
13,136,6,6,And you told us already you focus on adult spine surgery.  Can you tell the jury how you became a surgeon.,q,MR. FLAHERTY,start_answer
14,139,6,9,"Sure.  Went to four years of college, University of Notre Dame.  Medical school at the Medical College of Virginia followed by a five-year orthopedic surgery residency in South Carolina, followed by a one-year adult spine surgery fellowship at Stanford.  And then returned to Pittsburgh and started working.",a,THE WITNESS,start_question
15,146,6,16,Are you board certified?,q,MR. FLAHERTY,start_answer
16,147,6,17,Yes.,a,THE WITNESS,start_question
17,148,6,18,In what specialty?,q,MR. FLAHERTY,start_answer
18,149,6,19,Orthopedics.,a,THE WITNESS,start_question
19,150,6,20,What is board certification?,q,MR. FLAHERTY,start_answer
20,151,6,21,Board certification in orthopedics means at the end of your five years of residency you have to take a written test.  If you pass the written test then two years later you take an oral examination.  And if you pass that then you're considered board certified.,a,THE WITNESS,start_question
21,158,7,2,Have you been published in the field?,q,MR. FLAHERTY,start_answer
22,159,7,3,Yes.,a,THE WITNESS,start_question
23,160,7,4,And have you previously been qualified to testify as an expert witness in Allegheny County?,q,MR. FLAHERTY,start_answer
24,163,7,7,Yes.,a,THE WITNESS,start_question
25,164,7,8,And do you do work for both plaintiff and defense firms?,q,MR. FLAHERTY,start_answer
26,166,7,10,Yes.,a,THE WITNESS,start_question
27,167,7,11,"I'm going to show you -- well, please take a look at the document I've marked as Exhibit 1 in front of you; do you recognize that?",q,MR. FLAHERTY,start_answer
28,170,7,14,"Yes, that's my CV.",a,THE WITNESS,is brackets
29,171,7,15,(Dr. Thomas Deposition Exhibit No. 1 was marked for identification.),brackets,,start_question
30,174,7,18,And can you tell me a little bit about your current practice.,q,MR. FLAHERTY,start_answer
31,176,7,20,"Current practice is, as I said, 120 patients a week.  About eight surgeries a week. Mostly -- 99 percent of what I do revolves around adult spine surgery.",a,THE WITNESS,start_question
