,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," A witness herein, acknowledged having been duly sworn and testified upon his oath as follows:",,,start_chat
1,103,4,5,I do. DIRECT EXAMINATION,side_chat,THE WITNESS,start_question
2,106,4,8,"Good morning, Dr. Howard.",q,MS. MCMORRIS,start_answer
3,107,4,9,"Good morning, Leah.",a,THE WITNESS,start_question
4,108,4,10,Can you hear me all right?,q,MS. MCMORRIS,start_answer
5,109,4,11,"Yes, I can.  How about you?",a,THE WITNESS,start_question
6,110,4,12,I can hear you just fine.,q,MS. MCMORRIS,start_answer
7,111,4,13,All right.  Good.,a,THE WITNESS,start_question
8,112,4,14,So can you please state your name for the record?,q,MS. MCMORRIS,start_answer
9,114,4,16,"Yes, Thomas Peter Howard.",a,THE WITNESS,start_question
10,115,4,17,"And my name is Leah McMorris, I represent the plaintiff in this case and I'll be taking your deposition this morning.  Where is it that you are located today?",q,MS. MCMORRIS,start_answer
11,118,4,20,"I'm in a court reporting office, which is in I think the address is Viera, Florida, but it's near my home in Melbourne, Florida.",a,THE WITNESS,start_question
12,121,4,23,And is there anyone there with you?,q,MS. MCMORRIS,start_answer
13,122,4,24,Yes.  Yvette Harrison the court reporter is here.,a,THE WITNESS,start_question
14,125,5,1,And is your attorney there as well?,q,MS. MCMORRIS,start_answer
15,126,5,2,"No, he's on the phone.",a,THE WITNESS,start_chat
16,127,5,3,I'm sitting in New Jersey.,side_chat,MR. SPEZIALI,start_chat
17,128,5,4,All right.,side_chat,MS. MCMORRIS,start_chat
18,129,5,5,"And I thank you for changing it for a phone dep, which is why I didn't have to go down there.",side_chat,MR. SPEZIALI,start_question
19,133,5,9,"And your attorney is -- I'm sorry, strike that. You are designated as a witness in this case at the request of General Electric and Westinghouse; is that correct?",q,MS. MCMORRIS,start_answer
20,137,5,13,"That's my understanding, yes.",a,THE WITNESS,start_question
21,138,5,14,Okay.  No one else?,q,MS. MCMORRIS,start_answer
22,139,5,15,"Not that I'm aware of, no.",a,THE WITNESS,start_question
23,140,5,16,"Okay.  And I don't think -- you've been deposed many times in the past, so I won't go through all of the general rules for a deposition.  But I just ask at any point you can't hear me or you don't understand my question, just let me know and I'll rephrase the question or speak up and make sure that you can hear me.  Is that fair?",q,MS. MCMORRIS,start_answer
24,147,5,23,Yes.,a,THE WITNESS,start_question
25,148,5,24,"All right.  Great.  Are you currently employed, Dr. Howard?",q,MS. MCMORRIS,start_answer
26,151,6,1,"I retired from the VA in 2017.  I certainly continued to do litigation consultation work, but I don't know if that satisfies your definition of employment. I'm retired from the VA.",a,THE WITNESS,start_question
27,155,6,5,How often do you perform litigation consultant work?,q,MS. MCMORRIS,start_answer
28,157,6,7,"I review probably on average about two cases a week.  But if you're asking me about depositions and trial testimony, it's certainly less than that.  I think I'm estimating this is about the fifth deposition this year.  And on average I would think it ranges between five and ten the last few years at least. And then in trial I probably testify on average maybe once every year, maybe a little less than that recently.",a,THE WITNESS,start_question
29,166,6,16,What percentage of those cases are asbestos related cases?,q,MS. MCMORRIS,start_answer
