,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, follows...,,,symbols
1,139,5,15,- - - EXAMINATION,symbols,,symbols
2,141,5,17,- - -,symbols,,start_question
3,143,5,19,"Good afternoon, gentleman.  If it's okay with everybody, I'm going to give everybody instructions now.  That way it will cut our time a little bit. First and foremost, make sure you understand all of the questions that I or any of the attorneys are about to ask you.  If you don't understand a question, let me know. I'll be happy to rephrase it or change it so you understand the question. The interpreter cannot have a conversation with you.  He can only interpret what you say and what I say.  If you need clarification, just say that you need clarification and I will clarify the question. If you simply answer the question, I'm going to assume and the record is going to reflect a few things; first, that you heard the entire question; second, that you understood the entire question; third, that you gave an honest answer to that question. You need to answer all the questions with an actual word.  Shaking your head or shrugging your shoulders cannot be interpreted by the interpreter. If you don't remember something, tell me you don't remember.  If you don't know something, tell me you don't know.  If you can estimate something, like time, distance or speed, go ahead and do that.  Just let us know that you're estimating. Have you understood all of those instructions Mr. Nguyen?",q,MS. SCHWEIKERT,start_answer
4,179,7,5,Yes.,a,THE WITNESS,start_question
5,180,7,6,Have you understood all of those instructions Mr. Pham?,q,MS. SCHWEIKERT,start_answer
6,182,7,8,I do.,a,THE WITNESS,start_question
7,183,7,9,Have you understood all those instructions Mr. Vu?,q,MS. SCHWEIKERT,start_answer
8,185,7,11,I do.,a,THE WITNESS,start_question
9,186,7,12,"You two are off the hot seat for a minute. Mr. Nguyen, do you understand any English?",q,MS. SCHWEIKERT,start_answer
10,190,7,16,No.,a,THE WITNESS,start_question
11,191,7,17,Do you speak any English?,q,MS. SCHWEIKERT,start_answer
12,192,7,18,No.,a,THE WITNESS,start_question
13,193,7,19,"Before coming in here today, did you review any documents or paperwork?",q,MS. SCHWEIKERT,start_answer
14,195,7,21,No.,a,THE WITNESS,start_question
15,196,7,22,"As you sit here today, did you take any medication for anything?",q,MS. SCHWEIKERT,start_answer
16,198,7,24,No.,a,THE WITNESS,start_question
17,200,8,1,Have you ever given a deposition before?,q,MS. SCHWEIKERT,start_answer
18,202,8,3,This is my first time.,a,THE WITNESS,start_question
19,203,8,4,Have you ever had to hire a lawyer before for any kind of injury?,q,MS. SCHWEIKERT,start_chat
20,205,8,6,I'm going to repeat the question again.,side_chat,THE INTERPRETER,start_chat
21,207,8,8,"Yes, I did.",side_chat,THE WITNESS,start_question
22,209,8,10,How many times?,q,MS. SCHWEIKERT,start_answer
23,210,8,11,Once.,a,THE WITNESS,start_question
24,211,8,12,When was that?,q,MS. SCHWEIKERT,start_answer
25,212,8,13,I don't remember.,a,THE WITNESS,start_question
26,213,8,14,Can you tell me about approximately how many years ago?,q,MS. SCHWEIKERT,start_answer
27,215,8,16,Right after the accident happened.,a,THE WITNESS,start_question
28,216,8,17,How many accidents have you been in?,q,MS. SCHWEIKERT,start_answer
29,217,8,18,Not any time.,a,THE WITNESS,start_question
30,218,8,19,This is your first accident you ever had?,q,MS. SCHWEIKERT,start_answer
31,220,8,21,Yes.,a,THE WITNESS,start_question
32,221,8,22,Did you ever have to hire a lawyer before for any reason?,q,MS. SCHWEIKERT,start_answer
33,223,8,24,No.,a,THE WITNESS,start_question
34,225,9,1,What is your full name?,q,MS. SCHWEIKERT,start_answer
35,226,9,2,Minh Nguyen.,a,THE WITNESS,start_question
36,227,9,3,What is your date of birth?,q,MS. SCHWEIKERT,start_answer
37,228,9,4,"March 21, 1984.",a,THE WITNESS,start_chat
38,229,9,5,Off the record.,side_chat,MS. SCHWEIKERT,symbols
39,230,9,6,- - -,symbols,,is brackets
40,231,9,7,"(Whereupon, a discussion was held off the record.)",brackets,,symbols
41,233,9,9,- - -,symbols,,start_question
42,235,9,11,I'm just going to confirm the last four digits of the Social Security you gave me as 3782; is that correct?,q,MS. SCHWEIKERT,start_answer
