,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, follows...,,,symbols
1,136,5,12,- - - EXAMINATION,symbols,,symbols
2,138,5,14,- - -,symbols,,start_question
3,140,5,16,"Good afternoon, Mr. Pham.  My name is Therese Schweikert.  I already gave instructions to you as well as the other two parties here before all the depositions began. Do you recall those?",q,MS. SCHWEIKERT,start_answer
4,146,5,22,Yes.,a,THE WITNESS,start_question
5,147,5,23,You speak English; is that correct?,q,MS. SCHWEIKERT,start_answer
6,148,5,24,I do.,a,THE WITNESS,start_question
7,150,6,1,Do you have any problems understanding the English language?,q,MS. SCHWEIKERT,start_answer
8,152,6,3,No.,a,THE WITNESS,start_question
9,153,6,4,Do you have any problems communicating in English?,q,MS. SCHWEIKERT,start_answer
10,155,6,6,No.,a,THE WITNESS,start_question
11,156,6,7,Do you feel as though you need an interpreter in order to complete the deposition?,q,MS. SCHWEIKERT,start_answer
12,159,6,10,No.,a,THE WITNESS,start_chat
13,160,6,11,"If everybody else is okay, based on his answer, I can let the interpreter go.",side_chat,MS. SCHWEIKERT,start_chat
14,163,6,14,That's fine with me.,side_chat,MS. KATHOPOULIS,start_chat
15,165,6,16,Okay.,side_chat,MR. KELLY,start_chat
16,166,6,17,"Actually, before you go.",side_chat,MS. SCHWEIKERT,start_question
17,169,6,20,"Sir, do you understand that, if we go back and use this deposition transcript, you can't at that point say that you didn't understand English and that you needed an interpreter?",q,MS. SCHWEIKERT,start_answer
18,175,7,1,Understand.,a,THE WITNESS,start_question
19,176,7,2,"Before coming into to today's deposition, did you review any documents, look at any paperwork?",q,MS. SCHWEIKERT,start_answer
20,179,7,5,"No, I did not read paper.",a,THE WITNESS,start_question
21,180,7,6,"As you sit here today, do you take any medication on a regular basis?",q,MS. SCHWEIKERT,start_answer
22,182,7,8,"Right now I'm taking high blood pressure, high cholesterol and something like fish oil for my eyes, some kind of fish oil.",a,THE WITNESS,start_question
23,185,7,11,Like a vitamin-type thing?,q,MS. SCHWEIKERT,start_answer
24,186,7,12,"Something like fish oil, but the name is different.",a,THE WITNESS,start_question
25,188,7,14,Is it prescription?,q,MS. SCHWEIKERT,start_answer
26,189,7,15,It's prescription.,a,THE WITNESS,start_question
27,190,7,16,What's wrong with your eyes that you need that?,q,MS. SCHWEIKERT,start_answer
28,192,7,18,"My eyes weak, and sometimes I see two pictures, double vision.",a,THE WITNESS,start_question
29,194,7,20,How long has that been going on?,q,MS. SCHWEIKERT,start_answer
30,195,7,21,It happened just about a year-and-a-half ago.,a,THE WITNESS,start_question
31,197,7,23,After this accident?,q,MS. SCHWEIKERT,start_answer
32,198,7,24,Yes.,a,THE WITNESS,start_question
33,200,8,1,"Other than this instance, have you ever had to hire a lawyer for any other injury before?",q,MS. SCHWEIKERT,start_answer
34,203,8,4,"Before, I have an accident before this accident.  I have the other accidents.",a,THE WITNESS,start_question
35,205,8,6,How many accidents have you been in before this accident?,q,MS. SCHWEIKERT,start_answer
36,207,8,8,Only one.,a,THE WITNESS,start_question
37,208,8,9,When was that?,q,MS. SCHWEIKERT,start_answer
38,209,8,10,"I don't remember.  It's a long time ago.  2006, 2007, somewhere around there.",a,THE WITNESS,start_question
39,211,8,12,"That's when the accident happened, 2006 or so?",q,MS. SCHWEIKERT,start_answer
40,213,8,14,"At that time, I have an accident in Upper Darby.",a,THE WITNESS,start_question
41,215,8,16,Were you injured in that accident?,q,MS. SCHWEIKERT,start_answer
