,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, I never saw a notice of deposition.,,,symbols
1,162,6,17,- - - EXAMINATION,symbols,,symbols
2,164,6,19,- - -,symbols,,start_question
3,166,6,21,"Good morning, Ms. Chour.",q,MR. MANARA,start_answer
4,167,6,22,Chour.,a,THE WITNESS,start_question
5,168,6,23,"Good morning, Ms. Chour.  My name is Michael Manara.  I represent Andrea Baxter for a car accident that occurred February 6th of 2017. We are here today to take your deposition.",q,MR. MANARA,start_answer
6,175,7,5,Okay.,a,THE WITNESS,start_question
7,176,7,6,Have you ever been deposed before?,q,MR. MANARA,start_answer
8,177,7,7,Never.,a,THE WITNESS,start_question
9,178,7,8,A couple ground rules before we begin. A deposition is a question-and-answer session.  It's not designed to trick or confuse you.  We're just trying to find out what happened.,q,MR. MANARA,start_answer
10,183,7,13,Okay.,a,THE WITNESS,start_question
11,184,7,14,You're testifying here today through an interpreter?,q,MR. MANARA,start_answer
12,186,7,16,Yes.,a,THE WITNESS,start_question
13,187,7,17,You're being responsive to my questions?,q,MR. MANARA,start_answer
14,189,7,19,Yes.,a,THE WITNESS,start_question
15,190,7,20,Are there any issues you have understanding the interpreter?,q,MR. MANARA,start_answer
16,192,7,22,No problem.,a,THE WITNESS,start_question
17,193,7,23,It seems like you do understand some English?,q,MR. MANARA,start_answer
18,196,8,1,Some.,a,THE WITNESS,start_question
19,197,8,2,"Answer in your native language, and allow the interpreter to interpret, okay?",q,MR. MANARA,start_answer
20,199,8,4,Okay.,a,THE WITNESS,start_question
21,200,8,5,"A couple of ground rules for the deposition.  First, I need you to answer verbally.  As you can see, there is a court reporter here typing down everything we're saying, and she can't take any head nods or hand gestures.",q,MR. MANARA,start_answer
22,206,8,11,Okay.,a,THE WITNESS,start_question
23,207,8,12,"Same with uh-uh and uh-huh.  I don't think it should be a problem because we have the interpreter, but they read the same way on the record.  If we ask is that a yes or is that a no, we just want to make it clear, okay?",q,MR. MANARA,start_answer
24,213,8,18,Yes.,a,THE WITNESS,start_question
25,214,8,19,"If at any time I'm speaking too fast or you need me to rephrase the question or you don't understand the question, let me know, and I'll be happy to rephrase the question.",q,MR. MANARA,start_answer
26,219,8,24,Yes.,a,THE WITNESS,start_question
