,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," County, herein to tell the truth, the whole truth, and nothing but the truth, was examined and testified as follows: EXAMINATION",,,start_question
1,120,4,17,"Good morning, Doctor.",q,MR. MILLER,start_answer
2,121,4,18,Good morning.,a,THE WITNESS,start_question
3,122,4,19,Can you tell me if you reviewed any documents in preparation for giving testimony here today?,q,MR. MILLER,start_answer
4,125,4,22,Yes.,a,THE WITNESS,start_question
5,126,4,23,Please tell me what documents you reviewed.,q,MR. MILLER,start_answer
6,128,4,25,"I reviewed our report on the material that we received with respect to this case, and also I briefly looked at another report on the cytogenetics.",a,THE WITNESS,start_chat
7,133,5,4,Do you have those reports?,side_chat,MR. MILLER,start_chat
8,135,5,6,Yeah.  I'll have you mark them.  There's cytogenics and there's reports.,side_chat,MR. BELL,start_chat
9,138,5,9,"I may have them in my material, but...",side_chat,MR. MILLER,start_question
10,141,5,12,So you reviewed only those two documents?,q,MR. MILLER,start_answer
11,142,5,13,Right.,a,THE WITNESS,start_question
12,143,5,14,"To prepare for your testimony here today, did you conduct any type of investigation or interview or speak with anybody in the Department of Pathology or Anatomic Pathology?",q,MR. MILLER,start_answer
13,148,5,19,"In preparation for this testimony, I did not.",a,THE WITNESS,start_question
14,150,5,21,Are you aware of any investigation that was conducted by Albany Medical Center in connection with this matter?,q,MR. MILLER,start_answer
15,153,5,24,Yes.,a,THE WITNESS,start_question
16,154,5,25,And please tell me what investigation you are aware of.,q,MR. MILLER,start_chat
17,157,6,2,"Objection to the form, but go ahead.",side_chat,MR. BELL,start_answer
18,159,6,4,"Once I was made aware of this, I was involved in the investigations that ensued with respect to this that included a root cause analysis.",a,THE WITNESS,start_question
19,163,6,8,"All right.  When you say you were involved in the investigation with this, what does ""this"" mean?",q,MR. MILLER,start_answer
20,166,6,11,"Well, we had handled this material, this, what we call it, a specimen, in our laboratory, and handled it in a routine fashion rather than handling it with the special request that was made.  So there was an error in our laboratory in not holding the specimen for purposes of burial, as I understood it.  So that was the issue at hand that we investigated.",a,THE WITNESS,start_question
21,175,6,20,"Tell me what the investigation consisted of, to your knowledge.",q,MR. MILLER,start_chat
22,177,6,22,"Again, objection, but you can answer.",side_chat,MR. BELL,start_answer
23,179,6,24,"As I say, we had a preliminary inquiry into whether we still had the specimen. We established that we did not.",a,THE WITNESS,start_question
24,183,7,2,"When you use the word ""we,"" who are you referring to?",q,MR. MILLER,start_answer
25,185,7,4,"Well, our laboratory personnel.  That would be if -- In the usual course, it would be the supervisor and the assistant supervisor in our laboratory, at that laboratory.",a,THE WITNESS,start_question
26,190,7,9,Was a report generated as a result of this investigation?,q,MR. MILLER,start_answer
27,192,7,11,I'm not sure of that.,a,THE WITNESS,start_question
28,193,7,12,Who did you report to in that investigation?,q,MR. MILLER,start_answer
29,195,7,14,"Well, I didn't really report to anyone.  I was part of the investigation.  I was part of the group that met to understand what had happened.  Much of it was designed to see if we could improve our practices so that this wouldn't happen again in the future.",a,THE WITNESS,start_question
30,202,7,21,When was this investigation conducted?,q,MR. MILLER,start_answer
31,203,7,22,"In that time frame.  I'm not sure it was -- If memory serves, there was a delay in our recognizing that there had been an error.  We normally hold samples, specimens like this for three weeks after we issue a report.  So it would have to have been at least a month or so, probably, before we began to investigate it.  So sometime after that we pursued this investigation.",a,THE WITNESS,start_question
32,214,8,7,Was this a committee that was formed to investigate?,q,MR. MILLER,start_answer
33,216,8,9,"It was an ad hoc committee, if you will. It was what we call a root cause analysis. When a significant error is made, we try to understand what happened, why it happened, and what we can do better to avoid that happening again.",a,THE WITNESS,start_question
34,222,8,15,Who was in charge of the investigation?,q,MR. MILLER,start_chat
35,223,8,16,Objection to form. Go ahead.,side_chat,MR. BELL,start_answer
36,225,8,18,It usually is initiated by Risk Management.,a,THE WITNESS,start_question
37,227,8,20,For Albany Medical Center?,q,MR. MILLER,start_answer
38,228,8,21,That's correct.,a,THE WITNESS,start_question
39,229,8,22,And can you tell me who the members were of this ad hoc committee?,q,MR. MILLER,start_chat
40,231,8,24,"I'll object as to the identification of the people, but I -- but they come from different departments, so I'll let him identify the departments that were involved and the representatives.  It is, I think, protected, but in this case I'm letting it go a little farther than I think I would otherwise.",side_chat,MR. BELL,start_question
41,242,9,9,"If you could tell me what departments were involved, please.",q,MR. MILLER,start_answer
42,244,9,11,"I probably wouldn't be able to tell you the individuals, anyway.  So I can tell you that we had members of nursing, Risk Management, patient access, the morgue, the laboratory/  I think hospital administration may have been there, as well, and I think there were others there. There were several members of the nursing services from different areas, from which this type of specimen might emanate.  So we might receive this type from the OR, labor and delivery, the emergency room.",a,THE WITNESS,start_question
43,256,9,23,"Did your protocols change?  When I said ""your,"" I'm talking about Albany Medical Center or any of the departments of pathology.  Did the protocols change in the way samples are handled as a result of this investigation?",q,MR. MILLER,start_chat
44,263,10,4,"Objection to form, but you can answer.",side_chat,MR. BELL,start_answer
45,265,10,6,"I believe so, but I'm not -- I'm not able to tell you in what ways they did.  I think there were aspects of it that involved nursing and the laboratory and other forms of communication that were modified.",a,THE WITNESS,start_question
46,271,10,12,"As part of the investigation, were various individuals interviewed?",q,MR. MILLER,start_chat
47,273,10,14,"Objection, but you can answer.",side_chat,MR. BELL,start_answer
48,275,10,16,"I'm not sure what you mean by ""interviewed.""  Certainly there were questions that were addressed in terms of what people did or did not do and why they did or did not do what they did so we could understand what might have been a source of confusion or represent an opportunity for us to improve our process.",a,THE WITNESS,start_question
49,283,10,24,"When you say certain people were identified as to what they did or could do or did not do, did you or the committee or anybody at Albany Medical Center specifically identify the specific individual or individuals within any of the pathology departments who handled the sample and who ultimately discarded the sample?",q,MR. MILLER,start_chat
50,293,11,8,"Objection, but you can answer.",side_chat,MR. BELL,start_answer
51,295,11,10,"I suspect we were able to identify the personnel involved, but I don't -- I don't know who those people were at this point in time.",a,THE WITNESS,start_question
52,299,11,14,Are there any records to identify who those personnel are?,q,MR. MILLER,start_answer
53,301,11,16,I'm not sure of that.,a,THE WITNESS,start_question
54,302,11,17,"Putting aside for a moment the names of those individuals, can you tell me if those individuals you're referring to worked within a particular department or division of the hospital?",q,MR. MILLER,start_answer
55,307,11,22,"Yes, I think at least one of them I know was in our laboratory.",a,THE WITNESS,start_question
56,309,11,24,"And when you say ""our laboratory,"" what specific laboratory are you referring to?",q,MR. MILLER,start_answer
57,312,12,1,It's called Histology or Surgical Pathology.,a,THE WITNESS,start_question
58,314,12,3,What is the difference between surgical pathology and the Department of Anatomic Pathology?,q,MR. MILLER,start_answer
59,317,12,6,"Well, in this hospital we call it the Division of Anatomic Pathology, which encompasses other laboratories, including Surgical Pathology.",a,THE WITNESS,start_question
60,321,12,10,"Now, back at the time frame we're talking about here, I understand you are the Director of Anatomic Pathology, correct?",q,MR. MILLER,start_answer
61,324,12,13,"Yes, sir.",a,THE WITNESS,start_question
62,325,12,14,And when did you assume the directorship?,q,MR. MILLER,start_answer
63,326,12,15,I believe it was '90 -- I'm not certain. In the -- '90 --,a,THE WITNESS,start_question
64,328,12,17,I'm looking at your CV.,q,MR. MILLER,start_answer
65,329,12,18,Thank you.,a,THE WITNESS,start_question
66,330,12,19,1999.,q,MR. MILLER,start_answer
67,331,12,20,Okay.,a,THE WITNESS,start_question
68,332,12,21,"And before that, you were the Director of Surgical Pathology?",q,MR. MILLER,start_answer
69,334,12,23,Correct.,a,THE WITNESS,start_question
70,335,12,24,"Is there, in fact, a Department of Histology or does histology fall within the Surgical Sathology Department?",q,MR. MILLER,start_answer
71,339,13,2,"It's essentially the same department, just a different name.",a,THE WITNESS,start_question
72,341,13,4,And what are your duties and responsibilities as Director of Anatomic Pathology?,q,MR. MILLER,start_answer
73,344,13,7,"Well, again, that encompasses not only surgical pathology, but also psychology and autopsy pathology and other services related to handling tissues and fluids for anatomic diagnosis.  My role there includes overseeing the operations to make sure that we maintain a quality performance.",a,THE WITNESS,start_question
74,352,13,15,So you have administrative responsibilities?,q,MR. MILLER,start_answer
75,354,13,17,"Yes, sir.",a,THE WITNESS,start_question
76,355,13,18,Do you have clinical responsibilities?,q,MR. MILLER,start_answer
77,356,13,19,"Outside of that title, I also operate as an attending pathologist and have a full service load, yes, sir.  Or I had had.",a,THE WITNESS,start_question
78,359,13,22,"Back in the fall of 2015, approximately how many employees worked within the Department of Anatomic Pathology?",q,MR. MILLER,start_answer
79,362,13,25,"We had a number of employees that were not full time.  I think we had about 12 pathologists, probably 50 or 60 technical people, 10 or 12 office employees.  I'm ballparking it.  I don't know the exact number.",a,THE WITNESS,start_question
80,369,14,6,"So total, give or take, of 75 people?",q,MR. MILLER,start_answer
81,370,14,7,"Yes, sir.",a,THE WITNESS,start_question
82,371,14,8,Do they all work at the same location?,q,MR. MILLER,start_answer
83,372,14,9,"No, sir.",a,THE WITNESS,start_question
84,373,14,10,At different locations within the hospital building?,q,MR. MILLER,start_answer
85,375,14,12,I believe so.,a,THE WITNESS,start_question
86,376,14,13,"All right.  And those 75 people, does that include the people who work for the department of surgical pathology as well?",q,MR. MILLER,start_answer
87,379,14,16,"Yes, sir.",a,THE WITNESS,start_question
88,380,14,17,So do you make a distinction between people who work for surgical pathology versus anatomic pathology?,q,MR. MILLER,start_answer
89,383,14,20,Only in certain respects.  Certainly not in operations that relate to the quality of the laboratory.,a,THE WITNESS,start_question
90,386,14,23,"And when we're talking about surgical pathology, just generally speaking, are we talking about samples that are provided for pathological analysis as the result of some surgical procedure?",q,MR. MILLER,start_answer
91,392,15,3,In general.,a,THE WITNESS,start_question
92,393,15,4,"The Department of Anatomic Pathology, does it receive samples for analysis beyond just surgical samples?",q,MR. MILLER,start_answer
93,396,15,7,Yes.,a,THE WITNESS,start_question
94,397,15,8,And give me an example of the samples that you'd receive.,q,MR. MILLER,start_answer
95,399,15,10,"Well, one of the most conspicuous ones would cytology samples; so we have fluids or smears, so forth.  We do also receive remains in the autopsy suite. Occasionally a sample is obtained outside of the venue of normal operations, either through trauma or accident or something like that, some kind of non-surgical procedure.",a,THE WITNESS,start_question
96,408,15,19,Were there various departments within the Department of Anatomic Pathology?,q,MR. MILLER,start_answer
97,410,15,21,"Various divisions, yeah.",a,THE WITNESS,start_question
98,411,15,22,Please tell me what they were or are.,q,MR. MILLER,start_answer
99,412,15,23,Well --,a,THE WITNESS,start_chat
100,413,15,24,Objection.  You want him -- I don't know if it's changed since 2015 or not.,side_chat,MR. BELL,start_question
101,418,16,3,Let's go back to 2015.,q,MR. MILLER,start_answer
102,419,16,4,"I think it's similar to that.  We have -- The biggest divisions are surgical pathology, cytopathology, autopsy pathology.  Under those, we have subspecialty areas that include neuropathology, hematopathology, dermatopathology, and others that are less busy.",a,THE WITNESS,start_question
103,427,16,12,Were there written protocols within the Department of Anatomic Pathology in 2015 regarding how samples were to be handled when received by the Department of Anatomic Pathology?,q,MR. MILLER,start_answer
104,432,16,17,Yes.,a,THE WITNESS,start_question
105,433,16,18,And were those various written protocols broken down by the different types of pathology that you just referred to or was it one general overview of a protocol?,q,MR. MILLER,start_answer
106,437,16,22,We have a requisition form that is distinct in surgical pathology from the one that we use in cytopathology.,a,THE WITNESS,start_question
107,440,16,25,It's distinct in which way?,q,MR. MILLER,start_answer
108,442,17,1,It's just a different form.  It has different needs and requirements to -- for us to operate effectively.,a,THE WITNESS,start_question
109,445,17,4,"Now, in the case that we're talking about, is it your understanding that fetal remains taken from Larissa Davis came to the Department of Anatomic Pathology?",q,MR. MILLER,start_answer
110,449,17,8,"Yes, sir.",a,THE WITNESS,start_question
111,450,17,9,Something like that was -- Would it be fair if I classified it as a routine thing?,q,MR. MILLER,start_answer
112,453,17,12,"It is not uncommon for us to get those, so we handle those almost every day.",a,THE WITNESS,start_question
113,455,17,14,Are there specific protocols for the way fetal remains are to be handled?,q,MR. MILLER,start_answer
114,457,17,16,Yes.,a,THE WITNESS,start_question
115,458,17,17,"Is it your understanding in this case -- Let me withdraw that. Is there a phrase within the department of pathology ""medical waste""?",q,MR. MILLER,start_answer
116,462,17,21,It is a term that is used.  I'm not certain if it's in our documents or protocols.  I don't know that answer.,a,THE WITNESS,start_question
117,465,17,24,"All right.  Putting aside your documents and protocols, have you heard the phrase ""medical waste""?",q,MR. MILLER,start_answer
118,469,18,2,Of course.,a,THE WITNESS,start_question
119,470,18,3,What do you understand that to mean?,q,MR. MILLER,start_answer
120,471,18,4,"Well, it is a term that includes a variety of types of material that are deemed no longer necessary to retain for purposes of analysis or other reasons and can be disposed of.",a,THE WITNESS,start_question
121,476,18,9,"And back in 2015, in your laboratory, how was medical waste disposed of?",q,MR. MILLER,start_answer
122,478,18,11,"Well, we do have a variety of types of material that are encompassed in that term, again, including fluids, blood, things like that that are sometimes contaminating gauze or papers, and so those go in for that type of disposal. Our own laboratory also has the specimens that, after we have done what we are supposed to do with them, are also put through that disposal process.",a,THE WITNESS,start_question
123,488,18,21,Specifically what is the disposal process?,q,MR. MILLER,start_answer
124,489,18,22,"So again, for those specimens, I think is what you're asking about.",a,THE WITNESS,start_question
125,491,18,24,Yes.,q,MR. MILLER,start_answer
126,492,18,25,"We issue a report, we retain specimens for three weeks after the report is issued to permit -- provide an opportunity for us to hear back from someone if there are additional questions or concerns, and then they go for disposal.  We use an incinerating process, I think, through a company.",a,THE WITNESS,start_question
127,501,19,8,You said in your answer that you hold on to the specimen for three weeks and then you issue a report?,q,MR. MILLER,start_answer
128,504,19,11,"No, sir.  We issue a report -- We receive the specimen, we process it, we issue the report.",a,THE WITNESS,start_question
129,507,19,14,Regarding the specimen itself?,q,MR. MILLER,start_answer
130,508,19,15,"Right.  During that period, the specimen is held in storage.  We continue to hold it for three weeks after the report has been issued so that there is an opportunity for feedback.",a,THE WITNESS,start_question
131,513,19,20,"When you use the word ""report,"" do you mean reporting on a pathological analysis?",q,MR. MILLER,start_answer
132,515,19,22,Correct.  That diagnosis report as you see there.,a,THE WITNESS,start_question
