,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," of questions, be reserved until the time of trial.)",,,symbols
1,114,4,15,- - - EXAMINATION,symbols,,symbols
2,116,4,17,- - -,symbols,,start_question
3,118,4,19,"Good afternoon, Ms. Callaway.",q,MR. MANARA,start_answer
4,119,4,20,"Hi, good afternoon.",a,THE WITNESS,start_question
5,120,4,21,My name is Michael Manara.  I represent Mr. Kelly for an accident that occurred on April 3rd of 2017; does that sound about right?,q,MR. MANARA,start_answer
6,123,4,24,Yes.,a,THE WITNESS,start_question
7,125,5,1,We are here today to take your deposition.,q,MR. MANARA,start_answer
8,126,5,2,Okay.,a,THE WITNESS,start_question
9,127,5,3,Have you ever been deposed before?,q,MR. MANARA,start_answer
10,128,5,4,I have not.,a,THE WITNESS,start_question
11,129,5,5,"Okay. So a couple ground rules kind of before we begin.  One, a deposition is simply a question and answer session.  It's not designed to trick or confuse you.  We're simply trying to find out what happened, okay?",q,MR. MANARA,start_answer
12,135,5,11,Okay.,a,THE WITNESS,start_question
13,136,5,12,"So a couple of ground rules for this deposition.  One, I need you to answer verbally because as you can see there's a court reporter here and she is typing down everything we say so she can't take down any hand gestures or head nods or anything like that; is that fair?",q,MR. MANARA,start_answer
14,142,5,18,Yes.,a,THE WITNESS,start_question
15,143,5,19,"All right. Second, uh-huh and uh-uh read the exact same way on the record.  So if we correct you and say is that a yes, is that a no, we're not doing it to be jerks, we're just trying to make sure the record is clear, all right?",q,MR. MANARA,start_answer
16,150,6,1,Okay.,a,THE WITNESS,start_question
17,151,6,2,"Third, simultaneous speaking while it's human nature you'll probably understand where I'm headed with my question, it's way too difficult for her to take down two people speaking at the same time.  So I ask that you allow me to finish my question before you answer.  I'll allow you to finish your answer before I ask my next question and we'll go back and forth in that cadence; is that fair?",q,MR. MANARA,start_answer
18,159,6,10,Yes.,a,THE WITNESS,start_question
19,160,6,11,"All right. Fourth, if at any time I'm speaking too fast or you do not understand the question, please let me know and I will be happy to rephrase.  Because if you answer my question I will assume two very important things, first, that you understood the question and second, that the answer is the truth; is that fair?",q,MR. MANARA,start_answer
20,167,6,18,Yes.,a,THE WITNESS,start_question
21,168,6,19,Do you understand that the oath that you just took is the exact same oath you would take in a courtroom?,q,MR. MANARA,start_answer
22,171,6,22,Yes.,a,THE WITNESS,start_question
23,172,6,23,All right. Did you understand the instructions that I have given?,q,MR. MANARA,start_answer
24,176,7,2,Yes.,a,THE WITNESS,start_question
