,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, proceed counsel.,,,symbols
1,144,6,3,- - - VOIR DIRE,symbols,,symbols
2,146,6,5,- - -,symbols,,start_question
3,148,6,7,"Good afternoon.  Mary McCarthy on behalf of the plaintiff Fr. Mularczyk. Dr. Yarus, would you please introduce yourself to the jury.",q,MS. MCCARTHY,start_answer
4,152,6,11,"Ladies and gentlemen of the jury, Your Honor, my name is Lance Owen Yarus, DO.",a,THE WITNESS,start_question
5,154,6,13,How long have you been a doctor?,q,MS. MCCARTHY,start_answer
6,155,6,14,I graduated medical school in 1981.  I received my certificate at that time.,a,THE WITNESS,start_question
7,157,6,16,You said DO.  What is your specialty?,q,MS. MCCARTHY,start_answer
8,158,6,17,I practice in the areas of orthopedics and pain management.,a,THE WITNESS,start_question
9,160,6,19,"Dr. Yarus, I have before you what we've had marked as Yarus-1 for identification. Can you tell us what that is.",q,MS. MCCARTHY,start_answer
10,164,6,23,This is called a curriculum vitae.,a,THE WITNESS,start_question
11,165,6,24,What is a curriculum vitae?,q,MS. MCCARTHY,start_answer
12,167,7,1,"It's basically a resumé.  It has my background, training and participation in activities as a physician both in the internship and residency program and as a treating individual, having started my practice 1986 and thereafter. It contains my board certifications, certificates and fellowships that I hold, some teaching affiliations that I have, subspecialty rotations and some of the courses that I've participated, appointments I've had and some editorial activities, as well.",a,THE WITNESS,start_question
13,180,7,14,Is Yarus-1 accurate and up to date?,q,MS. MCCARTHY,start_answer
14,181,7,15,"It is, yes.",a,THE WITNESS,start_question
15,182,7,16,I'm going to ask you to refer to it as needed as we go through your qualifications. Can you tell us a little bit about your educational background.,q,MS. MCCARTHY,start_answer
16,186,7,20,"I graduated medical school in 1981. After that, I did what's known as a one-year rotating internship.  You go through all the subspecialty areas in medicine, family practice, and you actually get the opportunity to see individuals in the hospital setting, work with various types of physicians in subspecialty areas. After that, I started my orthopedic residency, which is specific to the subspecialty of orthopedic surgery, and that was a four-year program.  I completed that as chief resident in 1986.  At that point, I started my practice.",a,THE WITNESS,start_question
17,201,8,10,Can you tell us about your professional experience.,q,MS. MCCARTHY,start_answer
18,203,8,12,"As far as what I do on a daily basis, I operated on individuals for over 30 years, provided conservative care for injuries and some disease states that have to do with joints, particularly where they wear out and you have to address that.  I took call in the emergency room for that amount of time and also treated individuals in the office setting. In the early 1990s, I started doing more formalized pain management, particularly injecting more areas of the body in the spinal column and joints, muscles, tendons, ligaments and nerves and doing that kind of work along with the individuals who have not only metabolic diseases again but injuries, as well.",a,THE WITNESS,start_question
19,221,9,5,"This seems like a silly question, but I have to ask. Are you licensed to practice medicine in the state of Pennsylvania?",q,MS. MCCARTHY,start_answer
20,225,9,9,"I still hold a license to practice, yes.",a,THE WITNESS,start_question
21,227,9,11,I believe you said something about board certification?,q,MS. MCCARTHY,start_answer
22,229,9,13,Yes.,a,THE WITNESS,start_question
23,230,9,14,Can you tell the jury what you're board certified in and what it means to be board certified.,q,MS. MCCARTHY,start_answer
24,233,9,17,"I have two certificates that designate me as being board certified.  There are three recognized boards in orthopedic surgery.  I'm certified by one of them. The process to get there entailed, in the first certificate, three years of taking tests and the last year actually being observed doing surgery in the operating room by two board certified individuals.  I reviewed records in the hospital and office setting.  That was all compiled, and I received my first certificate in 1989. The process after that is just to take written tests, and I did that successfully three times to the current time.  I hold a certificate that still designates me as an orthopedic surgeon. I stopped doing surgery in 2013.  I still see individuals because of the pain management side of treatment who have injuries, so it goes hand in hand, so to speak. Basically, for pain management, I do interventional techniques, injecting individuals and also treating and designing programs for people who require therapy and also modalities, such as medications, as well.",a,THE WITNESS,start_question
25,262,10,21,"You've already touched on this a little bit, but can you please describe for us in a little more detail your current orthopedic practice. What do you do on a day-to-day basis?",q,MS. MCCARTHY,start_answer
26,268,11,2,"On a day-to-day basis, I see people who have injuries, metabolic diseases that are pain oriented.  Again, I see individuals who have issues with all types of injuries that occur for various reasons, such as motor vehicle accidents, trip and slip-and-falls, people who have Workers' Compensation injuries and those individuals who have sports injuries, as well. My role is to still figure out what's going on and design, as I said, a program for treatment.  A lot of times people are in therapy.  I'll go one step further and ask if they want to treat with other options that I have available, particularly with medications and injections.",a,THE WITNESS,start_question
27,284,11,18,"Is it fair to say, as part of your practice, you treat people with back and shoulder injuries?",q,MS. MCCARTHY,start_answer
28,287,11,21,Yes.,a,THE WITNESS,start_question
29,288,11,22,Have you previously performed surgery on the back and shoulder?,q,MS. MCCARTHY,start_answer
30,290,11,24,"Very much so, yes.",a,THE WITNESS,start_question
31,292,12,1,"As part of your practice, do you routinely review medical records, diagnostic studies and images?",q,MS. MCCARTHY,start_answer
32,295,12,4,Yes.,a,THE WITNESS,start_question
33,296,12,5,Does that include MRI studies?,q,MS. MCCARTHY,start_answer
34,297,12,6,"It does, yes.",a,THE WITNESS,start_question
35,298,12,7,"To be clear, you're not a radiologist?",q,MS. MCCARTHY,start_answer
36,299,12,8,"Correct, I'm not.",a,THE WITNESS,start_question
37,300,12,9,But you rely and on read MRI studies as part of your treatment and practice of your patients?,q,MS. MCCARTHY,start_answer
38,303,12,12,"Absolutely.  I've taken courses to learn how to interpret, but I'm not the person who puts out the report that has to do with the study itself. I certainly have to be able to discern the morphology, which means what's on that study and what significance it has to the person that has the study done for whatever reason, particularly injuries that are sustained.",a,THE WITNESS,start_question
39,313,12,22,Is it fair to say that you prescribe these studies for your own patients?,q,MS. MCCARTHY,start_answer
40,315,12,24,"Sure, all the time, yes.",a,THE WITNESS,start_question
41,317,13,1,"As part of your practice, do you physically examine patients?",q,MS. MCCARTHY,start_answer
42,319,13,3,"Absolutely, yes.",a,THE WITNESS,start_question
43,320,13,4,Routinely review records and reports from other specialists who may be treating your patients to help you develop your diagnosis and prognosis?,q,MS. MCCARTHY,start_answer
44,324,13,8,Yes.,a,THE WITNESS,start_question
45,325,13,9,Is it fair to say you routinely make recommendations for additional or future treatments or procedures?,q,MS. MCCARTHY,start_answer
46,328,13,12,"Yes, most of the time, that's true.",a,THE WITNESS,start_question
47,329,13,13,"In the litigation context, do you routinely review medical billing records?",q,MS. MCCARTHY,start_answer
48,331,13,15,Yes.,a,THE WITNESS,start_question
49,332,13,16,Have you previously been qualified as an expert witness in the Philadelphia Court of Common Pleas?,q,MS. MCCARTHY,start_answer
50,335,13,19,"Yes, I have.",a,THE WITNESS,start_question
51,336,13,20,Have you testified as an expert witness of orthopedic medicine and pain management in the Philadelphia Court of Common Pleas?,q,MS. MCCARTHY,start_answer
52,340,13,24,"Yes, I have.",a,THE WITNESS,start_question
53,342,14,1,"Do you take away time from your usual practice to evaluate patients and review their records for people like Fr. Mularczyk, who's involved in litigation?",q,MS. MCCARTHY,start_answer
54,346,14,5,"I do, yes.",a,THE WITNESS,start_question
55,347,14,6,That's what you did in this case?,q,MS. MCCARTHY,start_answer
56,348,14,7,"I did, yes.",a,THE WITNESS,start_chat
57,349,14,8,"At this time, I offer Dr. Yarus as a medical expert in orthopedic medicine and pain management.",side_chat,MS. MCCARTHY,symbols
58,352,14,11,- - - VOIR DIRE,symbols,,symbols
59,354,14,13,- - -,symbols,,start_question
60,356,14,15,"Dr. Yarus, my name is Matthew Rong, and I represent the City of Philadelphia in this matter.  I have a couple questions to follow up regarding your qualifications. Doctor, you're not board certified by the American Board of Orthopedic Surgery; is that correct?",q,MR. RONG,start_answer
61,363,14,22,"If you're referring to the MD version, that's correct.",a,THE WITNESS,start_question
62,365,14,24,"As you stated, you have not performed orthopedic surgery since 2013; is that correct?",q,MR. RONG,start_answer
63,369,15,3,"That's correct, yes.",a,THE WITNESS,start_question
64,370,15,4,You presently cannot perform orthopedic surgeries because you do not have any privileges at any medical institutions; is that correct?,q,MR. RONG,start_answer
65,374,15,8,"Right.  I would have to reapply and go through that whole process again, so yes, that's true.",a,THE WITNESS,start_question
66,377,15,11,"Just so the jury understands, you cannot perform surgeries to either the shoulders or back currently; is that correct?",q,MR. RONG,start_answer
67,380,15,14,Right.  I couldn't go into an operating room in a hospital setting because I don't have any privileges.  I gave those up.,a,THE WITNESS,start_question
68,384,15,18,"Doctor, if any of your own patients needed a shoulder or back surgery, you would have to send them to another orthopedic surgeon?",q,MR. RONG,start_answer
69,388,15,22,"I would refer them, if it would be necessary for them to have the surgery, yes.",a,THE WITNESS,start_question
70,390,15,24,"Doctor, you have not published any peer-reviewed medical literature; is that correct?",q,MR. RONG,start_answer
71,394,16,3,"Not as a treating physician, that's correct.",a,THE WITNESS,start_question
72,396,16,5,"You haven't taught any medical students or residents formally since 1994, correct?",q,MR. RONG,start_answer
73,399,16,8,"That's fair, yes.",a,THE WITNESS,start_question
74,400,16,9,You are not a neurologist?,q,MR. RONG,start_answer
75,401,16,10,Correct.,a,THE WITNESS,start_question
76,402,16,11,You're not a neuroradiologist?,q,MR. RONG,start_answer
77,403,16,12,That is also correct.,a,THE WITNESS,start_question
78,404,16,13,"Doctor, you have not had any training in human factors; is that correct?",q,MR. RONG,start_answer
79,406,16,15,"I missed the last part, I'm sorry.",a,THE WITNESS,start_question
80,407,16,16,"The specific area of training, have you had any training in human factors?",q,MR. RONG,start_answer
81,409,16,18,I'm not sure what human factors are.,a,THE WITNESS,start_question
82,410,16,19,"Human factors tends to be related to accident reconstruction, having to do with the body mechanisms.",q,MR. RONG,start_answer
83,413,16,22,"I have a forensic certificate, but I'm not a reconstructionist or someone who would be involved in that process.  I have experience as a chief deputy coroner for 12 years, and I used my forensic training in that area but certainly not in accident-related reconstruction.  That's true.",a,THE WITNESS,start_chat
84,422,17,6,"Thank you, Doctor.",side_chat,MR. RONG,start_chat
85,423,17,7,"You're welcome thanks.  I never heard it termed that way, so sorry I didn't know what you were talking about.",side_chat,THE WITNESS,symbols
86,427,17,11,- - - FURTHER VOIR DIRE,symbols,,symbols
87,429,17,13,- - -,symbols,,start_question
88,431,17,15,"Dr. Yarus, I'd like to just pick up on what you were talking about very briefly going back to your qualifications. You said you were a coroner?",q,MS. MCCARTHY,start_answer
89,435,17,19,I was the chief deputy coroner in Lebanon County for 12 years.,a,THE WITNESS,start_question
90,437,17,21,Can you tell us a little bit about that.,q,MS. MCCARTHY,start_answer
