,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,234,7,17,"Corey Dayton, Plaintiff. COREY M. DAYTON, having been first duly sworn, testified as follows",side_chat,THE WITNESS,start_question
2,239,7,22,"Good morning, Mr. Dayton.  Obviously, we've introduced ourselves, but, for the record, I'm Caroline Zalka.  As you heard, I represent the defendants.",q,MS. ZALKA,start_answer
3,242,7,25,Yes.,a,THE WITNESS,start_question
4,244,8,1,Have you been deposed -- deposed before?,q,MS. ZALKA,start_answer
5,245,8,2,No.,a,THE WITNESS,start_question
6,246,8,3,No?,q,MS. ZALKA,start_answer
7,247,8,4,Have I been what?,a,THE WITNESS,start_question
8,248,8,5,Have you been deposed before?,q,MS. ZALKA,start_answer
9,249,8,6,No.,a,THE WITNESS,start_question
10,250,8,7,"Okay.  So I'll just go over a couple of the ground rules. So first is, if you don't hear a question, just tell me and I'll repeat it.  If you're not clear about what a question means, tell me and I'll repeat it. We can take breaks when you want; I just ask that you answer any question that's concurrently pending before we take a break.  And I'll happy -- I'll be happy to find a convenient spot --",q,MS. ZALKA,start_answer
11,259,8,16,Okay.,a,THE WITNESS,start_question
12,260,8,17,"-- if you want a break, just let me know. Just a reminder to not use gestures; they're hard for the court reporter to capture.  So just make sure you're answering all my questions verbally.",q,MS. ZALKA,start_answer
13,264,8,21,Okay.,a,THE WITNESS,start_question
14,265,8,22,"If you -- I'm not asking you for any privileged information.  So any information that's protected by attorney/client privilege or work product, so if you think that a question calls for that -- I'm sure your counsel will interject, but you can always confer with your counsel in that regard.",q,MS. ZALKA,start_answer
15,272,9,3,Okay.,a,THE WITNESS,start_question
16,273,9,4,"Okay.  If you don't ask for clarification, I'll assume that you understood the question.  Okay?",q,MS. ZALKA,start_answer
17,275,9,6,Okay.,a,THE WITNESS,start_question
18,276,9,7,"And you understand that you're testifying under oath, correct?",q,MS. ZALKA,start_answer
19,278,9,9,Yes.,a,THE WITNESS,start_question
20,279,9,10,"Final thing, which I will work on as well, we just both need to make sure like I finish my question completely and you finish your answer completely, and try not to talk over one another, because it makes it really hard for the court reporter to get what we're saying if we start talking over one another.",q,MS. ZALKA,start_answer
21,285,9,16,Okay.,a,THE WITNESS,start_question
22,286,9,17,"Okay.  So let's just talk a little bit first about, can you describe your professional background.",q,MS. ZALKA,start_answer
23,288,9,19,"Yes.  I'm a principal compliance engineer.  I work for Fujitsu.  It's a Japanese company.  Been there for 22 years.  I handle all the regulatory compliance work for market strategy, market -- or of deployment into different regions of the world for our particular project. And I'm an expert in regulatory compliance testing, which I've been doing for 37 years.",a,THE WITNESS,start_question
24,296,10,1,And what is your title at Fujitsu?,q,MS. ZALKA,start_answer
25,297,10,2,Principal compliance engineer.,a,THE WITNESS,start_question
26,298,10,3,And what -- what actually does that mean?  Like what is principal compliance engineer?,q,MS. ZALKA,start_answer
27,300,10,5,"Okay.  So let's say you design this -- we design this computer, so various countries have regulatory -- they have regulations, that you have to meet certain criteria, such as electromagnetic interference, product safety.  For their tier one customers here in the U.S., for central offices, such as Verizon, AT&T, CenturyLink, they require approval to the NEBS standard -- and NEB -- N-E-B-S standard -- and that particular standard, it costs about $100,000 to run all of the tests for that.  And it's everything from ESE to electrical magnetic compatibility, product safety, bonding, grounding, earthquake testing, fire testing, operational temperature and humidity testing, transportation vibration testing.  Like if you put the box in -- you know, you're shipping a box, you want to get it there without it being damaged.  Storage temperature testing.  It goes on and on. Hygroscopic dust, airborne contaminants.  So that's the testing that we do.",a,THE WITNESS,start_question
28,318,10,23,Okay.,q,MS. ZALKA,start_answer
29,319,10,24,And -- and our customers require this approval before they purchase our product.,a,THE WITNESS,start_question
30,322,11,1,Got it.,q,MS. ZALKA,start_answer
31,323,11,2,"And I also handle for not only the U.S., but for the worldwide compliance.",a,THE WITNESS,start_question
32,325,11,4,Okay.  How many people do you have reporting to you?,q,MS. ZALKA,start_answer
33,327,11,6,"So I am no longer a manager.  I used to be a senior manager for 17 years at Fujitsu.  And three years ago -- that was in Pearl River, New York.  And Fujitsu came in and closed down the R&D facility, laid over 100 people off, gave five people the opportunity to relocate to Richardson area.  I was one of the five people.  I didn't want to be 58 years old looking for another job, so I decided to relocate and I bought a house here, and I settled in. So I was the senior manager then, but the fact that they laid off my entire team, I had nobody to manage anymore, so I became an individual contributor.",a,THE WITNESS,start_question
34,339,11,18,"Got it.  And prior to your time with ju- -- jujitsu -- Fujitsu, where did you work?",q,MS. ZALKA,start_answer
35,341,11,20,"I worked at a company called EIS, and I did the same thing, regulatory compliance.  There I was a senior compliance engineer.  Then prior to that, I worked at another company, Micrognosis, M-I-C-R-O-G-N-O-S-I-S, and I was a senior compliance engineer there. I've pretty much been a compliance engineer from the beginning.",a,THE WITNESS,start_question
36,349,12,2,Okay.  Have you ever worked in any way in the financial services industry?,q,MS. ZALKA,start_answer
37,351,12,4,"Only for Micrognosis, but it wasn't financial services.  They developed and built computerized trading systems.  So we would -- you know, we had many of the big accounts, the JPMorgans, and Prudential base, many accounts in Europe, Bank of Tokyo, Sumitomo. So -- and that was just a trading system to -- you know, the price of stocks, bonds, money markets, futures.  But I was in the engineering end of it, not the -- the procurement or managing stocks, bonds, money markets.",a,THE WITNESS,start_question
38,361,12,14,"So outside of kind of the engineer -- being responsible for some of the aspects of the engineering that related to a system that was being used by financial services companies, in your professional career, you haven't had any direct experience in financial services?",q,MS. ZALKA,start_answer
39,366,12,19,No.  Not -- just installing the equipment.,a,THE WITNESS,start_question
40,367,12,20,Got it.,q,MS. ZALKA,start_answer
41,368,12,21,But I had no direct access to their financial servers that provided the information.,a,THE WITNESS,start_question
42,370,12,23,Have you ever been an officer of a public company?,q,MS. ZALKA,start_answer
43,372,12,25,"No, I have not.",a,THE WITNESS,start_question
44,374,13,1,Or a director of a public company?,q,MS. ZALKA,start_answer
45,375,13,2,"No, I have not.",a,THE WITNESS,start_question
46,376,13,3,Okay.  Are you a member of any professional organizations?,q,MS. ZALKA,start_answer
47,378,13,5,I'm a member of the IEEE.,a,THE WITNESS,start_question
48,379,13,6,"For those of us that aren't in the engineering space, what does that stand for?",q,MS. ZALKA,start_answer
49,381,13,8,"It's Electrical Engineering Association -- yeah. It's I-E-E-E.  So -- and I'm in the electromagnetic compatibility section.  They have different sections under the IEEE, and I'm under the electromagnetic compatibility, which has to do with area of my line of work.",a,THE WITNESS,start_question
50,386,13,13,Okay.  Any other professional organizations?,q,MS. ZALKA,start_answer
51,387,13,14,"Well, I mean, I'm on various committees.  One is ATIS, A-T-I-S, and that is where we develop industry standards for telecommunications and communications equipment, as well as a tel- -- I'm on telcordia committees, which develop standards for the NEBS. N-E-B-S, that's the testing I explained to you earlier.",a,THE WITNESS,start_question
52,393,13,20,Uh-huh.,q,MS. ZALKA,start_answer
53,394,13,21,"And so I've been a member of those committees for several -- many, many years.",a,THE WITNESS,start_question
54,396,13,23,"And what about your educational background, can you just tell me where you got your degrees from, which degrees and when?",q,MS. ZALKA,start_answer
55,400,14,1,"Right.  Well, I went to a community college, Orange County Community College.  I got an associate's degree.  And I started going to the New York Institute of Technology.  But instead, I -- the company I had started working for earlier in the summer wanted me back so badly that I went directly to work for them, and I had -- I wanted to go to school at night to finish up, but it didn't transpire out that way, because I ended up traveling so much in this particular -- particular line of work.  There is a lot of traveling involved; typically, 40 to 50 percent of the time is traveling. And for that company, it was back in the days with the analogue telephone lines, and any -- anytime we sold a product into a particular country, I would have to go to that country and do the testing to get approval to hook into the telephone network. And so I have been -- and I've been doing that ever since.  But now -- there's no analogue telephone lines now; everything is digital.  So they have memorandums of understanding between various countries that now we don't have to travel to that country to get approval to hook into the telephone line.  We can just go to an accredited laboratory, either local or, you know, somewhere in the U.S., and have the testing done.",a,THE WITNESS,start_question
56,424,14,25,"I know this can be hard sometimes, but I think just if you -- my question was just kind of when -- when did you get which degrees.",q,MS. ZALKA,start_answer
57,428,15,3,Okay.  Associate's.  Okay.,a,THE WITNESS,start_question
58,429,15,4,Okay.  So I think you said you got an associate's degree from Orange County Community College?,q,MS. ZALKA,start_answer
59,431,15,6,Yes.  And that's it.,a,THE WITNESS,start_question
60,432,15,7,That's it?,q,MS. ZALKA,start_answer
61,433,15,8,Yeah.,a,THE WITNESS,start_question
62,434,15,9,Have you ever taken any courses relating to investing or financial advice?,q,MS. ZALKA,start_answer
63,436,15,11,"No, I haven't.",a,THE WITNESS,start_question
64,437,15,12,Okay.  And I take it no kind of undergraduate --,q,MS. ZALKA,start_answer
65,438,15,13,No.,a,THE WITNESS,start_question
66,439,15,14,Let me just finish my question.,q,MS. ZALKA,start_answer
67,440,15,15,Okay.,a,THE WITNESS,start_question
68,441,15,16,"I knew -- I know you know where I'm going. So no undergraduate courses or anything like that, in terms of financial services or investing advice?",q,MS. ZALKA,start_answer
69,445,15,20,"No, I have had no -- no courses in that area.",a,THE WITNESS,start_question
70,446,15,21,"Okay.  So in terms of depositions, you mentioned that you hadn't been deposed before, correct?",q,MS. ZALKA,start_answer
71,448,15,23,Deposed means?,a,THE WITNESS,start_question
72,449,15,24,"This, basically, where you sit in a room --",q,MS. ZALKA,start_answer
73,450,15,25,"Never, never ever.",a,THE WITNESS,start_question
74,452,16,1,Okay.  You've led a charmed life then. What about any other kind of testimony? Have you ever testified in court or in an arbitration?,q,MS. ZALKA,start_answer
75,455,16,4,"No, no testimonies.",a,THE WITNESS,start_question
76,456,16,5,Okay.,q,MS. ZALKA,start_answer
77,457,16,6,"You know, just juries and grand juries.",a,THE WITNESS,start_question
78,458,16,7,"In terms of any prior experience as like a party to a lawsuit, like either as a plaintiff or a defendant --",q,MS. ZALKA,start_answer
79,460,16,9,Never.,a,THE WITNESS,start_question
80,461,16,10,Never.  This is your first time?,q,MS. ZALKA,start_answer
81,462,16,11,Yes.,a,THE WITNESS,start_question
82,463,16,12,Okay.  Have you ever participated in any way before in a securities class action?,q,MS. ZALKA,start_answer
83,465,16,14,No.,a,THE WITNESS,start_question
84,466,16,15,Is this your first time seeking to represent a class?,q,MS. ZALKA,start_answer
85,468,16,17,Yes.,a,THE WITNESS,start_question
86,469,16,18,Are you receiving any compensation for seeking to represent a class?,q,MS. ZALKA,start_answer
87,471,16,20,No.,a,THE WITNESS,start_question
88,472,16,21,Are you receiving any -- anything in exchange for seeking to represent a class?,q,MS. ZALKA,start_answer
89,474,16,23,No.,a,THE WITNESS,start_question
90,475,16,24,Are you currently involved in any other judicial proceedings?,q,MS. ZALKA,start_answer
91,478,17,1,No.,a,THE WITNESS,start_question
92,479,17,2,What about regulatory proceedings?,q,MS. ZALKA,start_answer
93,480,17,3,No.,a,THE WITNESS,start_question
94,481,17,4,And so historically have you ever been involved in any regulatory proceedings?,q,MS. ZALKA,start_answer
95,483,17,6,No.,a,THE WITNESS,start_question
