,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, as follows...,,,symbols
1,129,5,13,- - - EXAMINATION,symbols,,symbols
2,131,5,15,- - -,symbols,,start_question
3,133,5,17,Good afternoon.,q,MS. KOSCIELNIAK,start_answer
4,134,5,18,Good afternoon.,a,THE WITNESS,start_question
5,135,5,19,My name is Daria Koscielniak and I represent Ms. Lin in connection with the lawsuit you filed against her.  I'm here today to take your deposition. Have you ever given a deposition before?,q,MS. KOSCIELNIAK,start_answer
6,142,6,1,Yes.,a,THE WITNESS,start_question
7,143,6,2,How many times?,q,MS. KOSCIELNIAK,start_answer
8,144,6,3,Once.,a,THE WITNESS,start_question
9,145,6,4,When was the last time you gave a deposition?,q,MS. KOSCIELNIAK,start_answer
10,147,6,6,I believe it was last year for my work.,a,THE WITNESS,start_question
11,149,6,8,2018?,q,MS. KOSCIELNIAK,start_answer
12,150,6,9,Yes.,a,THE WITNESS,start_question
13,151,6,10,"Since it's been some time, I'm going to go over some ground rules before we get started, okay?",q,MS. KOSCIELNIAK,start_answer
14,154,6,13,Okay.,a,THE WITNESS,start_question
15,155,6,14,"Seated to your left and my right is the court reporter.  She's taking down everything that you and I say.  For that reason, it's important that your answers are verbal.  She can't take down nods of the head, hand gestures.  Things like uh-uh or uh-huh will not be clear on the record that's created after today. Do you understand that?",q,MS. KOSCIELNIAK,start_answer
16,164,6,23,Yes.,a,THE WITNESS,start_question
17,165,6,24,"If I ask you, is that a yes or no, it's so that the record is clear, okay?",q,MS. KOSCIELNIAK,start_answer
18,168,7,2,Yes.,a,THE WITNESS,start_question
19,169,7,3,"If you don't understand any of my questions, please let me know.  I'm happy to rephrase or repeat them.  If you provide me with an answer to question, I'm going to assume that you understood it; is that fair?",q,MS. KOSCIELNIAK,start_answer
20,174,7,8,Yes.,a,THE WITNESS,start_question
21,175,7,9,"Are you under the influence of any kind of drugs, alcohol, medication, anything at all that would affect your ability to understand my questions here today and answer them truthfully?",q,MS. KOSCIELNIAK,start_answer
22,180,7,14,No.,a,THE WITNESS,start_question
23,181,7,15,"You understand that, even though we are not in a court of law today, your testimony holds the same weight as if we were?",q,MS. KOSCIELNIAK,start_answer
24,185,7,19,Yes.,a,THE WITNESS,start_question
25,186,7,20,Did you review any documents in preparation for today?,q,MS. KOSCIELNIAK,start_answer
26,188,7,22,Yes.,a,THE WITNESS,start_question
27,189,7,23,What did you review?,q,MS. KOSCIELNIAK,start_answer
28,190,7,24,"Just paperwork, my police report.",a,THE WITNESS,start_question
29,192,8,1,Anything other than the police report?,q,MS. KOSCIELNIAK,start_answer
30,193,8,2,No.,a,THE WITNESS,start_chat
31,194,8,3,Off the record.,side_chat,MS. KOSCIELNIAK,symbols
32,195,8,4,- - -,symbols,,is brackets
33,196,8,5,"(Whereupon, a discussion was held off the record.)",brackets,,symbols
34,198,8,7,- - -,symbols,,start_question
35,200,8,9,"While we were off the record, you provided me with your Social Security number; is that correct?",q,MS. KOSCIELNIAK,start_answer
36,203,8,12,Yes.,a,THE WITNESS,start_question
37,204,8,13,What's your date of birth?,q,MS. KOSCIELNIAK,start_answer
38,205,8,14,"November 15, 1985.",a,THE WITNESS,start_question
39,206,8,15,That makes you how old today?,q,MS. KOSCIELNIAK,start_answer
40,207,8,16,33.,a,THE WITNESS,start_question
41,208,8,17,Where were you born?,q,MS. KOSCIELNIAK,start_answer
42,209,8,18,"West Africa, Niger.",a,THE WITNESS,start_question
43,210,8,19,When did you come to the US?,q,MS. KOSCIELNIAK,start_answer
44,211,8,20,"June 2002.  June 26, 2002.",a,THE WITNESS,start_question
45,212,8,21,Where have you lived since you've come to the states?,q,MS. KOSCIELNIAK,start_answer
46,214,8,23,Philadelphia.,a,THE WITNESS,start_question
47,215,8,24,The whole time?,q,MS. KOSCIELNIAK,start_answer
48,217,9,1,I lived one year in North Carolina in 2010.,a,THE WITNESS,start_question
49,219,9,3,Do you have a Pennsylvania driver's license?,q,MS. KOSCIELNIAK,start_answer
50,221,9,5,Yes.,a,THE WITNESS,start_question
51,222,9,6,Do you have a license in any other state?,q,MS. KOSCIELNIAK,start_answer
52,224,9,8,No.,a,THE WITNESS,start_question
53,225,9,9,Do you have your license here with you?,q,MS. KOSCIELNIAK,start_answer
54,227,9,11,Yes.,a,THE WITNESS,start_question
55,228,9,12,Can you please hand it to your attorney so he can show it to me.,q,MS. KOSCIELNIAK,start_answer
56,230,9,14,(Witness complies with request.),a,THE WITNESS,start_question
57,231,9,15,Can you state full name for the record.,q,MS. KOSCIELNIAK,start_answer
58,233,9,17,Aminata Koita-Djinde.,a,THE WITNESS,start_question
59,234,9,18,Can you spell that?,q,MS. KOSCIELNIAK,start_answer
60,235,9,19,"A-M-I-N-A-T-A, K-O-I-T-A, D-J-I-N-D-E.",a,THE WITNESS,start_question
61,236,9,20,Have you ever gone by any other names?,q,MS. KOSCIELNIAK,start_answer
62,237,9,21,Yes.,a,THE WITNESS,start_question
63,238,9,22,What names have you gone by?,q,MS. KOSCIELNIAK,start_answer
64,239,9,23,Aminata Welcome.,a,THE WITNESS,start_question
65,240,9,24,When did you go by that name?,q,MS. KOSCIELNIAK,start_answer
66,242,10,1,Can you repeat that again.,a,THE WITNESS,start_question
67,243,10,2,When did you use that name Aminata Welcome?,q,MS. KOSCIELNIAK,start_answer
68,245,10,4,From 2006 to 2017 or 2018.,a,THE WITNESS,start_question
69,246,10,5,Was that a married name?,q,MS. KOSCIELNIAK,start_answer
70,247,10,6,Married name.,a,THE WITNESS,start_question
71,248,10,7,What's your current marital status?,q,MS. KOSCIELNIAK,start_answer
72,249,10,8,Married.,a,THE WITNESS,start_question
73,250,10,9,What name do you currently use?,q,MS. KOSCIELNIAK,start_answer
74,251,10,10,Ibrahim.,a,THE WITNESS,start_question
75,252,10,11,Is that a first name or last name?,q,MS. KOSCIELNIAK,start_answer
76,253,10,12,Last name.,a,THE WITNESS,start_question
77,254,10,13,Can you please state the full name that you currently go by?,q,MS. KOSCIELNIAK,start_answer
78,256,10,15,Aminata Ibrahim.,a,THE WITNESS,start_question
79,257,10,16,How long have you been using Ibrahim?,q,MS. KOSCIELNIAK,start_answer
80,258,10,17,24 hours.,a,THE WITNESS,start_question
81,259,10,18,Just in the last 24 hours?,q,MS. KOSCIELNIAK,start_answer
82,260,10,19,We just got married yesterday.,a,THE WITNESS,start_question
83,261,10,20,Congratulations.,q,MS. KOSCIELNIAK,start_answer
84,262,10,21,Thank you.,a,THE WITNESS,start_question
85,263,10,22,"The last name that you were using Welcome, that was a married name, as well?",q,MS. KOSCIELNIAK,start_answer
86,265,10,24,Yes.,a,THE WITNESS,start_question
87,267,11,1,How did that marriage end?,q,MS. KOSCIELNIAK,start_answer
88,268,11,2,We just fall out of love with each other.,a,THE WITNESS,start_question
89,270,11,4,Divorce?  Death?,q,MS. KOSCIELNIAK,start_answer
90,271,11,5,Divorce.,a,THE WITNESS,start_question
91,272,11,6,"I'm not going to pronounce this correctly.  The Koita Djinde, is that your maiden name?",q,MS. KOSCIELNIAK,start_answer
92,275,11,9,Yes.,a,THE WITNESS,start_question
93,276,11,10,"The address listed here on your license is 7324 Garman Street in Philadelphia 19153, is that your current address?",q,MS. KOSCIELNIAK,start_answer
94,279,11,13,Yes.,a,THE WITNESS,start_question
95,280,11,14,How long have you lived at that address?,q,MS. KOSCIELNIAK,start_answer
96,282,11,16,Four years.,a,THE WITNESS,start_question
