,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, follows...,,,symbols
1,131,5,15,- - - EXAMINATION,symbols,,symbols
2,133,5,17,- - -,symbols,,start_question
3,135,5,19,"Good morning, ma'am.  My name is Steven Levy, and I represent the plaintiff in a lawsuit that they've brought against you. I'm here to take your deposition regarding a car accident. Have you ever given deposition testimony before?",q,MR. LEVY,start_answer
4,143,6,2,No.,a,THE WITNESS,start_question
5,144,6,3,I'm just going to go through some basic instructions.  The first one is make sure you give all of your responses verbally to the interpreter.,q,MR. LEVY,start_answer
6,148,6,7,Yes.,a,THE WITNESS,start_question
7,149,6,8,Do you speak or understand any English?,q,MR. LEVY,start_answer
8,151,6,10,No.,a,THE WITNESS,start_question
9,152,6,11,"This goes without saying, but make sure you give all of your responses in your native language.",q,MR. LEVY,start_answer
10,155,6,14,Yes.,a,THE WITNESS,start_question
11,156,6,15,"We're going to do our best to all speak one at a time today.  Make sure you let me get my question out, wait for the interpretation to be complete before you answer the question.",q,MR. LEVY,start_answer
12,161,6,20,"That's fine, yes.",a,THE WITNESS,start_question
13,162,6,21,"If you do not understand one of the questions, don't answer it.  Tell us that you didn't understand it.",q,MR. LEVY,start_answer
14,165,6,24,Yes.,a,THE WITNESS,start_question
15,167,7,1,"If you need a break at any point, please let us know.  You're not tied down to that chair.",q,MR. LEVY,start_answer
16,170,7,4,Yes.,a,THE WITNESS,start_question
17,171,7,5,"If there is a pending question, I'm going to ask that you answer that before you take the break, okay?",q,MR. LEVY,start_answer
18,174,7,8,Yes.,a,THE WITNESS,start_question
19,175,7,9,"We're in a somewhat informal setting here in a conference room, but do you understand you're under the same oath as if you were in court?",q,MR. LEVY,start_answer
20,179,7,13,Yes.,a,THE WITNESS,start_question
21,180,7,14,"Can you state your full name, please.",q,MR. LEVY,start_answer
22,181,7,15,Yue Chan Lin.,a,THE WITNESS,start_question
23,182,7,16,"What's your date of birth, ma'am?",q,MR. LEVY,start_answer
24,183,7,17,"March 18, 1976.",a,THE WITNESS,start_question
25,184,7,18,Your present marital status?,q,MR. LEVY,start_answer
26,185,7,19,"I'm sorry, I didn't get what you're saying. Can you repeat that?",a,THE WITNESS,start_question
27,188,7,22,Are you married?,q,MR. LEVY,start_answer
28,189,7,23,Yes.,a,THE WITNESS,start_question
29,190,7,24,How long have you been married?,q,MR. LEVY,start_answer
30,192,8,1,"20 years, approximately.",a,THE WITNESS,start_question
31,193,8,2,What is your husband's name?,q,MR. LEVY,start_answer
32,194,8,3,It's  Ren Guan Zheng.,a,THE WITNESS,start_question
33,195,8,4,"Can you spell it for us, please.",q,MR. LEVY,start_answer
34,196,8,5,"R-E-N first name, G-U-A-N middle, last name is Z-H-E-N-G.",a,THE WITNESS,start_question
35,198,8,7,Do you have any children?,q,MR. LEVY,start_answer
36,199,8,8,Yes.,a,THE WITNESS,start_question
37,200,8,9,How many children?,q,MR. LEVY,start_answer
38,201,8,10,Two.,a,THE WITNESS,start_question
39,202,8,11,What are their ages?,q,MR. LEVY,start_answer
40,203,8,12,"My oldest one was born in 1999, and the younger one was 2005.",a,THE WITNESS,start_question
41,205,8,14,What's your present address?,q,MR. LEVY,start_answer
42,206,8,15,"It's 2022 West Hunting Park Avenue, Philadelphia, Pennsylvania 19140.",a,THE WITNESS,start_question
43,208,8,17,Is that a house or an apartment?,q,MR. LEVY,start_answer
44,209,8,18,House.,a,THE WITNESS,start_question
45,210,8,19,How long have you lived there?,q,MR. LEVY,start_answer
46,211,8,20,"Approximately, between four to five years.",a,THE WITNESS,start_question
47,213,8,22,What's your highest level of education?,q,MR. LEVY,start_answer
48,215,8,24,Elementary school.,a,THE WITNESS,start_question
49,217,9,1,How long have you lived in the United States?,q,MR. LEVY,start_answer
50,219,9,3,"Approximately, 21 years.",a,THE WITNESS,start_question
51,220,9,4,Any education since being in the United States?,q,MR. LEVY,start_answer
52,222,9,6,No.,a,THE WITNESS,start_question
53,223,9,7,"Since moving to the United States, have you lived in the Philadelphia area the whole time?",q,MR. LEVY,start_answer
54,226,9,10,Correct.,a,THE WITNESS,start_question
55,227,9,11,Where did you move from?,q,MR. LEVY,start_answer
56,228,9,12,China.,a,THE WITNESS,start_question
57,229,9,13,Any particular reason you came to the US?,q,MR. LEVY,start_answer
58,231,9,15,Any particular reason US?,a,THE WITNESS,start_question
59,232,9,16,Was there any reason you came here specifically?,q,MR. LEVY,start_answer
60,234,9,18,"Because my siblings were here, so I want to be united with them and I like here.",a,THE WITNESS,start_question
61,236,9,20,Do you work?,q,MR. LEVY,start_answer
62,237,9,21,Yes.,a,THE WITNESS,start_question
63,238,9,22,What do you do?,q,MR. LEVY,start_answer
64,239,9,23,In a restaurant.,a,THE WITNESS,start_question
65,240,9,24,What restaurant?,q,MR. LEVY,start_answer
66,242,10,1,Are you asking me for the name of the restaurant?,a,THE WITNESS,start_question
67,244,10,3,Yes.,q,MR. LEVY,start_answer
68,245,10,4,"Okay, it's Golden Fish.",a,THE WITNESS,start_question
69,246,10,5,What is your job title?,q,MR. LEVY,start_answer
70,247,10,6,"I'm working the front, helping out and do some part of the kitchen work, as well.",a,THE WITNESS,start_question
71,249,10,8,How long have you worked there?,q,MR. LEVY,start_answer
72,250,10,9,"Are you talking about that specific store, the restaurant?",a,THE WITNESS,start_question
73,252,10,11,Yes.,q,MR. LEVY,start_answer
74,253,10,12,"Approximately, four years.",a,THE WITNESS,start_question
75,254,10,13,Does your husband work?,q,MR. LEVY,start_answer
76,255,10,14,"Yes, my husband, yes.",a,THE WITNESS,start_question
77,256,10,15,Where does he work?,q,MR. LEVY,start_answer
78,257,10,16,Same restaurant.,a,THE WITNESS,start_question
79,258,10,17,What does he do there?,q,MR. LEVY,start_answer
80,259,10,18,He's a chef in the kitchen.,a,THE WITNESS,start_question
81,260,10,19,Don't be offended by this question.  I ask it to everybody I take a deposition of. Have you been convicted of or pled guilty to any crimes in the last ten years?,q,MR. LEVY,start_answer
82,264,10,23,No.,a,THE WITNESS,start_question
83,265,10,24,I think you showed us a Pennsylvania driver's license earlier?,q,MR. LEVY,start_answer
84,268,11,2,Yes.,a,THE WITNESS,start_question
85,269,11,3,When did you first obtain that?,q,MR. LEVY,start_answer
86,270,11,4,"It's more than ten years, long time ago.",a,THE WITNESS,start_question
87,272,11,6,Has your license been suspended or revoked in the United States?,q,MR. LEVY,start_answer
88,274,11,8,No.,a,THE WITNESS,start_question
89,275,11,9,"Other than this accident we're here to talk about today, which took place on September 15th of 2017, have you been involved in any other car accidents in the last five years?",q,MR. LEVY,start_answer
90,280,11,14,Yes.,a,THE WITNESS,start_question
91,281,11,15,How many other car accidents?,q,MR. LEVY,start_answer
92,282,11,16,Once.,a,THE WITNESS,start_chat
93,283,11,17,"Do you mean one accident including the accident we're here for today, or one accident in addition to the accident we're here for today?",side_chat,MS. KOSCIELNIAK,start_chat
94,287,11,21,Are you asking me prior to 2017 or after 2017?,side_chat,THE WITNESS,start_question
95,290,11,24,Do you remember being involved in the car accident on September 15th of 2017?,q,MR. LEVY,start_answer
96,293,12,2,"Originally, I did not remember this particular accident, not until I received letter from the attorney's office.  Then I refresh my memory.",a,THE WITNESS,start_question
97,297,12,6,"Since that car accident occurred, have you been involved in any other car accidents?",q,MR. LEVY,start_answer
98,299,12,8,"After 2017, right?",a,THE WITNESS,start_question
99,300,12,9,"After September 15, 2017.",q,MR. LEVY,start_answer
100,301,12,10,"Yes, once.",a,THE WITNESS,start_question
