,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, follows...,,,symbols
1,135,5,12,- - - EXAMINATION,symbols,,symbols
2,137,5,14,- - -,symbols,,start_question
3,139,5,16,"Good morning, Ms. Rice.  My name is Devon Sereda.  I am one of the attorneys representing the defendants in this matter. Have you ever had your deposition taken before?",q,MS. SEREDA,start_answer
4,144,5,21,No.,a,THE WITNESS,start_question
5,145,5,22,"I'm going to give you a few instructions to make today go smoothly, okay? We have a court reporter sitting between us. She is taking down everything that you and I say.  For that reason, it's important that all your responses be verbal. It's easy in everyday conversation to nod, shrug your shoulders, say uh-uh or uh-huh, but that won't make a clear record. If you do that I'm going to give you a quick reminder that we need a verbal response, okay?",q,MS. SEREDA,start_answer
6,158,6,10,Okay.,a,THE WITNESS,start_question
7,159,6,11,"It's easy in everyday conversation to anticipate where my question is going and start to answer before my question is done, but that makes her job harder.  Try to let me finish my question before you start your answer.  If for any reason I cut off your answer and started my next question, let me know, so I can make sure we get your full answer on the record.",q,MS. SEREDA,start_answer
8,168,6,20,Okay.,a,THE WITNESS,start_question
9,169,6,21,"I'm sure your attorney has advised you of this, but we want to make sure you don't guess at any answers today.  If I ask you a question and you don't know the answer or you don't remember the answer, those are perfectly acceptable responses, as long as that's the truth, okay?",q,MS. SEREDA,start_answer
10,177,7,4,Okay.,a,THE WITNESS,start_question
11,178,7,5,"There may be questions that I ask you to estimate time or distance.  Once again, I don't want you to guess, but if you feel like you're able to make an estimate, go ahead and do so.  Just let me know you're making an estimate, okay? I'm pretty quick at taking depositions, but if at any time you need to take a break, use the restroom, speak with your attorney, whatever it may be, I'm happy to give you that time.  I just ask, if there is a question pending, that you answer that question before we take our break, okay?",q,MS. SEREDA,start_answer
12,191,7,18,Okay.,a,THE WITNESS,start_question
13,192,7,19,"If I ask a question and you don't understand it, be sure to let me know, because if you answer the question, I'm going to assume you understood it.  If any part of my question seems unclear, just let me know. I'll be happy to rephrase it so it is clear, okay?",q,MS. SEREDA,start_answer
14,200,8,2,Okay.,a,THE WITNESS,start_question
15,201,8,3,Do you have any questions about those instructions?,q,MS. SEREDA,start_answer
16,203,8,5,No.,a,THE WITNESS,start_question
17,204,8,6,"Are you under the influence of anything; drugs, alcohol, medication, lack of sleep, anything that would prevent you from being able to understand and answer my questions truthfully and accurately here today?",q,MS. SEREDA,start_answer
18,210,8,12,No.,a,THE WITNESS,start_question
19,211,8,13,Are you ready to begin?,q,MS. SEREDA,start_answer
20,212,8,14,I'm ready.,a,THE WITNESS,start_question
21,213,8,15,Can you give us your full name?,q,MS. SEREDA,start_answer
22,214,8,16,"Jaquaya Rice, J-A-Q-U-A-Y-A, R-I-C-E.",a,THE WITNESS,start_question
23,215,8,17,What's your date of birth?,q,MS. SEREDA,start_answer
24,216,8,18,1/28/1987.,a,THE WITNESS,start_question
25,217,8,19,What is your current address?,q,MS. SEREDA,start_answer
26,218,8,20,"4529 Aldine Street, A-L-D-I-N-E, Philadelphia, Pennsylvania 19136.",a,THE WITNESS,start_question
27,220,8,22,How long have you lived at that address?,q,MS. SEREDA,start_answer
28,222,8,24,"About a year and seven months, eight months approximately.",a,THE WITNESS,start_question
29,225,9,2,Is that where you were living at the time of this accident?,q,MS. SEREDA,start_answer
30,227,9,4,No.,a,THE WITNESS,start_question
31,228,9,5,Where were you living at the time of this accident?,q,MS. SEREDA,start_answer
32,230,9,7,"I was living with my mother at 4337 Malta Street, M-A-L-T-A, Philadelphia, Pennsylvania 19124.",a,THE WITNESS,start_question
33,233,9,10,How long did you live with your mom?,q,MS. SEREDA,start_answer
34,234,9,11,About 15 years.,a,THE WITNESS,start_question
35,235,9,12,Did anyone else live with you on the date of the accident?,q,MS. SEREDA,start_answer
36,237,9,14,"My mom, sister, nephew, two daughters.",a,THE WITNESS,start_question
37,238,9,15,How old is your sister?,q,MS. SEREDA,start_answer
38,239,9,16,28.,a,THE WITNESS,start_question
39,240,9,17,How old is your nephew?,q,MS. SEREDA,start_answer
40,241,9,18,My nephew is 6.,a,THE WITNESS,start_question
41,242,9,19,How old are your daughters?,q,MS. SEREDA,start_answer
42,243,9,20,"At the time of the accident, she was 13.  My daughter now is 10; my youngest daughter is 10.",a,THE WITNESS,start_question
43,246,9,23,Do you have any other children other than your two daughters?,q,MS. SEREDA,start_answer
44,249,10,1,No.,a,THE WITNESS,start_question
45,250,10,2,What is your current marital status?,q,MS. SEREDA,start_answer
46,251,10,3,"Married, in the process of a divorce.",a,THE WITNESS,start_question
47,252,10,4,Are you legally separated?,q,MS. SEREDA,start_answer
48,253,10,5,No.,a,THE WITNESS,start_question
49,254,10,6,What's your husband's name?,q,MS. SEREDA,start_answer
50,255,10,7,"Alwayne Luke Whyte, W-H-Y-T-E.",a,THE WITNESS,start_question
51,256,10,8,How long have you been married?,q,MS. SEREDA,start_answer
52,257,10,9,"Three-and-a-half years -- no, four years.",a,THE WITNESS,start_question
53,259,10,11,What is your highest level of education completed?,q,MS. SEREDA,start_answer
54,261,10,13,I completed high school and three-and-a-half years of college.,a,THE WITNESS,start_question
55,263,10,15,When did you do those three-and-a-half years of college?,q,MS. SEREDA,start_answer
56,265,10,17,Strayer University 2008 to approximately 2011 or '12.,a,THE WITNESS,start_question
57,267,10,19,What were you studying there?,q,MS. SEREDA,start_answer
58,268,10,20,"Business administration, but I minored in legal.  It was like legal studies/human resources.",a,THE WITNESS,start_question
59,271,10,23,We're going to go off the record for this.,q,MS. SEREDA,symbols
60,274,11,1,- - -,symbols,,is brackets
61,275,11,2,"(Whereupon, a discussion was held off the record.)",brackets,,symbols
62,277,11,4,- - -,symbols,,start_question
63,279,11,6,You've just given me your Social off the record; last four digits 0774; is that correct?,q,MS. SEREDA,start_answer
64,282,11,9,Correct.,a,THE WITNESS,start_question
65,283,11,10,Are you currently employed?,q,MS. SEREDA,start_answer
66,284,11,11,Yes.,a,THE WITNESS,start_question
67,285,11,12,Where do you work?,q,MS. SEREDA,start_answer
68,286,11,13,Social Security Administration.,a,THE WITNESS,start_question
69,287,11,14,How long have you worked for the Social Security Administration?,q,MS. SEREDA,start_answer
70,289,11,16,Two-and-a-half years.,a,THE WITNESS,start_question
71,290,11,17,What do you do for them?,q,MS. SEREDA,start_answer
72,291,11,18,I'm a senior case technician.,a,THE WITNESS,start_question
73,292,11,19,What are your duties as a senior case technician?,q,MS. SEREDA,start_answer
74,294,11,21,"I oversee disability cases, meaning I review Social Security cases for people that want to be on title to a Title 16 Disability. I get the cases ready for the judge or the arbitrator or the underwriter for them to determine whether the person or persons are deemed acceptable to be on Social Security benefits.",a,THE WITNESS,start_question
75,303,12,5,Were you working there at the time of the accident?,q,MS. SEREDA,start_answer
76,305,12,7,I was actually working in a different unit in debt management in the DMS unit.,a,THE WITNESS,start_question
77,307,12,9,"Still for the SSA, but in a different unit?",q,MS. SEREDA,start_answer
78,309,12,11,Correct.,a,THE WITNESS,start_question
79,310,12,12,What did you do at the time of the accident?  What was your job then?,q,MS. SEREDA,start_answer
80,312,12,14,The description?,a,THE WITNESS,start_question
81,313,12,15,Yeah.,q,MS. SEREDA,start_answer
