,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," a witness herein, having been first duly sworn, was examined and testified as follows: DIRECT EXAMINATION",,,start_question
1,126,5,3,"Good morning, Doctor.  Would you please introduce yourself to the jury.",q,MR. FLAHERTY,start_answer
2,128,5,5,"Good morning, Ladies and Gentlemen, Your Honor. My name is Lance Owen Yarus, D.O.",a,THE WITNESS,start_question
3,130,5,7,"And we are here today to take your testimony on behalf of a client of mine, Lillian Pfaff, that you evaluated back in 2018 with regard to an accident she had in May of 2016. I'm going to be asking you a couple of questions today about some opinions from that evaluation.  Before we do that, I do have to talk about your credentials and your education, not only to qualify you as an expert, but also for the benefit of the jury.  Can you tell me what type of physician you are?",q,MR. FLAHERTY,start_answer
4,140,5,17,The D.O. after my name stands for doctor of osteopathy.  I specialize in the areas of orthopedics and pain management.,a,THE WITNESS,start_question
5,143,5,20,Okay.  And are you licensed to practice in the Commonwealth of Pennsylvania?,q,MR. FLAHERTY,start_answer
6,145,5,22,"Yes, I am.",a,THE WITNESS,start_question
7,146,5,23,"Doctor, are you a surgeon?",q,MR. FLAHERTY,start_answer
8,147,5,24,Yes.,a,THE WITNESS,start_question
9,148,5,25,Can you tell me what orthopedics means?,q,MR. FLAHERTY,start_answer
10,150,6,1,"Orthopedics is a subspecialty in medicine that deals with the spinal column that includes the neck, mid back, and low back, and all of the structures that are associated with it, including the disks and nerves that supply motor and sensory function to the extremities, also deals with the joint areas, the muscles, tendons, and ligaments and internal structures in the joints, and then nerves and vessels that travel in the extremities. We also deal with people who have traumatic injuries to those areas, individuals who have arthritic conditions, and certainly we treat conservatively and have the training to do surgery in those areas if the need arises.",a,THE WITNESS,start_question
11,163,6,14,And can you tell the jury please about the process of becoming an orthopedic surgeon?,q,MR. FLAHERTY,start_answer
12,165,6,16,"The process after graduating medical school and doing a one-year internship entails a four-year program wherein you are just doing orthopedics and taking care of patients who come through the emergency facility.  You get the opportunity to be in clinic setting, sometimes in private physicians' offices.  So you are getting a well-rounded education in that regard and then actually going to the operating room and participating in surgeries and doing the surgeries under the direction of the individuals who have privileges in the hospital setting and also outpatient settings as well.",a,THE WITNESS,start_question
13,177,7,2,Can you tell the jury how long you've been a physician?,q,MR. FLAHERTY,start_answer
14,179,7,4,I've been a physician since 1981.  That's when I graduated medical school.,a,THE WITNESS,start_question
15,181,7,6,And are you board certified?,q,MR. FLAHERTY,start_answer
16,182,7,7,"Yes, I am.",a,THE WITNESS,start_question
17,183,7,8,In what specialties?,q,MR. FLAHERTY,start_answer
18,184,7,9,I hold certificates in orthopedics and pain management.,a,THE WITNESS,start_question
19,186,7,11,What does board certification mean?,q,MR. FLAHERTY,start_answer
20,187,7,12,"Well, in the surgical subspecialty it means that you've met the requirements of independently incorporated boards.  There is three of them in Pennsylvania.  I'm certified by one of them.  They are recognized as equal. So when you meet the requirements, taking tests and then the last year actually being watched doing surgery by board certified individuals, who also review your charts in the hospital and office setting for the two years before, you receive a certificate.  So that's for me 1989 my first certificate. After that there is recertification, and that just entails taking written tests, and I have done that successfully three times up to 2011, and I hold the certificate that designates Emeritus status.",a,THE WITNESS,start_question
21,202,8,1,Have you previously been qualified to testify as an expert in Allegheny County and other Pennsylvania courts?,q,MR. FLAHERTY,start_answer
22,205,8,4,"Yes, I have.",a,THE WITNESS,start_question
23,206,8,5,Could you take a look at what's been marked as Exhibit 1 in front of you.  Do you recognize that document?,q,MR. FLAHERTY,is brackets
24,209,8,8,(Yarus Exhibit No. 1 was marked for identification.),brackets,,start_answer
25,211,8,10,"I do, yes.",a,THE WITNESS,start_question
26,212,8,11,Can you identify it for me?,q,MR. FLAHERTY,start_answer
27,213,8,12,This is called a curriculum vitae.,a,THE WITNESS,start_question
28,214,8,13,And is that a true and correct copy of your CV?,q,MR. FLAHERTY,start_answer
29,215,8,14,"Yes, it is.",a,THE WITNESS,start_question
30,216,8,15,"Doctor, have you ever been published in the field?",q,MR. FLAHERTY,start_answer
31,218,8,17,"As a resident I had publications, along with my physicians who were trainers, but in practice, no, I have not.",a,THE WITNESS,start_question
32,221,8,20,And have you held any academic positions in your time as a physician?,q,MR. FLAHERTY,start_answer
33,223,8,22,I had two academic positions.  My last one was 1994 as associate professor at Hershey Medical Center.,a,THE WITNESS,start_question
34,225,8,24,And do you train the future generation of doctors these days?,q,MR. FLAHERTY,start_answer
35,228,9,1,"I'm still privileged to have young individuals come to the office in various stages of vocational training or those who want to be physicians.  So, yes, I just recently had somebody with me this last couple of weeks.",a,THE WITNESS,start_question
36,233,9,6,And tell the jury about your current practice.,q,MR. FLAHERTY,start_answer
37,234,9,7,"I would call my current practice a dual practice. Orthopedics and pain management are married very well together, in that you can't have one without the other. People who have injuries particularly have pain. I get to see individuals also who have metabolic diseases, such as muscular dystrophies, cerebral palsy, multiple sclerosis, and those individuals, unfortunately, have pain associated with their disease state.  So you can treat those individuals by doing a number of techniques to try and deaden their pain and also using medications we can help as well.",a,THE WITNESS,start_question
38,245,9,18,And as part of your practice do you treat individuals who have been injured in car accidents and other accidents?,q,MR. FLAHERTY,start_answer
39,248,9,21,Yes.,a,THE WITNESS,start_question
40,249,9,22,Do you regularly treat patients with shoulder and other joint injuries?,q,MR. FLAHERTY,start_answer
41,251,9,24,"Yes, I do.",a,THE WITNESS,start_question
42,252,9,25,"And as part of your practice, do you routinely review and rely on medical records and diagnostic studies from other practitioners?",q,MR. FLAHERTY,start_answer
43,256,10,3,Yes.,a,THE WITNESS,start_question
44,257,10,4,Do you interpret those studies yourself as well?,q,MR. FLAHERTY,start_answer
45,258,10,5,"I have the training to do so.  I'm not a radiologist, I'm not a neuro-diagnostician, but I have to be able to look at those studies and make determinations for patients particularly.  So, yes, I can look at them and certainly understand the morphologic concepts, what the anatomy looks -- so I am doing that all the time.",a,THE WITNESS,start_question
46,264,10,11,"And are you familiar with the cost associated with orthopedic care not only in the state, but also on the side of the state?",q,MR. FLAHERTY,start_answer
47,267,10,14,Yes.,a,THE WITNESS,start_chat
48,268,10,15,"Thank you, Doctor.  At this time I will allow Mr. Lang to ask you some questions about your qualifications.",side_chat,MR. FLAHERTY,start_chat
49,271,10,18,Thank you.,side_chat,THE WITNESS,symbols
50,272,10,19,----- VOIR DIRE EXAMINATION,symbols,,start_question
