,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, current address for the record.,,,start_chat
1,156,5,12,"175 Community Drive, Great Neck, New York. EXAMINATION",side_chat,THE WITNESS,start_question
2,160,5,16,"Good morning, Dr. Moline. How are you?",q,"ADAM MARTIN, ESQ",start_answer
3,162,5,18,I'm okay.,a,THE WITNESS,start_question
4,163,5,19,This is Adam Martin.  I'm going to lead off.  I represent two of the defendants in the action.  I'll probably be asking the majority of the questions this morning.,q,"ADAM MARTIN, ESQ",start_chat
5,167,5,23,"Before we get started, Mike, the usual stipulations?",side_chat,MR. MARTIN,start_chat
6,169,5,25,Yes. Jacqueline Moline,side_chat,MR. JOYCE,start_chat
7,172,6,2,"All objections, except as to form, are waived until the time of trial, and an objection by one defendant is good for all?",side_chat,MR. MARTIN,start_chat
8,176,6,6,Correct.,side_chat,MR. JOYCE,start_chat
9,177,6,7,Would you like to have the doctor read and sign the transcript?,side_chat,MR. MARTIN,start_chat
10,179,6,9,No.,side_chat,MR. JOYCE,start_question
11,180,6,10,"Okay.  Dr. Moline, I know you've been deposed multiple times, so I'm going to skip the typical instructions as you're quite experienced at this.  I'll note, of course, that we are doing this by phone, and Attorney Joyce and the other attorneys are also on the phone, so if we can just do our best to pause after questions and answers to make sure we're both complete, and if Attorney Joyce has any objections he can get those in.  We'll just do the best that we can given our situation; okay?",q,"ADAM MARTIN, ESQ",start_answer
12,191,6,21,Okay.,a,THE WITNESS,start_question
13,192,6,22,And it's my understanding that you are in your office right now; is that correct?,q,"ADAM MARTIN, ESQ",start_answer
14,194,6,24,"Well, I'm in a conference room, so I'm actually in a conference room in my office Jacqueline Moline suite.  I am not in my physical office.",a,THE WITNESS,start_question
15,199,7,3,"Okay.  And the only person there with you there, currently, is the court reporter; correct?",q,"ADAM MARTIN, ESQ",start_answer
16,202,7,6,Correct.,a,THE WITNESS,start_question
17,203,7,7,And my understanding is you've been retained by Attorney Joyce as an expert in the Susan Stewart matter; is that correct?,q,"ADAM MARTIN, ESQ",start_answer
18,206,7,10,Yes.,a,THE WITNESS,start_question
19,207,7,11,Do you remember when you were first contacted by Attorney Joyce or anyone from his office?,q,"ADAM MARTIN, ESQ",start_answer
20,210,7,14,"That's a very open-ended question. Are you speaking related to this case in particular, or ever?",a,THE WITNESS,start_question
21,213,7,17,"Yes, yes, related to the retention in the Susan Stewart case.",q,"ADAM MARTIN, ESQ",start_answer
22,215,7,19,"It was actually fairly recently.  It's been within the past, I would say, three weeks.",a,THE WITNESS,start_question
23,217,7,21,"Do you have the notice of deposition in front of you, Doctor?",q,"ADAM MARTIN, ESQ",start_answer
24,219,7,23,I do not.,a,THE WITNESS,start_question
25,220,7,24,Do you recall being sent the notice of deposition for this case? Jacqueline Moline,q,"ADAM MARTIN, ESQ",start_answer
26,224,8,2,No.,a,THE WITNESS,start_chat
27,225,8,3,"I happen to have a copy, but I don't have the attachments.",side_chat,THE REPORTER,start_chat
28,227,8,5,"Okay.  Madam Court Reporter, if we could just mark it, what you have, as Exhibit 1, please.",side_chat,MR. MARTIN,is brackets
29,230,8,8,"(Whereupon, Plaintiff's Exhibit Number 1, a notice of deposition, was marked for identification as of this date.)",brackets,,start_question
30,234,8,12,"Doctor, the notice of deposition you were just handled as Exhibit 1, am I correct, it does not have a schedule A attached to it?",q,"ADAM MARTIN, ESQ",start_answer
31,237,8,15,You are correct.,a,THE WITNESS,start_question
32,238,8,16,"I'll represent to you that the notice of deposition we served had a schedule A requesting the production of certain documents. Since you did not see the notice of deposition, am I correct in the assumption that you did you not review the schedule A appended thereto?",q,"ADAM MARTIN, ESQ",start_answer
33,245,8,23,That would be a correct assumption.,a,THE WITNESS,start_question
34,246,8,24,Okay.  Did you bring anything with you to the deposition today? Jacqueline Moline,q,"ADAM MARTIN, ESQ",start_answer
35,250,9,2,Yes.,a,THE WITNESS,start_question
36,251,9,3,Okay.  What did you bring with you in your file?,q,"ADAM MARTIN, ESQ",start_answer
37,253,9,5,"I brought a copy of my notes, as well as some documents that were sent to me related to fiber release from MVA Associates. And I was provided with set of Defendant H.B. Fuller Company's responses to plaintiff's first standard set of liability interrogatories in a case entitled Mazzorana, M-A-Z-Z-O-R-A-N-A. I was provided with a document related to Bird & Son that is entitled An Introduction to Bird Asphalt Roofing Products. And I was provided with Kaiser Gypsum Company's 2004 supplemental responses to interrogatories in San Francisco County complex asbestos litigation. I also brought a copy of my CV, my reference and reliance list, household exposure references, and some abstracts of the articles that were referenced.",a,THE WITNESS,start_question
38,271,9,23,"Okay, thank you.",q,"ADAM MARTIN, ESQ",start_chat
39,272,9,24,"Why don't we go through the somewhat tedious task of marking Jacqueline Moline those as exhibits, so if we could start with your handwritten notes and mark those as Exhibit 2.",side_chat,MR. MARTIN,is brackets
40,279,10,5,"(Whereupon, Plaintiff's Exhibit Number 2, handwritten notes, was marked for identification as of this date.)",brackets,,start_chat
41,282,10,8,If we could marked the fiber release studies from MVA as Exhibit 3.,side_chat,MR. MARTIN,is brackets
42,285,10,11,"(Whereupon, Plaintiff's Exhibit Number 3, MVA fiber release studies, was marked for identification as of this date.)",brackets,,start_chat
43,289,10,15,"If we can marked H.B. Fuller interrogatory answers as Exhibit 4, please.",side_chat,MR. MARTIN,is brackets
44,292,10,18,"(Whereupon, Plaintiff's Exhibit Number 4, H.B. Fuller interrogatory answers, was marked for identification as of this date.)",brackets,,start_chat
45,296,10,22,"If you could mark the Bird & Son Introduction to Bird Asphalt Roofing packet, that's Exhibit 5, please.",side_chat,MR. MARTIN,symbols
46,299,10,25,* * * * * * Jacqueline Moline,symbols,,is brackets
47,302,11,2,"(Whereupon, Plaintiff's Exhibit Number 3, Bird & Son Introduction to Bird Asphalt Roofing packet, was marked for identification as of this date.)",brackets,,start_chat
48,306,11,6,If the Kaiser Gypsum supplemental interrogatory answers please be be marked as Exhibit 6.,side_chat,MR. MARTIN,is brackets
49,309,11,9,"(Whereupon, Plaintiff's Exhibit Number 6, a Kaiser Gypsum supplemental interrogatory answers, was marked for identification as of this date.)",brackets,,start_chat
50,313,11,13,"If we could mark Dr. Moline's CV as Exhibit 7, please.",side_chat,MR. MARTIN,is brackets
51,315,11,15,"(Whereupon, Plaintiff's Exhibit Number 7, a curriculum vitae, was marked for identification as of this date.)",brackets,,start_chat
52,318,11,18,Thank you.  If the list of reference and reliance materials be marked as Exhibit 8.,side_chat,MR. MARTIN,is brackets
53,321,11,21,"(Whereupon, Plaintiff's Exhibit Number 8, a list of reference and reliance materials, was marked for identification as of this date.)",brackets,,start_chat
54,325,11,25,Thank you. Jacqueline Moline,side_chat,MR. MARTIN,start_question
55,328,12,2,"Dr. Moline, which articles did you bring abstracts for?",q,"ADAM MARTIN, ESQ",start_answer
56,330,12,4,"There's a separate household exposure references list, and I brought the abstracts for all 45 of them.  It's all in one packet, so it can be marked as one packet.",a,THE WITNESS,start_chat
57,334,12,8,"Let's do that.  Let's mark that household exposure reference list along with all the abstracts as the next exhibit, please.",side_chat,MR. MARTIN,is brackets
58,338,12,12,"(Whereupon, Plaintiff's Exhibit Number 9, a household exposure reference list with abstracts, was marked for identification as of this date.)",brackets,,start_question
59,342,12,16,"Dr. Moline, we are were also provided with two letters from Attorney Joyce's office, dated August 13th. Do you have those with you?",q,"ADAM MARTIN, ESQ",start_answer
60,346,12,20,No.,a,THE WITNESS,start_question
61,347,12,21,"I'll represent to you that one of the letters represents the inclusion of the product-specific documents, those being the Bird Incorporated, the H.B. Fuller, and Kaiser Gypsum documents, and the second one represent, depicts Jacqueline Moline the inclusion of John Stewart's deposition transcript, decedent's medical records from South Shore Hospital, and decedent's medical records from Primary Care Medical Records from Compass Medical Braintree. Do you recall receiving those documents as well, Doctor?",q,"ADAM MARTIN, ESQ",start_answer
62,361,13,9,"Yes, but I received them electronically.  I don't have a copy of them printed out.",a,THE WITNESS,start_question
63,364,13,12,"That's fine.  The documents that we've marked as exhibits and the documents that I just referenced that were included with that correspondence, the deposition transcript and the medical records as well as the defendants' specific documents, does that represent everything you've reviewed in connection with this case?",q,"ADAM MARTIN, ESQ",start_answer
64,372,13,20,Yes.,a,THE WITNESS,start_question
65,373,13,21,"Thank you. So there's nothing other than what we've discussed, any articles that you you've reviewed, that you looked at in connection with forming your opinion in this case? Jacqueline Moline",q,"ADAM MARTIN, ESQ",start_answer
