,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," a witness named in the notice heretofore filed, being of lawful age and having been first duly sworn, testified on his oath as follows: E X A M I N A T I O N",,,start_question
1,202,7,15,"Good morning, Mr. Buffett.  I introduced myself before, but my name is Randy Baron.  I'm going to ask you some questions here today. I don't anticipate that we will spend much time ago.  I think I have some understanding of, you know, at least how you typically do business. I think I wanted to start off with asking you if you have an understanding as to what the lawsuit is to which you are here to testify?",q,MR. RANDY BARON,start_answer
2,211,7,24,"In a general way, yes.",a,THE WITNESS,start_question
3,212,7,25,What do you understand it to be?,q,MR. RANDY BARON,start_answer
4,214,8,1,"Well, as I understand it, there are two lawsuits.  Maybe I'm incorrect.",a,THE WITNESS,start_question
5,216,8,3,Yes.  I only have one of them.,q,MR. RANDY BARON,start_answer
6,217,8,4,"Oh, okay. Well, your suit, I presume relates to the question of whether the directors of Precision Castparts acted properly during the sale process to Berkshire Hathaway.",a,THE WITNESS,start_question
7,222,8,9,"So you understand that the focus of our lawsuit is conduct by the officers and directors of Precision Castparts and the company prior to its acquisition, correct?",q,MR. RANDY BARON,start_answer
8,226,8,13,Yes.,a,THE WITNESS,start_question
9,227,8,14,"All right. And do you understand what the basic factual contention is, what it is that we said was done wrong by the officers and directors of Precision Castparts or the corporation?",q,MR. RANDY BARON,start_answer
10,232,8,19,"I haven't read the complaint, no.",a,THE WITNESS,start_question
11,233,8,20,Do you have any understanding of that?,q,MR. RANDY BARON,start_answer
12,234,8,21,"Well, I have a general understanding, but I have not -- I have not read the complaint, no.",a,THE WITNESS,start_question
13,236,8,23,What is your general understanding?,q,MR. RANDY BARON,start_answer
14,237,8,24,"Well, my general understanding is that the plaintiffs feel that the directors did not behave according as they should according to the state law in which it is incorporated, which I believe is Oregon.",a,THE WITNESS,start_question
15,243,9,4,All right. Do you have any understanding as to whether or not our claims have to do with information that was set forth in the proxy statement?,q,MR. RANDY BARON,start_answer
16,248,9,9,"Yes, I have heard that.",a,THE WITNESS,start_question
