,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," a witness named in the notice heretofore filed, being of lawful age and having been first duly sworn, testified on his oath as follows: E X A M I N A T I O N",,,start_question
1,195,7,11,"Good afternoon, Mr. Combs.  We met briefly off the record before the deposition.  My name is Rick Atwood.  I'm an attorney for the shareholders in litigation involving the Berkshire acquisition of Precision Castparts. Did you participate in the drafting of the merger proxy that went to Precision Castparts shareholders in connection with their vote on the merger?",q,MR. ATWOOD,start_answer
2,204,7,20,I wouldn't say I participated in it.  I reviewed it.,a,THE WITNESS,start_question
3,206,7,22,Did you review it before it was final?,q,MR. ATWOOD,start_answer
4,207,7,23,"I reviewed it before it went public, but I can't say -- I mean, nothing changed after I looked at it, to my knowledge.",a,THE WITNESS,start_question
5,211,8,1,Do you recall how it is that you came to be reviewing a draft of the proxy?,q,MR. ATWOOD,start_answer
6,213,8,3,"I don't remember who sent it over to me, but just in the normal course of business, it got sent to me.  It said, Take a look at it, review it. Let me know if anything should be changed or anything is different than your recollection.",a,THE WITNESS,start_question
7,218,8,8,Did you provide any responsive comments?,q,MR. ATWOOD,start_answer
8,219,8,9,No.  And everything checked out.,a,THE WITNESS,start_question
9,220,8,10,Okay. When did you start with Berkshire?,q,MR. ATWOOD,start_answer
10,222,8,12,"Late 2010, early 2011.",a,THE WITNESS,start_question
11,223,8,13,"And at the time you started, did Berkshire have any investment in Precision?",q,MR. ATWOOD,start_answer
12,225,8,15,No.,a,THE WITNESS,start_question
13,226,8,16,So you initiated that position?,q,MR. ATWOOD,start_answer
14,227,8,17,I did.,a,THE WITNESS,start_question
15,228,8,18,When?,q,MR. ATWOOD,start_answer
16,229,8,19,"Ah, I believe 2012, if I remember correctly.",a,THE WITNESS,start_question
17,231,8,21,Do you recall -- was it set up as a purchase of shares on the open market?,q,MR. ATWOOD,start_answer
18,233,8,23,It was.,a,THE WITNESS,start_question
19,234,8,24,Do you recall how many shares you purchased?,q,MR. ATWOOD,start_answer
20,237,9,1,"I don't.  I don't remember how many shares. We ended up owning maybe 3, 3 and a half percent of the company, if I remember correctly.",a,THE WITNESS,start_question
21,241,9,5,Do you recall what you paid for your initial investment in Precision?,q,MR. ATWOOD,start_answer
22,243,9,7,Oh.,a,THE WITNESS,start_question
23,244,9,8,In terms of per share?,q,MR. ATWOOD,start_answer
24,245,9,9,"Right.  I would be guessing, but I think it is an approximate guess, it would be about $150 a share.",a,THE WITNESS,start_question
25,248,9,12,"Do you recall, as Berkshire added to its position over time, the prices -- the range of prices that it paid per share?",q,MR. ATWOOD,start_answer
26,251,9,15,I don't remember the range.  But we didn't add that much after the initial purchase.  It was mostly done all at once.,a,THE WITNESS,start_question
27,254,9,18,So virtually the full 3 to 3 and a half percent was that the first investment?,q,MR. ATWOOD,start_answer
