,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, EXAMINATION,,,symbols
1,147,5,23,-  -  -,symbols,,start_question
2,151,6,1,"Sir, could you state your name for the record?",q,MR. LINN,start_answer
3,153,6,3,Jose Eduardo Guerrero.,a,THE WITNESS,start_question
4,154,6,4,"Mr. Guerrero, my name is Daniel Linn, and I'm the attorney for Maya Nelson in this action she's brought against you in connection with a car accident that took place on October 31st, 2017.",q,MR. LINN,start_answer
5,160,6,10,Yes.,a,THE WITNESS,start_question
6,161,6,11,"We have an interpreter here today, correct?",q,MR. LINN,start_answer
7,163,6,13,Correct.,a,THE WITNESS,start_question
8,164,6,14,I understand that you speak some English?,q,MR. LINN,start_chat
9,166,6,16,95 percent.,side_chat,THE WITNESS,start_question
10,168,6,18,"For purposes of today, it's my understanding that you feel more comfortable testifying in Spanish, correct?",q,MR. LINN,start_answer
11,172,6,22,That's correct.,a,THE WITNESS,start_question
12,173,6,23,"So for purposes of today, I want you to make sure that you let the interpreter completely interpret my question before you begin to answer.",q,MR. LINN,start_answer
13,179,7,3,Yes.,a,THE WITNESS,start_question
14,180,7,4,I never want us to be in a situation where you later told us that you didn't understand our questions.,q,MR. LINN,start_answer
15,183,7,7,That's fine.,a,THE WITNESS,start_question
16,184,7,8,So I'm going to take your deposition today.  Have you ever had your deposition taken before?,q,MR. LINN,start_answer
17,187,7,11,No.,a,THE WITNESS,start_question
18,188,7,12,All right.  Basically what this is is a question-and-answer session. I'm going to ask you some questions concerning your background.,q,MR. LINN,start_answer
19,192,7,16,Mhmm.,a,THE WITNESS,start_question
20,193,7,17,"The accident, and some other matters.  If at any time I ask you a question that you don't know the answer to, please let me know that you do not understand my question and I will repeat it or rephrase it.",q,MR. LINN,start_answer
21,199,7,23,Okay.,a,THE WITNESS,start_question
22,200,7,24,"If you don't know the answer to a question, that's perfectly fine, just let me know and we'll move on.",q,MR. LINN,start_answer
23,205,8,3,That's fine.,a,THE WITNESS,start_question
24,206,8,4,"I may ask you for estimates in terms of time or distance.  If you can provide us with an estimate, please do so.  But if you simply have no idea, just let me know and I'll move on.",q,MR. LINN,start_answer
25,211,8,9,Yes.,a,THE WITNESS,start_question
26,212,8,10,"It's important today that you answer all questions verbally.  A shrug or a gesture does not show up on our transcript.  And sir, if I ask you a question today and you did not tell me that you were confused or you did not understand the question, I'm going to assume that you understood the question that I asked you and that you answered that question honestly.",q,MR. LINN,start_answer
27,222,8,20,That's fine.,a,THE WITNESS,start_question
28,223,8,21,"All right.  Sir, are you under the influence of any drugs, medication, or alcohol that would prevent your ability to understand and answer questions here today?",q,MR. LINN,start_answer
29,230,9,2,No.,a,THE WITNESS,start_question
30,231,9,3,"Sir, where do you currently reside?",q,MR. LINN,start_answer
31,233,9,5,"Claymont, Delaware.",a,THE WITNESS,start_question
32,234,9,6,What's the address there?,q,MR. LINN,start_answer
33,235,9,7,"13 Virginia Avenue, Claymont, Delaware 19703.",a,THE WITNESS,start_question
34,237,9,9,How long have you resided at that address?,q,MR. LINN,start_answer
35,239,9,11,Since 2006 to now.,a,THE WITNESS,start_question
36,240,9,12,Where were you born?,q,MR. LINN,start_answer
37,241,9,13,Mexico.,a,THE WITNESS,start_question
38,242,9,14,When did you come to this country?,q,MR. LINN,start_answer
39,244,9,16,1991.,a,THE WITNESS,start_question
40,245,9,17,"Okay.  At some point, did you obtain U.S. citizenship?",q,MR. LINN,start_answer
41,247,9,19,Yes.,a,THE WITNESS,start_question
42,248,9,20,When was that?,q,MR. LINN,start_answer
43,249,9,21,In '95.,a,THE WITNESS,start_question
44,250,9,22,Okay.  Are you currently employed?,q,MR. LINN,start_answer
45,252,9,24,Yes.,a,THE WITNESS,start_question
46,255,10,1,Who do you work for?,q,MR. LINN,start_chat
47,256,10,2,Benner & Sons.,side_chat,THE WITNESS,start_chat
