,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,139,5,14,-  -  - EXAMINATION,symbols,,symbols
2,141,5,16,-  -  -,symbols,,start_question
3,143,5,18,"Good morning.  My name is Haley Welch, I represent the Defendants Marissa and Mindy in the lawsuit that you filed.  We're here today for your deposition.  Can you state your full name for the record?",q,MS. WELCH,start_answer
4,149,5,24,Kelsey Peloza.,a,THE WITNESS,start_question
5,152,6,1,All right.  Have you ever gone by any other names?,q,MS. WELCH,start_answer
6,154,6,3,No.,a,THE WITNESS,start_question
7,155,6,4,Have you ever had your deposition taken before?,q,MS. WELCH,start_answer
8,157,6,6,No.,a,THE WITNESS,start_question
9,158,6,7,"So I'm going to go through a brief set of instructions, hopefully make the process go a little bit more smoothly today.  You just took an oath to tell the truth.  The even though we're in an informal setting here today, the oath you took is the same oath you would take in an actual courtroom.  Does that make sense?",q,MS. WELCH,start_answer
10,167,6,16,Mhmm.,a,THE WITNESS,start_question
11,168,6,17,Is that a yes?,q,MS. WELCH,start_answer
12,169,6,18,Yes.,a,THE WITNESS,start_question
13,170,6,19,"So that's my next instruction, all of your answers need to be verbal.  We have a court reporter taking down everything we say, so even though I may understand when you say uh-huh and mhmm, they're written down the same on a transcript so it's not clear. And even though I may understand if you nod your head or shrug your shoulders, that also can't be written down on a transcript. So just make sure yes or no answers.  If you nod your head, shrug your shoulders, say uh-huh or mhmm, I will correct you.  I'm not trying to be rude, I'm just trying to make sure we get a clear record.  Okay?",q,MS. WELCH,start_answer
14,189,7,12,Okay.,a,THE WITNESS,start_question
15,190,7,13,"If you don't understand any of my questions for any reason, just let me know.  I'll be happy to rephrase it, re-ask it to make sure you do understand the question. If you answer any of my questions, I'm going to assume, and our written record will reflect three things. First, that you heard the question, second that you understood the question, and third, that you answered the question truthfully.  Okay?",q,MS. WELCH,start_answer
16,204,8,1,Okay.,a,THE WITNESS,start_question
17,205,8,2,"We're not here today for any guesses.  If you don't know something or you don't remember something, ""I don't know,"" or ""I don't remember,"" are perfectly acceptable answers, so long as that's the truth.",q,MS. WELCH,start_answer
18,211,8,8,Okay.,a,THE WITNESS,start_question
19,212,8,9,"If you need to estimate or approximate anything like time, speed, distance, or date, that's fine, just let us know that you're estimating or approximating.  Okay?",q,MS. WELCH,start_answer
20,217,8,14,Okay.,a,THE WITNESS,start_question
21,218,8,15,Have you understood all of these instructions?,q,MS. WELCH,start_answer
22,220,8,17,Yes.,a,THE WITNESS,start_question
23,221,8,18,Are you on any medications that would prevent you from understanding or answering any of my questions?,q,MS. WELCH,start_answer
24,224,8,21,No.,a,THE WITNESS,start_question
25,225,8,22,Did you review any documents in preparation for today's deposition?,q,MS. WELCH,start_answer
26,227,8,24,Yes.,a,THE WITNESS,start_question
27,230,9,1,What documents did you review?,q,MS. WELCH,start_answer
28,232,9,3,I don't know the specific names of the documents.,a,THE WITNESS,start_question
29,234,9,5,Could you describe them? Did you look at a police report?,q,MS. WELCH,start_answer
30,236,9,7,I did not look at it myself.,a,THE WITNESS,start_question
31,237,9,8,"Okay.  Just to clarify, I do not want to know anything that you and your attorney discussed.  I'm just asking did you look at any documents, photographs --",q,MS. WELCH,start_answer
32,242,9,13,"We looked at photographs, diagram.",a,THE WITNESS,start_question
33,244,9,15,"Okay.  And diagram, is that a map of the intersection?",q,MS. WELCH,start_answer
34,246,9,17,Correct.,a,THE WITNESS,start_question
35,247,9,18,What is your date of birth?,q,MS. WELCH,start_answer
36,248,9,19,"June 6th, 1990.",a,THE WITNESS,start_chat
37,249,9,20,Off the record.,side_chat,MS. WELCH,symbols
38,250,9,21,-  -  -,symbols,,is brackets
39,251,9,22,"(Whereupon, a brief discussion wad held off the record.)",brackets,,symbols
40,256,10,1,-  -  -,symbols,,start_question
41,258,10,3,Do you have your driver's license with you?,q,MS. WELCH,start_answer
42,260,10,5,Yes.,a,THE WITNESS,start_question
43,261,10,6,"If you don't mind, hand that to your attorney and I'm going to take a quick look at it.  Thank you.",q,MS. WELCH,start_chat
44,264,10,9,"I've been handed Ms. Peloza's PA driver's license number 31 381 490.  Address on here is 1206 Walnut Street, Apartment 6 in Philadelphia.  And there are no restrictions, I'll hand that back to you.",side_chat,MS. WELCH,start_question
45,272,10,17,"I'll hand that back to you, thank you.  Do you still live at the 1206 Walnut Street address?",q,MS. WELCH,start_answer
46,275,10,20,Yes.,a,THE WITNESS,start_question
47,276,10,21,How long have you lived there?,q,MS. WELCH,start_answer
48,278,10,23,Just about two years.,a,THE WITNESS,start_question
49,279,10,24,Okay.  Did you live there at the time of this car accident that we're here for in June of 2017?,q,MS. WELCH,start_answer
50,284,11,3,No.,a,THE WITNESS,start_question
51,285,11,4,Where did you live at the time of the accident?,q,MS. WELCH,start_answer
52,287,11,6,Lansdale.,a,THE WITNESS,start_question
53,288,11,7,What was the address?,q,MS. WELCH,start_answer
54,289,11,8,I don't remember the street.,a,THE WITNESS,start_question
55,290,11,9,Okay.  Who did you live with in Lansdale?,q,MS. WELCH,start_answer
56,292,11,11,Just me.,a,THE WITNESS,start_question
57,293,11,12,"And who do you live with, if anybody, at the Walnut Street address?",q,MS. WELCH,start_answer
58,295,11,14,I have two roommates.,a,THE WITNESS,start_question
59,296,11,15,Have you had the same two roommates the entire time you lived there?,q,MS. WELCH,start_answer
60,299,11,18,Yes.,a,THE WITNESS,start_question
61,300,11,19,What are their names?,q,MS. WELCH,start_answer
