,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," after having been first duly sworn, was deposed and says as follows: EXAMINATION",,,start_question
1,158,7,11,"Mr. Burns, the oath you have taken is the same oath you would be given in a court of law and comes with the same penalties of perjury.  Do you understand that?",q,MR. ELLERBE,start_answer
2,162,7,15,Yes.,a,THE WITNESS,start_question
3,163,7,16,"The court reporter is taking down every spoken word, so nods or head shakes cannot be transcribed by the court reporter.  Also, the court reporter can only take down what is being said by one person at a time.  I, therefore, ask that you wait until I finish my question before you give your answer, and I will try to provide the same courtesy to you.  Understood?",q,MR. ELLERBE,start_answer
4,172,7,25,Yes.,a,THE WITNESS,start_question
5,174,8,1,"Okay.  If you don't understand a question, please let me know.  If you do answer my question, I will assume you understood and answered the question I asked.  Please do not guess in response to my questions.  However, I am entitled to your best estimate. Do you understand the difference between a guess and an estimate?",q,MR. ELLERBE,start_answer
6,182,8,9,Yes.,a,THE WITNESS,start_question
7,183,8,10,Is there any reason you cannot go forward today with providing your best testimony?,q,MR. ELLERBE,start_answer
8,185,8,12,No.,a,THE WITNESS,start_question
9,186,8,13,Is there any reason you cannot testify fully and truthfully today?,q,MR. ELLERBE,start_answer
10,188,8,15,No.,a,THE WITNESS,start_question
11,189,8,16,"Are you under the influence of any drugs, alcohol or medications that may affect your ability to respond to my questions fully and truthfully?",q,MR. ELLERBE,start_answer
12,193,8,20,No.,a,THE WITNESS,start_question
13,194,8,21,"Okay.  If you need to take a break, just feel free to let me know, okay?",q,MR. ELLERBE,start_answer
14,196,8,23,I will.,a,THE WITNESS,start_question
15,197,8,24,Okay.  Do you have any questions about the deposition process before we start?,q,MR. ELLERBE,start_answer
16,200,9,1,I don't.,a,THE WITNESS,start_question
17,201,9,2,Have you ever been deposed before?,q,MR. ELLERBE,start_answer
18,202,9,3,"I have, yes.",a,THE WITNESS,start_question
19,203,9,4,"Okay.  So you know then that your counsel may make objections during the deposition, and the purpose of that objection is for the judge to review the objection later.  So an objection is not instruction to not answer. Unless you are instructed not to answer the question by your counsel, please answer the question. Do you understand?",q,MR. ELLERBE,start_answer
20,212,9,13,I understand.,a,THE WITNESS,start_question
