,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows ....,,,symbols
1,69,4,14,- - - EXAMINATION,symbols,,symbols
2,71,4,16,- - -,symbols,,start_question
3,73,4,18,"Mr. Spohn, my name is Bruce Hess. I represent the Plaintiff in a case that he brought against you for injuries resulting from a motor vehicle accident on December 30th, 2016 on Route 309 around Quakertown.  I'm going to ask you a series of questions that pertain to this case. Have you ever testified before in court or at a deposition?",q,MR. HESS,start_answer
4,84,5,4,No.,a,THE WITNESS,start_question
5,85,5,5,"All right.  There's several rules I want you to follow during the course of your deposition.  I don't anticipate we'll be here long. First of all, obviously, tell the truth.  Number two, this is done on a question and answer basis, so I ask a question, you give an answer.  I ask a question, you give an answer.  Try and wait for me to finish my question before you answer, and I will try and wait for you to finish your answer before I ask another question.  In other words, the court reporter can't take down both of us talking at the same time. If you do not understand a question, please ask me to rephrase it, and I'll be happy to do that.  If you answer a question, I will assume that you understood the question.  If a question calls for a yes or no answer, say ""yes"" or say ""no."" Don't shake or nod your head. If at any time you want to take a break, talk to your lawyer, use the bathroom, whatever.  That's perfectly okay. Just let me know.  Okay?",q,MR. HESS,start_answer
6,112,6,7,Okay.,a,THE WITNESS,start_question
7,113,6,8,"Lastly, is there any reason that you can't testify truthfully or honestly today because of illness, medication or otherwise?",q,MR. HESS,start_answer
8,117,6,12,No.,a,THE WITNESS,start_question
9,118,6,13,"State your full name, please.",q,MR. HESS,start_answer
10,119,6,14,David Matthew Spohn.,a,THE WITNESS,start_question
11,120,6,15,And where do you live at the present time?,q,MR. HESS,start_answer
12,122,6,17,"308 Ashford Lane in Hereford, PA.",a,THE WITNESS,start_question
13,124,6,19,And how long have you lived there?,q,MR. HESS,start_answer
14,126,6,21,I will be there approximately 12 years.,a,THE WITNESS,start_question
15,128,6,23,What is your marital status?,q,MR. HESS,start_answer
16,129,6,24,I'm married.,a,THE WITNESS,start_question
17,131,7,1,Do you live with your wife at that address?,q,MR. HESS,start_answer
18,133,7,3,Yes.,a,THE WITNESS,start_question
19,134,7,4,Do you have children?,q,MR. HESS,start_answer
20,135,7,5,"Yes, but they don't live with me. They're older.",a,THE WITNESS,start_question
21,137,7,7,Are you employed at the present time?,q,MR. HESS,start_answer
22,139,7,9,Yes.,a,THE WITNESS,start_question
23,140,7,10,And what do you do for a living?,q,MR. HESS,start_answer
24,141,7,11,I am a welder fabricator.,a,THE WITNESS,start_question
25,142,7,12,And what's the name of your employer?,q,MR. HESS,start_answer
26,144,7,14,J & T Technologies.,a,THE WITNESS,start_question
27,145,7,15,And what's the location that you work at?,q,MR. HESS,start_answer
28,147,7,17,"In Pottstown, Pennsylvania.",a,THE WITNESS,start_question
29,148,7,18,How long have you been employed by them?,q,MR. HESS,start_answer
30,150,7,20,A little bit more than 12-and-a-half years.  It will be 13 years in November.,a,THE WITNESS,start_question
31,153,7,23,What's your date of birth?,q,MR. HESS,start_answer
32,154,7,24,"September 26th, 1965.",a,THE WITNESS,start_question
33,156,8,1,Do you have a valid driver's license?,q,MR. HESS,start_answer
34,158,8,3,Yes.,a,THE WITNESS,start_question
35,159,8,4,And how long have you been licensed driver in Pennsylvania?,q,MR. HESS,start_answer
36,161,8,6,"Since the age of 17, so I'm 53. I'm trying to do the math.",a,THE WITNESS,start_question
37,163,8,8,Are there any restrictions on your driver's license?,q,MR. HESS,start_answer
38,165,8,10,No.,a,THE WITNESS,start_question
39,166,8,11,Has your driver's license ever been suspended or revoked for any reason?,q,MR. HESS,start_answer
40,168,8,13,No.,a,THE WITNESS,start_question
41,169,8,14,Do you wear glasses to read or drive?,q,MR. HESS,start_answer
42,171,8,16,"To read, yes.  To drive, no.",a,THE WITNESS,start_question
43,172,8,17,Okay.  The vehicle you were operating at the time of this accident was a 2016 Dodge Dart; is that correct?,q,MR. HESS,start_answer
44,175,8,20,Yes.,a,THE WITNESS,start_question
45,176,8,21,And were you the owner of that vehicle?,q,MR. HESS,start_answer
46,178,8,23,Yes.,a,THE WITNESS,start_question
47,179,8,24,And how long had you owned that vehicle?,q,MR. HESS,start_answer
48,182,9,2,"Actually, at that time, it was six months.",a,THE WITNESS,start_question
49,184,9,4,"And would you agree with me that the accident involving the Plaintiff and you happened on December 30th, 2016 at about 12:56 p.m.?",q,MR. HESS,start_answer
50,188,9,8,Yeah.  Yes.,a,THE WITNESS,start_question
51,189,9,9,"And would you agree that the accident happened on 309 southbound just north of Station Road in Quakertown, PA?",q,MR. HESS,start_answer
52,192,9,12,"Yes.  I'm not sure of the cross street, but yeah.",a,THE WITNESS,start_question
53,194,9,14,Okay.  Do you recall what the weather was like at the time?,q,MR. HESS,start_answer
54,196,9,16,"I know it was cold.  No snow, no rain.  Sunny, probably.",a,THE WITNESS,start_question
55,198,9,18,"As I recall, this happened on a Friday; do you recall that sitting here today?",q,MR. HESS,start_answer
56,201,9,21,"I believe it was a Friday, yes.",a,THE WITNESS,start_question
57,202,9,22,Had you or did you work that day?,q,MR. HESS,start_answer
58,204,9,24,I did in the morning.,a,THE WITNESS,start_question
59,206,10,1,And what hours did you work that day?,q,MR. HESS,start_answer
60,208,10,3,From 7:00 a.m. to 11:00 a.m.,a,THE WITNESS,start_question
61,209,10,4,"And at 11:00 a.m., you were done working for the rest of the day?",q,MR. HESS,start_answer
62,211,10,6,Yes.,a,THE WITNESS,start_question
63,212,10,7,"And was that a normal shift, to work four hours?",q,MR. HESS,start_answer
64,214,10,9,"No.  It was an early day for the holiday, the upcoming holiday.",a,THE WITNESS,start_question
65,216,10,11,So you worked in Pottstown that morning?,q,MR. HESS,start_answer
66,218,10,13,Yes.,a,THE WITNESS,start_question
67,219,10,14,And what did you do from there?,q,MR. HESS,start_answer
68,220,10,15,"I left my employer.  I went to a financial institution in Quakertown where I have a loan, and then I was heading to Telford to look for another job at the time.  I didn't realize they closed early that day, and proceeded to head back to my residence when the accident occurred.",a,THE WITNESS,start_question
69,227,10,22,"How far did you live from the location where the accident happened, approximately, either in my miles or travel time?",q,MR. HESS,start_answer
70,232,11,2,I don't know.,a,THE WITNESS,start_question
71,233,11,3,"I mean, were you 10 minutes away, 15 minutes away?",q,MR. HESS,start_answer
72,235,11,5,"If I have to make an approximation, probably 20 minutes maybe.",a,THE WITNESS,start_question
73,237,11,7,"Okay.  So at the time of the accident, you were heading home?",q,MR. HESS,start_answer
74,239,11,9,Yes.,a,THE WITNESS,start_question
75,240,11,10,"Now, at the time of the accident, were you familiar with the location where the accident happened, and I mean Route 309, in that vicinity?",q,MR. HESS,start_answer
76,244,11,14,"Not really.  I wasn't, no.",a,THE WITNESS,start_question
77,245,11,15,"And what do you mean by ""not really?""",q,MR. HESS,start_answer
78,247,11,17,"I traveled through that area before not knowing that -- like, I don't know it to the best of my knowledge.",a,THE WITNESS,start_question
