,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," after having been first duly sworn, was deposed and says as follows: EXAMINATION",,,start_question
1,207,8,12,"Ms. Zurn, you understand that the oath that you have given is the same oath that you would be given in a court of law and comes with the same penalties of perjury?",q,MR. ELLERBE,start_answer
2,211,8,16,Yes.,a,THE WITNESS,start_question
3,212,8,17,"Now, the court reporter is taking down every spoken word, so nods or head shakes cannot be transcribed by the court reporter. Also, the court reporter can only take down what is being said by one person at a time.  I, therefore, ask that you wait until I finish my questions before you answer, and I will provide you with the same courtesy or try to. Understood?",q,MR. ELLERBE,start_answer
4,223,9,2,Okay.  Yes.,a,THE WITNESS,start_question
5,224,9,3,"If you don't understand a question, please let me know.  If you do answer my question, I will assume that understand and answer -- you understood and answered the question that I asked. Do you understand?",q,MR. ELLERBE,start_answer
6,230,9,9,Yes.,a,THE WITNESS,start_question
7,231,9,10,"Please do not guess in response to my questions.  However, I am entitled to your best estimate.  Do you understand the difference between a guess and an estimate?",q,MR. ELLERBE,start_answer
8,235,9,14,Yes.,a,THE WITNESS,start_question
9,236,9,15,Is there any reason you cannot go forward with providing your best testimony today?,q,MR. ELLERBE,start_answer
10,238,9,17,No.,a,THE WITNESS,start_question
11,239,9,18,Is there any reason you cannot testify fully and truthfully?,q,MR. ELLERBE,start_answer
12,241,9,20,No.,a,THE WITNESS,start_question
13,242,9,21,"Are you under the influence of any drugs, alcohol or medications that may affect your ability to respond to my questions fully and truthfully?",q,MR. ELLERBE,start_answer
14,246,9,25,No.,a,THE WITNESS,start_question
15,248,10,1,"If you need a break, just feel free to ask, okay?",q,MR. ELLERBE,start_answer
16,250,10,3,Okay.,a,THE WITNESS,start_question
17,251,10,4,Do you have any questions regarding the deposition process before we start?,q,MR. ELLERBE,start_answer
18,253,10,6,Not at this time.,a,THE WITNESS,start_question
19,254,10,7,Have you ever been deposed before?,q,MR. ELLERBE,start_answer
20,255,10,8,Yes.,a,THE WITNESS,start_question
21,256,10,9,"Okay.  So then you know that your counsel may make objections during the deposition.  And the purpose of the objection is for the judge to review that objection later.  So an objection is not an instruction to not answer.  So unless you're instructed not to answer the question by your counsel, please answer the question. Do you understand?",q,MR. ELLERBE,start_answer
22,265,10,18,Yes.,a,THE WITNESS,start_question
23,266,10,19,Okay.  How many times have you been deposed before?,q,MR. ELLERBE,start_answer
24,268,10,21,Once.,a,THE WITNESS,start_question
25,269,10,22,Can you describe the proceeding in which you were deposed?,q,MR. ELLERBE,start_answer
26,271,10,24,Are you asking the specific subject for which I was deposed?,a,THE WITNESS,start_question
27,274,11,1,Yes.,q,MR. ELLERBE,start_answer
