,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows ....,,,symbols
1,68,8,14,- - - EXAMINATION,symbols,,symbols
2,70,8,16,- - -,symbols,,start_question
3,72,8,18,Good afternoon.,q,MS. KOSCIELNIAK,start_answer
4,73,8,19,Hi.,a,THE WITNESS,start_question
5,74,8,20,"My name is Daria Koscielniak, and I represent Mr. Oliver in connection with a lawsuit that you have filed against him. Have you ever given a deposition before?",q,MS. KOSCIELNIAK,start_answer
6,80,9,1,No.,a,THE WITNESS,start_question
7,81,9,2,Can you state your full name for the record.,q,MS. KOSCIELNIAK,start_answer
8,83,9,4,Carolyn B. Chester.,a,THE WITNESS,start_question
9,84,9,5,What does the B stand for?,q,MS. KOSCIELNIAK,start_answer
10,85,9,6,"Brame, B-r-a-m-e.",a,THE WITNESS,start_question
11,86,9,7,"Before we get started, I'm going to go through some ground rules. Seated to your right and my left is the court reporter.  She's taking down everything that you and I say.  For that reason, it's important that your answers are verbal.  She can't take down nods of the head, hand gestures.  Things like ""mm-hmm"" or ""uh-uh"" will not be clear on the record that's created at the end of today.  Do you understand that?",q,MS. KOSCIELNIAK,start_answer
12,97,9,18,I do.,a,THE WITNESS,start_question
13,98,9,19,"If you don't understand any of my questions, please let me know.  I'll be happy to rephrase or repeat it.  If you provide me with an answer, I'm going to assume that you understood the question; is that fair?",q,MS. KOSCIELNIAK,start_answer
14,105,10,1,Yes.,a,THE WITNESS,start_question
15,106,10,2,"Are you under the influence of any kind of drugs, alcohol, medications, anything at all, that would affect your ability to understand my questions here today and answer them truthfully?",q,MS. KOSCIELNIAK,start_answer
16,111,10,7,I don't understand the question.,a,THE WITNESS,start_question
17,112,10,8,Is there any reason why you cannot understand my questions and provide honest and truthful testimony here today?,q,MS. KOSCIELNIAK,start_answer
18,115,10,11,No.,a,THE WITNESS,start_question
19,116,10,12,"Again, are you under the influence of any kind of drugs, alcohol or medication today?",q,MS. KOSCIELNIAK,start_answer
20,119,10,15,"No alcohol, no drugs.",a,THE WITNESS,start_question
21,120,10,16,Okay.  Did you take medication today?,q,MS. KOSCIELNIAK,start_answer
22,122,10,18,"I have -- I take a pill or something.  I mean, I'm not sure why you're asking me about my medication.",a,THE WITNESS,start_question
23,125,10,21,Because medication can have an affect on an individual's ability to understand questions.,q,MS. KOSCIELNIAK,start_answer
24,128,10,24,I understand everything you're saying.,a,THE WITNESS,start_question
25,131,11,2,Okay.  What kind of medication did you take today?,q,MS. KOSCIELNIAK,start_answer
26,133,11,4,I don't have a list of my medications.,a,THE WITNESS,start_question
27,135,11,6,What is it for?,q,MS. KOSCIELNIAK,start_answer
28,136,11,7,I don't see a reason to give you that information.,a,THE WITNESS,start_question
29,138,11,9,"Is it for blood pressure, diabetes?",q,MS. KOSCIELNIAK,start_answer
30,140,11,11,What does that have to do with --,a,THE WITNESS,start_chat
31,141,11,12,"Carolyn, you have to answer questions like that.  The reason is it's discovery.  It doesn't mean it's going to come up at trial because it may not be relevant, but in a deposition you have to give information.  And it's not going to go any further than the deposition.  Okay?",side_chat,MR. GOODSTADT,start_chat
32,151,11,22,Okay.,side_chat,THE WITNESS,start_chat
33,152,11,23,So you can answer that question.,side_chat,MR. GOODSTADT,start_chat
34,155,12,1,What's your question?,side_chat,THE WITNESS,start_question
35,158,12,4,What is the medication you took today?  What is it for?,q,MS. KOSCIELNIAK,start_answer
36,160,12,6,"I took vitamins for energy, and I took cholesterol.",a,THE WITNESS,start_question
37,162,12,8,Okay.  Anything else?,q,MS. KOSCIELNIAK,start_answer
38,163,12,9,And insulin.,a,THE WITNESS,start_question
39,164,12,10,"Okay.  And you understand that, today, your testimony is under oath, meaning that your testimony holds the same weight as if we were in a court of law?",q,MS. KOSCIELNIAK,start_answer
40,169,12,15,Yup.  Yes.,a,THE WITNESS,start_question
41,170,12,16,Okay.  Did you review any documents in preparation for today?,q,MS. KOSCIELNIAK,start_answer
42,172,12,18,I've been advised by my attorney.,a,THE WITNESS,start_question
43,174,12,20,Did you review any paper documents in preparation for your deposition today?,q,MS. KOSCIELNIAK,start_answer
44,177,12,23,Paper documents?,a,THE WITNESS,start_chat
