,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,130,5,12,- - - EXAMINATION,symbols,,symbols
2,132,5,14,- - -,symbols,,start_question
3,134,5,16,Could you please state your full name for the record.,q,MR. SCHLAGNHAUFER,start_answer
4,136,5,18,Alona Shchogol.,a,THE WITNESS,start_question
5,137,5,19,"Good morning, Ms. Shchogol.  My name is Michael Schlagnhaufer.  I represent Kelly O' Donnell in a lawsuit you brought against her regarding an accident on October 31, 2017.  Is that your understanding?",q,MR. SCHLAGNHAUFER,start_answer
6,142,5,24,Correct.  Yes.,a,THE WITNESS,start_question
7,143,5,25,Okay.  I'm here to take your deposition today.  Have you ever been part of a deposition before?,q,MR. SCHLAGNHAUFER,start_answer
8,147,6,3,No.,a,THE WITNESS,start_question
9,148,6,4,"Just do me a favor and first, you want to make sure you keep all of your answers verbal.  Yes and no rather than gestures or uh-uh and uh-uh and things like that.  Okay?",q,MR. SCHLAGNHAUFER,start_answer
10,153,6,9,Yes.,a,THE WITNESS,start_question
11,154,6,10,Is English your first language?,q,MR. SCHLAGNHAUFER,start_answer
12,155,6,11,No.,a,THE WITNESS,start_question
13,156,6,12,What is your first language?,q,MR. SCHLAGNHAUFER,start_answer
14,157,6,13,Russian.,a,THE WITNESS,start_question
15,158,6,14,Russian?,q,MR. SCHLAGNHAUFER,start_answer
16,159,6,15,Yes.,a,THE WITNESS,start_question
17,160,6,16,But you seem extraordinarily fluent with almost no accent.  You're able to understand me and communicate in English fine?,q,MR. SCHLAGNHAUFER,start_answer
18,163,6,19,Yes.,a,THE WITNESS,start_question
19,164,6,20,You don't need a Russian interpreter or anything like that?,q,MR. SCHLAGNHAUFER,start_answer
20,166,6,22,No.,a,THE WITNESS,start_question
21,167,6,23,"So to that end and sort of along that line, if you don't understand one of my questions today, make sure you tell me that.",q,MR. SCHLAGNHAUFER,start_answer
22,171,7,1,Okay.,a,THE WITNESS,start_question
23,172,7,2,"Ask me to rephrase, clarify, or repeat it until you do understand what I'm asking you.",q,MR. SCHLAGNHAUFER,start_answer
24,175,7,5,Okay.,a,THE WITNESS,start_question
25,176,7,6,"I don't intend to try and trick you, but sometimes I know and understand what question I'm asking, but it's not quite as clear when it comes out of my mouth.  Fair?",q,MR. SCHLAGNHAUFER,start_answer
26,180,7,10,Fair.,a,THE WITNESS,start_question
27,181,7,11,"If at any point you remember something from a previous question that you wanted to add or you wanted to correct an answer you did before, just tell me that and we can do that.  Okay?",q,MR. SCHLAGNHAUFER,start_answer
28,186,7,16,Okay.,a,THE WITNESS,start_question
29,187,7,17,Have you had an opportunity to speak with your attorney today before this deposition?,q,MR. SCHLAGNHAUFER,start_answer
30,190,7,20,Yes.,a,THE WITNESS,start_question
31,191,7,21,Do you need to speak to him at all right now before we start?,q,MR. SCHLAGNHAUFER,start_answer
32,193,7,23,No.,a,THE WITNESS,start_question
33,194,7,24,Okay.  What's your date of birth?,q,MR. SCHLAGNHAUFER,start_answer
34,197,8,1,"May 28, 1989.",a,THE WITNESS,start_question
35,198,8,2,Where were you born?,q,MR. SCHLAGNHAUFER,start_answer
36,199,8,3,Ukraine.,a,THE WITNESS,start_question
37,200,8,4,Okay.  When did you come to America?,q,MR. SCHLAGNHAUFER,start_answer
38,202,8,6,20 years ago.,a,THE WITNESS,start_question
39,203,8,7,"Are you a citizen, resident alien?",q,MR. SCHLAGNHAUFER,start_answer
40,205,8,9,U.S. citizen.,a,THE WITNESS,start_question
41,206,8,10,Do you have a driver's license on you?,q,MR. SCHLAGNHAUFER,start_answer
