,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, examined and testified as follows:,,,symbols
1,173,7,3,- - - EXAMINATION,symbols,,symbols
2,175,7,5,- - -,symbols,,start_question
3,177,7,7,"Good evening, Doctor.  We met just before this deposition began; is that right?",q,MR. PATTERSON,start_answer
4,180,7,10,Yes.,a,THE WITNESS,start_question
5,181,7,11,And you and I have never meet before or spoken before?,q,MR. PATTERSON,start_answer
6,183,7,13,Never met or spoken before.,a,THE WITNESS,start_question
7,184,7,14,You understand that I'm here to take your deposition because you've been identified as an expert witness in the case of Cook versus Wang?,q,MR. PATTERSON,start_answer
8,188,7,18,Yes.,a,THE WITNESS,start_question
9,189,7,19,"And because I know you take that oath very seriously, I just want to have a couple of agreements with you.  If I ask a question that you don't understand or that you don't hear or that is confusing, will you let me know that?",q,MR. PATTERSON,start_answer
10,195,7,25,Yes.,a,THE WITNESS,start_question
11,197,8,1,"I will be happy to repeat the question or rephrase the question, but I'm going to need for you to let me know that you don't understand it.  All right?",q,MR. PATTERSON,start_answer
12,201,8,5,Yes.,a,THE WITNESS,start_question
13,202,8,6,"And if you answer my question, can I assume that you understood it?",q,MR. PATTERSON,start_answer
14,204,8,8,Yes.,a,THE WITNESS,start_question
15,205,8,9,"Also, as we go through the deposition, it is important that we not talk at the same time.  The court reporter needs to take down a good record.  So please let me finish my question before you start your answer, and I will be careful not to begin my next question until you've finished; is that okay?",q,MR. PATTERSON,start_answer
16,213,8,17,Yes.,a,THE WITNESS,start_question
17,214,8,18,"If per chance I think that you're finished and you're not, just say, hey, I wasn't finish, and I will be happy to let you say whatever you need to truthfully answer the previous question.  All right?",q,MR. PATTERSON,start_answer
18,219,8,23,Yes.,a,THE WITNESS,start_question
19,220,8,24,"Also, it's not an endurance contest.  If you need to take a break, you can take a break.  I will try to move along and explore your opinions as quickly as I can, but I do have some questions to ask you.  You also understand that I'm going to hold you to the answers that you say today when you appear at trial or when the remaining portion of your testimony is played for the jury.  I'm going to expect you to tell the truth consistently throughout this case.  All right?",q,MR. PATTERSON,start_answer
20,232,9,10,Yes.,a,THE WITNESS,start_question
21,233,9,11,Have you ever given a deposition before?,q,MR. PATTERSON,start_answer
22,235,9,13,Yes.,a,THE WITNESS,start_question
23,236,9,14,How many occasions?,q,MR. PATTERSON,start_answer
24,237,9,15,I'm not going to be able to answer that accurately.  If I may give you an approximation.,a,THE WITNESS,start_question
25,240,9,18,Sure.,q,MR. PATTERSON,start_answer
26,241,9,19,"It would be less than ten, and I've been in practice since 1992.  So that's 27 years.",a,THE WITNESS,start_question
27,244,9,22,"In the approximately ten or less depositions that you've given, have any of them been in medical malpractice cases?",q,MR. PATTERSON,start_answer
28,247,9,25,Yes.,a,THE WITNESS,start_question
29,249,10,1,Have all of them been in that subject?,q,MR. PATTERSON,start_answer
30,251,10,3,"As an expert witness, yes.",a,THE WITNESS,start_question
31,252,10,4,Have you ever testified in a case where you are a party?,q,MR. PATTERSON,start_answer
32,254,10,6,No.,a,THE WITNESS,start_question
33,255,10,7,Okay.  Have you ever been a party to a lawsuit?,q,MR. PATTERSON,start_answer
34,257,10,9,Yes.,a,THE WITNESS,start_question
35,258,10,10,What kind of case was that?,q,MR. PATTERSON,start_answer
36,259,10,11,"This was in the late 1990's.  It was a retinal detachment repair, which was done on an emergent basis successfully. Postoperatively, the patient had strabismus, crossed eyes.  I referred the patient immediately to the appropriate specialist.  The eye was saved from the retinal detachment. The crossed eye specialist, strabismologist, elected to observe the patient rather than treat the patient surgically.  The crossed eyes did not improve so the patient sued me along with her husband for lack of consortium.  The case dragged on for approximately a year and a half.  When it was time to name the expert, I named my expert and they, at that time, dropped the case saying that I didn't do any harm, didn't do anything wrong.  That was entirely dropped at that time.",a,THE WITNESS,start_question
37,278,11,4,Did you give a deposition in that case?,q,MR. PATTERSON,start_answer
38,280,11,6,"No.  It never got to that point. I met with the lawyer that was representing me several times.  Again, this was approximately 20 years ago, and it was my only experience in malpractice cases.",a,THE WITNESS,start_question
39,285,11,11,"All right.  And you can certainly relate to the fact that sometimes a patient may be dissatisfied with the result of care and chooses to file a lawsuit, which may or may not have merit, true?",q,MR. PATTERSON,start_chat
40,290,11,16,Object to form.,side_chat,MR. MASTROGIOVANNI,start_question
41,293,11,19,You can still answer the question.,q,MR. PATTERSON,start_answer
42,295,11,21,Yes.,a,THE WITNESS,start_question
43,296,11,22,"In working on this case, I would like to know how you were first contacted and what you were told about the case and then how you embarked on your review and analysis of the case to reach the opinions that you've expressed.  So who contacted you?",q,MR. PATTERSON,start_answer
44,303,12,3,I was contacted by Mr. Akins.,a,THE WITNESS,start_question
45,304,12,4,And what did Kelly Akins tell you?,q,MR. PATTERSON,start_answer
46,306,12,6,He gave me a broad overview of the case and asked whether or not I felt that I could render an opinion.,a,THE WITNESS,start_question
47,309,12,9,All right.,q,MR. PATTERSON,start_answer
48,310,12,10,I said I could review it and render an opinion.,a,THE WITNESS,start_question
49,312,12,12,"All right.  When he spoke with you and asked you if you would review the case, you didn't make up your mind until you had all the materials sent to you?",q,MR. PATTERSON,start_answer
50,316,12,16,I made up my mind that I would be able to review the case prior to that.,a,THE WITNESS,start_question
51,318,12,18,Sure.  But as far --,q,MR. PATTERSON,start_answer
52,319,12,19,But I said I wasn't sure which way I would go until I had the opportunity to review the documents.,a,THE WITNESS,start_question
53,322,12,22,"Okay.  Because you've testified in other cases, you know that the jury system that may evaluate evidence and decide factual disputes and evaluate the credibility of witnesses, needs to have individuals who are careful in the way they analyze and testify to make sure that they have a sound basis for their opinions.  Would that be true?",q,MR. PATTERSON,start_answer
54,331,13,5,Yes.,a,THE WITNESS,start_question
