,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,130,5,12,- - - EXAMINATION,symbols,,symbols
2,132,5,14,- - -,symbols,,start_question
3,134,5,16,"Good morning, ma'am.  My name is Marc Weinberg.  I'm an attorney that's been retained to represent Ms. Shchogol regarding an accident that happened back on October 31, 2017.  I'm here to actually take your deposition with regard to the facts and circumstances surrounding that accident.  Do you understand that?",q,MR. WEINBERG,start_answer
4,142,5,24,Yes.,a,THE WITNESS,start_question
5,143,5,25,"All right.  To your left is a court reporter.  She will be taking down everything that is said here today.  All the information will be transcribed, placed into a booklet, and made available to myself and your counsel prior to the hearing.  Do you understand that?",q,MR. WEINBERG,start_answer
6,151,6,7,Yes.,a,THE WITNESS,start_question
7,152,6,8,"All of your responses have to be verbal.  Head nods, body movements, things of that nature cannot be taken down on the record. Do you understand that?",q,MR. WEINBERG,start_answer
8,156,6,12,Yes.,a,THE WITNESS,start_question
9,157,6,13,"If you don't understand a question, tell me you don't understand it.  I will be more than happy to rephrase the question.  Okay?",q,MR. WEINBERG,start_answer
10,161,6,17,Yes.,a,THE WITNESS,start_question
11,162,6,18,"Question that may come up that involve time, distance, things like that.  If I ask you those questions, I'm going to go and assume when you're answering those questions that you're estimating or approximating in certain response.  If you're going to do that, please tell me you're estimating or approximating in terms of time and distance and things like that.  Okay?",q,MR. WEINBERG,start_answer
12,172,7,2,All right.,a,THE WITNESS,start_question
13,173,7,3,"Okay.  If at some point in time you hear your attorney use the term objection, do not respond to a question and he will tell you whether you can or cannot answer a question.  Do you understand that?",q,MR. WEINBERG,start_answer
14,178,7,8,Yes.,a,THE WITNESS,start_question
15,179,7,9,All right.  Is there anything that would limit or inhibit your ability to testify here today?,q,MR. WEINBERG,start_answer
16,182,7,12,No.,a,THE WITNESS,start_question
17,183,7,13,All right.  Did you review any documents in anticipation of this deposition?,q,MR. WEINBERG,start_answer
18,185,7,15,No.,a,THE WITNESS,start_question
19,186,7,16,Have you seen a police report?,q,MR. WEINBERG,start_answer
20,187,7,17,No.,a,THE WITNESS,start_question
21,188,7,18,Have you seen any photos?,q,MR. WEINBERG,start_answer
22,189,7,19,Can you clarify.,a,THE WITNESS,start_question
23,190,7,20,Sure.  Photos of any vehicles?,q,MR. WEINBERG,start_answer
24,191,7,21,I took photos the day of.,a,THE WITNESS,start_question
25,192,7,22,Have you seen them today or the last couple weeks or so?,q,MR. WEINBERG,start_answer
26,194,7,24,Yes.,a,THE WITNESS,start_question
27,195,7,25,When and where did you see the photos?,q,MR. WEINBERG,start_answer
28,198,8,2,Today.,a,THE WITNESS,start_question
29,199,8,3,Do you have a copy of those photos with you now?,q,MR. WEINBERG,start_answer
30,201,8,5,"Yes.  Well, on my e-mail.",a,THE WITNESS,start_question
31,202,8,6,"Can we have those photos pulled up, ma'am?",q,MR. WEINBERG,start_answer
32,204,8,8,Yes.,a,THE WITNESS,start_question
33,205,8,9,"While you're pulling those photos up, why did you take the photos?",q,MR. WEINBERG,start_answer
34,207,8,11,To document what happened.,a,THE WITNESS,start_question
35,208,8,12,Okay.,q,MR. WEINBERG,start_answer
36,209,8,13,"In case, you know, something like this were to happen.",a,THE WITNESS,start_question
37,211,8,15,Okay.  Let me see if we can break that down.  You took photos at the scene of the accident?,q,MR. WEINBERG,start_answer
38,214,8,18,Yes.,a,THE WITNESS,start_question
39,215,8,19,And you took the photos in case something like this happened.  Can you be more specific for me.,q,MR. WEINBERG,start_answer
40,218,8,22,Just to have documentation of the accident period.,a,THE WITNESS,start_question
