,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,138,5,12,- - - EXAMINATION,symbols,,symbols
2,140,5,14,- - -,symbols,,start_question
3,142,5,16,"Good morning.  My name is Kyle Nocho.  I represent the plaintiff in this case, the Estate of Taj'anae Siler.  Today I'm just going to ask you some questions about your job at Catholic Community Services, and then also some of the work that you did on Ms. Siler's case.  Okay?",q,MR. NOCHO,start_answer
4,149,5,23,Yes.,a,THE WITNESS,start_question
5,150,5,24,Have you ever been to a deposition before?,q,MR. NOCHO,start_answer
6,153,6,1,"If I did, it was years.  It had to be 30, 40 years ago.  It was related to a car accident.  That's it.",a,THE WITNESS,start_question
7,156,6,4,Okay.  I just want to give you some instructions so we're on the same page --,q,MR. NOCHO,start_answer
8,158,6,6,Sure.,a,THE WITNESS,start_question
9,159,6,7,"-- of how everything goes today. I'm going to ask you questions.  I would ask that you try to wait until I finish the question until you respond.  That way, the court reporter here can take down everything being said.  Otherwise, it may be tough to follow.",q,MR. NOCHO,start_answer
10,166,6,14,Uh-uh.,a,THE WITNESS,start_question
11,167,6,15,"Then another point also with the court reporter being here, if you want to say yes or no to a question, make sure you verbalize yes or no because I understand what you're saying today when you say uh-uh or uh-uh, but it's not captured on the transcript. Okay?",q,MR. NOCHO,start_answer
12,174,6,22,Uh-uh.,a,THE WITNESS,start_question
13,175,6,23,You mean yes?,q,MR. NOCHO,start_answer
14,176,6,24,Yes.,a,THE WITNESS,start_question
15,177,6,25,"And if at any time you want to take a break, use the restroom, just let me know and we can pause the deposition.  Okay?",q,MR. NOCHO,start_answer
16,181,7,3,Yes.,a,THE WITNESS,start_question
17,182,7,4,Okay.  Are you on any medications today affecting your ability to testify?,q,MR. NOCHO,start_answer
18,185,7,7,No.,a,THE WITNESS,start_question
19,186,7,8,"And also as part of the instructions, if there is any questions that you don't know, I would prefer that you answer saying that you don't know or if you are estimating that you say that you're estimating just so we're on the same page understanding, you know, your response to the question.  Okay?",q,MR. NOCHO,start_answer
20,193,7,15,Yes.,a,THE WITNESS,start_question
21,194,7,16,Okay.  Could you state your full name.,q,MR. NOCHO,start_answer
22,196,7,18,Robert Lee Dutton.,a,THE WITNESS,start_question
23,197,7,19,And who is your current employer?,q,MR. NOCHO,start_answer
24,199,7,21,Catholic Community Services.,a,THE WITNESS,start_question
25,200,7,22,What is your current job title?,q,MR. NOCHO,start_answer
26,201,7,23,Case Management Supervisor.,a,THE WITNESS,start_question
27,202,7,24,Have you ever testified in a court before?,q,MR. NOCHO,start_answer
28,205,8,1,Yes.,a,THE WITNESS,start_question
29,206,8,2,Under what circumstances were you testifying in a court?,q,MR. NOCHO,start_answer
30,208,8,4,Dependency Court for our clients.,a,THE WITNESS,start_question
31,210,8,6,"And when you say our clients, you mean your clients at Catholic Community Services?",q,MR. NOCHO,start_answer
32,213,8,9,Yes.,a,THE WITNESS,start_question
33,214,8,10,So that would be Dependency Court here in Philadelphia?,q,MR. NOCHO,start_answer
34,216,8,12,Yes.,a,THE WITNESS,start_question
35,217,8,13,"In preparation for today's deposition, did you review any documents?",q,MR. NOCHO,start_answer
36,219,8,15,Yes.,a,THE WITNESS,start_question
37,220,8,16,What types of documents did you review?,q,MR. NOCHO,start_answer
38,222,8,18,Mostly e-mails.,a,THE WITNESS,start_question
39,223,8,19,These were e-mails that you sent as part of your job at Catholic Community Services?,q,MR. NOCHO,start_answer
40,226,8,22,Yes.,a,THE WITNESS,start_question
41,227,8,23,Were these e-mails relating to Taj'anae Siler?,q,MR. NOCHO,start_answer
42,229,8,25,Yes.,a,THE WITNESS,start_question
