,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,symbols
1,225,7,14,- - -,symbols,,start_chat
2,226,7,15,Did you want him to read and sign?,side_chat,MR. BLUM,start_chat
3,228,7,17,Yes.,side_chat,MR. ACKLEN,start_question
4,230,7,19,"Good morning.  Could you state your full name for the record, please.",q,MR. BLUM,start_answer
5,232,7,21,Sure.  Michael J. Vander Maten.,a,THE WITNESS,start_question
6,233,7,22,"All right.  Michael, do you mind if I call you Michael?",q,MR. BLUM,start_answer
7,235,7,24,Mike or Michael is fine.,a,THE WITNESS,start_question
8,236,7,25,"All right.  Mike, my name is Joseph Blum, and I represent Mercedes-Benz in a case that's been brought by Harleysville Insurance Company.  I'm going to ask you a series of questions today. If at any time you don't understand my question, please tell me.  I will be happy to restate it for you.  If at any time today you want to take a break, please let us know.  I will be happy to let you take a break. I would also ask that you keep all of your responses verbal because the court reporter cannot take down nods of our head or shrugs of our shoulders.  Is there anything which would prevent you from testifying accurately today?",q,MR. BLUM,start_answer
9,252,8,15,No.,a,THE WITNESS,start_question
10,253,8,16,By whom are employed?,q,MR. BLUM,start_answer
11,254,8,17,I'm currently employed by Nationwide Insurance Company.,a,THE WITNESS,start_question
12,256,8,19,And in what capacity do you work?,q,MR. BLUM,start_answer
13,258,8,21,"I work for the Commercial Claims Department, their Forensic Accounting Team.",a,THE WITNESS,start_question
14,260,8,23,"And what would you describe -- what would your job description be, what do you do?",q,MR. BLUM,start_answer
15,264,9,1,"We assist policyholders and our claims associates in the Commercial Claims Department with evaluating various economic damage aspects related to insurance claims. These could be business interruption losses, inventory loses, extra expense, employee dishonesty, cash theft loses.  Anything that we can do to assist either our policyholders or our claims associates in evaluating those damages.",a,THE WITNESS,start_question
16,274,9,11,And how long have you been employed by Nationwide in that capacity?,q,MR. BLUM,start_answer
17,276,9,13,Since November of 2015.,a,THE WITNESS,start_question
18,277,9,14,"All right.  And before November of 2015, could you tell us what you were doing work wise.",q,MR. BLUM,start_answer
19,280,9,17,"Sure.  I was a forensic accountant with an independent CPA firm, Vavnik, Trine, and Day.",a,THE WITNESS,start_question
20,283,9,20,Whoa.  Can you spell that for us.,q,MR. BLUM,start_answer
21,285,9,22,"V-A-V-N-I-K, T-R-I-N-E, and D-A-Y.",a,THE WITNESS,start_question
22,287,9,24,"Guess what, if you spelled it wrong, none of us will ever know.",q,MR. BLUM,start_answer
23,290,10,1,"Well, I had to think because we got bought out by another CPA firm.  I was only with them for a very short time.",a,THE WITNESS,start_question
24,293,10,4,"All right.  While you were at the CPA firm, how long were you there at the CPA firm?",q,MR. BLUM,start_answer
25,296,10,7,"At Vavnik, I was there for about a year before joining Nationwide.",a,THE WITNESS,start_question
26,298,10,9,"Okay.  Were you at a predecessor firm, I take it, before that?",q,MR. BLUM,start_answer
27,300,10,11,"Yes, I was.  It was Gaintner, Bandler, Reed, and Peters.",a,THE WITNESS,start_question
28,302,10,13,Okay.  And how long were you there?,q,MR. BLUM,start_answer
29,304,10,15,Since January of 1999.,a,THE WITNESS,start_question
30,305,10,16,"And tell me, while you were at those two CPA firms, what were you doing there?",q,MR. BLUM,start_answer
31,307,10,18,"Essentially the same thing that I'm doing now for Nationwide, in-house for Nationwide, I was doing as an independent contractor for various insurance companies including Nationwide.",a,THE WITNESS,start_question
32,312,10,23,"And before January of 1999, what were you doing?",q,MR. BLUM,start_answer
33,314,10,25,Same thing.  I was doing forensic accounting for a firm out of Los Angeles.  It was called RGL Gallagher.,a,THE WITNESS,start_question
34,318,11,3,And how long were you there?,q,MR. BLUM,start_answer
35,319,11,4,"Well, I was with them since 1997.  They started out as Campos and Stratus. I was with them since 1990, May of '90.",a,THE WITNESS,start_question
36,322,11,7,Was that also in the capacity of a forensic accountant?,q,MR. BLUM,start_answer
37,324,11,9,It was.,a,THE WITNESS,start_question
38,325,11,10,"Before 1990, were you employed?",q,MR. BLUM,start_answer
39,326,11,11,I was in school.,a,THE WITNESS,start_question
40,327,11,12,And where did you go to school?,q,MR. BLUM,start_answer
41,328,11,13,University of Arizona.,a,THE WITNESS,start_question
42,329,11,14,Did you receive a degree there?,q,MR. BLUM,start_answer
43,330,11,15,I did.  I have a bachelor's in accounting and finance.,a,THE WITNESS,start_question
44,332,11,17,Okay.  And any other advanced degrees?,q,MR. BLUM,start_answer
45,334,11,19,"No, sir.",a,THE WITNESS,start_question
46,335,11,20,Okay.  And have you ever sat for a CPA exam?,q,MR. BLUM,start_answer
47,337,11,22,I did.,a,THE WITNESS,start_question
48,338,11,23,And did you pass it?,q,MR. BLUM,start_answer
49,339,11,24,"I passed -- when I took the exam, it was a five part exam and I passed certain parts at different times.  I did not pass them all at one time to complete the exam.",a,THE WITNESS,start_question
50,344,12,3,"All right.  So as we sit here today, you are not considered a CPA?",q,MR. BLUM,start_answer
51,346,12,5,I am not a CPA.,a,THE WITNESS,start_question
52,347,12,6,And have you taken any other courses after you left the University of Arizona related to accounting or forensics?,q,MR. BLUM,start_answer
53,350,12,9,"Yes.  Well, I'm a Certified Fraud Examiner.  I've been a CFE for a number of years since 2005, I believe.  I take regularly ongoing continuing education courses related to fraud and fraud examination.  Those typically center around the accounting aspects of fraud and fraud examination.",a,THE WITNESS,start_question
54,357,12,16,"And your CFE, what did you have to do to obtain that?",q,MR. BLUM,start_answer
55,359,12,18,Take an exam.,a,THE WITNESS,start_question
56,360,12,19,"Is that a written exam, an oral exam, or a combination?",q,MR. BLUM,start_answer
57,362,12,21,It's a written exam.,a,THE WITNESS,start_question
58,363,12,22,"And who is the, like, sponsoring agency or the group that --",q,MR. BLUM,start_answer
59,365,12,24,"The association is Certified Fraud Examiners, I believe, out of Austin, Texas.",a,THE WITNESS,start_question
60,369,13,2,Did you have to just take that exam or were there preparatory courses that you had to pass in order to take the exam?,q,MR. BLUM,start_answer
61,372,13,5,"Well, there was a preparatory exam course that you had to take, but you also needed to fulfill the experience requirements. Based on the years of service and the type of accounting practice that I was in, it qualified me for the experience requirement to sit for the exam.",a,THE WITNESS,start_question
62,379,13,12,All right.  And have you ever testified as an expert in court at any time?,q,MR. BLUM,start_answer
63,381,13,14,Yes.,a,THE WITNESS,start_question
64,382,13,15,And can you tell us how many times.,q,MR. BLUM,start_answer
65,384,13,17,"This is just through deposition testimony.  I haven't testified in court.  So I think it was, maybe, four or five.",a,THE WITNESS,start_question
66,387,13,20,And do you remember the names of any of the cases?,q,MR. BLUM,start_answer
67,389,13,22,I don't as I sit here today.,a,THE WITNESS,start_question
68,390,13,23,Did you maintain copies of the -- do you have copies of the transcripts from any of those depositions?,q,MR. BLUM,start_answer
69,394,14,1,"No, I do not.",a,THE WITNESS,start_question
70,395,14,2,Do you remember what courts they were in?,q,MR. BLUM,start_answer
71,397,14,4,"I think one of them was Arizona State Court, and I think there might have been a Federal Court case as well.",a,THE WITNESS,start_question
72,400,14,7,What were the general topics that you were testifying about in those cases?,q,MR. BLUM,start_answer
73,402,14,9,"It was with regard to economic damages such as loss of income -- I'm trying to think.  I think one of them might have been an employee dishonesty case.  But, in general, most of them have been regarding the loss of income business interruption aspects.",a,THE WITNESS,start_question
74,408,14,15,"Okay.  On a day-to-day basis or monthly basis when you're at Nationwide, can you tell us, like, how many forensic examinations are you conducting just on a routine basis?",q,MR. BLUM,start_answer
75,413,14,20,"Sure.  Our goal is to do about 26 claims a month, which is about 300 a year. Typically allowing for vacations and stuff.  We pretty much try to stick toward that goal.",a,THE WITNESS,start_question
76,417,14,24,"And is that something you actually track, like, how many you have done?",q,MR. BLUM,start_answer
77,420,15,1,"Oh, yes.",a,THE WITNESS,start_question
78,421,15,2,"And as we sit here today, do you remember the claim from the Clemens Cleaning Village?",q,MR. BLUM,start_answer
79,424,15,5,I do.,a,THE WITNESS,start_question
80,425,15,6,"Okay.  Before you came here today, other than speaking to your attorney, did you do anything to prepare yourself for the deposition?",q,MR. BLUM,start_answer
81,429,15,10,"Basically looked through my report, my prior report.",a,THE WITNESS,start_question
82,431,15,12,Okay.  And were there drafts of your report that you also reviewed?,q,MR. BLUM,start_answer
83,433,15,14,No.,a,THE WITNESS,start_question
84,434,15,15,"Okay.  So let's turn now -- I'm going to start asking you some questions specifically about Clemens.  When you have an assignment like this, is it something that you typically go out into the field or do you work from your office or from home to do that?",q,MR. BLUM,start_answer
85,440,15,21,No.  Almost all of the work that we do is performed from our home.,a,THE WITNESS,start_question
86,442,15,23,"And in the Clemens Cleaning Village case, is that true that you --",q,MR. BLUM,start_answer
87,444,15,25,That is true.,a,THE WITNESS,start_question
88,446,16,1,-- basically sat in your home office and performed this work?,q,MR. BLUM,start_answer
89,448,16,3,That's correct.,a,THE WITNESS,start_question
90,449,16,4,"Okay.  Did you ever interview, like, over-the-phone or in-person, anyone who was a representative of Clemens Cleaning Village?",q,MR. BLUM,start_answer
91,453,16,8,"I had an initial conversation with Randy, Mr. Randy Clemens.  Then, I believe, I also had a conversation with his associate, Ms. Janet Curtis.",a,THE WITNESS,start_question
92,457,16,12,"Okay.  And did you ever have any contact with their accounting firm, the outside accounting firm, that represents Clemens Cleaning Village?",q,MR. BLUM,start_answer
93,461,16,16,"No, sir.",a,THE WITNESS,start_question
94,462,16,17,Do you remember anything about the conversation you had with Randy Clemens?,q,MR. BLUM,start_answer
95,464,16,19,"That specific conversation, no.",a,THE WITNESS,start_question
96,465,16,20,Okay.  Do you have any general thoughts about what it was about?,q,MR. BLUM,start_answer
97,467,16,22,"Well, generally, in my initial conversation with a policyholder I will discuss what our role in the process is, what kind of information we'll probably need to take a look at, the process of evaluating the business income loss, the extra expense loss.  That's a typical conversation that I would have with any policyholder.",a,THE WITNESS,start_question
98,476,17,5,All right.  Do you recall your conversation with Janet specifically?,q,MR. BLUM,start_answer
99,478,17,7,"My initial conversation was with Randy.  It wasn't with Janet.  I did speak with Janet later on with regard to the flow of the documentation, when we would be receiving documentation.  If I had any questions, they would typically go through Janet.",a,THE WITNESS,start_question
100,484,17,13,All right.  What were you asked to do in this case?,q,MR. BLUM,start_answer
101,486,17,15,"I was asked to work with our policyholder, evaluate the business income loss, summarize, review the extra expense invoices that they were submitting, put them into a format that I could provide to the claim associate for his coverage review and coverage determination, and then the report on a monthly basis going along through the policy period.",a,THE WITNESS,start_question
102,494,17,23,"All right.  And if we were to -- I take it that everything you did on this would have been done on the computer, not on paper necessarily?",q,MR. BLUM,start_answer
103,499,18,2,That's correct.,a,THE WITNESS,start_question
104,500,18,3,"And if we were to sit down at your computer, what kind of file or files would be available to you if you looked at them for this claim?",q,MR. BLUM,start_answer
105,504,18,7,I just want to clarify.,a,THE WITNESS,start_question
106,505,18,8,Sure.,q,MR. BLUM,start_answer
107,506,18,9,"When you say files, do you mean, like, PDF or word documents or what --",a,THE WITNESS,start_question
108,508,18,11,"I'm more talking, like, organization.  If you sat down at your computer today and you wanted to look at the file for Clemens Cleaning Village --",q,MR. BLUM,start_answer
109,512,18,15,Okay.,a,THE WITNESS,start_question
110,513,18,16,What would it look like in terms of the layout or how you could find pieces of the file?,q,MR. BLUM,start_answer
111,516,18,19,"It would be in a sub-folder with categorization of my work papers and then any PDF of my documents, of my reports, that were submitted to the claim associate.  Then possibly a folder with the extra expense invoice, possibly a folder with other documents such as payroll or tax returns.",a,THE WITNESS,start_question
112,524,19,1,"So in terms of the extra expense, if the client or the insured was submitting invoices, let's just say for a replacement shirt, would you have reviewed and then saved that invoice in your file?",q,MR. BLUM,start_answer
113,529,19,6,Yes.,a,THE WITNESS,start_question
114,530,19,7,"And could you, if you had to, go back and trace every invoice that's listed in your report to some PDF or document that's in your file?",q,MR. BLUM,start_answer
115,534,19,11,"Yes.  It would take some time, but, yeah.",a,THE WITNESS,start_question
116,536,19,13,But your belief is that it is all there?,q,MR. BLUM,start_answer
117,538,19,15,Yes.,a,THE WITNESS,start_question
118,539,19,16,I'm going to mark as Exhibit-1 to your deposition a copy of your report.,q,MR. BLUM,symbols
119,541,19,18,- - -,symbols,,is brackets
120,542,19,19,"(Whereupon, Exhibit-1 was marked for identification.)",brackets,,symbols
121,544,19,21,- - -,symbols,,start_question
122,546,19,23,"I'm just going to ask you to take a moment and go through that.  My first question is, is that a true and correct copy of your final report from the Clemens Cleaning Village claim?",q,MR. BLUM,start_answer
123,552,20,3,Yes.  This does appear to be a final report.,a,THE WITNESS,start_question
124,554,20,5,"In the upper left-hand corner on the first page there is a date of 10/24/18.  Is that the date on which you personally would have finalized that or is that just, like, when this report got printed?  You tell me what that number represents.",q,MR. BLUM,start_answer
125,560,20,11,"It's typically the same thing. So when I generate the report, it was generated on 10/24.  It's stamped with that date, and that's usually the date that I would send it off to the claim associate.",a,THE WITNESS,start_question
126,565,20,16,"Is it accurate that before you got to this final report on 10/24, would there have been interim reports that you would have provided to the claims adjuster?",q,MR. BLUM,start_answer
127,569,20,20,"Yes, sir.",a,THE WITNESS,start_question
128,570,20,21,And is it also accurate that all of the information that you submitted to the claims adjuster in those interim reports is really summarized and finalized in this report of 10/24/18?,q,MR. BLUM,start_answer
129,576,21,1,Yes.,a,THE WITNESS,start_question
130,577,21,2,"Okay.  All right.  I want to focus on the first page, if we could.",q,MR. BLUM,start_answer
131,579,21,4,Okay.,a,THE WITNESS,start_question
132,580,21,5,"Can you tell me briefly -- there is page numbers at the bottom, which are production numbers from the litigation.  They are not your page numbers.  So looking at page 1731, could you just please tell us what this page represents.",q,MR. BLUM,start_answer
133,586,21,11,"This page is just a summary of the evaluated business income loss through our policy period ending June 15, 2017, and a summary of the extra expenses that we had reviewed.  It just summarizes the analysis contained in the schedules leading up to the summary schedule.",a,THE WITNESS,start_question
134,593,21,18,"Okay.  Just so we're on the same page, and you have to understand I'm not an accountant so I want to make sure I'm using the right words.  Can you just tell me, what is your definition as you're working on this of what business income loss is?",q,MR. BLUM,start_answer
135,599,21,24,"Well, the business income loss is the net profit or loss that you would have had but for the loss of that, plus your continuing operating expenses including payroll.  That analysis is contained on the supporting schedules, as well as a format which, I believe, is a little bit simpler for policyholders to understand and us to explain. It's an evaluation of the loss revenues less those expenses that would discontinue or be saved during the loss period. Those numbers should equal -- whether you do that first bottom up approach or the top down approach, which I would call the loss sales less save expenses, and that analysis is contained in the supporting Schedules.",a,THE WITNESS,start_question
136,616,22,15,"Okay.  And then the extra expense, just again so we're on the same page, tell me from your professional definition of what extra expense means in the context of this report.",q,MR. BLUM,start_answer
137,621,22,20,"Well, those extra expenses would be those expenses incurred by the policyholder that are over and above normal to continue the business operations.  We basically summarize those invoices and review them as they were provided to us from the policyholder to the claims associate for their review of coverage as well.  There could be duplications with what they are handling in terms of the property damage or contents.  We typically summarize those expenses and provide it to the claims associate for their determination as to coverage.",a,THE WITNESS,start_question
138,635,23,8,"And, again, just sticking with the summary on page one, under the preliminary business income loss through June 15th of 2017, I believe the way your schedule here shows is that there is no loss; is that correct?",q,MR. BLUM,start_answer
139,640,23,13,That is correct.,a,THE WITNESS,start_question
140,641,23,14,"All right.  Then there are two, I call them footnotes, on this page.  It's notes A and B.  Can you tell us, what was the significance of note A on the first page of your report?",q,MR. BLUM,start_answer
141,646,23,19,"I think the significance of footnote A was from an earlier report and the footnote probably should not have continued on. But, essentially, the purpose of footnote A in an earlier report that I was illustrating to the claims associate that the policyholder had not submitted a formal business interruption claim, and that the indication that we were receiving from the policyholder was the same as our preliminary analysis through July 2016.  So obviously that first footnote shouldn't have continued on into this report probably.",a,THE WITNESS,start_question
142,659,24,6,How about footnote B?,q,MR. BLUM,start_answer
143,660,24,7,"Footnote B, I was illustrating to the claims associate that we had taken into account the policy provision of the 24 hour waiting period.  That's the first part of the note.  Then as we were evaluating the loss of income for Clemens Cleaning Village, the format of the loss sales less they saved expenses became a negative number. I had a conversation with our claims associate in that time period asking him if we would be -- if it was his opinion that we should deduct that negative business income amount from the extra expenses that were submitted.  He had indicated to me that, no, we would not be taking that negative business income value against the extra expenses.",a,THE WITNESS,start_question
144,676,24,23,Did he indicate to you why that was?,q,MR. BLUM,start_answer
145,678,24,25,"He felt that the coverages were stand alone, that the business interruption was suffered from the extra expenses.  If there was no business income or business interruption loss, that the extra expenses would stand on their own.",a,THE WITNESS,start_question
146,685,25,6,"Okay.  And I take it if we go through page-by-page, everything in the rest of this report is the backup for the two conclusions or the two summaries you have on page one; is that correct?",q,MR. BLUM,start_answer
147,690,25,11,That's correct.,a,THE WITNESS,start_question
148,691,25,12,"Can you look at the next page for us, page 1732.  Can you tell me, what does page 1732 represent?",q,MR. BLUM,start_answer
149,694,25,15,"Yes.  This is the evaluation of the business income loss in that format that I described earlier, which is in that net income plus continuing operating expense format.  So this is in what's typically the policy language format of the business interruption.",a,THE WITNESS,start_question
150,700,25,21,"And the conclusion that I see on here -- make sure I understand this -- is that the extreme right-hand column is the loss net income, right?  And your number here is $188,318, which shows as a negative number meaning there was actually $188,000 above what their operating income would have otherwise been?",q,MR. BLUM,start_answer
151,709,26,4,Yes.  Or that there was no business interruption loss.,a,THE WITNESS,start_question
152,711,26,6,"Okay.  During the timeframe when your company is reimbursing the insured for extra expenses, does that impact your analysis of this loss of business income?",q,MR. BLUM,start_answer
153,715,26,10,The timing of when payments are made doesn't impact our analysis of business interruption.  I hope I understood your question.,a,THE WITNESS,start_question
154,719,26,14,"I think you did.  Because when you say the timing of payments, it's the timing of payments from the insurance company to the insured does not impact this analysis?",q,MR. BLUM,start_answer
155,723,26,18,"That's correct.  And from our department, from the Forensic Accounting Team, we don't have anything to do with payments that are made.  We issue the reports and then payments are made from the claims adjuster at the claims management level.",a,THE WITNESS,start_question
156,729,26,24,"And I take it if you look at the Schedule on page 1732, are there areas that you can identify where the insured actually saved money as a result of the loss and that's how they ended up with a negative loss net income?",q,MR. BLUM,start_answer
157,735,27,4,"I don't know if I would phrase it as, they saved money, per se.  I would just say that in the evaluation of the business interruption loss, the extra expenses that they incurred mitigated their revenue losses.  Then when we took into account the revenue evaluation.  There were certain expenses that when deducted lead us to a negative number. Such as, a larger one on here would be depreciation, for instance.",a,THE WITNESS,start_question
158,745,27,14,"Okay.  In fact, the depreciation here is $223,745; is that correct?",q,MR. BLUM,start_answer
159,747,27,16,"There are actually two lines of depreciation.  There is a $223,745 and then there is a $28,470.",a,THE WITNESS,start_question
160,750,27,19,And both of those are depreciation numbers that contributed to the negative section of the loss net income?,q,MR. BLUM,start_answer
161,753,27,22,That's correct.,a,THE WITNESS,start_question
162,754,27,23,"And can you tell us when you did this comparison, obviously you were saying there wasn't a loss, what were you comparing it to?  So what was the base numbers that you used to compare that there was not a loss income?",q,MR. BLUM,start_answer
163,760,28,3,"Well, we were primarily interested -- well, let me take a step back. Once the determination by the claims associate was made that the negative BI would not be applied to the extra expenses, from that standpoint on, on a monthly basis we were reviewing monthly sales from Clemens and their monthly payroll reports and just monitoring on a sales basis whether there would be any reduction or loss of revenues that could contribute to a positive business income loss.",a,THE WITNESS,start_question
164,771,28,14,Okay.  And I take it that there was not a loss that occurred?,q,MR. BLUM,start_answer
165,773,28,16,That's correct.,a,THE WITNESS,start_question
