,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," objections at a later time.  Signing, sealing, and certification will be deemed waived.  These terms acceptable, counsel?",,,start_chat
1,156,6,12,They are.,side_chat,MR. DAVIS,start_question
2,158,6,14,"Ms. Saimesier, could you please state your full name and current address, please.",q,MR. MILEWSKI,start_answer
3,161,6,17,"My name is Sicilia Saimesier.  I live at 1330 West Spencer Street in Philadelphia, Pennsylvania 19141.",a,THE WITNESS,start_question
4,164,6,20,And were you employed prior to October 9th of 2018?,q,MR. MILEWSKI,start_answer
5,166,6,22,"I was working with Genesis.  Now I'm working with Abramson Center, and it's been ten years.",a,THE WITNESS,start_question
6,169,6,25,Okay.  So you were working for Abramson prior to October 9th of 2018?,q,MR. MILEWSKI,start_answer
7,172,7,2,Abramson.,a,THE WITNESS,start_question
8,173,7,3,What was your job with Abramson?,q,MR. MILEWSKI,start_answer
9,174,7,4,CNA.,a,THE WITNESS,start_question
10,175,7,5,What were your duties as a CNA?,q,MR. MILEWSKI,start_answer
11,176,7,6,"Lift, push.  I did pulling as well.  Like, you have a device called a sling that you attach to machines so you can lift the patient.",a,THE WITNESS,start_question
12,180,7,10,So it involved lifting of patients?,q,MR. MILEWSKI,start_answer
13,182,7,12,Some patients you have to get a second person to help you lift them with both hands.,a,THE WITNESS,start_question
14,185,7,15,"Were you injured on October 9, 2018?",q,MR. MILEWSKI,start_answer
15,187,7,17,Yes.,a,THE WITNESS,start_question
16,188,7,18,And how specifically were you injured?,q,MR. MILEWSKI,start_answer
17,190,7,20,Was it when I was pushing the person?,a,THE WITNESS,start_question
18,192,7,22,That's what I'm asking.  How were you injured on October 9th?,q,MR. MILEWSKI,start_answer
19,194,7,24,"I was using a machine to lift the person, and I pulled the sling because the person was very heavy.  She could not bend her knee so you had to push the machine to help her move and that's how I hit my shoulder.",a,THE WITNESS,start_question
20,200,8,4,So you injured your shoulder while lifting a patient?,q,MR. MILEWSKI,start_answer
21,202,8,6,Yes.,a,THE WITNESS,start_question
22,203,8,7,Where specifically in your shoulder?,q,MR. MILEWSKI,start_answer
23,205,8,9,The right side and my neck.,a,THE WITNESS,start_question
24,206,8,10,Did you continue working after your injury?,q,MR. MILEWSKI,start_answer
25,208,8,12,No.  I had another patient to work with and somebody else came and give me assistance.,a,THE WITNESS,start_question
26,211,8,15,Were you out of work for any period of time?,q,MR. MILEWSKI,start_answer
27,213,8,17,Yes.,a,THE WITNESS,start_question
28,214,8,18,When was that?,q,MR. MILEWSKI,start_answer
29,215,8,19,"After the injury.  I don't remember exactly the date, but it was, like, three or four months.",a,THE WITNESS,start_question
30,218,8,22,Then you returned to work?,q,MR. MILEWSKI,start_answer
31,219,8,23,"Yes.  I returned to work, but since I was in a lot of pain the doctor restricted me to light-duty.",a,THE WITNESS,start_question
32,223,9,1,Are you still working light-duty now?,q,MR. MILEWSKI,start_answer
33,225,9,3,No.  They sent me back to the floor and they still send me to very hard places.,a,THE WITNESS,start_question
34,228,9,6,When did you go back to working in that capacity?,q,MR. MILEWSKI,start_answer
35,230,9,8,"I don't remember exactly, but I believe it was in the month of May or something like that.",a,THE WITNESS,start_question
36,233,9,11,Did you receive treatment for your injuries after October 9th of 2018?,q,MR. MILEWSKI,start_answer
37,235,9,13,Yes.  And I'm still receiving treatment now.,a,THE WITNESS,start_question
38,237,9,15,Who have you received treatment from?,q,MR. MILEWSKI,start_answer
39,239,9,17,I went to therapy and I was referred to Dr. Anand.,a,THE WITNESS,start_question
40,241,9,19,Are you seeing anyone else besides Dr. Anand?,q,MR. MILEWSKI,start_answer
41,243,9,21,No.  I don't think so.,a,THE WITNESS,start_question
42,244,9,22,Are you also seeing Dr. McNodi?,q,MR. MILEWSKI,start_answer
43,245,9,23,Yes.,a,THE WITNESS,start_question
44,246,9,24,What treatment is he providing for you?,q,MR. MILEWSKI,start_answer
45,249,10,1,"The treatment consist of patches that they put on my arm.  They give me acupuncture, and they want to give me needles too.",a,THE WITNESS,start_question
46,253,10,5,Is this Dr. McNodi or Dr. Anand?,q,MR. MILEWSKI,start_answer
47,254,10,6,Dr. Anand.,a,THE WITNESS,start_question
48,255,10,7,How long have you been treating with Dr. Anand?,q,MR. MILEWSKI,start_answer
49,257,10,9,"After the therapy sessions that were referred by my company, then I started doing therapy with Dr. Anand.",a,THE WITNESS,start_question
50,260,10,12,Do you recall if that --,q,MR. MILEWSKI,start_answer
51,261,10,13,I went to therapy to see Dr. Mark and Dr. Mark send me to Dr. Anand.,a,THE WITNESS,start_question
52,263,10,15,What body part is Dr. Anand treating you for?,q,MR. MILEWSKI,start_answer
53,265,10,17,"My arm, my shoulder.",a,THE WITNESS,start_question
54,266,10,18,"And you started telling us already, what treatment is he giving to you?",q,MR. MILEWSKI,start_answer
55,268,10,20,"He was going to give me injections.  He was going to do another nerve treatment, but I don't like the injection because it didn't help.",a,THE WITNESS,start_question
56,272,10,24,Is he prescribing you any medications?,q,MR. MILEWSKI,start_answer
57,275,11,1,Yes.,a,THE WITNESS,start_question
58,276,11,2,And what are those for?,q,MR. MILEWSKI,start_answer
59,277,11,3,For pain.,a,THE WITNESS,start_question
60,278,11,4,And I believe you also said earlier that he's giving you acupuncture?,q,MR. MILEWSKI,start_answer
61,280,11,6,Yes.  Acupuncture.,a,THE WITNESS,start_question
62,281,11,7,Is the acupuncture helpful to you at all?,q,MR. MILEWSKI,start_answer
63,283,11,9,Yes.,a,THE WITNESS,start_question
64,284,11,10,How so?,q,MR. MILEWSKI,start_answer
65,285,11,11,"When he does it, I don't feel a lot of pain.",a,THE WITNESS,start_question
