,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," a witness, called for examination, having been first duly sworn, was examined and testified as follows: EXAMINATION",,,start_question
1,56,3,10,"Good afternoon, Dr. Fechter.  We were introduced briefly off the record, but for the record my name is Kelly Kylis and along with Jennifer Alexander I represent the Defendant in the case that we have called you here for today. To begin, would you please state your name and business address.",q,MS. KYLIS,start_answer
2,63,3,17,Sure.  Joel Fechter.  We're at my office in Silver Spring at 10301 Georgia Avenue. We have an office in Bowie as well.,a,THE WITNESS,start_question
3,66,3,20,Is this Silver Spring office your primary location?,q,MS. KYLIS,start_answer
4,68,3,22,"It's the main office, yeah.",a,THE WITNESS,start_question
5,70,4,1,"Okay.  Now, I know you've had your deposition taken before on a number of occasions, but just to make me feel better we'll go through a couple quick ground rules.  The first is that all of your responses must be verbal.  Madam court reporter cannot take down nods of the head or nonverbal responses like uh-huh.  So all of your responses must be yes, no or whatever the answer may be. Secondly, we cannot talk over one another.  I know it's natural in conversation that we anticipate each other's responses, but we have to act like it's a shortwave radio and keep the record clear for madam court reporter.",q,MS. KYLIS,start_answer
6,84,4,15,Okay.,a,THE WITNESS,start_question
7,85,4,16,"Great.  If you don't understand any of my questions, please ask me to rephrase them. It's very important that we are on the same page so that the record is clear, and I will not be offended if you tell me I ask a bad question and you don't know what I'm talking about.",q,MS. KYLIS,start_answer
8,91,4,22,Okay.,a,THE WITNESS,start_question
9,93,5,1,"Finally, I don't think we'll be here very long, but if you need a break for any reason whatsoever, please let me know and we'll be happy to accommodate you.",q,MS. KYLIS,start_answer
10,97,5,5,Thank you.,a,THE WITNESS,is brackets
11,98,5,6,(Deposition Exhibit Number 1 was marked for identification.),brackets,,start_question
12,101,5,9,"Great.  Now, I will show you what I've marked as Exhibit 1 to your deposition.  This is your subpoena and notice of deposition, essentially your invitation to be here today. Have you seen that before?",q,MS. KYLIS,start_answer
13,106,5,14,It's probably in my file.  I don't really know that I looked at it.,a,THE WITNESS,start_question
14,108,5,16,"Okay.  Well, since you have it in front of you, there is a document schedule attached to it.  I see that you brought a stack of documents with you.  Can you tell me what you've brought today?",q,MS. KYLIS,start_answer
15,113,5,21,I have all of the medical records in her file.,a,THE WITNESS,start_question
16,116,6,1,"Now, I believe your medical records were provided to me already, so I think we're probably on the same page.  Do you have any kind of transmittal letter that would detail what's in your records?",q,MS. KYLIS,start_answer
17,121,6,6,"I don't think so.  I don't think I do, not that I remember seeing.  I have a letter from Mr. Kolker, but I don't think -- it doesn't really detail exactly what records are here.",a,THE WITNESS,start_question
18,125,6,10,Okay.  I saw that letter and I'm going to go ahead and believe that we have the same stack of records that your office provided.,q,MS. KYLIS,start_answer
19,128,6,13,It looks like it's about the same height.,a,THE WITNESS,start_question
20,130,6,15,"It sure does.  A couple inches, three, four maybe?",q,MS. KYLIS,start_answer
21,132,6,17,Yeah.,a,THE WITNESS,start_question
22,133,6,18,"Great.  Other than the records that you brought with you, do you have any documents, notes, journals, calendars, anything like that regarding Ms. Vaughn in your care, custody or control?",q,MS. KYLIS,start_answer
23,139,7,1,Other than what's here?,a,THE WITNESS,start_question
24,140,7,2,Correct.,q,MS. KYLIS,start_answer
25,141,7,3,"No, I don't think so.",a,THE WITNESS,start_question
26,142,7,4,"Okay.  Great.  Now, I have been provided -- I think your office provided me a copy of your CV.  I mean, I also got it from Plaintiff's counsel.  I'm going to mark that as Exhibit 2 to your deposition.  But before I hand that over to you, can you just give me briefly your educational background.",q,MS. KYLIS,start_answer
27,149,7,11,"Sure.  I went to University of Maryland in College Park, graduated in 1984.  University of Maryland School of Medicine, graduated in 1988, did an internship and residency at LA County USC Medical Center, which was completed in June of '93, residency in orthopedic surgery, and then an orthopedic sports medicine fellowship at the Kerlan-Jobe Orthopedic Clinic in Inglewood, California, completed in July of '94.",a,THE WITNESS,start_question
28,159,7,21,Excellent.  I know you are board certified; is that right?,q,MS. KYLIS,start_answer
29,162,8,1,I am.,a,THE WITNESS,start_question
30,163,8,2,In what specialty are you board certified?,q,MS. KYLIS,start_answer
31,165,8,4,Orthopedic surgery.,a,THE WITNESS,start_question
32,166,8,5,And what entity is it that governs that certification?,q,MS. KYLIS,start_answer
33,168,8,7,The American Board of Orthopedic Surgeons.,a,THE WITNESS,start_question
34,170,8,9,And are you current in your certification?,q,MS. KYLIS,start_answer
35,172,8,11,I am.,a,THE WITNESS,start_question
36,173,8,12,Do you have to recertify?,q,MS. KYLIS,start_answer
37,174,8,13,I do unfortunately.,a,THE WITNESS,start_question
38,175,8,14,When is your next recertification?,q,MS. KYLIS,start_answer
39,176,8,15,"I last recertified in 2015, so I guess that means my next one would be in about 10 years.",a,THE WITNESS,start_question
40,179,8,18,So 2025?,q,MS. KYLIS,start_answer
41,180,8,19,"You can go a little earlier, but that's the period of certification through 2025.",a,THE WITNESS,start_question
42,182,8,21,Understood.  Do you hold any state licenses?,q,MS. KYLIS,start_answer
43,185,9,1,"Actually maybe through 2026, I'm sorry. I have a license to practice medicine in Maryland and California.",a,THE WITNESS,start_question
44,188,9,4,"How often do you practice in California, if at all?",q,MS. KYLIS,start_answer
45,190,9,6,I don't anymore.,a,THE WITNESS,start_question
46,191,9,7,Okay.  When did you get that license?,q,MS. KYLIS,start_answer
47,192,9,8,"In my training, which was out in California.",a,THE WITNESS,start_question
48,194,9,10,Is that something that you have to keep current?,q,MS. KYLIS,start_answer
49,196,9,12,It's the same requirements basically as a Maryland license.,a,THE WITNESS,start_question
50,198,9,14,Okay.  So you do keep it current?,q,MS. KYLIS,start_answer
51,199,9,15,"Oh, yeah.",a,THE WITNESS,start_question
52,200,9,16,Do you maintain privileges at any hospitals?,q,MS. KYLIS,start_answer
53,202,9,18,"Yes.  I have privileges at Holy Cross Hospital, Shady Grove Adventist and Suburban Hospital.",a,THE WITNESS,is brackets
54,205,9,21,(Deposition Exhibit Number 2 was marked for identification.),brackets,,start_question
55,209,10,2,All right.  I have marked your CV as Exhibit 2 to your deposition.  I can hand it to you.,q,MS. KYLIS,start_answer
56,212,10,5,Okay.,a,THE WITNESS,start_question
57,213,10,6,"Now, you are currently employed here in this office, which is the office of Drs. Mininberg & Fechter, M.D., correct?",q,MS. KYLIS,start_answer
58,216,10,9,That's true.,a,THE WITNESS,start_question
59,217,10,10,And you are a partner of this practice?,q,MS. KYLIS,start_answer
60,218,10,11,I am.,a,THE WITNESS,start_question
61,219,10,12,Am I using the correct terminology there?,q,MS. KYLIS,start_answer
62,221,10,14,"I'm a partner, yes.",a,THE WITNESS,start_question
63,222,10,15,Okay.  And how long have you worked in this practice?,q,MS. KYLIS,start_answer
64,224,10,17,I came here in '96 and I've been here since then.,a,THE WITNESS,start_question
65,226,10,19,Where did you work before that?,q,MS. KYLIS,start_answer
66,227,10,20,"The Columbia Medical Plan at the Patuxent Medical Group in Columbia, Maryland.",a,THE WITNESS,start_question
67,229,10,22,How long did you work there?,q,MS. KYLIS,start_answer
68,231,11,1,Not quite two years.,a,THE WITNESS,start_question
69,232,11,2,And what was your job title or position?,q,MS. KYLIS,start_answer
70,234,11,4,Orthopedic surgeon.,a,THE WITNESS,start_question
71,235,11,5,Did you work anywhere else since your residency?,q,MS. KYLIS,start_answer
72,237,11,7,"Well, I did my fellowship and then after I was done training I went to Columbia where we did the job I was just talking about, and then I came here.  So post-education I've had two jobs.",a,THE WITNESS,start_question
73,242,11,12,Very nice.  Do you maintain any other positions currently at any -- in any capacity?,q,MS. KYLIS,start_answer
74,244,11,14,What do you mean?,a,THE WITNESS,start_question
75,245,11,15,Do you like maintain any positions in teaching or any -- do you work part-time at any practices?  I'm being very broad.,q,MS. KYLIS,start_answer
76,248,11,18,No.  I work here.,a,THE WITNESS,start_question
77,249,11,19,Do you have any publications?,q,MS. KYLIS,start_answer
78,250,11,20,Yes.  They're listed in my CV.,a,THE WITNESS,start_question
79,251,11,21,"Yes.  Of those listed in your CV -- I did not read them, I confess -- are any of those publications related to the injuries claimed by Ms. Vaughn in this case?",q,MS. KYLIS,start_answer
80,256,12,3,Not really.  They're mostly shoulder and knee kind of things.,a,THE WITNESS,start_question
81,258,12,5,"Okay.  Before I forget, the CV that you have in front of you that I've marked as Deposition Exhibit 2, is that up to date?",q,MS. KYLIS,start_answer
82,261,12,8,It looks like it.,a,THE WITNESS,start_question
83,262,12,9,Are there any changes or is there anything new that you have to add to this CV?,q,MS. KYLIS,start_answer
84,264,12,11,I don't think so.,a,THE WITNESS,start_question
85,265,12,12,"Great.  Now, Doctor, tell me about your current practice.  Do you -- in addition to seeing patients -- well, let me back up.  I assume in your practice you see patients.",q,MS. KYLIS,start_answer
86,269,12,16,That's right.,a,THE WITNESS,start_question
87,270,12,17,Do you also have administrative duties?,q,MS. KYLIS,start_answer
88,271,12,18,Not really.,a,THE WITNESS,start_question
89,272,12,19,"Okay.  When you say not really, I mean, you are a partner in the practice.  Is there any -- you must do some administrative things or --",q,MS. KYLIS,start_answer
90,277,13,1,So what do you mean by administrative things?,a,THE WITNESS,start_question
91,279,13,3,That's an excellent point.  Not clinical work.  Time spent not seeing patients.,q,MS. KYLIS,start_answer
92,281,13,5,"I mean, when I'm not seeing patients, I sometimes am dictating.  I mean, we have an office manager who runs the office.",a,THE WITNESS,start_question
93,284,13,8,Understood.  Okay.  So would you say that your practice is 100 percent clinical?,q,MS. KYLIS,start_answer
94,286,13,10,I think I would.,a,THE WITNESS,start_question
95,287,13,11,Okay.  I'm sure many doctors would be envious. Do you do any teaching in addition to your clinical practice?,q,MS. KYLIS,start_answer
96,291,13,15,Not really.,a,THE WITNESS,start_question
