,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," a witness, called for examination, having been first duly sworn, was examined and testified as follows: EXAMINATION",,,start_question
1,63,3,13,"Good afternoon, Dr. Lippman. We were introduced briefly off the record, but for the record, my name is Kelly Kylis, and along with Jennifer Alexander, we represent the defendants in the case filed by Ms. Regina Johnson for which we have brought you here today. To begin, would you please state your name and business address.",q,MS. KYLIS,start_answer
2,72,3,22,"My name is Kenneth R. Lippman.  My office address is 809 North Charles Street. That's Baltimore, Maryland 21201.",a,THE WITNESS,start_question
3,78,4,3,"Thank you, Doctor. Now, have you had your deposition taken before?",q,MS. KYLIS,start_answer
4,81,4,6,I have.,a,THE WITNESS,start_question
5,82,4,7,"Very good. Well, since you have, I will just go over a couple very brief ground rules that you probably already know. The first, as Madam Court Reporter has just reminded me, we must speak slowly and clearly so that she can accurately record everything that we say. Secondly, all responses must be verbal, yes, no, or whatever the answer may be. Thirdly, it's very important that we don't talk over each other so that she can accurately record everything that we say. Finally, if you don't understand any of my questions, please let me know, and I will be happy to rephrase them.  It's very important that we are on the same page at all times so that we have an accurate and clear record going forward. Okay?",q,MS. KYLIS,start_answer
6,105,5,5,Okay.,a,THE WITNESS,start_question
7,106,5,6,"Thank you, Doctor. Let me show you first what I have premarked as Deposition Exhibit Number 1.  This is your notice of deposition, essentially your invitation to be here today. Have you seen this document before?",q,MS. KYLIS,start_answer
8,112,5,12,I have not.,a,THE WITNESS,start_question
9,113,5,13,"Okay.  Attached to this deposition notice, if you wouldn't mind taking a quick look, is a document schedule.",q,MS. KYLIS,start_answer
10,116,5,16,Okay.,a,THE WITNESS,start_question
11,117,5,17,This document schedule requested you to bring pretty much just a copy of your file regarding Ms. Johnson. I see you have some papers with you today. What did you bring with you today?,q,MS. KYLIS,start_answer
12,126,6,1,This is basically the office file.,a,THE WITNESS,start_question
13,127,6,2,And what does that include?,q,MS. KYLIS,start_answer
14,128,6,3,"Well, there's -- there is one report from July 16, 2019.  There's actually a separate report that's not in here as well. There's the form that Ms. Johnson fills out when she comes into the office, a patient history form. There's a couple pages of my notes. There's a letter from Paula Valese. There's some -- there's some x-ray reports from GW. Some of the forms that Ms. Johnson signs when she comes in. Some of the forms that she didn't sign when she came in. And -- oh.  And then there's a letter from Mr. Covacevich, who unfortunately is not with us today.",a,THE WITNESS,start_question
15,145,6,20,"Right.  Not that he's dead, just --",q,MS. KYLIS,start_answer
16,146,6,21,"Yeah.  Just for the day, just for the day and could not be with us.",a,THE WITNESS,start_question
17,151,7,1,Thank you.,q,MS. KYLIS,start_answer
18,152,7,2,Yeah. And then there's the -- basically the bill that my office generates. And then there's a binder of records.,a,THE WITNESS,start_question
19,156,7,6,"Great. Now, the binder of records that you have, where did you receive those?",q,MS. KYLIS,start_answer
20,159,7,9,"Well, it came with this letter from Mr. Covacevich.",a,THE WITNESS,start_question
21,161,7,11,"Okay. Okay.  Now, the first item that you listed in the documents that you brought with you today is the 7-16-19 report?",q,MS. KYLIS,start_answer
22,165,7,15,Yes.,a,THE WITNESS,start_question
23,166,7,16,"I think that you said to me that there was another report. When you said that, what did you mean?",q,MS. KYLIS,start_answer
24,169,7,19,"I meant just what I said.  There's a -- after I completed this report, I wrote another, sort of supplemental, additional report, which I don't think you have.",a,THE WITNESS,start_question
25,176,8,1,Okay.,q,MS. KYLIS,start_answer
26,177,8,2,Okay?,a,THE WITNESS,start_question
27,178,8,3,And why did you not bring it with you today?,q,MS. KYLIS,start_answer
28,180,8,5,"Because it just didn't get -- for some reason, it's not in the file, but I know about it, and then -- so I -- I can print it out -- I can read it to you.  In fact, I can read it off my phone to you.  It's just a couple -- maybe one paragraph or so.  But it just wasn't -- for some reason, it didn't get put in the file.",a,THE WITNESS,start_question
29,187,8,12,Okay.,q,MS. KYLIS,start_answer
30,188,8,13,So the file got processed and billed without it.,a,THE WITNESS,start_question
31,190,8,15,Understood.,q,MS. KYLIS,start_answer
32,191,8,16,Yeah.,a,THE WITNESS,start_question
33,192,8,17,"That second report, when did you complete it?",q,MS. KYLIS,start_answer
34,194,8,19,I think it has the same date on it.,a,THE WITNESS,start_question
35,195,8,20,It's also from July 16?,q,MS. KYLIS,start_answer
36,196,8,21,"It's from July 16, yeah.",a,THE WITNESS,start_question
37,197,8,22,And why was it -- why did you do a second report on the same day?,q,MS. KYLIS,start_answer
38,202,9,2,"Because after I completed it, then I realized that the impairment issue was not addressed.  And I don't think it was actually -- I don't know that it was requested in the letter or addressed in the letter, so I -- I guess at some point it crossed my mind that that would be an issue that would come up, so I just -- while it was fresh in my mind, I dictated something about it.",a,THE WITNESS,start_chat
39,211,9,11,Okay.  If that report could be produced I guess to counsel and then to me --,side_chat,MS. KYLIS,start_chat
40,214,9,14,Yes.,side_chat,MR. KEARNS,start_chat
41,215,9,15,"Well, I'll be happy to. I can't physically do it here.  I can read it to you if you want.  I mean, I would just read it in if you want just so you have an idea what it says.  But if you want me to just send it to you when I get back to the office, I'm happy to do that as well.",side_chat,THE WITNESS,start_chat
42,222,9,22,"I think that would be fine. I mean, maybe just as a formality we can leave the deposition open for it?",side_chat,MS. KYLIS,start_chat
43,228,10,3,"You know, you could ask him, you know, what the substance of the report is and any opinions that he may have from it.",side_chat,MR. KEARNS,start_chat
44,231,10,6,Yes.  I do intend to.,side_chat,MS. KYLIS,start_chat
45,232,10,7,"Oh, all right.  Well, we're going to get you a copy of the document, though.",side_chat,MR. KEARNS,start_chat
46,235,10,10,Right.,side_chat,MS. KYLIS,start_chat
47,236,10,11,Yes.,side_chat,MR. KEARNS,start_chat
48,237,10,12,Yes.  I think that would be good.,side_chat,MS. KYLIS,start_question
49,240,10,15,"All right.  Well, while we're on the subject, can you tell me generally the substance of the -- what we're going to call the second report and --",q,MS. KYLIS,start_answer
50,244,10,19,Sure. Do you mind if I reference it?,a,THE WITNESS,start_question
51,246,10,21,Sure.,q,MS. KYLIS,start_answer
52,247,10,22,If I look at it? Okay. Do you want me to just read it to you or just tell you what it says?,a,THE WITNESS,start_question
53,254,11,4,"If it would be easier, Doctor, to read it, that would be fine.",q,MS. KYLIS,start_answer
54,256,11,6,"It says ""Orthopedic Surgeon's Report."" It's dated July 16, 2019.  And it references Regina Johnson. And it says (as read):  Following review of submitted medical records and the examination performed on 7-16-19, it could be said with a reasonable degree of medical probability and certainty that there is permanent impairment demonstrated.  This impairment is considered to be a result of the injuries sustained when she was shopping 2-2-16.  The impairment is represented in her current symptomatology, the physical examination and the imaging results.  This includes the myelomalacia reported by Dr. Hung. And it says ""Kenneth R. Lippman, M.D.""",a,THE WITNESS,start_question
55,272,11,22,Great.  Thank you.,q,MS. KYLIS,start_answer
56,276,12,1,You're welcome.,a,THE WITNESS,start_question
57,277,12,2,"Doctor, while we're on this -- I'm going to just keep referring to it as the second report -- the last line of this report, you were discussing that your opinions were based on the symptomatology and included -- and you used a medical term.  I was hoping you could give me a definition of that medical term that you used in layman's terms, the diagnosis from Dr. Young.",q,MS. KYLIS,start_answer
58,286,12,11,Hung.,a,THE WITNESS,start_question
59,287,12,12,Hung.  Sorry.,q,MS. KYLIS,start_answer
60,288,12,13,"H-U-N-G. Well, the term is ""myelomalacia,"" M-Y-E-L-O-M-A-L-A-C-I-A.  And basically that's a softening of the cord, the spinal cord.  It's when the cord turns to mush.",a,THE WITNESS,start_question
61,293,12,18,And what causes that condition?,q,MS. KYLIS,start_answer
62,294,12,19,"Well, it could be caused -- it's caused by some injury to the cord.",a,THE WITNESS,start_question
63,296,12,21,"Okay.  Now, we'll get into the mechanism of injury here in a minute, but I just want to focus on this while we're on it. Can you explain to me the basis for your opinion that this softening of the spinal cord is causally related to the incident that occurred at Walmart on February 20, 2016.",q,MS. KYLIS,start_answer
64,306,13,6,"Well, there's no indication in the records that she had any type of problem, difficulty or concerns that would suggest the diagnosis of myelomalacia prior to the events of February --",a,THE WITNESS,start_question
65,311,13,11,20th?,q,MS. KYLIS,start_answer
66,312,13,12,"It was 20th.  I just realized that this one says ""02"" instead of ""20,"" so the one I read to you has the wrong date on it.",a,THE WITNESS,start_question
67,315,13,15,Okay.,q,MS. KYLIS,start_answer
68,316,13,16,Okay?,a,THE WITNESS,start_question
69,317,13,17,We can forgive that.,q,MS. KYLIS,start_answer
70,318,13,18,"Yes.  Thank you. So prior to the events of February 20, 2016, she was quite -- she was physically active and had no symptoms that would be associated -- that would lead to entertaining such a diagnosis. And then when you go through the initial medical reports, the ones that are generated basically in the days, weeks and months following the injury, you see symptoms that are highly suggestive of this type of diagnosis. The -- there's a description of the initial injury, the unsteadiness that she had, the ataxia, the radiating symptomatology.  That and other symptoms are very suggestive of this type of diagnosis that was eventually made by MRI.",a,THE WITNESS,start_question
71,339,14,14,Right. And that diagnosis didn't come until the MRI in 2018; correct?,q,MS. KYLIS,start_answer
72,342,14,17,"That's correct.  There was not an MRI of the neck in 2016 or 2017, and to the best of my knowledge, there was not one prior to 2016 either.",a,THE WITNESS,start_question
73,346,14,21,"Correct.  Okay. Now, based on the description you just gave me, it sounds like your -- and correct me if I'm wrong, but it sounds like your opinion is based on the fact that she did not have any symptoms of this condition prior to the incident but did after. Did you review any medical records of Ms. Johnson that predate the February 20, 2016 incident?",q,MS. KYLIS,start_answer
74,359,15,9,I did not.,a,THE WITNESS,start_question
75,360,15,10,Okay.,q,MS. KYLIS,start_answer
76,361,15,11,I don't know of any.,a,THE WITNESS,start_question
77,362,15,12,Okay.,q,MS. KYLIS,start_answer
78,363,15,13,Okay?,a,THE WITNESS,start_question
79,364,15,14,"Therefore, was your -- is your assessment that she did not have those symptoms prior to the February 20, 2016 incident based solely on her history that she provided to you verbally when she came in for her visit?",q,MS. KYLIS,start_answer
80,369,15,19,It's based on the history and the lack of records.,a,THE WITNESS,start_question
81,371,15,21,"Did you review any records that -- of her medical history that predate the February 20, 2016 incident?",q,MS. KYLIS,start_answer
82,377,16,2,No.  I don't know of any.,a,THE WITNESS,start_question
83,378,16,3,Okay.,q,MS. KYLIS,start_answer
84,379,16,4,"I mean, if there are some, I -- I'd be happy to look at them.  But as we sit here, I don't know of any.",a,THE WITNESS,start_question
85,382,16,7,"Okay.  So when you say ""lack of records,"" that doesn't necessarily mean that those records don't exist, it's simply that you were not provided them to review?",q,MS. KYLIS,start_answer
86,386,16,11,"I don't know of any that do exist or don't exist.  I just don't have any information, other than I asked her in some way if there was something like this that predated the events of 2016, and she didn't indicate that there were, and I don't know that any records have been provided or found or known of or exist.",a,THE WITNESS,start_question
87,393,16,18,"Understood. Okay.  Thank you. Staying just for one more moment -- and I'll get into the other background questions that I want to ask you, but staying on your opinions as to this permanent impairment referenced in your second report that you've read to us from your phone, other than the information you've previously provided regarding the symptomatology, is there any other basis for that opinion that you can tell me about as we sit here today?",q,MS. KYLIS,start_answer
88,408,17,8,I'm sorry.  Could you run the question by me again.  I'm not sure I understood the question.,a,THE WITNESS,start_question
89,411,17,11,Yes.  That was a terrible question.  I saw Madam Court Reporter shake her head at me. I'm asking about the opinion in your -- what I'm calling the second report about permanent impairment.  You told me that that opinion is based on the symptomatology as presented to you by Ms. Johnson. Is there any other basis for that opinion that you can explain to me today?,q,MS. KYLIS,start_answer
90,420,17,20,"Sure.  It's -- it includes the symptomatology, but it also includes the physical examination, all the examinations that were performed between February 2016 and now, in other words, what other providers found in those several years' time, and the imaging studies, as well as the nature of the injury, the history itself, and the lack of a prior history. So it's basically -- I mean, it's everything that's on the table as we sit here.",a,THE WITNESS,start_question
