,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," Mary Murphy, having been sworn by the notary, testified as follows: EXAMINATION BY COUNSEL FOR THE DEFENDANT",,,start_question
1,76,4,7,"Good morning, Ms. Murphy.  My name is Jennifer Alexander.  We briefly met off the record.  If you could please state your full name, including your middle name, and spell it for the record, please.",q,MS. ALEXANDER,start_answer
2,81,4,12,Mary Elaine Murphy.  M-A-R-Y; E-L-A-I-N-E; M-U-R-P-H-Y.,a,THE WITNESS,start_question
3,83,4,14,"What is your address, please?",q,MS. ALEXANDER,start_answer
4,84,4,15,"6595 Deep Run Parkway, Elkridge, Maryland 21075.",a,THE WITNESS,start_question
5,86,4,17,Have you ever had your deposition taken before?,q,MS. ALEXANDER,start_answer
6,88,4,19,Yes.,a,THE WITNESS,start_question
7,89,4,20,When was the last time?,q,MS. ALEXANDER,start_answer
8,90,4,21,I don't recall the date.,a,THE WITNESS,start_question
9,91,4,22,Okay.  Approximately?,q,MS. ALEXANDER,start_answer
10,93,5,1,"Oh, my gosh.",a,THE WITNESS,start_question
11,94,5,2,"Was it 10 years ago, 20 years ago?",q,MS. ALEXANDER,start_answer
12,95,5,3,Yes.,a,THE WITNESS,start_question
13,96,5,4,So it's been a while?,q,MS. ALEXANDER,start_answer
14,97,5,5,It's been a while.,a,THE WITNESS,start_question
15,98,5,6,"Let me just go over some brief rules of the deposition for you so we both are on the same page with how this works. It's very informal, as you can see. But it is important that you speak verbally all of your responses because the court reporter is taking down everything everyone is saying, and she cannot accurately record head shakes, head nods, uh-huhs, uh-uhs, things like that.  They become very difficult to decipher months down the road on a black-and-white transcript.  So please make sure that you answer yes, no, or I don't know, or make sure all of your answers are through verbal words. Make sure that we don't speak over one another.  It's sort of like a shortwave radio where I ask my question, I stop, and then you give your answer.  Then I wait until you're finished until I ask my next question.  Talking over one another muddles up the record and is also very accurate -- very difficult to accurately record if we're both speaking at the same time. Your lawyer may make certain objections today.  He's doing that because he's doing his job for you.  Unless he tells you not to answer, which I don't anticipate, you can go ahead and answer the question.  But this isn't meant to be a memory test necessary -- well, I guess it is a little bit of a memory test, but it's not meant to be so oppressive on you because we're going to be talking about a lot of dates and a lot of prior history.  So give me your best answer. If you don't feel like you know the answer, you can simply just tell me you don't know the answer, and that's fine, and we'll move on hopefully.  If you need a break, let me know. If you need to use a restroom, if I can refill your water, let me know.  We can certainly do that.  It's not an endurance test either. Do you understand all those -- all of those instructions?",q,MS. ALEXANDER,start_answer
16,143,7,5,Yes.,a,THE WITNESS,start_question
17,144,7,6,"One final one is if you need me to rephrase my question because you don't understand my question or I haven't asked it in a way that's understandable, please just tell me that you don't understand my question before you give me your answer, and I'll be happy to rephrase my question.  If you answer my question as I word it, I'm going to assume you understand the question, and you're giving me the answer to that question.  Fair enough?",q,MS. ALEXANDER,start_answer
18,154,7,16,Yes.,a,THE WITNESS,is brackets
19,155,7,17,(Deposition Exhibit Number 1 was marked for identification and retained by counsel.),brackets,,start_question
20,159,7,21,"I'm going to show us what's been marked as Deposition Exhibit 1, which is just sort of your invitation to be here today that asked you to bring certain documents if you had any with you.  Many, if not all, of these documents you may have given to your lawyer and he's given to me already.  So you don't need to duplicate those efforts. Were there any other additional records that you brought with you today?",q,MS. ALEXANDER,start_answer
21,170,8,9,No.,a,THE WITNESS,start_question
22,171,8,10,Did you review --,q,MS. ALEXANDER,start_chat
23,172,8,11,Hold on a second.  She did -- she did bring a note that the other lady who was the witness wrote.  So she has that.,side_chat,MR. SANDUL,start_chat
24,175,8,14,"Is it the same one we produced to you in discovery, or are you saying something different?",side_chat,MS. ALEXANDER,start_chat
25,178,8,17,It's a little handwritten note.,side_chat,MR. SANDUL,start_chat
26,180,8,19,On a statement form?,side_chat,MS. ALEXANDER,start_chat
27,181,8,20,No.  It wasn't a statement form.,side_chat,MR. SANDUL,start_chat
28,183,8,22,Let me see it.,side_chat,MS. ALEXANDER,start_chat
29,185,9,1,I wanted her to bring it just in case.  That's it.  You're certain free to make a copy.  We have not been able to get in touch with her yet.,side_chat,MR. SANDUL,start_chat
30,189,9,5,With Ms. Walter?,side_chat,MS. ALEXANDER,start_chat
31,190,9,6,No.,side_chat,MR. SANDUL,start_chat
32,191,9,7,You called her at this number and just hasn't connected her?,side_chat,MS. ALEXANDER,start_chat
33,193,9,9,"Called it, everything.",side_chat,MR. SANDUL,start_question
34,195,9,11,"Your lawyer has just handed me a half a ripped piece of index paper that has some handwritten -- a name and phone number on there of Nicole Walter, a number of (443) 591-0374 with Wal-Mart June 8th and then some other handwritten notes on there.  Is this your handwriting or someone else's?",q,MS. ALEXANDER,start_answer
35,202,9,18,The top and the bottom are mine.,a,THE WITNESS,start_question
36,203,9,19,"So where it says ""Wal-Mart June 8th"" is yours?",q,MS. ALEXANDER,start_answer
37,205,9,21,Yes.,a,THE WITNESS,start_question
38,206,9,22,But Nicole Walter with the phone number is not yours?,q,MS. ALEXANDER,start_answer
39,209,10,2,Yes.,a,THE WITNESS,start_question
40,210,10,3,"Who is Jackie or Jacqueline, if you know?",q,MS. ALEXANDER,start_answer
41,212,10,5,The lady at Wal-Mart.,a,THE WITNESS,start_question
42,213,10,6,That you spoke with?,q,MS. ALEXANDER,start_answer
43,214,10,7,Yes.,a,THE WITNESS,start_question
44,215,10,8,Do you know her last name?,q,MS. ALEXANDER,start_answer
45,216,10,9,No.,a,THE WITNESS,start_question
46,217,10,10,"And on the back, is that your handwriting?",q,MS. ALEXANDER,start_answer
47,219,10,12,Yes.,a,THE WITNESS,start_question
48,220,10,13,"And what is that relating to, if anything?",q,MS. ALEXANDER,start_answer
49,222,10,15,Life insurance.,a,THE WITNESS,start_question
50,223,10,16,So not related to this case?,q,MS. ALEXANDER,start_answer
51,224,10,17,No.,a,THE WITNESS,start_question
52,225,10,18,"So what's written on the back ""AIG Direct"" is not related to this case?",q,MS. ALEXANDER,start_answer
53,227,10,20,No.,a,THE WITNESS,start_question
54,228,10,21,Fair enough.,q,MS. ALEXANDER,start_chat
55,229,10,22,You don't need to mark it.  Just make a copy.,side_chat,MR. SANDUL,start_question
56,233,11,3,"Any other documents on Deposition Exhibit 1 that you have in your possession like journals, diaries, calendars, e-mails, handwritten notes, films from radiographic studies that you may have been given from your doctor's office, anything like that?",q,MS. ALEXANDER,start_answer
57,239,11,9,No.,a,THE WITNESS,start_question
58,240,11,10,"And you've had a chance to review this document schedule, and to the best of your ability you don't have any of these documents to produce unless they've already been produced?",q,MS. ALEXANDER,start_answer
59,244,11,14,Yes.,a,THE WITNESS,is brackets
60,245,11,15,(Deposition Exhibit Number 2 was marked for identification and retained by counsel.),brackets,,is brackets
61,248,11,18,(Deposition Exhibit Number 3 was marked for identification and retained by counsel.),brackets,,start_question
62,252,11,22,"Okay.  I'm going to show you now what is marked as Deposition Exhibit 2.  I'm also going to show you Deposition Exhibit 3, which are Answers to Interrogatories, just answers to questions that you, through your lawyer, produced to us as required. Deposition Exhibit 2 are your original answers, and Deposition Exhibit 3 are the supplemental answers that were received yesterday. I'm going to ask you to turn to the last page on Deposition Exhibit 2 and Deposition Exhibit 3 and confirm for me, please, that that is your signature on Deposition Exhibits 2 and 3?",q,MS. ALEXANDER,start_answer
63,267,12,14,Yes.,a,THE WITNESS,start_question
64,268,12,15,"Do you have any changes, edits, modifications to Deposition Exhibit 2, or is all of that still accurate to the best of your ability to remember?",q,MS. ALEXANDER,start_chat
65,272,12,19,Just the change on the shopping cart.,side_chat,MR. SANDUL,start_chat
66,274,12,21,Yes.,side_chat,THE WITNESS,start_question
67,277,13,1,What is your change?,q,MS. ALEXANDER,start_answer
68,278,13,2,I didn't have a shopping cart.,a,THE WITNESS,start_question
69,279,13,3,"You're referring to answer to Interrogatory Number 2 where you wrote, ""Plaintiff was pushing a cart in the defendant store when she slipped on a wet spot on the floor""?",q,MS. ALEXANDER,start_answer
70,284,13,8,Yes.,a,THE WITNESS,start_question
71,285,13,9,So why are you making that change now?,q,MS. ALEXANDER,start_answer
72,286,13,10,I didn't have a cart.  I watched the video.,a,THE WITNESS,start_question
73,288,13,12,Okay.  And I don't ever want to know what you and your attorney or your legal team discussed because that's all privileged and confidential.  So none of these questions are meant to invade that privilege.,q,MS. ALEXANDER,is brackets
74,293,13,17,(Discussion off the record.),brackets,,start_question
75,295,13,19,Are you saying that you answered these Interrogatories before you watched the video?,q,MS. ALEXANDER,start_answer
76,297,13,21,Yes.,a,THE WITNESS,start_question
77,298,13,22,And then you watched the video and realized that you did not have a shopping cart?,q,MS. ALEXANDER,start_answer
78,301,14,2,Right.,a,THE WITNESS,start_question
79,302,14,3,"But in your memory before you watched the video, you had a shopping cart?",q,MS. ALEXANDER,start_answer
80,304,14,5,Yes.,a,THE WITNESS,start_question
81,305,14,6,Anything else you would need to change or edit in Deposition Exhibit 2?,q,MS. ALEXANDER,start_answer
82,307,14,8,Can I speak with him?,a,THE WITNESS,start_question
83,308,14,9,"Actually, you cannot, not during -- since you're under oath now and we started the deposition.",q,MS. ALEXANDER,start_chat
84,311,14,12,"Mary, let me say this. These are the same ones that you signed originally, and those are the ones we did yesterday.",side_chat,MR. SANDUL,start_chat
85,315,14,16,Okay.,side_chat,THE WITNESS,start_chat
86,316,14,17,So if that helps you.,side_chat,MR. SANDUL,start_question
87,318,14,19,And none of these questions are meant to be trick questions.  I haven't handed you something that's been changed.  It's just standard questions.  So your answer to -- is there anything additional you need to change other than what you just changed on answer to Interrogatory Number 2?,q,MS. ALEXANDER,start_answer
88,326,15,4,Yes.,a,THE WITNESS,start_question
89,327,15,5,There is something additional you need to change?,q,MS. ALEXANDER,start_answer
90,329,15,7,Yes.,a,THE WITNESS,start_question
91,330,15,8,What is that?,q,MS. ALEXANDER,start_answer
92,331,15,9,"On Question 23, it says here she does not recall if used any medical marijuana before the incident.  And I did not.",a,THE WITNESS,start_question
93,334,15,12,Talk to me.,q,MS. ALEXANDER,start_answer
94,335,15,13,I'm sorry.,a,THE WITNESS,start_question
95,336,15,14,"That's okay.  So your answer to Interrogatory Number 23 as it's in Exhibit 2 states, second sentence, ""The plaintiff also takes prescribed medical marijuana as needed for neck and low back pain.  She uses the vape oil and is allotted 36 grams per month.  She does not recall if she used the medical marijuana before the incident."" What about that would you like to change?",q,MS. ALEXANDER,start_answer
96,347,16,2,The very last sentence.,a,THE WITNESS,start_question
97,348,16,3,And what would you like to change about that?,q,MS. ALEXANDER,start_answer
98,350,16,5,That I did not use anything that morning.,a,THE WITNESS,start_question
99,352,16,7,Use any medical marijuana?,q,MS. ALEXANDER,start_answer
100,353,16,8,Correct.,a,THE WITNESS,start_question
101,354,16,9,Okay.  The question asks if you used it within 48 hours of the date of the incident. So did you use medical marijuana within 48 hours of the incident?,q,MS. ALEXANDER,start_answer
102,358,16,13,Yes.,a,THE WITNESS,start_question
103,359,16,14,And did you use it within 24 hours of the incident?,q,MS. ALEXANDER,start_answer
104,361,16,16,Yes.,a,THE WITNESS,start_question
105,362,16,17,Did you use it within 12 hours of the incident?,q,MS. ALEXANDER,start_answer
106,364,16,19,No.,a,THE WITNESS,start_question
107,365,16,20,"So when is your memory that you last smoked marijuana prior to the incident, which I believe the video reflects was about 12:45 p.m.",q,MS. ALEXANDER,start_chat
108,369,17,1,12:46 I think.,side_chat,MR. SANDUL,start_chat
109,370,17,2,The evening before.,side_chat,THE WITNESS,start_question
110,372,17,4,What time the evening before?,q,MS. ALEXANDER,start_answer
111,373,17,5,Eight o'clock.,a,THE WITNESS,start_question
112,374,17,6,Eight p.m.?,q,MS. ALEXANDER,start_answer
113,375,17,7,"Yes, sir.",a,THE WITNESS,start_question
114,376,17,8,"And then the vape oil, is that a separate marijuana way to ingest marijuana for you?",q,MS. ALEXANDER,start_answer
115,379,17,11,Yes.,a,THE WITNESS,start_question
116,380,17,12,Did you use marijuana vape oil -- did you vape marijuana oil or cannabis oil the 48 hours prior to the incident?,q,MS. ALEXANDER,start_answer
117,383,17,15,Yes.,a,THE WITNESS,start_question
118,384,17,16,Did you vape -- do you call it cannabis oil or marijuana oil?,q,MS. ALEXANDER,start_answer
119,386,17,18,Cannabis oil.,a,THE WITNESS,start_question
120,387,17,19,Did you vape cannabis oil 24 hours prior to the incident?,q,MS. ALEXANDER,start_answer
121,389,17,21,Yes.,a,THE WITNESS,start_question
122,390,17,22,Did you vape cannabis oil 12 hours prior to the incident?,q,MS. ALEXANDER,start_answer
123,393,18,2,No.,a,THE WITNESS,start_question
124,394,18,3,When was the last time you vaped cannabis oil prior to the incident?,q,MS. ALEXANDER,start_answer
125,396,18,5,Eight p.m. the night before.,a,THE WITNESS,start_question
126,397,18,6,So you smoked marijuana at 8 p.m. the night before and vaped cannabis oil at 8 p.m. the night before?,q,MS. ALEXANDER,start_answer
127,400,18,9,"No, ma'am.",a,THE WITNESS,start_question
128,401,18,10,Are they separate or different --,q,MS. ALEXANDER,start_answer
129,402,18,11,They're different.,a,THE WITNESS,start_question
130,403,18,12,Okay.  Didn't you tell me you last smoked marijuana at 8 p.m. the night before?,q,MS. ALEXANDER,start_answer
131,405,18,14,No.  The oil.,a,THE WITNESS,start_question
132,406,18,15,Okay.  When did you last smoke marijuana before the incident?,q,MS. ALEXANDER,start_answer
133,408,18,17,It's been months.,a,THE WITNESS,start_question
134,409,18,18,"Okay.  Maybe I'm confused.  I thought you said when I asked you did you smoke marijuana 48 hours prior to the incident, you said yes.",q,MS. ALEXANDER,start_answer
135,412,18,21,I was confused because I -- I still call it marijuana.,a,THE WITNESS,start_question
136,415,19,1,You still call what marijuana?,q,MS. ALEXANDER,start_answer
137,416,19,2,The vape.  It's an oil.,a,THE WITNESS,start_question
138,417,19,3,Yes.,q,MS. ALEXANDER,start_answer
139,418,19,4,Yes.,a,THE WITNESS,start_question
140,419,19,5,"Okay.  So are you saying when you told me you smoked marijuana 48 hours before, you were talking about cannabis oil?",q,MS. ALEXANDER,start_answer
141,422,19,8,Correct.,a,THE WITNESS,start_question
142,423,19,9,"Okay.  So let me separate those things for you so we're both on the same page.  When I say smoke marijuana, I mean actually bud marijuana. So when is the last time you smoked marijuana prior to the incident?",q,MS. ALEXANDER,start_answer
143,429,19,15,It's been at least two months.,a,THE WITNESS,start_question
144,430,19,16,"So the incident was in June.  The last time you smoked actual leaf marijuana, bud marijuana, was sometime in April of 2018?",q,MS. ALEXANDER,start_answer
145,433,19,19,Yes.,a,THE WITNESS,start_question
146,434,19,20,The cannabis oil you vaped the night before the incident at 8 p.m.?,q,MS. ALEXANDER,start_answer
147,436,19,22,Correct.,a,THE WITNESS,start_question
148,438,20,1,How much?,q,MS. ALEXANDER,start_answer
149,439,20,2,Probably about three or four hits because it's oil.,a,THE WITNESS,start_question
150,441,20,4,And is it your testimony that you have a prescription for cannabis oil?,q,MS. ALEXANDER,start_answer
151,443,20,6,"Yes, ma'am.",a,THE WITNESS,start_question
152,444,20,7,When did you get that prescription?,q,MS. ALEXANDER,start_answer
153,445,20,8,April 2017.,a,THE WITNESS,start_question
154,446,20,9,And what doctor gave you that prescription?,q,MS. ALEXANDER,start_answer
155,448,20,11,Dr. Waun.,a,THE WITNESS,start_question
156,449,20,12,How do you spell that last name?,q,MS. ALEXANDER,start_answer
157,450,20,13,W-H-A-N.,a,THE WITNESS,start_question
158,451,20,14,And where does Dr. Wah --,q,MS. ALEXANDER,start_answer
159,452,20,15,I'm sorry.  W-A-U-N [sic].,a,THE WITNESS,start_question
160,453,20,16,Where does Dr. Wah practice?,q,MS. ALEXANDER,start_answer
161,454,20,17,"Poole Road in Westminster, Maryland.",a,THE WITNESS,start_question
162,455,20,18,"What is Dr. Wah's area of practice, if you know?",q,MS. ALEXANDER,start_answer
163,457,20,20,Medical marijuana physician.,a,THE WITNESS,start_question
164,458,20,21,So he's specifically --,q,MS. ALEXANDER,start_answer
165,459,20,22,Cannabis.,a,THE WITNESS,start_question
166,461,21,1,-- giving folks prescriptions for medical marijuana?,q,MS. ALEXANDER,start_answer
167,463,21,3,Correct.,a,THE WITNESS,start_question
168,464,21,4,"Do you know what type of specialty he is?  Is he a primary care physician, for example, or is he an orthopedist, or do you know?",q,MS. ALEXANDER,start_answer
169,467,21,7,I don't know.,a,THE WITNESS,start_question
170,468,21,8,Do you know his first name?,q,MS. ALEXANDER,start_answer
171,469,21,9,No.,a,THE WITNESS,start_question
172,470,21,10,How many times have you seen Dr. Wah?,q,MS. ALEXANDER,start_answer
173,471,21,11,Twice.,a,THE WITNESS,start_question
174,472,21,12,In your life?,q,MS. ALEXANDER,start_answer
175,473,21,13,Yes.,a,THE WITNESS,start_question
176,474,21,14,And once was in April of 2017?,q,MS. ALEXANDER,start_answer
177,475,21,15,Correct.,a,THE WITNESS,start_question
178,476,21,16,And when was the second time?,q,MS. ALEXANDER,start_answer
179,477,21,17,April 2018.,a,THE WITNESS,start_question
180,478,21,18,So you -- but your prescription is still valid now?,q,MS. ALEXANDER,start_answer
181,480,21,20,"Yes, ma'am.",a,THE WITNESS,start_question
182,481,21,21,How long is your prescription valid for?,q,MS. ALEXANDER,start_answer
183,484,22,1,A year.,a,THE WITNESS,start_question
184,485,22,2,So has someone given you another prescription to make it valid now since it's been more than a year?,q,MS. ALEXANDER,start_answer
185,488,22,5,No.,a,THE WITNESS,start_question
186,489,22,6,You said your prescription is valid now?,q,MS. ALEXANDER,start_answer
187,491,22,8,"Yes, ma'am.",a,THE WITNESS,start_question
188,492,22,9,So how is it valid now?,q,MS. ALEXANDER,start_answer
189,493,22,10,You have to recertify each year.,a,THE WITNESS,start_question
190,494,22,11,Okay.  But you told me the last time you saw Dr. Wah was April of 2018 and we're sitting here in September 2019.,q,MS. ALEXANDER,start_answer
191,497,22,14,Yes.,a,THE WITNESS,start_question
192,498,22,15,How did you get another prescription for medical marijuana?,q,MS. ALEXANDER,start_answer
193,500,22,17,Because when I called the office --,a,THE WITNESS,start_question
194,501,22,18,Whose office?,q,MS. ALEXANDER,start_answer
195,502,22,19,"Dr. Wah's office.  The secretary said that I could -- since I've seen him twice, that I could recertify over the phone and -- but I would have to come into the office next year.",a,THE WITNESS,start_question
196,507,23,1,So when did you recertify over the phone with Dr. Wah's office?,q,MS. ALEXANDER,start_answer
197,509,23,3,End of April 2018.,a,THE WITNESS,start_question
198,510,23,4,April --,q,MS. ALEXANDER,start_answer
199,511,23,5,I mean 2019.,a,THE WITNESS,start_question
200,512,23,6,And what is your prescription for specifically?,q,MS. ALEXANDER,start_answer
201,514,23,8,It's for the oils and flower.,a,THE WITNESS,start_question
202,515,23,9,Where do you fill your prescription?,q,MS. ALEXANDER,start_answer
203,516,23,10,The dispensaries.,a,THE WITNESS,start_question
