,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, examined and testified as follows:,,,symbols
1,145,6,2,- - - VOIR DIRE,symbols,,symbols
2,147,6,4,- - -,symbols,,start_question
3,149,6,6,"Good afternoon, Doctor.  How are you?",q,MS. STURGES,start_answer
4,151,6,8,Good.  Good afternoon.,a,THE WITNESS,start_question
5,152,6,9,Could you please introduce yourself to the jury.,q,MS. STURGES,start_answer
6,154,6,11,"Good afternoon, ladies and gentlemen.  My name is Dr. Gene Levinstein.",a,THE WITNESS,start_question
7,156,6,13,And what type of doctor are you?,q,MS. STURGES,start_answer
8,157,6,14,I'm a specialist.  My specialty is physical medicine and rehabilitation and pain management.,a,THE WITNESS,start_question
9,160,6,17,"Now, in case the jury is unaware, could you explain a little bit more about what physical medicine and rehabilitation are.",q,MS. STURGES,start_answer
10,164,6,21,"Physical medicine and rehabilitation is the names, kind of, that basically deal with the physical capabilities and providing rehabilitative care to patients. Physical medicine and rehabilitation doctors, also known as physiatrists, typically provide care to patients who either have undergone surgery or suffer from musculoskeletal neurologic conditions. This includes, traditionally, recovery after stroke, spinal cord injuries, cardiac rehabilitation after heart surgeries or transplants, and PT training for patients who were involved in neurologic conditions; the joint problems, total knee replacements, hip replacements.  Any other joint surgery such as arthroscopies, hips, knees, shoulders, or patients who suffer from neurologic conditions or spinal disorders; bulging, herniated discs, Parkinson's Disease, multiple sclerosis. Physiatrists also perform diagnostic studies, specifically EMG nerve conduction, and typically oversee physical therapy and occupational therapy departments.",a,THE WITNESS,start_question
11,189,7,20,"Now, Doctor, I know you just mentioned a large number of things that doctors such as yourself treat.  Do you treat people who have been involved in motor vehicle accidents?",q,MS. STURGES,start_answer
12,194,7,25,"Yes.  I treat patients who are involved in either motor vehicle accidents or any other type of injury be it a lifting injury, work injury, or athletic injury.",a,THE WITNESS,start_question
13,199,8,4,"Okay.  Do you happen to treat people with injuries to their neck, spine, and shoulders?",q,MS. STURGES,start_answer
14,202,8,7,"The nature of my practice, I treat approximately -- 70 percent of my practice involves treating patients who sustain spinal problems, be it either traumatic or chronic, be it degenerative with nature, just with age, or some type of trauma, fall, sports injury, just natural occurring discs, work related injuries, you name it.  Me being a subspecialist, such as pain management, that's what I primarily treat.",a,THE WITNESS,start_question
15,212,8,17,"And could you explain a little bit more about that specialty that you were just mentioning, pain management.",q,MS. STURGES,start_answer
16,215,8,20,"Pain management is a smaller subset where physicians only train in neurology, physiology, or physical medicine and rehab.  We are able to achieve this additional training.  It's typically an interventional specialty where you work with your hands and you preform primarily procedures such as injections.  But the nature of the disease or majority of the pain comes from the back, the spine, that's where the majority concentrates on. As I said, about 70 percent of my practice involves treating spinal disorders and remaining 30 percent I treat between other joints, small joints, hips, knees, shoulders. I'm sorry -- bigger joints; hips, knees, or shoulders.  Smaller joints; hands, elbows, wrists, and as well as nerve and muscle problems. I split my time between -- all pain management doctors typically perform a lot of procedures both using guidance such as x-ray, CAT Scan, ultrasound, but are also trained to perform injections just based on nerve stimulators or based on an anatomic location.",a,THE WITNESS,start_question
17,242,9,21,"And, Doctor, if you could look at what has been marked as Exhibit-1, could you please identify that.",q,MS. STURGES,start_answer
18,245,9,24,It is my curriculum vitae.  It is my CV.  It's my resume.  It is current and up-to-date.,a,THE WITNESS,start_question
19,249,10,2,Okay.  And could you tell the jury a little bit about how you became a doctor.,q,MS. STURGES,start_answer
20,252,10,5,"Following graduation from undergrad at Temple University, I completed medical school at Ross University.  Followed that with residency in the field of special -- internship the first year in the field of internal medicine at Graduate Hospital.  I followed that with additional training residency at Temple University Hospital where I served as a chief resident during my senior year, followed with additional fellowship training in my subspecialty of pain management.",a,THE WITNESS,start_question
21,263,10,16,And could you let the jury know about your current practice and what you do on a daily basis.,q,MS. STURGES,start_answer
22,266,10,19,"On a daily basis I split my time between seeing patients in the office, performing procedures, as well as working in the hospital doing hospital consults as well as performing procedures in the hospital.  The hospital work is reserved for patients who are really debilitated or have significant medical comorbidities or significant medical problems. They cannot be safe to do procedures in the office.  They have to be observed in the hospital for patients who require really complex procedures for which they have to be sedated, put to sleep.  Either myself providing sedation or working in conjunction with an anesthesiologist to put those patients to sleep. I work in the office long hours starting about 7:30, 8:00 in the morning and typically about 6:30, 7:00 at night.  I preform office consultations as well as in office injections.  And about a day and a half, two days a week I have dedicated time performing injections either under ultrasound or x-ray guidance primarily to the spine as the rest of the procedures I could do in the office. When I evaluate patients in the office, I perform what we call a full consultation where patients come to me, I review their diagnostic studies, I review their history, I discuss the condition that they are suffering from, what caused their condition, what can happen in the future.  It's really called a prognosis.  What's going to happen to them 5, 10, 20 years from now.  What's going to happen if they take option A, B, or C.  They can do nothing, they can do this, they can do that, and what's going to happen to them when they get older.  I give them their options and chances of one or another making them better or not and always you give the patient a chance of something making them worse or making them no different.",a,THE WITNESS,start_question
23,310,12,11,"And I believe you touched upon this earlier, but as part of your practice do you routinely review medical records and diagnostic studies and images?",q,MS. STURGES,start_answer
24,314,12,15,"Yes.  Well, it's a two-part question.  First, regarding medical records, as a specialist I have no personal knowledge of a patient until they walk through my door at a specific point in time.  I don't know their history.  So it is customary medicine to rely on their physicians' medical records to help us formulate an opinion.  Meaning, other doctors' notes, ER records, therapy notes, diagnotic studies, reports.  It helps come up with a causation and come up with at least a chain of events or sequence of events to help me formulate my opinion and my diagnosis.  But as everything in medicine, it's a puzzle.  I have to put all the pieces together.  So history is one.  Diagnostics is two.  My own exam is three.  I guess records from other doctors is four.  So you put everything together, you come up with a diagnosis and prognosis and treatment plans.  This is regarding the medical records. In regards to the diagnostic studies, I am not a radiologist, but the nature of my specialty, I read MRIs, CAT Scans, and x-rays.  I limit myself to reading only the body parts where I'm going to perform procedures.  So either the joints or spine. I'm not good at reading soft tissue ultrasounds aside from me just doing the injection, which we call function ultrasounds.  So I don't fancy myself a radiologist nor do I bill for those readings. But if I'm the one sticking a needle a long in somebody's back, I need to make sure I know what I'm talking about.  I don't want my patients to be backseat passengers basically where a doctor just says it's a one-way street where everybody explains it.  I love to get their brain -- to bring the images.  In the old days we used to put them up in the viewing box.  Now I put them on my computer and I flip my laptop and I show it to the patient and discuss everything with them to make sure they understand the condition they are suffering.",a,THE WITNESS,start_question
25,360,14,9,"And, Doctor, you're currently licensed to practice medicine here in the Commonwealth of Pennsylvania; is that right?",q,MS. STURGES,start_answer
26,363,14,12,Yes.,a,THE WITNESS,start_question
27,364,14,13,Okay.  And have you ever qualified to testify as an expert witness in the Philadelphia County Court of Common Pleas before?,q,MS. STURGES,start_answer
28,368,14,17,"Yes, ma'am.",a,THE WITNESS,start_question
29,369,14,18,Okay.  And you were paid -- you're being paid to testify here today; is that right?,q,MS. STURGES,start_answer
30,372,14,21,Correct.,a,THE WITNESS,start_question
31,373,14,22,Okay.  What is your fee for today?,q,MS. STURGES,start_answer
32,375,14,24,"$2,000.  And we agreed that this would be a mutual convenient time to testify and place rather than my office where we are not setup.  As I was working in Philadelphia today, but we don't have such a nice conference room.  It's a pure clinical space.",a,THE WITNESS,start_question
33,382,15,5,"If you weren't here testifying today, what would you be doing?",q,MS. STURGES,start_answer
34,384,15,7,"I would still be seeing patients for a little bit over two hours, probably.  I usually get out about 7:00ish.",a,THE WITNESS,start_question
35,387,15,10,"Okay.  So the fee that you charged, the $2,000 that you mentioned, compensates you for the money that you're missing by not treating patients?",q,MS. STURGES,start_answer
36,391,15,14,"It's for the time to be away from my practice, to prepare for today's testimony, and not being able to provide care for my patients.",a,THE WITNESS,start_chat
37,395,15,18,At this time I offer Dr. Gene Levinstein as an expert witness in the fields of physical medicine and rehabilitation and pain management.  Counsel?,side_chat,MS. STURGES,start_question
38,401,15,24,"Doctor, I just have a few questions for you.  First, I would like to go back and discuss a little bit about your education.  You went to Temple University for undergraduate education; is that --",q,MR. SHUEY,start_answer
39,407,16,4,Correct.,a,THE WITNESS,start_question
40,408,16,5,And then you went to Ross University School of Medicine in the West Indies?,q,MR. SHUEY,start_answer
41,411,16,8,Correct.,a,THE WITNESS,start_question
42,412,16,9,And then you came back to Philadelphia to do your internship and your residency?,q,MR. SHUEY,start_answer
43,415,16,12,Correct.,a,THE WITNESS,start_question
44,416,16,13,And then your fellowship out in Pottstown; is that right?,q,MR. SHUEY,start_answer
45,418,16,15,Correct.,a,THE WITNESS,start_question
46,419,16,16,And the fellowship was with a place called Interventional Spine and Pain Management; is that right?,q,MR. SHUEY,start_answer
47,422,16,19,Correct.,a,THE WITNESS,start_question
48,423,16,20,"Okay.  Currently, you work at several different offices; is that right?",q,MR. SHUEY,start_answer
49,425,16,22,"Well, I have my own practice, Pennsylvania Pain Specialists, which is primarily located in Lehigh Valley.  I live in Bucks County so I live sort of centrally.  I love Philly.  I came here when I was a teenager and I grew up in Philly.  That's why I practice in Philadelphia about once every other week. Sometimes more frequently, sometimes maybe a little less depending on the volume of the patients.  I rent space from a place called Spinal Care in Philadelphia.  Otherwise, I have my offices in Lehigh Valley.",a,THE WITNESS,start_question
50,438,17,9,"And is Spinal Care of Philadelphia, is that office location listed on your CV?",q,MR. SHUEY,start_answer
51,441,17,12,Yes.,a,THE WITNESS,start_question
52,442,17,13,Can you point it to me.  I'm sorry.,q,MR. SHUEY,start_answer
53,444,17,15,"Sure.  I guess -- I apologize. You're right.  It's not listed.  It's not my primary office, not the office that I own. It's one of the places where I rent space.  I apologize it is not listed as one of the primary locations.",a,THE WITNESS,start_question
54,450,17,21,"That's no problem.  So just to be clear, you have the office that you rent in Philadelphia and then another one in Allentown, another one in Bethlehem --",q,MR. SHUEY,start_answer
55,454,17,25,That's it.,a,THE WITNESS,start_question
56,456,18,1,Just those three?,q,MR. SHUEY,start_answer
57,457,18,2,Correct.,a,THE WITNESS,start_question
58,458,18,3,Okay.  You also list VitamedIV or is that Vitamed Four?,q,MR. SHUEY,start_answer
59,460,18,5,No.  VitamedIV.,a,THE WITNESS,start_question
60,461,18,6,Okay.  And what is that?,q,MR. SHUEY,start_answer
61,462,18,7,"I'm no longer working there. It's a facility, medical IV infusion, where I was a medical director until May of this year.",a,THE WITNESS,start_question
62,465,18,10,"Oh, I'm sorry.  I do see that it says until May of this year.  I misunderstood. Thank you.  Doctor, you've mentioned that you you've testified in the past in cases like this; is that right?",q,MR. SHUEY,start_answer
63,470,18,15,Correct.,a,THE WITNESS,start_question
64,471,18,16,Okay.  How many times have you testified in an injury case similar to what we're here for today?,q,MR. SHUEY,start_answer
65,474,18,19,"I can't say the total how many times I've testified or, I guess, whatever specific time period.  But I would say on the average for a personal injury case where I have to testify on video or live in court, probably about once a month or so.",a,THE WITNESS,start_question
