,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, examined and testified as follows:,,,symbols
1,154,6,11,- - - VOIR DIRE,symbols,,symbols
2,156,6,13,- - -,symbols,,start_question
3,158,6,15,"Good morning, Doctor.",q,MR. BAER,start_answer
4,159,6,16,Good morning.,a,THE WITNESS,start_question
5,160,6,17,Could you please introduce yourself.,q,MR. BAER,start_answer
6,162,6,19,"I'm Maxwell Stepanuk, Jr.",a,THE WITNESS,start_question
7,163,6,20,"And, sir, can you please tell us what type of medicine you practice.",q,MR. BAER,start_answer
8,165,6,22,I'm an orthopedic surgeon.,a,THE WITNESS,start_question
9,166,6,23,What is the field of orthopedics?,q,MR. BAER,start_answer
10,168,6,25,"It's the branch of medicine that deals with injuries and pathology of bones, joints, and muscles, every data structures such as nerves and tendons.",a,THE WITNESS,start_question
11,173,7,4,"How long, sir, have you been a surgeon?",q,MR. BAER,start_answer
12,175,7,6,"Oh, it's about 43 years or so now.",a,THE WITNESS,start_question
13,177,7,8,Can you please describe what you had to do to become a surgeon.,q,MR. BAER,start_answer
14,179,7,10,"I graduated from Temple University and then did a year of graduate work at Villanova.  This was followed by four years of medical school at the Philadelphia College of Osteopathic Medicine.  I then went to the Detroit, Michigan area where I did an internship and a four year residency in orthopedic surgery at Oakland General Hospital.",a,THE WITNESS,start_question
15,187,7,18,"Doctor, through the course of your career, did you ever have any teaching appointments?",q,MR. BAER,start_answer
16,190,7,21,"Yes.  I taught from basically day one.  I always taught interns and students. In fact, I was program director for the Philadelphia College of Osteopathic Medicine for the Orthopedic Residency Program.  I was director for about 25 years in charge of the training of residents learning to become orthopedic surgeons.",a,THE WITNESS,start_question
17,199,8,4,"Doctor, are you currently board-certified?",q,MR. BAER,start_answer
18,201,8,6,I am.,a,THE WITNESS,start_question
19,202,8,7,What does it mean to be board-certified?,q,MR. BAER,start_answer
20,204,8,9,"I'm board-certificated in orthopedic surgery.  It means that you're a competent orthopedic surgeon.  In my case, I had to take a written exam followed by an oral exam.  And then after you're out in practice for a number of years and accumulate some major cases, they want to do a survey.  They look at your x-rays, review your charts, and if you pass, you're deemed a certified or a competent orthopedic surgeon.",a,THE WITNESS,start_question
21,214,8,19,"Sir, are all doctors or all physicians board-certified?",q,MR. BAER,start_answer
22,216,8,21,"No, they aren't.",a,THE WITNESS,start_question
23,217,8,22,"Sir, how long have you been board-certified?",q,MR. BAER,start_answer
24,219,8,24,Since 1980.,a,THE WITNESS,start_question
25,220,8,25,Are you licensed to practice medicine here in the Commonwealth of Pennsylvania?,q,MR. BAER,start_answer
26,224,9,3,"Yes, I am.",a,THE WITNESS,start_question
27,225,9,4,And have you ever been qualified to testify as an expert witness in the courts of Pennsylvania before?,q,MR. BAER,start_answer
28,228,9,7,Yes.,a,THE WITNESS,start_question
29,229,9,8,"Doctor, could you please take a look at the exhibit that we have marked as Stepanuk-1.",q,MR. BAER,start_answer
30,232,9,11,That's any current and up-to-date CV or my resume.,a,THE WITNESS,start_question
31,234,9,13,"And does that have what your qualifications or the proofs, if you will, about what we just talked about?",q,MR. BAER,start_answer
32,237,9,16,"Yes, it does.",a,THE WITNESS,start_question
