,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," EMINA AHMETOVIC, residing at 21 McMullen Avenue, Wethersfield, Connecticut, being first duly sworn, as hereinafter certified, was examined and testified as follows:",,,start_question
1,97,4,10,"Good morning, Ms. Ahmetovic.  Is that how you say your name?",q,MS. FRARE,start_answer
2,99,4,12,Yes.  Ahmetovic.  But Ahmetovic is close enough.,a,THE WITNESS,start_question
3,100,4,13,"Thank you. My name is Suzanne Frare and I'm an attorney.  I represent Paul Thomas Kelly in this lawsuit brought by you regarding an accident back on March 17, 2017.  I'm going to ask you some questions related to that. Now, have you ever testified before in a deposition?",q,MS. FRARE,start_answer
4,107,4,20,No.,a,THE WITNESS,start_question
5,108,4,21,"Okay.  Well, first, some ground rules.  As you can see, there's a court reporter in the room that's going to take down what's said.  So we need to try and avoid speaking at the same time.  So even if you know what I'm going to say, wait for me to finish my question before you begin your answer.  And I'll try to do the same.  All right?",q,MS. FRARE,start_answer
6,115,5,2,(Witness gestures.),a,THE WITNESS,start_question
7,116,5,3,"And please answer verbally because if you just nod your head, the reporter can't take down that response.",q,MS. FRARE,start_answer
8,118,5,5,Yes.,a,THE WITNESS,start_question
9,119,5,6,"Okay.  Also, if I ask you something you don't understand, please let me know.  Okay?  I'll try to rephrase the question or ask it another way.  Otherwise, I'll assume that you understand.  Okay?",q,MS. FRARE,start_answer
10,123,5,10,Yes.,a,THE WITNESS,start_question
11,124,5,11,"If for some reason you need to take a break, that shouldn't be a problem as long as there's not a pending question.  All right?",q,MS. FRARE,start_answer
12,127,5,14,Yes.,a,THE WITNESS,start_question
13,128,5,15,"Okay.  Now, what is your date of birth?",q,MS. FRARE,start_answer
14,129,5,16,"February 12, 1987.",a,THE WITNESS,start_question
15,130,5,17,And where were you born?,q,MS. FRARE,start_answer
16,131,5,18,"I was born in eastern Europe, Bosnia.",a,THE WITNESS,start_question
17,132,5,19,And when did you come to the United States?,q,MS. FRARE,start_answer
18,133,5,20,November of 2003.,a,THE WITNESS,start_question
19,134,5,21,"Now, do you have a social security number?",q,MS. FRARE,start_answer
20,135,5,22,"Yes, I do.",a,THE WITNESS,start_question
21,136,5,23,"Okay.  Just for the record, if you can tell me what that is; but she's only going to take down the last four digits.",q,MS. FRARE,start_answer
22,140,6,1,Of course.  It's XXX-XX-2426.,a,THE WITNESS,start_question
23,141,6,2,Okay.  And where do you live?,q,MS. FRARE,start_answer
24,142,6,3,I live in Wethersfield.,a,THE WITNESS,start_question
25,143,6,4,And what's your address?,q,MS. FRARE,start_answer
26,144,6,5,"It's 21 McMullen, M-c-M-u-l-l-e-n, Avenue in Wethersfield, Connecticut 06109.",a,THE WITNESS,start_question
27,146,6,7,Okay.  And who do you live with?,q,MS. FRARE,start_answer
28,147,6,8,"I live with my husband, our three children, and my mother-in-law.",a,THE WITNESS,start_question
29,149,6,10,Okay.  And what's your husband's name?,q,MS. FRARE,start_answer
30,150,6,11,Sahman.  First name is spelled S-a-h-m-a-n.,a,THE WITNESS,start_question
31,151,6,12,And same last name?,q,MS. FRARE,start_answer
32,152,6,13,No.  I kept my maiden name.,a,THE WITNESS,start_question
33,153,6,14,And what is his last name?,q,MS. FRARE,start_answer
34,154,6,15,M-e-h-m-e-d-l-v-i-c.,a,THE WITNESS,start_question
35,155,6,16,And how long have you been married?,q,MS. FRARE,start_answer
36,156,6,17,"Since 2006, 13 years.",a,THE WITNESS,start_question
37,157,6,18,That's 13 years ago.  Wow. How old are your children?,q,MS. FRARE,start_answer
38,159,6,20,We have three.  Our oldest son is 12 and our younger son is 11 and we have a four-year-old daughter.,a,THE WITNESS,start_question
39,161,6,22,And can you tell me your children's names?,q,MS. FRARE,start_answer
40,162,6,23,"Our oldest is Sabl, S-a-b-l.  Our middle is Elmin, E-l-m-i-n.  And our daughter is Elmina, E-l-m-i-n-a.",a,THE WITNESS,start_question
41,164,6,25,Okay.  And what's your mother-in-law's name?,q,MS. FRARE,start_answer
42,166,7,1,"Raza, R-a-z-a.",a,THE WITNESS,start_question
43,167,7,2,And same last name as your husband?,q,MS. FRARE,start_answer
44,168,7,3,Correct.,a,THE WITNESS,start_question
45,169,7,4,And how long have you resided at 21 McMullen Ave.?,q,MS. FRARE,start_answer
46,170,7,5,Over seven years.,a,THE WITNESS,start_question
47,171,7,6,And do you own that home?,q,MS. FRARE,start_answer
48,172,7,7,Correct.,a,THE WITNESS,start_question
49,173,7,8,"So at the time of this accident in 2017, is that where you were residing?",q,MS. FRARE,start_answer
50,175,7,10,"Yes, ma'am.",a,THE WITNESS,start_question
51,176,7,11,And can you tell me your highest level of education?,q,MS. FRARE,start_answer
52,178,7,13,I am a medical assistant.  I graduated in end of 2013.,a,THE WITNESS,start_question
53,180,7,15,And where did you graduate from?,q,MS. FRARE,start_answer
54,181,7,16,"American Institute, formerly known as Fox Institute, in West Hartford.",a,THE WITNESS,start_question
55,183,7,18,And did you obtain a degree?,q,MS. FRARE,start_answer
56,184,7,19,I got my diploma and certifications.,a,THE WITNESS,start_question
57,185,7,20,Any other formal education in the United States?,q,MS. FRARE,start_answer
58,186,7,21,"Yes.  When I first came from Bosnia, I was a sophomore in high school; so I went to high school in Chicago.  That's where I lived.  I did come here my senior year, so I ended up not graduating from high school, but I did got my GED here in Connecticut.",a,THE WITNESS,start_question
59,192,8,1,And when did you get your GED?,q,MS. FRARE,start_answer
60,193,8,2,End of 2006.  I got married end of 2006.,a,THE WITNESS,start_question
61,194,8,3,"Busy year, huh?",q,MS. FRARE,start_answer
62,195,8,4,Yes.,a,THE WITNESS,start_question
