,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," MARTIN ARREDONDO, having been first duly sworn, testified through the duly sworn interpreter as follows: EXAMINATION",,,start_question
1,128,4,21,"Good afternoon, sir.",q,MR. NEWTON,start_answer
2,129,4,22,Good afternoon sir.,a,THE WITNESS,start_question
3,130,4,23,"Would you state your complete name for the record, please.",q,MR. NEWTON,start_answer
4,132,4,25,Martin Arredondo.,a,THE WITNESS,start_question
5,134,5,1,Do you have a middle name?,q,MR. NEWTON,start_answer
6,135,5,2,I have it.  I don't use it.  I only use middle initial.,a,THE WITNESS,start_question
7,137,5,4,And what is that initial?,q,MR. NEWTON,start_answer
8,138,5,5,H.,a,THE WITNESS,start_question
9,139,5,6,"H. And what does H stand for, sir?",q,MR. NEWTON,start_answer
10,141,5,8,It's my grandfather's name.  The name would be Hermegenildo.,a,THE WITNESS,start_question
11,143,5,10,"Can you spell that for me, please.",q,MR. NEWTON,start_chat
12,144,5,11,"Yes, sir.  Let me write it first.  Here it is, sir.  H-E-R-M-E-G-E-N-I-L-D-O.",side_chat,THE INTERPRETER,start_question
13,146,5,13,(BY MR. NEWTON)  I can see why you go by the letter H.,q,MR. NEWTON,start_chat
14,148,5,15,Me too.,side_chat,MR. BICKHAM,start_question
15,149,5,16,(BY MR. NEWTON)  Okay.  Are you known by any other name besides Martin?,q,MR. NEWTON,start_answer
16,151,5,18,Just Martin.,a,THE WITNESS,start_question
17,152,5,19,Okay.  Do you have any nicknames or anything like that?,q,MR. NEWTON,start_answer
18,154,5,21,No.  Not that I know of.,a,THE WITNESS,start_question
19,155,5,22,"Mr. Arredondo, my name is Frank Newton, and I represent the defendant in this case.  And I'm opposite you in this matter. Do you understand that, sir?",q,MR. NEWTON,start_chat
20,160,6,1,So sorry.,side_chat,MR. BICKHAM,start_chat
21,161,6,2,Yes.,side_chat,THE WITNESS,start_chat
22,162,6,3,Thank you.  Sorry about that.,side_chat,MR. BICKHAM,start_chat
23,163,6,4,No problem at all.,side_chat,MR. NEWTON,start_chat
24,164,6,5,Promise I'm not trying to disrupt you.,side_chat,MR. BICKHAM,start_chat
25,166,6,7,At least you didn't get it on the keys there.,side_chat,MR. NEWTON,start_chat
26,168,6,9,That's why I had to throw away my old bottles.,side_chat,MR. BICKHAM,start_chat
