,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, outcomes information and testimony about that. And would ask that any references to patients be done with initials. EXAMINATION,,,start_question
1,174,5,12,Would you please spell your full name for the record?,q,MR. ARCHINACO,start_answer
2,176,5,14,"Brad, Bradley, B-R-A-D-L-E-Y, John, Bertke, B-E-R-T-K-E.",a,THE WITNESS,start_question
3,178,5,16,Where are you currently employed?,q,MR. ARCHINACO,start_answer
4,179,5,17,"Mercy Health, Bon Secours Mercy Health.",a,THE WITNESS,start_question
5,181,5,19,What is your current position?,q,MR. ARCHINACO,start_answer
6,182,5,20,I'm the president at St. Anne's Hospital.,a,THE WITNESS,start_question
7,184,5,22,Have you ever given your deposition before?,q,MR. ARCHINACO,start_answer
8,186,5,24,Just one other time.,a,THE WITNESS,start_question
9,187,5,25,What type of case?,q,MR. ARCHINACO,start_answer
10,189,6,1,"It was a physician that we had a -- it was an independent contractor relationship with.  And we ended up severing that relationship, terminating that, and he filed a suit.",a,THE WITNESS,start_question
11,194,6,6,Do you recall when that was approximately?,q,MR. ARCHINACO,start_answer
12,196,6,8,"'12, '13, 2012, 2013.",a,THE WITNESS,start_question
13,197,6,9,Was it a surgeon?,q,MR. ARCHINACO,start_answer
14,198,6,10,No.  It was a radiologist.,a,THE WITNESS,start_question
15,199,6,11,I'll go through some basic ground rules.,q,MR. ARCHINACO,start_answer
16,201,6,13,Okay.,a,THE WITNESS,start_question
17,202,6,14,"The court reporter is the official transcript.  She takes down what we say, so think of it almost as a, I'll ask a question, then there is a potential of an objection.  Normally, you can answer after the objection, unless you have been instructed not to.  So it's question, potential objection, and then answer. If you give opposing counsel, Mr. Wiencek, an opportunity to state any objection, it will give you an opportunity also to think about your answer. Also, shakes and nods of the head don't work, so you have to keep your answers audible.  If for some reason you don't hear or understand a question, tell me you didn't hear or understand it.  Otherwise, I'll proceed as if you did. There is something called the attorney-client privilege.  I'm not seeking your conversations with counsel today, in terms of your conversations with Mr. Wiencek and things of that nature.  If any topics come up about where attorneys might have been involved in conversation, just proceed with caution.  You may be instructed not to answer questions at a certain point, depending upon what the questions are, so I'm trying to get your independent information.",q,MR. ARCHINACO,start_answer
18,232,7,18,Okay.,a,THE WITNESS,start_question
19,233,7,19,"Outside of attorneys.  Although, there may have been, at some points in the timeline --",q,MR. ARCHINACO,start_answer
20,236,7,22,"Yeah, an attorney involved.",a,THE WITNESS,start_question
21,237,7,23,"Correct.  Okay.  So in those areas, just proceed with a little bit more caution in terms of how you're going to answer a question, just because the intent is not to get a waiver of some attorney-client privilege, but I may ask some questions around that. Anything -- is that all fair to you, what I have explained so far?",q,MR. ARCHINACO,start_answer
22,247,8,7,"Seems all reasonable, until something specific comes up, I guess.",a,THE WITNESS,start_question
23,249,8,9,"Okay.  All right.  And then, generally, you can take a break whenever you want, unless a question is pending.  We try to do it about every hour or so, but if you need a break before then for any reason, just tell me, and we can go off the record, and we'll take a break.  Sometimes we'll go a little bit longer than an hour.",q,MR. ARCHINACO,start_answer
24,257,8,17,Okay.,a,THE WITNESS,start_question
25,258,8,18,"And there will be a lot of documents.  There is also in front of you some binders, Binder I and Binder II.  At various points today, we may have you look -- you're going to be looking at a number of documents, so if something's already been marked, I'll tell you to go to that in the binder.  And there is a tab, and then that would mean that the exhibit appears behind the tab.",q,MR. ARCHINACO,start_answer
26,268,9,2,Okay.,a,THE WITNESS,start_question
27,269,9,3,"If it's tab 1 or whatever. First volume has like, has approximately the first 75 or so exhibits. And then after that, the other binders.  Then we'll also have some other exhibits probably to hand out today for you to go over as well.",q,MR. ARCHINACO,start_answer
28,275,9,9,Okay.,a,THE WITNESS,start_question
29,276,9,10,"If we could just start with your educational background.  Walk me through that a little bit, and then I'm going to ask you about your work history briefly.",q,MR. ARCHINACO,start_answer
30,280,9,14,"Okay.  I'm -- got a bachelor's in science, pre-medicine, from The University of Dayton.  And then I got my master's in hospital and health administration from Xavier University.",a,THE WITNESS,start_question
31,285,9,19,What years were those?,q,MR. ARCHINACO,start_answer
32,286,9,20,"I -- I graduated in -- from Dayton in 1989, and I graduated from Xavier in 1993.",a,THE WITNESS,start_question
33,289,9,23,Okay.  And how old are you today?,q,MR. ARCHINACO,start_answer
34,290,9,24,"Today, I'm 52.",a,THE WITNESS,start_question
35,291,9,25,"And then after graduating from Xavier in 1993, what -- what then, if you could try to walk me through your work history leading up to your arrival at any Mercy entity.",q,MR. ARCHINACO,start_answer
36,297,10,5,"Sure.  So from -- in '93 and part of '94, I worked at Lake Hospital.  That's where I was a -- I did my -- our program had a, essentially an administrative internship or residency.  I did mine there at Lake Hospital outside of Cleveland.  And I ended up staying on there for a period of time, in what essentially I would call an assistant administrator role. And then from there, I took a job as a consultant.  That job might have gone to '95, now that I think about.  Took a job as a consultant and worked at a place called New Health Management.  And didn't really like consulting all that much, so I got reconnected with a person that I knew while I was at Lake. He was at Catholic Healthcare Partners at that time, so I came to -- he offered me a job in essentially kind of a new startup that they were working around, on doing around physician integration, employment, variety of different things, which was kind of, all kind of new at that time.  Health systems weren't widely involved with employing doctors.  So I took that job in the summer of '96.  And some of the dates may not be accurate here, but was in that for maybe three years. And health systems kind of got out of the business of employing doctors, for a variety of different reasons, so the need for that role kind of changed.  I ended up kind of changing jobs and going into more informatics, data collection, data analysis at the corporate offices of Catholic Healthcare Partners. And in 2003, from that job, I left the corporate office to take an operations job at Mercy Hospital-Clermont.  Had that job until the summer of '11, which is when I took this job.",a,THE WITNESS,start_question
