,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,190,6,14,- - - EXAMINATION,symbols,,symbols
2,192,6,16,- - -,symbols,,start_question
3,194,6,18,"Sir, state your full name for the record, please?",q,MR. BLUM,start_answer
4,196,6,20,Richard M. Reiff.,a,THE WITNESS,start_question
5,197,6,21,"Okay.  Mr. Reiff, I'm going to ask you a series of questions today about a fire that occurred at the Clemens plant back in 2016.  If at any time you don't understand my question, please let me know and I'll be happy to restate it again for you.  It's our responsibility to ask you questions that you understand.  All right? I'm going to ask you to try to keep all your responses verbal because the court reporter cannot take down nodding our head or shrugging our shoulders.",q,MR. BLUM,start_answer
6,210,7,9,Correct.,a,THE WITNESS,start_question
7,211,7,10,Is there anything that would prevent you from testifying accurately today?,q,MR. BLUM,start_answer
8,213,7,12,No.,a,THE WITNESS,start_question
9,214,7,13,"Okay.  Sir, can you tell us where you currently live?",q,MR. BLUM,start_answer
10,216,7,15,"I currently live at the 757 East Main Street, Apartment L302.",a,THE WITNESS,start_question
11,218,7,17,"In front of you is a document which we marked as Exhibit 1, which is a copy of the Notice of Deposition and the subpoena.  Is that a copy, sir, of the subpoena --",q,MR. BLUM,start_answer
12,222,7,21,Yes.,a,THE WITNESS,start_question
13,223,7,22,-- that you received?,q,MR. BLUM,start_answer
14,224,7,23,Yes.,a,THE WITNESS,start_question
15,225,7,24,And did you have at your house or in your possession any documents or anything that related to this fire?,q,MR. BLUM,start_answer
16,229,8,3,No.,a,THE WITNESS,start_question
17,230,8,4,"All right.  Sir, could you just tell us your general educational background, please?",q,MR. BLUM,start_answer
18,233,8,7,Two years college.,a,THE WITNESS,start_question
19,234,8,8,All right.  And where did you go to high school?,q,MR. BLUM,start_answer
20,236,8,10,North Penn High School.,a,THE WITNESS,start_question
21,237,8,11,And where did you go to college?,q,MR. BLUM,start_answer
22,238,8,12,"Gwynedd Mercy University, it was Gwynedd Mercy College at the time.",a,THE WITNESS,start_question
23,240,8,14,Okay.  And what did you study?,q,MR. BLUM,start_answer
24,241,8,15,History major.,a,THE WITNESS,start_question
25,242,8,16,And when did you leave Gwynedd Mercy?,q,MR. BLUM,start_answer
26,244,8,18,"I done it in spells, I didn't go two years straight.",a,THE WITNESS,start_question
27,246,8,20,Okay.  Then I'll start over. When did you graduate from high school?,q,MR. BLUM,start_answer
28,249,8,23,1982.,a,THE WITNESS,start_question
29,250,8,24,Can you just tell us from 1982 to the present what your general employment history is?,q,MR. BLUM,start_answer
30,254,9,3,"Well, generally from 1982 I joined the service, I was in the Army, on active duty until April 1986.  And I worked at American Olean Tile after I was discharged.  And then I worked a couple places up in North Jersey, my brother, trucking company, which I don't even remember the names of.  And then I was -- excuse me, I'm sorry, it was before I went to the tile.",a,THE WITNESS,start_question
31,263,9,12,Okay.,q,MR. BLUM,start_answer
