,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,188,6,13,- - - EXAMINATION,symbols,,symbols
2,190,6,15,- - -,symbols,,start_question
3,192,6,17,"Good afternoon, Janet.  My name is Joseph Blum and I represent Mercedes-Benz in the cases that have been brought from the fire here at Clemens Cleaning Village. I'm going to ask you series of questions today.  If at any time you don't understand my question, please let me know and I'll be happy to restate the question.  And I ask you also to keep all your responses verbal because the court reporter has to take down everything we're saying, and she can't take down nods of your head or shrugs of your shoulders.  Okay?",q,MR. BLUM,start_answer
4,206,7,6,I understand.,a,THE WITNESS,start_question
5,207,7,7,"I would also ask you try to wait until I finish asking my question before you start to speak, because although in a normal conversation you would do that, here it's a little more difficult because the court reporter has to take everything down.  Okay?",q,MR. BLUM,start_answer
6,213,7,13,Uh-huh.,a,THE WITNESS,start_question
7,214,7,14,"Also, if at any time you want to take a break, please let me know. And is there anything that would prevent you from testifying clearly and accurately today?",q,MR. BLUM,start_answer
8,219,7,19,No.,a,THE WITNESS,start_question
9,220,7,20,Okay.  By whom are you employed?,q,MR. BLUM,start_answer
10,221,7,21,Clemens Uniform.,a,THE WITNESS,start_question
11,222,7,22,And what do you do there?,q,MR. BLUM,start_answer
12,223,7,23,"Office manager, accounting.",a,THE WITNESS,start_question
13,224,7,24,Okay.  And how long have you worked -- is it Clemens Cleaning Village that is your employer?,q,MR. BLUM,start_answer
14,228,8,3,"Yes, Clemens Cleaning Village, Inc., yes.",a,THE WITNESS,start_question
15,230,8,5,And how long have you worked for Clemens Cleaning Village?,q,MR. BLUM,start_answer
16,232,8,7,July of 1983.,a,THE WITNESS,start_question
17,233,8,8,"And did you come here right out of school, to Clemens Cleaning Village?",q,MR. BLUM,start_answer
18,235,8,10,No.,a,THE WITNESS,start_question
19,236,8,11,Okay.  Tell us what your educational background is?,q,MR. BLUM,start_answer
20,238,8,13,"I went to, I graduated from college, Eastern Mennonite College, in 1976.  And then I took accounting classes at Temple in -- that would have been like '78 and '79.",a,THE WITNESS,start_question
21,242,8,17,"And when you got your degree, what was it in?",q,MR. BLUM,start_answer
22,244,8,19,Math.,a,THE WITNESS,start_question
23,245,8,20,"All right.  When you went to Temple, did you get any kind of certificate or additional degree?",q,MR. BLUM,start_answer
24,248,8,23,No.  I just took accounting classes.,a,THE WITNESS,start_question
25,249,8,24,"And when you were at Temple, were you going there full time?",q,MR. BLUM,start_answer
26,252,9,2,No; part time.,a,THE WITNESS,start_question
27,253,9,3,And were you working at that time?,q,MR. BLUM,start_answer
28,254,9,4,I was working at American Olean Tile.,a,THE WITNESS,start_question
29,256,9,6,And what did you do there?,q,MR. BLUM,start_answer
30,257,9,7,I was in inventory control.,a,THE WITNESS,start_question
31,258,9,8,And how long did you work there in that capacity?,q,MR. BLUM,start_answer
32,260,9,10,"Two years, '77 to '79.",a,THE WITNESS,start_question
33,261,9,11,And after that where did you go to work?,q,MR. BLUM,start_answer
34,263,9,13,"I worked at Tuthill Pump Company out in Chicago, Illinois.",a,THE WITNESS,start_question
35,265,9,15,And what did you do there?,q,MR. BLUM,start_answer
36,266,9,16,I was in accounting.,a,THE WITNESS,start_question
37,267,9,17,And how long did you stay there at the pump company?,q,MR. BLUM,start_answer
38,269,9,19,That was from '79 to '83.,a,THE WITNESS,start_question
39,270,9,20,Okay.  And then did you come back here to work?,q,MR. BLUM,start_answer
40,272,9,22,"Yeah, then we moved back here, yeah.",a,THE WITNESS,start_question
41,273,9,23,And are you a member of the Clemens family?,q,MR. BLUM,start_answer
42,276,10,1,Yes.,a,THE WITNESS,start_question
43,277,10,2,Okay.  Randy is your brother?,q,MR. BLUM,start_answer
44,278,10,3,Yes.,a,THE WITNESS,start_question
45,279,10,4,"When you first came to work here at Clemens, what facility or physically where did you work?",q,MR. BLUM,start_answer
