,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,185,6,11,- - - EXAMINATION,symbols,,symbols
2,187,6,13,- - -,symbols,,start_question
3,189,6,15,"Could you state your full name for the record, please?",q,MR. BLUM,start_answer
4,191,6,17,"James Farr, F-A-R-R.",a,THE WITNESS,start_question
5,192,6,18,"Mr. Farr, my name is Joseph Blum and I represent Mercedes-Benz in a case that's been brought by Capitol Indemnity Insurance. I'm going to ask you a series of questions today about what you might know about that incident or the aftermath of that incident. If at any time you don't understand my question, please let me know, I'll be happy to restate it for you.  And I would ask that you keep all of your responses verbal because the court reporter cannot take down nods of our heads or shrugs of our shoulders.  Okay?",q,MR. BLUM,start_answer
6,205,7,6,Okay.,a,THE WITNESS,start_question
7,206,7,7,I would also ask you to try to let me finish stating my question before you start to speak so that the court reporter also can take us each down separately.  Okay?,q,MR. BLUM,start_answer
8,210,7,11,Yes.,a,THE WITNESS,start_question
9,211,7,12,Could you tell us by whom you're employed?,q,MR. BLUM,start_answer
10,213,7,14,The Johns Eastern Company.,a,THE WITNESS,start_question
11,214,7,15,And what does Johns Eastern Company do?,q,MR. BLUM,start_answer
12,216,7,17,We are an independent insurance adjusting firm.,a,THE WITNESS,start_question
13,218,7,19,Okay.  And do you do work for insureds or for the insurance industry or both?,q,MR. BLUM,start_answer
14,221,7,22,The insurance industry.,a,THE WITNESS,start_question
15,222,7,23,Okay.  And how long have you worked there?,q,MR. BLUM,start_answer
16,225,8,1,15-1/2 years.,a,THE WITNESS,start_question
17,226,8,2,And what do you do there?,q,MR. BLUM,start_answer
18,227,8,3,Currently I'm a field adjuster supervisor.,a,THE WITNESS,start_question
19,229,8,5,Okay.  And how long have you been in that position?,q,MR. BLUM,start_answer
20,231,8,7,Six to seven years.,a,THE WITNESS,start_question
21,232,8,8,"Okay.  And tell me, what does that mean?",q,MR. BLUM,start_answer
22,234,8,10,"As opposed to going into the field any longer, I supervise those who do go into the field and review their product before being released to the insurance carriers and clients.",a,THE WITNESS,start_question
23,239,8,15,All right.  And do you do any adjusting at all yourself at this point or --,q,MR. BLUM,start_answer
24,241,8,17,Minimal.,a,THE WITNESS,start_question
25,242,8,18,Okay.  And are there certain types of claims that you handle personally?,q,MR. BLUM,start_answer
26,244,8,20,Not at this point.,a,THE WITNESS,start_question
27,245,8,21,Okay.,q,MR. BLUM,start_answer
28,246,8,22,"I mean, on occasion I still do go out.  But usually it's because volume is up or staffing is low.",a,THE WITNESS,start_question
29,250,9,1,"Okay.  And before you became the supervisor, what were you doing?",q,MR. BLUM,start_answer
30,252,9,3,Field adjusting.,a,THE WITNESS,start_question
31,253,9,4,And is this all property damage claims?,q,MR. BLUM,start_answer
32,255,9,6,No.,a,THE WITNESS,start_question
33,256,9,7,"So tell me the varieties, the types of claims that you would be working on?",q,MR. BLUM,start_answer
34,258,9,9,"We do first-party property, third-party property, which is what I supervise at this point, but I'm also trained and experienced with casualty, slip and falls, trip and falls, both commercial and homeowner.",a,THE WITNESS,start_question
35,263,9,14,"And before you went to your current employer, who did you work for?",q,MR. BLUM,start_answer
36,265,9,16,Allstate Insurance.,a,THE WITNESS,start_question
37,266,9,17,How long did you work at Allstate?,q,MR. BLUM,start_answer
38,267,9,18,About four years.,a,THE WITNESS,start_question
39,268,9,19,And what did you do there?,q,MR. BLUM,start_answer
