,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," PAUL PETROVICH, called as a witness herein, having been first duly sworn on oath, was examined and testified as follows: EXAMINATION",,,start_question
1,119,4,7,"Good morning, Paul.  Again, my name is Joseph Blum.  I represent Mercedes Benz in a case that's been brought by Capitol Indemnity. I'm just going to ask you a series of questions this morning.  If at any time you don't understand my question, please tell me and I'll be happy to restate it. Also, we're doing this via video connection, so there is going to be some lag time at points where -- between when we speak. So I'm going to ask you to try to take your time and let me finish speaking before you respond.  Do you understand that?",q,MR. BLUM,start_answer
2,132,4,20,Yes.,a,THE WITNESS,start_question
3,133,4,21,"All right.  And we do have to have you keep all your responses verbal, because the court reporter cannot take down nods of our heads or shrugs of our shoulders. Do you understand that?",q,MR. BLUM,start_answer
4,139,5,1,Yes.,a,THE WITNESS,start_question
5,140,5,2,Is there anything that would prevent from you testifying accurately this morning?,q,MR. BLUM,start_answer
6,142,5,4,No.,a,THE WITNESS,start_question
7,143,5,5,Okay.  By whom are you employed?,q,MR. BLUM,start_answer
8,144,5,6,"Capitol Specialty Corporation, also known as Capitol Indemnity Corporation.",a,THE WITNESS,start_question
9,146,5,8,And how long have you been employed there?,q,MR. BLUM,start_answer
10,147,5,9,Seventeen years.,a,THE WITNESS,start_question
11,148,5,10,And could you just briefly tell us the history of your employment there at Capitol?,q,MR. BLUM,start_answer
12,150,5,12,At Capitol?,a,THE WITNESS,start_question
13,151,5,13,Yes.,q,MR. BLUM,start_answer
14,152,5,14,"I was hired as a property examiner, specifically for background in arson, which I had done previously in Chicago.  And then there was some curtailing of business, so I went and handled some other lines of business for about three or four years, liability, auto, because of my background on that, too, but then came back to property.  So essentially, out of 17 years I was probably doing property for 13 years out of the 17.",a,THE WITNESS,start_question
15,162,5,24,"And over the last five years, what have you been doing?",q,MR. BLUM,start_answer
16,165,6,1,Property.,a,THE WITNESS,start_question
17,166,6,2,Okay.  And is that --,q,MR. BLUM,start_answer
18,167,6,3,Commercial property.,a,THE WITNESS,start_question
19,168,6,4,"I'm sorry, say that again.",q,MR. BLUM,start_answer
20,169,6,5,Commercial property.  We don't do any personal lines.,a,THE WITNESS,start_question
21,171,6,7,"Oh, okay. And are you typically on a day-to-day basis adjusting losses for business property?",q,MR. BLUM,start_answer
22,175,6,11,Yes.,a,THE WITNESS,start_question
23,176,6,12,"Okay.  And before you came to Capitol, can you tell me just briefly what your employment history had been?",q,MR. BLUM,start_answer
24,179,6,15,"Immediately before coming to Capitol I spent a year and a half working for L.J. Shaw & Company in Lombard, Illinois, as an independent adjustor handling, again, commercial -- primarily commercial property but some residential as well there. Prior to that I worked -- I had my own construction company for four years, from '97 to 2001, servicing the insurance industry doing insurance repairs. Prior to that, from '87 to '97 I was with American States Insurance primarily handling commercial property claims but some homeowner's or residential, but 90 percent of the business was commercial. Immediately before that, from '81 to '87 I was with the Illinois Fair Plan Association, which almost exclusively handled residential property claims. And then prior to that, from '76 to '81 I worked for Economy Fire & Casualty basically doing a hodgepodge of residential property, auto, and even some bodily injury claims, minor ones.",a,THE WITNESS,start_question
25,204,7,14,And that was your first employment?,q,MR. BLUM,start_answer
26,205,7,15,Yes.  In the insurance business.,a,THE WITNESS,start_question
27,206,7,16,All right.  Okay.  And tell me what your educational background is.,q,MR. BLUM,start_answer
28,208,7,18,I have a B.S. degree in business management from Northern Illinois University.,a,THE WITNESS,start_question
29,210,7,20,And when did you obtain that degree?,q,MR. BLUM,start_answer
30,211,7,21,Let's see.  That would have been 1974.,a,THE WITNESS,start_question
31,212,7,22,"And since you obtained your degree, have you obtained any other certificates or degrees or anything like that?",q,MR. BLUM,start_answer
32,215,7,25,"Not specific degrees.  I've taken classes and courses, but not essentially -- not like a CPCU or anything like that.",a,THE WITNESS,start_question
33,219,8,3,"Okay.  What, if anything, did you do to prepare for your deposition today other than speaking to Gus?",q,MR. BLUM,start_answer
34,222,8,6,"Looked up some of the information on the payments, because Gus had indicated you might be interested in knowing how those payments came to be.  And since it's been a significant period of time since I've worked on the file, I'm trying to refresh my memory here; it's not what it once was.",a,THE WITNESS,start_question
35,229,8,13,And the file that you're speaking about is your insured was a company called S-Bond; is that correct?,q,MR. BLUM,start_answer
36,232,8,16,That is correct.,a,THE WITNESS,start_question
37,233,8,17,"And this fire occurred in Lansdale, Pennsylvania. Have you ever personally visited the site?",q,MR. BLUM,start_answer
38,237,8,21,No.,a,THE WITNESS,start_question
39,238,8,22,In the stack of documents that should be there with you there are I want to say the seventh document which is called the Plaintiff Capitol Indemnity Corporation's Responses to Defendant Mercedes Benz First Interrogatories. Can you see if you can locate that document for me?,q,MR. BLUM,start_answer
40,246,9,4,What was the name of that document again?,a,THE WITNESS,start_question
41,247,9,5,"Sure.  It has the caption of the case on it, and it's entitled Plaintiff Capitol Indemnity Corporation's Responses to Defendant Mercedes Benz First Interrogatories.",q,MR. BLUM,start_answer
42,251,9,9,In front of me.,a,THE WITNESS,start_question
43,252,9,10,All right.  Have you ever seen this document before?,q,MR. BLUM,start_answer
44,254,9,12,Not that I recall.,a,THE WITNESS,start_question
45,255,9,13,"All right.  I'm going to direct your attention, if we could, to the answer to Interrogatory No. 60, which appears -- the question is on page 14, and the answer is on page 15.",q,MR. BLUM,start_answer
46,259,9,17,Question 60 did you say?,a,THE WITNESS,start_question
47,260,9,18,Yes.  That is correct.,q,MR. BLUM,start_answer
48,261,9,19,Okay.,a,THE WITNESS,start_question
49,262,9,20,All right.  And that question is asking for a detailed itemization of the elements of damage that Capitol is claiming. Do you see that?,q,MR. BLUM,start_answer
50,266,9,24,"Um-hmm, yes.",a,THE WITNESS,start_question
51,267,9,25,"And the answer that's provided here in the interrogatories is $248,843.17. Do you see that?",q,MR. BLUM,start_answer
52,271,10,3,Yes.,a,THE WITNESS,start_question
53,272,10,4,Is that an accurate statement as to what you're claiming?,q,MR. BLUM,start_answer
54,274,10,6,"Yes.  The only caveat to that is that includes the insured's $1,000 deductible.",a,THE WITNESS,start_question
55,276,10,8,"Okay.  And can you tell me, are there -- there should be like groups or categories of damages that make up that 248,000.  What are the different groups?  Like property damage, business interruption?  Can you tell me what the categories are?",q,MR. BLUM,start_answer
56,282,10,14,"Well, the basic categories are business personal property and then business income and extra expense.",a,THE WITNESS,start_question
57,285,10,17,"Okay.  Can you tell me the business personal property, what is the amount of the claim that is being made by Capitol?",q,MR. BLUM,start_answer
58,288,10,20,"I believe it is 117,389.17.",a,THE WITNESS,start_question
59,289,10,21,"And does that include the $1,000 deductible?",q,MR. BLUM,start_answer
60,290,10,22,Yes.,a,THE WITNESS,start_question
61,291,10,23,"Okay.  So really your number before the deductible is 116,389.17?",q,MR. BLUM,start_answer
62,293,10,25,Correct.,a,THE WITNESS,start_question
63,295,11,1,All right.  Can you tell me how Capitol went about determining that number?,q,MR. BLUM,start_answer
64,297,11,3,"Well, we hired an independent adjustor to meet with the insured.  The insured's business is fairly complicated, because I think they do some work for the government.  And I believe it has to do with satellites, but I'm not 100 percent sure on all of that.  But they've got a system where they were using what I would refer to as top-end electronic equipment for either calculating and/or effecting the actual work that they're doing.",a,THE WITNESS,start_question
65,307,11,13,And who is the independent adjustor that Capitol retained?,q,MR. BLUM,start_answer
66,309,11,15,I believe that was James Farr or Jamie Farr.,a,THE WITNESS,start_question
67,310,11,16,And did you personally know Mr. Farr before this loss?,q,MR. BLUM,start_answer
68,312,11,18,No.,a,THE WITNESS,start_question
69,313,11,19,Okay.  How did you come to hire him?,q,MR. BLUM,start_answer
70,314,11,20,"I've worked with Johns Eastern Company previously, and he was in the locale where the loss occurred, so I hired Johns Eastern.  They assigned Mr. Farr.",a,THE WITNESS,start_question
71,318,11,24,What is your understanding of the business of Johns Eastern Company?,q,MR. BLUM,start_answer
72,321,12,1,They're an independent adjusting company.,a,THE WITNESS,start_question
73,322,12,2,All right.  And was Mr. Farr authorized to act as your agent to adjust the loss?,q,MR. BLUM,start_answer
74,324,12,4,"For the adjustment purpose of the loss, yes, to talk to the insured.",a,THE WITNESS,start_question
75,326,12,6,"Okay.  Correct. And that number that you gave us, the $116,000 number, does that represent a replacement cost for the insured or actual cash value?",q,MR. BLUM,start_answer
76,331,12,11,"I believe that would be replacement cost.  A lot of the items that were involved were, in fact, cleaned, because the insured was desperate to relocate to another location.  So they were trying everything in their power to clean items that they could use, but due to the nature of being electronic equipment, some of them were not.",a,THE WITNESS,start_question
77,339,12,19,"Okay.  I'm sorry, you lost me there a little bit. So in the 117,000 -- 116,000, does that include the effort to clean, or is that just the amount that was paid for replacement?",q,MR. BLUM,start_answer
78,344,12,24,"That is cleaning and also what I would refer to as pack-out.  Because obviously if they're going to take items from location one, wherever they were located at, Lansdale, and then move it to another property, they were going to clean the property before they moved into the other location. So you're paying for the cleaning of the equipment and then loading it into a truck, taking it over to the new location, as well as some items that could not be cleaned, had to be replaced.",a,THE WITNESS,start_question
79,357,13,11,Okay.  And did you receive from Johns Eastern a breakdown of all of those costs?,q,MR. BLUM,start_answer
80,359,13,13,Yes.,a,THE WITNESS,start_question
81,360,13,14,Okay.  And in what form did you receive that?,q,MR. BLUM,start_answer
