,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,157,5,11,- - - EXAMINATION,symbols,,symbols
2,159,5,13,- - -,symbols,,start_question
3,161,5,15,"Could you state your full name for the record, please?",q,MR. BLUM,start_answer
4,163,5,17,"David P. Bennett, B-E-N-N-E-T-T.",a,THE WITNESS,start_question
5,164,5,18,"And whom are you employed by, David?",q,MR. BLUM,start_answer
6,165,5,19,"Elliott Claims, LLC.",a,THE WITNESS,start_question
7,166,5,20,"My name is Joseph Blum and I represent Mercedes-Benz in a case that's been brought by Millers Capital insurance. I'm going to ask you a series of questions today.  If at any time you don't understand the question, please let me know and I'll be happy to restate it.  I would ask that you keep all your responses verbal because the court reporter cannot take down our nods or our shrugs.  I would also ask that you try to let me finish my question before you start to speak so that she can take one of us down at a time. Do you understand all that?",q,MR. BLUM,start_answer
8,181,6,10,I understand.,a,THE WITNESS,start_question
9,182,6,11,Is there anything that would prevent you from testifying accurately today?,q,MR. BLUM,start_answer
10,184,6,13,Not that I'm aware of.,a,THE WITNESS,start_question
11,185,6,14,Okay.  Can you tell me how long you've worked for your current company?,q,MR. BLUM,start_answer
12,187,6,16,Let me think about it.  I want to say from 2000 is when I hooked up with John Elliott as a subcontractor with John.,a,THE WITNESS,start_question
13,190,6,19,And are you a subcontractor there now?,q,MR. BLUM,start_answer
14,192,6,21,Yes.,a,THE WITNESS,start_question
15,193,6,22,Okay.  And what services does he contract with you?,q,MR. BLUM,start_answer
16,195,6,24,"Basically the handling of property claims, generally the larger property claims as opposed to the smaller ones.",a,THE WITNESS,start_question
17,199,7,3,All right.  And do you evaluate claims for other people or independently?,q,MR. BLUM,start_answer
18,201,7,5,"I have adjusted some independently to my own company, which is B&W Claims, LLC. I also am a subcontractor with Provencher, P-R-O-V-E-N-C-H-E-R, Claims, LLC.",a,THE WITNESS,start_question
19,205,7,9,All right.  And what types of claims in general are you handling?,q,MR. BLUM,start_answer
20,207,7,11,First-party property claims.,a,THE WITNESS,start_question
21,208,7,12,"Are they typically commercial, residential, or both?",q,MR. BLUM,start_answer
22,210,7,14,"90% commercial, 10% residential.",a,THE WITNESS,start_question
23,211,7,15,And how long have you worked like as an independent adjuster yourself?,q,MR. BLUM,start_answer
24,213,7,17,"Since '99, 1999.  And then when I first started in the business, which was in '77 or '78.",a,THE WITNESS,start_question
25,216,7,20,"Okay.  So in '77 or '78 you started in the claims business, is that what you're saying?",q,MR. BLUM,start_answer
26,219,7,23,Correct.,a,THE WITNESS,start_question
27,220,7,24,How did you get started?,q,MR. BLUM,start_answer
28,222,8,1,My dad was an independent and I was looking to change from working for a title company.,a,THE WITNESS,start_question
29,225,8,4,"And then from '77, '78 all the way to '99, have you operated independently or did you work for other people?",q,MR. BLUM,start_answer
30,228,8,7,"No.  From, it's either late '77 to I believe August of '79 I was with a company in Nebraska called State Farmers, not State Farm, that wrote basically farm and residential. And in '79 I went to work for American General Fire and Casualty/Maryland Casualty in Dallas.  Was in the Dallas office four years as first was an auto adjuster, then I picked up liability, then I did comp and did property. And I want to say in '83 I went to Midland Odessa with them as a claims manager of a claims office.  '84 was in San Antonio for a year as a branch supervisor for workers' comp and property.  And '85 went to the regional office as a general adjuster in Houston.  And in '89 was brought up to Baltimore, the home office, as a regional general adjuster for the northeast territory. And then from there to '99, at some point I went inside as a home office property manager, and then the titles changed just to give me more money.  I'm raised time, so.",a,THE WITNESS,start_question
31,252,9,6,You said you worked for a title company before that?,q,MR. BLUM,start_answer
32,254,9,8,"Chicago Title Insurance Company back in '76, I think it was '76, '75, '76, in there.",a,THE WITNESS,start_question
33,257,9,11,All right.  And can you tell us what your educational background is?,q,MR. BLUM,start_answer
34,259,9,13,"Graduated high school in '73, did a year at college at Bellevue Junior College, and then went out into the work force.  With American General I completed the Insurance Institute of America three-part course and then the associate in claims course.  And then did the five-year with the -- I'm trying to think of the society -- senior claims loss associate is the final designation I've got. And, of course, all the training for business income, property, storms, whatever.",a,THE WITNESS,start_question
35,270,9,24,"And are those, when you refer to that, are those like company training programs that you're talking about?",q,MR. BLUM,start_answer
