,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,159,5,11,- - - EXAMINATION,symbols,,symbols
2,161,5,13,- - -,symbols,,start_question
3,163,5,15,State your full name for the record?,q,MR. BLUM,start_answer
4,164,5,16,Alex Hart.,a,THE WITNESS,start_question
5,165,5,17,"Alex, by whom are you employed?",q,MR. BLUM,start_answer
6,166,5,18,Millers Mutual.,a,THE WITNESS,start_question
7,167,5,19,"Alex, my name is Joseph Blum and I represent Mercedes in a case that's been brought by your company against them in reference to a loss at the Clemens facility here in Lansdale. I'm going to ask you a series of questions today.  Any time you don't understand my question, please let me know, I'll be happy to restate it for you.  I'd ask you keep all your responses verbal because the court reporter cannot take down a nod of the head or shrug of the shoulders.  Okay?",q,MR. BLUM,start_answer
8,180,6,7,Yep.,a,THE WITNESS,start_question
9,181,6,8,"If at any time today you want a break or anything like that, please let me know.  The other thing that I would ask you to do, if you could, is to let me finish my question before you start to speak because, again, the court reporter has to take everything down.  All right?",q,MR. BLUM,start_answer
10,188,6,15,Okay.,a,THE WITNESS,start_question
11,189,6,16,"Alex, how long have you worked for Millers?",q,MR. BLUM,start_answer
12,191,6,18,About four years.,a,THE WITNESS,start_question
13,192,6,19,In what capacity are you employed there?,q,MR. BLUM,start_answer
14,194,6,21,I'm a property claim adjuster.,a,THE WITNESS,start_question
15,195,6,22,And has that been consistent through the whole four years you have been there?,q,MR. BLUM,start_answer
16,197,6,24,"Yes, it has.",a,THE WITNESS,start_question
17,199,7,1,Are there any particular type of property claims that you handle?,q,MR. BLUM,start_answer
18,201,7,3,"I mean, anything under -- basically anything that we write under commercial property, or, you know, business owner's policy, builder's risk, subro marine, basically anything that we write.",a,THE WITNESS,start_question
19,206,7,8,So it's basically commercial property versus residential?,q,MR. BLUM,start_answer
20,208,7,10,Correct.,a,THE WITNESS,start_question
21,209,7,11,Okay.  And could you tell us basically what your educational background is?,q,MR. BLUM,start_answer
22,211,7,13,"I've a Bachelor's degree from University of Pittsburgh, and that's the highest level.",a,THE WITNESS,start_question
23,214,7,16,Okay.  And when did you graduate from University of Pittsburgh?,q,MR. BLUM,start_answer
24,216,7,18,In 2010.,a,THE WITNESS,start_question
25,217,7,19,"I won't hold that against you, by the way, that you went to school there. And what is your degree in from University of Pittsburgh?",q,MR. BLUM,start_answer
26,221,7,23,It was social sciences.,a,THE WITNESS,start_question
27,222,7,24,"And after you left University of Pittsburgh, can you tell us what your employment history was up until the time you went to Millers?",q,MR. BLUM,start_answer
28,227,8,4,Yeah.  After college I worked for a trucking company doing operations management and managing drivers and logistics and things like that.,a,THE WITNESS,start_question
29,231,8,8,How long did you work there?,q,MR. BLUM,start_answer
30,232,8,9,"I guess almost five or six years, something like that.",a,THE WITNESS,start_question
31,234,8,11,Is that the only other job you had --,q,MR. BLUM,start_answer
32,236,8,13,Right.,a,THE WITNESS,start_question
33,237,8,14,-- other than Millers?,q,MR. BLUM,start_answer
34,238,8,15,Correct.,a,THE WITNESS,start_question
35,239,8,16,"So when you got to Millers, did they provide you with any type of training about how to be a property adjuster?",q,MR. BLUM,start_answer
36,242,8,19,"Yeah.  I mean, we did, you know, seminars, training classes or seminars or something through The Institutes, which is like how you get accreditations and things like that.",a,THE WITNESS,start_question
37,247,8,24,And have you received any kind of certificates or anything --,q,MR. BLUM,start_answer
38,250,9,2,"I haven't completed the AIC yet, but I have completed some of that, so.",a,THE WITNESS,start_question
39,252,9,4,"Okay.  What, if anything, did you do to prepare for your deposition today other than speak to your attorney?",q,MR. BLUM,start_answer
40,255,9,7,I reviewed some items in the file and the file notes and some pictures of the damage and things like that.,a,THE WITNESS,start_question
41,258,9,10,All right.  And what was in the file other than the file notes that you looked at?,q,MR. BLUM,start_answer
42,260,9,12,"Various reports from our independent adjuster, a lot of invoices and -- I'm trying to think what else -- photographs, engineer reports.  I don't know, there's a lot in there.",a,THE WITNESS,start_question
43,265,9,17,Okay.  And when was the first time that you had anything to do with this loss at the Clemens facility?,q,MR. BLUM,start_answer
44,268,9,20,"It was assigned to me originally, so basically when we got the loss report, which I think was the day after the fire, it was in my name, and it was in my name the whole time, I think, so.",a,THE WITNESS,start_question
45,274,10,1,And who was the insured that Millers had on that property?,q,MR. BLUM,start_answer
46,276,10,3,"I believe it was P.R. Clemens Family, LP.",a,THE WITNESS,start_question
47,278,10,5,"And is it your understanding that your insured owned the physical plant there, the building?",q,MR. BLUM,start_answer
48,281,10,8,Yes.,a,THE WITNESS,start_question
49,282,10,9,"Okay.  And what was the insurance, basically what was the insurance coverage that Millers provided to P.R. Family Partnership?",q,MR. BLUM,start_answer
50,285,10,12,"It was for building coverage and with that business income, which was rental income from I think Clemens Uniform or Clemens Cleaning, something like that.  So the businesses that ran in the building.  But our coverage applied to the building.",a,THE WITNESS,start_question
51,291,10,18,"Okay.  And after this loss was received or you got notice of it, did you personally go there to the scene?",q,MR. BLUM,start_answer
52,294,10,21,"Yes.  I think it was within -- I think it was the day after we received the report of the claim, so within 48 hours of the loss.",a,THE WITNESS,start_question
53,299,11,1,And what was the purpose of going there?,q,MR. BLUM,start_answer
54,301,11,3,"Just overall site inspection and kind of, I don't know, scope it out, I guess, and meeting with, I believe the fire marshal was still onsite, emergency services contractors were there, our independent adjuster, Dave Bennett, was there.  And I think there may have been a few other people, I can't remember.  But basically just to kind of get eyes on it, see the extent of the damage and what the building looked like.",a,THE WITNESS,start_question
