,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," CHRISTOPHER CARROLL, called as a witness, having been first duly sworn to tell the truth, the whole truth, and nothing but the truth, was examined and testified as follows:",,,start_question
1,119,5,15,"We met briefly off the record, but for the record, will you state your full name?",q,MR. BYRON,start_answer
2,121,5,17,Sure.  My name is Christopher Antoine Carroll.,a,THE WITNESS,start_question
3,123,5,19,"And, Mr. Carroll, where do you currently live?",q,MR. BYRON,start_answer
4,125,5,21,"I currently live in Bristow, Virginia.",a,THE WITNESS,start_question
5,126,5,22,"My name is -- I introduced myself earlier -- is John Byron and I'm with the law firm of Norton Rose Fulbright and our law firm represents State Center, LLC and other development entities in a lawsuit that's been filed by certain departments and agencies of the State of Maryland. Do you understand that?",q,MR. BYRON,start_answer
6,134,6,4,Yes.,a,THE WITNESS,start_question
7,135,6,5,You understand that this deposition is being taken as part of that case?,q,MR. BYRON,start_answer
8,137,6,7,Yes.,a,THE WITNESS,start_question
9,138,6,8,"Have you ever been deposed before, Mr. Carroll?",q,MR. BYRON,start_answer
10,140,6,10,No.,a,THE WITNESS,start_question
11,141,6,11,Do you understand that today's testimony is under oath?,q,MR. BYRON,start_answer
12,143,6,13,Yes.,a,THE WITNESS,start_question
13,144,6,14,And it has the same force and effect as if it was in trial?,q,MR. BYRON,start_answer
14,146,6,16,Yes.,a,THE WITNESS,start_question
15,147,6,17,Before a court of law?,q,MR. BYRON,start_answer
16,148,6,18,Yes.,a,THE WITNESS,start_question
17,149,6,19,"So before we begin, since you haven't been deposed before, I'm going to go over a few ground rules.  Is that okay?",q,MR. BYRON,start_answer
18,152,6,22,Sure.,a,THE WITNESS,start_question
19,153,6,23,"As you can see, the deposition is being reported by a court reporter today and he can only take one of us down at a time.  So that means we need to take turns speaking.  Can you and I agree that we'll take turns speaking during the course of the deposition?",q,MR. BYRON,start_answer
20,160,7,4,Yes.,a,THE WITNESS,start_question
21,161,7,5,"There may be times when Mr. Rosenfeld asserts an objection to a question that I have.  Unless he tells you not to answer the question, you're required to answer my question.  Do you understand that?",q,MR. BYRON,start_answer
22,166,7,10,Yes.,a,THE WITNESS,start_question
23,167,7,11,"You need to, of course, for the court reporter's purposes answer all of my questions verbally.  Uh-huh, uh-uh, nonverbal gestures like shaking heads, nodding your head cannot be picked up by our court reporter no matter how good he is.  So please answer all my questions verbally.  Can you agree that you will answer my questions verbally?",q,MR. BYRON,start_answer
24,174,7,18,Yes.,a,THE WITNESS,start_question
25,175,7,19,"If you don't understand a question as I'm not always the best questioner, please ask me to rephrase it.  I'm not trying to trick you with my questions.  I want to make sure you understand them and I understand your answer.  So if I ask a question that isn't understandable to you, will you please ask me to rephrase it?",q,MR. BYRON,start_answer
26,183,8,1,Yes.,a,THE WITNESS,start_question
27,184,8,2,"If you don't ask me to rephrase it, I'll assume that you understand it.  Okay?",q,MR. BYRON,start_answer
28,186,8,4,Yes.,a,THE WITNESS,start_question
29,187,8,5,"So as I mentioned before this deposition began, I expect to go probably between 2 and 3 hours today.  This is not a marathon session.  If you need a break during those 2 to 3 hours, please ask me.  I will take a break just as a matter of habit about every hour.  But if you need a break before I call a break, please ask me and I'm happy to give it to you.  Is that okay?",q,MR. BYRON,start_answer
30,195,8,13,Yes.,a,THE WITNESS,start_question
31,196,8,14,But I just ask don't do it during a pending question.  Okay?,q,MR. BYRON,start_answer
32,198,8,16,Okay.,a,THE WITNESS,start_question
33,199,8,17,"All right.  So, Mr. Carroll, where are you currently employed?",q,MR. BYRON,start_answer
34,201,8,19,I'm currently employed at the Maryland Department of Information Technology.,a,THE WITNESS,start_question
