,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, defenses.,,,start_chat
1,313,9,8,Agreed.,side_chat,MR. HUMEN,start_chat
2,314,9,9,Okay. DIRECT EXAMINATION,side_chat,MR. KENNY,start_question
3,317,9,12,"Good morning, sir.",q,MR. KENNY,start_answer
4,318,9,13,Good morning.,a,THE WITNESS,start_question
5,319,9,14,My name is Ryan Kenny.  I'm going to be asking you probably most of the questions this morning.  Then there might be a few other attorneys in the room that are going to have some follow-up questions.,q,MR. KENNY,start_answer
6,323,9,18,Um-hum.,a,THE WITNESS,start_question
7,324,9,19,Have you ever had your deposition taken before?,q,MR. KENNY,start_answer
8,326,9,21,No.,a,THE WITNESS,start_question
9,327,9,22,"Okay.  One thing that we have to remember here is Niki is taking down everything we say, and so it's important that, unlike normal everyday talk where we are talking over one another, that you just wait for me to finish my question before you go ahead with your answer.",q,MR. KENNY,start_answer
10,333,10,3,Um-hum.  Yep.,a,THE WITNESS,start_question
11,334,10,4,And I'll do the same.  I'll be respectful and wait for you to answer --,q,MR. KENNY,start_answer
12,336,10,6,Okay.,a,THE WITNESS,start_question
13,337,10,7,-- before I ask my next question.,q,MR. KENNY,start_answer
14,338,10,8,Okay.,a,THE WITNESS,start_question
15,339,10,9,"After I ask my question and you give me an answer, I'm going to assume that, one, you understood it and, two, it was a truthful answer to the best of your memory.  Okay?",q,MR. KENNY,start_answer
16,343,10,13,"Um-hum, yes.",a,THE WITNESS,start_question
17,344,10,14,"We are going back many years here.  A lot of things you may not remember, so the last thing I want you to do is guess.  If you don't understand or if you don't know the answer to something, just please tell me --",q,MR. KENNY,start_answer
18,349,10,19,Um-hum.,a,THE WITNESS,start_question
19,350,10,20,"-- you know, ""I don't know"" or ""I don't recall""?",q,MR. KENNY,start_answer
20,352,10,22,Yep.,a,THE WITNESS,start_question
21,353,10,23,Okay?,q,MR. KENNY,start_answer
22,354,10,24,Yep.,a,THE WITNESS,start_question
23,356,11,1,"If you need a break at any time, just let us know.  We'll go off the record, take a quick five.",q,MR. KENNY,start_answer
24,358,11,3,Okay.,a,THE WITNESS,start_question
25,359,11,4,"It's also important, again Niki taking down everything we say here, that you remember to answer verbally.  So she can't take down a shake of the head --",q,MR. KENNY,start_answer
26,362,11,7,"Oh, yeah.",a,THE WITNESS,start_question
27,363,11,8,-- or a nod or something like that.,q,MR. KENNY,start_answer
28,364,11,9,Yeah.  Okay.,a,THE WITNESS,start_question
29,365,11,10,All right?,q,MR. KENNY,start_answer
30,366,11,11,Okay.,a,THE WITNESS,start_question
31,367,11,12,"And the last thing, if you could just please keep your voice up to the best you can.  We have some folks on the phone.",q,MR. KENNY,start_answer
32,370,11,15,Yep.,a,THE WITNESS,start_question
33,371,11,16,"You are doing a great job so far, so. All right.  Could you please state your full name for the record, please?",q,MR. KENNY,start_answer
34,374,11,19,Lawrence T. Donovan.,a,THE WITNESS,start_question
35,375,11,20,"And where were you born, Mr. Donovan?",q,MR. KENNY,start_answer
36,376,11,21,"Boston, Massachusetts.",a,THE WITNESS,start_question
37,377,11,22,And were you born in actually Boston?,q,MR. KENNY,start_answer
38,378,11,23,Yes.,a,THE WITNESS,start_question
39,379,11,24,Okay.  What hospital?,q,MR. KENNY,start_answer
40,381,12,1,Boston City Hospital.,a,THE WITNESS,start_question
41,382,12,2,And did you live outside the city growing up?,q,MR. KENNY,start_answer
42,383,12,3,"I did.  I lived out in -- I lived in Derry, New Hampshire, for about 30 years.",a,THE WITNESS,start_question
43,385,12,5,"Okay.  And what is your date of birth, sir?",q,MR. KENNY,start_answer
44,386,12,6,12-20-42.,a,THE WITNESS,start_chat
45,387,12,7,And can we go off the record?,side_chat,MR. KENNY,is brackets
46,388,12,8,(Off-the-record discussion held.),brackets,,start_chat
47,389,12,9,"And back on the record, please.",side_chat,MR. KENNY,start_question
48,391,12,11,"And what is your current address, Mr. Donovan?",q,MR. KENNY,start_answer
49,392,12,12,"332 Bradstrom Circle, Naples, Florida.",a,THE WITNESS,start_question
50,393,12,13,And how long have you lived at this address for?,q,MR. KENNY,start_answer
51,395,12,15,"Ten years, 12 years.  Ten or 12 years.",a,THE WITNESS,start_question
52,396,12,16,And have you lived at this address full time?,q,MR. KENNY,start_answer
53,397,12,17,"No, six months out of the year, a little over six months, actually.",a,THE WITNESS,start_question
54,399,12,19,Where do you live the other six months?,q,MR. KENNY,start_answer
55,400,12,20,"Dedham, Massachusetts.",a,THE WITNESS,start_question
56,401,12,21,So you currently still have a residence in Dedham?,q,MR. KENNY,start_answer
57,403,12,23,Um-hum.,a,THE WITNESS,start_question
58,404,12,24,And what's the address of that?,q,MR. KENNY,start_answer
59,406,13,1,"4 Calvin Road, C-A-L-V-I-N.",a,THE WITNESS,start_question
60,407,13,2,And how long have you lived at that home?,q,MR. KENNY,start_answer
61,408,13,3,"Oh, about the same, ten, 12 years.",a,THE WITNESS,start_question
62,409,13,4,And when do you leave the Dedham home to come down to Florida?,q,MR. KENNY,start_answer
63,411,13,6,"Usually at the end of August.  I mean, I'm sorry.  October.",a,THE WITNESS,start_question
64,413,13,8,So -- and when do you go back to the home?,q,MR. KENNY,start_answer
65,414,13,9,"This year we are going to leave the beginning of May, May 3rd or 4th, something like that.",a,THE WITNESS,start_question
66,416,13,11,And has that been kind of your routine since you moved down to Florida?,q,MR. KENNY,start_answer
67,418,13,13,"Yeah, end of April, early May, yeah.  Yeah. Miss the snow.",a,THE WITNESS,start_question
68,420,13,15,Smart move.,q,MR. KENNY,start_answer
69,421,13,16,Yeah.,a,THE WITNESS,start_question
70,422,13,17,Do you have any plans to move in the future either from your Dedham home or from your Florida home?,q,MR. KENNY,start_answer
71,424,13,19,No.,a,THE WITNESS,start_question
72,425,13,20,"As I'm sure you're aware, this case has been filed in Massachusetts.  Would you have any trouble traveling to Massachusetts to testify at this case?",q,MR. KENNY,start_answer
73,428,13,23,No.  As long as you pay my freight.,a,THE WITNESS,start_question
74,429,13,24,"Okay.  We'll talk to your lawyer about that. And, sir, are you currently married?",q,MR. KENNY,start_answer
75,432,14,2,"No, widowed.",a,THE WITNESS,start_question
76,433,14,3,Sorry to hear that.,q,MR. KENNY,start_answer
77,434,14,4,All right.,a,THE WITNESS,start_question
78,435,14,5,"Do you and your wife, your former wife have kids?",q,MR. KENNY,start_answer
79,437,14,7,"Yes, three.",a,THE WITNESS,start_question
80,438,14,8,And what are their names?,q,MR. KENNY,start_answer
81,439,14,9,"Lawrence, Jr., Maureen, and Diane.",a,THE WITNESS,start_question
82,440,14,10,And how old is Lawrence?,q,MR. KENNY,start_answer
83,441,14,11,Forty-nine.,a,THE WITNESS,start_question
84,442,14,12,Where does he live?,q,MR. KENNY,start_answer
85,443,14,13,"He lives in New York City, Brooklyn.",a,THE WITNESS,start_question
86,444,14,14,And how about Maureen?  How old is Maureen?,q,MR. KENNY,start_answer
87,445,14,15,She's 48.,a,THE WITNESS,start_question
88,446,14,16,And where does she live?,q,MR. KENNY,start_answer
89,447,14,17,"Derry, New Hampshire.",a,THE WITNESS,start_question
90,448,14,18,And then how about Diane?,q,MR. KENNY,start_answer
91,449,14,19,"She's 39.  She lives in Hooksett, New Hampshire.",a,THE WITNESS,start_question
92,451,14,21,And how are your children's health?,q,MR. KENNY,start_answer
93,452,14,22,Good.,a,THE WITNESS,start_question
94,453,14,23,Good.  And what did your wife pass away from?,q,MR. KENNY,start_answer
95,454,14,24,"Dementia, I guess, Alzheimer's.",a,THE WITNESS,start_question
96,456,15,1,Have either your wife or any of your kids ever been diagnosed with any form of cancer?,q,MR. KENNY,start_answer
97,458,15,3,No.,a,THE WITNESS,start_question
98,459,15,4,And how is your health generally?,q,MR. KENNY,start_answer
99,460,15,5,It's all right.  It's good.,a,THE WITNESS,start_question
100,461,15,6,Have you ever been diagnosed with any asbestos-related disease?,q,MR. KENNY,start_answer
101,463,15,8,"Yes, I have pleural plaque.",a,THE WITNESS,start_question
102,464,15,9,And when were you diagnosed with pleural plaque?,q,MR. KENNY,start_answer
103,466,15,11,"Well, actually, as it turns out I have a --",a,THE WITNESS,start_chat
104,467,15,12,Should I show it to him?,side_chat,THE WITNESS,start_chat
105,468,15,13,You can if you want.  Yeah.,side_chat,MR. HUMEN,start_answer
106,469,15,14,"I had x-rays taken yesterday for something else, and ""calcified pleural plaques bilaterally, sequela, S-E-Q-U-E-L-A, of previous asbestos exposure. Small calcified granulomas as seen at the right lung apex.  Prominent thoracic spine end plate -- but that has nothing to do with -- calcifications are seen within the aortic lobe.""",a,THE WITNESS,start_question
107,477,15,22,"With permission of your counsel, do you mind if I take a look at that?",q,MR. KENNY,start_chat
108,479,15,24,All right?,side_chat,THE WITNESS,start_chat
109,481,16,1,I don't have a problem with that.,side_chat,MR. HUMEN,start_chat
110,482,16,2,"Why don't we go ahead and mark this, if that's okay?  I'll make a copy of it so he can take the original home.  We'll mark this as Exhibit 1.",side_chat,MR. KENNY,is brackets
111,486,16,6,(Exhibit Number 1 marked for identification.),brackets,,start_question
112,488,16,8,It looks like it's a one-page report from Naples Diagnostic Imaging Center from an appointment you had yesterday?,q,MR. KENNY,start_answer
113,491,16,11,Um-hum.,a,THE WITNESS,start_question
114,492,16,12,"Now, was this -- was this a follow-up to --",q,MR. KENNY,start_answer
115,493,16,13,"No.  As it turned out, he thought it was from walking.  I walk a couple of miles a day most days, and my right -- my left nipple was bleeding.  So I went to see if it might have been something in there causing it or whatever was causing it, so he recommended I take an x-ray?",a,THE WITNESS,start_question
116,499,16,19,"Prior to this x-ray, this check-up, had you been diagnosed with an asbestos-related disease?",q,MR. KENNY,start_answer
117,501,16,21,"Same thing years ago, yeah.",a,THE WITNESS,start_question
118,502,16,22,Do you remember approximately when you may have been diagnosed?,q,MR. KENNY,start_answer
119,504,16,24,I'm going to say in the '70s at Mass. General I had -- then I had follow-ups at Braintree Rehab.  They used to send us all there for x-rays.  And they came up with the same diagnosis.  This might be a little worse than what it used to be.,a,THE WITNESS,start_question
120,510,17,5,"And when you said ""they would send us all there,"" who is the ""they"" you are talking about?",q,MR. KENNY,start_answer
121,512,17,7,Through the union.,a,THE WITNESS,start_question
122,513,17,8,Union.,q,MR. KENNY,start_answer
123,514,17,9,It set up x-rays for all the membership.,a,THE WITNESS,start_question
124,515,17,10,And you were a member of Local 7?,q,MR. KENNY,start_answer
125,516,17,11,Local 6.,a,THE WITNESS,start_question
126,517,17,12,"Local 6, I'm sorry.",q,MR. KENNY,start_answer
127,518,17,13,Local 7 is iron workers.,a,THE WITNESS,start_question
128,519,17,14,That's right.  So the first time you believe you were diagnosed with pleural plaques was sometime in the '70s at MGH?,q,MR. KENNY,start_answer
129,522,17,17,"I think it was, yeah.",a,THE WITNESS,start_question
130,523,17,18,"Do you remember if it was the beginning, mid, late?",q,MR. KENNY,start_answer
131,525,17,20,I don't.,a,THE WITNESS,start_question
132,526,17,21,And you wouldn't be able to tell me the name of the doctor that diagnosed you originally?,q,MR. KENNY,start_answer
133,528,17,23,"Oh, geez.  It was a woman doctor.  I don't even know if she's there anymore.  I forget.  I can't remember her name.",a,THE WITNESS,start_question
134,532,18,2,"Okay.  If it comes back to you, just let me know at any time.",q,MR. KENNY,start_answer
135,534,18,4,Um-hum.,a,THE WITNESS,start_question
136,535,18,5,And that goes for anything that we are talking about today.,q,MR. KENNY,start_answer
137,537,18,7,Yeah.,a,THE WITNESS,start_question
138,538,18,8,"If you don't remember something and then you remember an hour later, feel free, either at a break just tell your attorney, we can go back and revisit.",q,MR. KENNY,start_answer
139,541,18,11,Okay.,a,THE WITNESS,start_question
140,542,18,12,"Okay.  So have you ever filed, brought a lawsuit for your asbestos-related disease?",q,MR. KENNY,start_answer
141,544,18,14,"Well, I went through Thornton & Early at the time.",a,THE WITNESS,start_question
142,546,18,16,Okay.,q,MR. KENNY,start_answer
143,547,18,17,They just started the case.,a,THE WITNESS,start_question
144,548,18,18,And do you remember when that was?,q,MR. KENNY,start_answer
145,549,18,19,"Geez, I'm 73 years old now, you know, so my memory is not as good as it used to be.",a,THE WITNESS,start_question
146,551,18,21,That's fine.  The best you can do.,q,MR. KENNY,start_answer
147,552,18,22,"Probably the '80s, maybe.",a,THE WITNESS,start_question
