,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," their objection about the relevance of patient outcome information, and any references to patients should be done with initials. EXAMINATION",,,start_question
1,172,5,13,Can you please state your full name for the record?,q,MR. ARCHINACO,start_answer
2,174,5,15,I'm Elizabeth Anne Sheroian.,a,THE WITNESS,start_question
3,175,5,16,Sheroian.  Sheroian?,q,MR. ARCHINACO,start_answer
4,176,5,17,S-H-E --,a,THE WITNESS,start_question
5,177,5,18,Is that correct?,q,MR. ARCHINACO,start_answer
6,178,5,19,-- E-R-O-I-A-N.,a,THE WITNESS,start_question
7,179,5,20,I just want to make sure I pronounce it correctly.,q,MR. ARCHINACO,start_answer
8,181,5,22,"Yeah.  If you think of the I as a Y, then it's a little easier.",a,THE WITNESS,start_question
9,183,5,24,Sheroian?,q,MR. ARCHINACO,start_answer
10,184,5,25,Uh-huh.,a,THE WITNESS,start_question
11,186,6,1,"Sheroian.  Okay. My name is Jason Archinaco, and so my name is complicated in my own way, incidentally, so I understand. In any event, have you ever given a deposition before?",q,MR. ARCHINACO,start_answer
12,192,6,7,I have never.,a,THE WITNESS,start_question
13,193,6,8,"Okay.  We'll go through general ground rules with you up front.  First, are you being represented by counsel today?",q,MR. ARCHINACO,start_answer
14,196,6,11,By this gentleman here.,a,THE WITNESS,start_chat
15,197,6,12,Yes.,side_chat,MR. WIENCEK,start_question
16,198,6,13,(By Mr. Archinaco) Mr. Wiencek?,q,MR. ARCHINACO,start_answer
17,199,6,14,Yes.,a,THE WITNESS,start_question
18,200,6,15,"Okay.  And that's through your former employment at Mercy, essentially?",q,MR. ARCHINACO,start_answer
19,202,6,17,Yes.,a,THE WITNESS,start_question
20,203,6,18,"Okay.  So counsel was appointed to you through the former employment, correct?",q,MR. ARCHINACO,start_answer
21,205,6,20,Yes.,a,THE WITNESS,start_question
