,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," having been first duly sworn to tell the truth, the whole truth, and nothing but the truth, so help him God, testified as follows: EXAMINATION",,,start_question
1,155,5,21,"Morning, Mr. Bell.",q,MR. CARLIS,start_answer
2,156,5,22,Good morning.,a,THE WITNESS,start_question
3,157,5,23,Has any court ever determined that your expert analysis was unreliable?,q,MR. CARLIS,start_answer
4,159,5,25,"Not to my knowledge, no.",a,THE WITNESS,start_question
5,161,6,1,"So in each case where your expert report has been challenged by the opposing side, the Court has determined that you could testify on the issues in your report --",q,MR. CARLIS,start_chat
6,165,6,5,Objection --,side_chat,MR. MARKETOS,start_question
7,166,6,6,(BY MR. CARLIS)  -- is that true?,q,MR. CARLIS,start_chat
8,167,6,7,Objection; form.,side_chat,MR. MARKETOS,start_answer
9,168,6,8,"No, I don't believe that's true.",a,THE WITNESS,start_question
10,169,6,9,"(BY MR. CARLIS)  So sometimes the Court has determined that you couldn't testify on the issues in your report, true?",q,MR. CARLIS,start_answer
11,172,6,12,Yes.,a,THE WITNESS,start_question
12,173,6,13,In what cases has the Court ruled that you could not testify on some of the issues in your report?,q,MR. CARLIS,start_answer
13,175,6,15,"I believe the only time that has occurred is in a case where I was retained by Recursion Software, and ultimately the Fifth Circuit vacated that order -- the exclusion order, to be clear.",a,THE WITNESS,start_question
14,179,6,19,And you said the name of that case was Recursion Software; is that right?,q,MR. CARLIS,start_answer
15,181,6,21,Correct.,a,THE WITNESS,start_question
16,182,6,22,"Other than the Recursion Software case, you've been allowed to testify to the opinions in your report every time you've submitted a report; is that true?",q,MR. CARLIS,start_answer
17,185,6,25,"I recall a case where the judge determined that by the time the case got to trial, that the subject of my report didn't require expert testimony.  It was not that I did anything wrong or inappropriate or that my opinion was unreliable. The judge felt that it was in her purview to determine damages if it got to a point of damages on that case.",a,THE WITNESS,start_question
18,194,7,8,What was the name of that case?,q,MR. CARLIS,start_answer
19,195,7,9,"Carol Loper, L-o-p-e-r, & Associates was the plaintiff and my client in that matter.",a,THE WITNESS,start_question
20,197,7,11,And who was the judge in that case?,q,MR. CARLIS,start_answer
21,198,7,12,I don't recall.,a,THE WITNESS,start_question
22,199,7,13,State or federal court?,q,MR. CARLIS,start_answer
23,200,7,14,"We could look at my bio.  That case is listed on my bio.  I was deposed in the case.  It was state court, to answer that question.",a,THE WITNESS,is brackets
24,203,7,17,(Deposition Exhibit 236 marked for identification.),brackets,,start_question
25,205,7,19,"(BY MR. CARLIS)  I'm marking, just for identification, your report as 236. Did I give you one copy or two just now?",q,MR. CARLIS,start_answer
26,208,7,22,"(Examined exhibit.)  Well, looks like one.",a,THE WITNESS,start_question
27,209,7,23,"I've got an extra copy, so we're good. Can you go ahead and find that Carol Lopez case for me.",q,MR. CARLIS,start_answer
28,213,8,1,"Just to be clear, it was Carol Loper.",a,THE WITNESS,start_question
29,214,8,2,Loper.,q,MR. CARLIS,start_answer
30,215,8,3,Yes.,a,THE WITNESS,start_question
31,216,8,4,Thank you.,q,MR. CARLIS,start_answer
32,217,8,5,"It's on page 9 of my bio, which is Exhibit A -- I'm sorry, at Exhi- -- yeah, Exhibit A to my report, and it's the second bullet point.",a,THE WITNESS,start_question
33,220,8,8,And is it accurate to say that in the Carol Loper case the Court decided that it did not need expert testimony on damages and therefore you did not testify in the case?,q,MR. CARLIS,start_answer
34,224,8,12,"That was my understanding, yes.",a,THE WITNESS,start_question
35,225,8,13,"And other than the two cases you've mentioned, have there been any other cases where the Court has determined that for one reason or another you could not testify on some or all of the issues in your expert report?",q,MR. CARLIS,start_answer
36,230,8,18,"I recall a case in the Eastern District of Texas that the Court said I couldn't opine -- or I couldn't testify to legal opinions, which I never attempt to do and didn't intend to include and don't believe I did include any legal opinions in my report, but I testified at that trial.",a,THE WITNESS,start_question
37,236,8,24,"What case was that, sir?",q,MR. CARLIS,start_answer
38,237,8,25,"I believe that was listed on page 10, about five bullet points up from the bottom.  Garrison Realty, LP v. Fouse Architecture & Interiors, PC.",a,THE WITNESS,start_question
39,241,9,3,That was the case in Marshall Division of the Eastern District of Texas?,q,MR. CARLIS,start_answer
40,243,9,5,Correct.,a,THE WITNESS,start_question
41,244,9,6,And were there some statements or opinions in your report in that case that the Court determined you could not testify to at trial?,q,MR. CARLIS,start_answer
42,247,9,9,"I just recall there being a discussion among the parties and the Court.  The Court took a recess to review my report and, you know, the Court, as -- as I would expect, says I couldn't render legal opinions, which I never attempted to do.  I was a damages expert in that case as I am in this one.",a,THE WITNESS,start_question
43,253,9,15,Did the Court find that some of the things in your report counted as legal opinions?,q,MR. CARLIS,start_answer
44,255,9,17,I don't recall.,a,THE WITNESS,start_question
45,256,9,18,"Other than the three cases that you've just mentioned, are there any other cases where you were not permitted to testify to some or all of the substance of your expert reports?",q,MR. CARLIS,start_chat
46,260,9,22,Object- --,side_chat,MR. MARKETOS,start_answer
47,261,9,23,Not that I --,a,THE WITNESS,start_chat
48,262,9,24,Objection; form. Sorry.  You can answer.,side_chat,MR. MARKETOS,start_answer
