,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," been duly sworn, deposes and states as follows: EXAMINATION CONDUCTED",,,start_question
1,159,5,9,"Good morning, Mr. Ferguson.  Can you hear me?",q,MS. ZIVKOVIC,start_answer
2,161,5,11,"Yes.  You might have to speak a little louder because I'm a little bit hard of hearing.  I'm not deaf.  My children accuse me of it anyhow, I know that, being deaf.",a,THE WITNESS,start_question
3,165,5,15,"My name is Katie Zivkovic.  If at any point you can't hear me or have trouble understanding a question that I ask you, please just ask me to repeat it and I'll do so.",q,MS. ZIVKOVIC,start_chat
4,170,5,20,I'll just put the usual stipulations on the record.,side_chat,MS. ZIVKOVIC,start_chat
5,172,5,22,That's fine.,side_chat,MR. GREENE,start_chat
6,173,5,23,One objection is good for all.  Waive the notary and the transcript will be deemed signed if not done so in 30 days.,side_chat,MS. ZIVKOVIC,start_chat
7,178,6,3,Correct.,side_chat,MR. GREENE,start_chat
8,179,6,4,"And all objections, except as to form, reserved until trial, and all motions to strike reserved until trial.",side_chat,MS. ZIVKOVIC,start_chat
9,182,6,7,Correct.,side_chat,MR. GREENE,start_chat
10,183,6,8,Okay.,side_chat,MS. ZIVKOVIC,start_question
11,184,6,9,"I'm going to be asking you probably the majority of the questions today.  And as you can see, there's a court reporter who needs to take down everything we say to each other or any other attorney here, so all your responses to my questions need to be in verbal format instead of, like, shaking your head no or something like that.  Okay?",q,MS. ZIVKOVIC,start_answer
12,192,6,17,Yes.,a,THE WITNESS,start_question
13,193,6,18,Have you had your deposition taken before?,q,MS. ZIVKOVIC,start_answer
14,195,6,20,"Yes, several times.",a,THE WITNESS,start_question
15,196,6,21,Okay.  Can you recall when?,q,MS. ZIVKOVIC,start_answer
16,197,6,22,"I had one last year.  It was for Skolowzyk (phonetic) & Early, I think it was my brother, one for Danny Grant, one for Robert Beauregard, one for Carl Anderson and someone else.  I've done about three or four of them.  One for myself.",a,THE WITNESS,start_question
17,204,7,4,Okay.,q,MS. ZIVKOVIC,start_answer
18,205,7,5,"I had them all through Skolowzyk & Early.  They were my lawyer -- I was doing it for them, for their clients rather.",a,THE WITNESS,start_question
19,208,7,8,Where is Skolowzyk & Early located?,q,MS. ZIVKOVIC,start_answer
20,209,7,9,Where is what?,a,THE WITNESS,start_question
21,210,7,10,"Skolowzyk & Early, is that what you said the name of the firm was?",q,MS. ZIVKOVIC,start_answer
22,212,7,12,"Skolowzyk & Early out of New Haven. The name of it is Skolowzyk, Early & Sweeney. It used to be Sweeney and somebody else, but anyway, they're out of New Haven, Connecticut.",a,THE WITNESS,start_question
23,216,7,16,So I think you listed five different depositions; is that correct?,q,MS. ZIVKOVIC,start_answer
24,218,7,18,"I'd say four or five.  Some of them were about two people; in other words, the questions were involving two people, Anderson and Robert Beauregard.",a,THE WITNESS,start_question
25,222,7,22,Okay.  Were all five of these depositions for asbestos cases?,q,MS. ZIVKOVIC,start_answer
26,224,7,24,"Yes, they were.",a,THE WITNESS,start_question
27,226,8,1,Okay.  And you think the last one you did was last year?,q,MS. ZIVKOVIC,start_answer
28,228,8,3,It was either last year or the year before.  Time with me now is -- it might be six months or it might be five years.,a,THE WITNESS,start_question
29,231,8,6,Do you recall when the first one you did was?,q,MS. ZIVKOVIC,start_answer
30,233,8,8,"I'd probably say 17, 18 years ago.  I retired almost 20 years ago and it was a couple of years after I retired that I gave the depositions.",a,THE WITNESS,start_question
31,237,8,12,And you said you did a deposition for yourself?,q,MS. ZIVKOVIC,start_answer
32,239,8,14,"Yes, I had one.",a,THE WITNESS,start_question
33,240,8,15,You had your own asbestos action?,q,MS. ZIVKOVIC,start_answer
34,241,8,16,"Yes, I had a case, yes.",a,THE WITNESS,start_chat
35,242,8,17,"Off the record. (Off the record, 11:38-11:38).",side_chat,MR. GREENE,start_question
36,244,8,19,"Do you recall what year you had your own asbestos action, what year it was filed?",q,MS. ZIVKOVIC,start_answer
37,246,8,21,"I think it was -- let's see, I retired in '84, probably '87, maybe around there.  I had copies of the depositions at home but I didn't look at them or anything else.  I think it's around that time, but I can't be sure.",a,THE WITNESS,start_question
38,253,9,3,"Okay.  Can you tell me your address, please?",q,MS. ZIVKOVIC,start_answer
39,255,9,5,"My address is 54 Aberdeen Avenue, Warwick, Rhode Island, 02888.",a,THE WITNESS,start_question
40,257,9,7,"Okay.  And your Social Security number, please?",q,MS. ZIVKOVIC,start_answer
41,259,9,9,037-18-4876.,a,THE WITNESS,start_question
42,260,9,10,And date of birth?,q,MS. ZIVKOVIC,start_answer
43,261,9,11,"October 25, 1922.",a,THE WITNESS,start_question
44,262,9,12,"And Charles Ferguson, is that your full name?",q,MS. ZIVKOVIC,start_answer
45,264,9,14,"Yes, Charles Francis Ferguson.",a,THE WITNESS,start_question
46,265,9,15,"And can you tell me about your educational history, please?",q,MS. ZIVKOVIC,start_answer
47,267,9,17,My education?,a,THE WITNESS,start_question
