,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," CORY LANDRETH, having been first duly sworn to state the whole truth, testified as follows: EXAMINATION",,,start_question
1,153,5,15,Good morning Mr. Landreth.,q,MR. HASHMALL,start_answer
2,154,5,16,Good morning.,a,THE WITNESS,start_question
3,155,5,17,"My name is Joe Hashmall.  I represent the plaintiff in this matter.  And I'd like to start just by talking a little bit about -- kind of the ground rules of this deposition, and -- and then we can get into some of the -- the substance. Have you ever had your deposition taken before?",q,MR. HASHMALL,start_answer
4,162,5,24,No.,a,THE WITNESS,start_question
5,163,5,25,"Okay.  So a few basic things.  Of course, you know there is a court reporter here.  So -- and she's taking everything down in the form of a transcript.  So it's important to give verbal answers to questions that can be taken down in a transcript.  You know, a nod doesn't really -- doesn't really show up on the transcripts. And it's also important that we all try not to talk over each other so we can get an accurate record.  So I will certainly try and let you finish your answers; if you will try and let me finish my questions. Does that sound okay?",q,MR. HASHMALL,start_answer
6,177,6,13,Yep.,a,THE WITNESS,start_question
7,178,6,14,Great.  And is there any reason that you can't give full and complete and truthful testimony today?,q,MR. HASHMALL,start_answer
8,181,6,17,Not that I'm aware of.,a,THE WITNESS,start_question
9,182,6,18,Okay.  You should have in front of you a tablet -- you don't need to look at it right now -- that we're going to use to display exhibits for you. Do you see that?  I can't see exactly what you can see.,q,MR. HASHMALL,start_answer
10,187,6,23,Yes.  I have it in front of me.,a,THE WITNESS,start_question
11,188,6,24,"Okay.  Great. And if -- you know, if we have any trouble on that going forward, you know, we can take our time and work with it. And if -- if at any time you need to take a break, just -- just let me know.  I just ask, you know, that if I have asked a question, that you answer that question before we take a break. Does that sound good?",q,MR. HASHMALL,start_answer
12,198,7,8,Yes.,a,THE WITNESS,start_question
13,199,7,9,Great. So can you tell me your current employer and job title?,q,MR. HASHMALL,start_answer
14,202,7,12,"My current employer is TransUnion Rental Screening Solutions, and my current job title is product manager.",a,THE WITNESS,start_question
15,205,7,15,And how long have you worked for -- is it okay if I call it TURSS?,q,MR. HASHMALL,start_answer
16,207,7,17,Yes.,a,THE WITNESS,start_question
17,208,7,18,How long have you worked for TURSS?,q,MR. HASHMALL,start_answer
18,209,7,19,Just over eight years.,a,THE WITNESS,start_question
19,210,7,20,And have you always been a product manager or have you moved through various job titles?,q,MR. HASHMALL,start_answer
