,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," GAYLA HOWELL WEST being first duly sworn, testified as follows: EXAMINATION",,,start_question
1,125,5,3,"Mrs. West, we met off the record briefly, but for the record, my name is Jesse-Justin Cuevas. I represent the defendants in this case. And I'm going to refer to them collectively as Walmart.  Do you understand?",q,MS. CUEVAS,start_answer
2,130,5,8,Yes.,a,THE WITNESS,start_question
3,131,5,9,"So if I say ""Walmart,"" I mean Walmart Stores, Inc., Walmart Stores East, LP, and Walmart Stores East, Inc., the named defendants.  Does that make sense?",q,MS. CUEVAS,start_answer
4,135,5,13,Yes.,a,THE WITNESS,start_question
5,136,5,14,Please state your name for the record.,q,MS. CUEVAS,start_answer
6,137,5,15,Gayla Howell West.,a,THE WITNESS,start_question
7,138,5,16,"And you are William Randolph West's wife, correct?",q,MS. CUEVAS,start_answer
8,140,5,18,Yes.,a,THE WITNESS,start_question
9,141,5,19,"I understand that people called him Randy.  Do you mind if I call him that, or would you prefer Mr. West?",q,MS. CUEVAS,start_answer
10,144,5,22,Randy's fine.  He would like that.,a,THE WITNESS,start_question
11,145,5,23,"I'm sorry that your husband was injured, and I'm deeply sorry for your loss.  I really appreciate you taking the time today to be here and answer questions, and I understand that this may be difficult at times. Mrs. West, what is your current home address?",q,MS. CUEVAS,start_answer
12,153,6,5,"63-A Myrtle Island Road, Bluffton.",a,THE WITNESS,start_question
13,154,6,6,For how long have you lived there?,q,MS. CUEVAS,start_answer
14,155,6,7,"Four months, something like that.  I can't --",a,THE WITNESS,start_question
15,157,6,9,Do you remember the month of when you moved there?,q,MS. CUEVAS,start_answer
16,159,6,11,"I think it was May, but I'm not real sure.",a,THE WITNESS,start_question
17,161,6,13,"All right.  That's fine.  Have you been deposed before, Mrs. West?",q,MS. CUEVAS,start_answer
18,163,6,15,Yes.,a,THE WITNESS,start_question
19,164,6,16,Okay.  How many times?,q,MS. CUEVAS,start_answer
20,165,6,17,Once.,a,THE WITNESS,start_question
21,166,6,18,"And when was the last time, or that first time that you were deposed?",q,MS. CUEVAS,start_answer
22,168,6,20,This year sometime.  I can't remember.,a,THE WITNESS,start_question
23,169,6,21,What was the nature of the case?,q,MS. CUEVAS,start_answer
24,170,6,22,"I don't know how to say it.  It was Randy's estate against me, I guess is how you say it.",a,THE WITNESS,start_question
25,173,6,25,Okay.  And do you know the name of the case?,q,MS. CUEVAS,start_answer
26,176,7,2,No.,a,THE WITNESS,start_question
27,177,7,3,Do you have a copy of the transcript from your deposition?,q,MS. CUEVAS,start_answer
28,179,7,5,"I do not.  Well, I do on my phone, so I guess I do.",a,THE WITNESS,start_question
29,181,7,7,"Okay.  So you would be the best person to get in contact with, or your attorney, to get a copy of that transcript?",q,MS. CUEVAS,start_answer
30,184,7,10,Yes.,a,THE WITNESS,start_question
31,185,7,11,Have you ever testified in a court of law or in an administrative proceeding under oath before?,q,MS. CUEVAS,start_answer
32,188,7,14,No.,a,THE WITNESS,start_question
33,189,7,15,Okay.  But you understand that today you're testifying under the penalty of perjury?,q,MS. CUEVAS,start_answer
34,191,7,17,Yes.,a,THE WITNESS,start_question
35,192,7,18,"And that even though there's not a judge or a jury in this room, the testimony is the same as if you were testifying before a judge or a jury in a court of law, right?",q,MS. CUEVAS,start_answer
36,196,7,22,Yes.,a,THE WITNESS,start_question
37,197,7,23,Can you think of any reason why you'd be unable to give your full and honest testimony today?,q,MS. CUEVAS,start_answer
38,201,8,1,"No, can't think of any reason.",a,THE WITNESS,start_question
39,202,8,2,So you're not under the influence of any medications that would prevent you from testifying fully and accurately today?,q,MS. CUEVAS,start_answer
40,205,8,5,No.,a,THE WITNESS,start_question
41,206,8,6,Any drugs or alcohol?,q,MS. CUEVAS,start_answer
42,207,8,7,No.,a,THE WITNESS,start_question
43,208,8,8,And do you have any medical conditions that might interfere with your ability to testify truthfully and accurately today?,q,MS. CUEVAS,start_answer
44,211,8,11,No.,a,THE WITNESS,start_question
45,212,8,12,"Okay.  A few ground rules, even though you've been deposed this year.",q,MS. CUEVAS,start_answer
46,214,8,14,Okay.,a,THE WITNESS,start_question
47,215,8,15,"As you know, there's a court reporter here, so she's transcribing what we say, and for that reason, it's important that we try not to talk over each other.  I'm going to ask you to wait until I finish my question fully before you answer.",q,MS. CUEVAS,start_answer
48,220,8,20,Okay.,a,THE WITNESS,start_question
49,221,8,21,And I will do the same -- and I will try to do the same for you.  Does that make sense?,q,MS. CUEVAS,start_answer
50,223,8,23,Yes.,a,THE WITNESS,start_question
51,224,8,24,"Okay.  Similarly, try to use yes/no answers rather than nodding your head or shaking your head or uh-huh/huh-uh.  That way it's easier for the court reporter to take down what we're saying.  Does that make sense?",q,MS. CUEVAS,start_answer
52,230,9,4,Yes.,a,THE WITNESS,start_question
53,231,9,5,"And there will be times when your attorney will object to a question.  That preserves the ability for them to challenge that testimony later.  But unless your attorney asks you or instructs you not to answer the question, you still have to respond.  Does that make sense?",q,MS. CUEVAS,start_answer
54,237,9,11,Yes.,a,THE WITNESS,start_question
55,238,9,12,"Okay.  Last, but not least, if you need to take a break, we'll take a break.  We'll try to take a break every hour or so anyway, but if you need one, just let me know.  All I ask is that if there's a question pending, that you answer the question before you take a break.",q,MS. CUEVAS,start_answer
56,244,9,18,Okay.,a,THE WITNESS,start_question
57,245,9,19,"Okay.  Along those same lines, you need to ask me, not your attorney, if you don't understand a question or if you need any explanation of words or documents, things of that nature.",q,MS. CUEVAS,start_answer
58,250,9,24,Okay.,a,THE WITNESS,start_question
59,251,9,25,"If you don't tell me that you don't understand, I'm going to assume that you do.  Does that make sense?",q,MS. CUEVAS,start_answer
60,255,10,3,Yes.,a,THE WITNESS,start_question
61,256,10,4,Did you do anything to prepare for today's deposition?,q,MS. CUEVAS,start_answer
62,258,10,6,I talked with my attorney.,a,THE WITNESS,start_question
63,259,10,7,Okay.  So you spoke with an attorney. Which attorney did you speak to?,q,MS. CUEVAS,start_answer
64,261,10,9,Dale Akins.,a,THE WITNESS,start_question
65,262,10,10,And for how long did you meet?,q,MS. CUEVAS,start_answer
66,263,10,11,About 30 minutes.,a,THE WITNESS,start_question
67,264,10,12,When was that?,q,MS. CUEVAS,start_answer
68,265,10,13,Yesterday afternoon.,a,THE WITNESS,start_question
69,266,10,14,Did you meet here at the office?,q,MS. CUEVAS,start_answer
70,267,10,15,Yes.,a,THE WITNESS,start_question
71,268,10,16,Okay.  Did you review any documents to prepare for today's deposition?,q,MS. CUEVAS,start_answer
72,270,10,18,No.,a,THE WITNESS,start_question
73,271,10,19,Okay.  So did you talk to anybody else other than your counsel about the deposition today?,q,MS. CUEVAS,start_answer
74,273,10,21,No.,a,THE WITNESS,start_question
75,274,10,22,Okay.  I'd like to learn a little bit more about you.  What's your date of birth?,q,MS. CUEVAS,start_answer
76,276,10,24,"September 12th, 1965.",a,THE WITNESS,start_question
77,277,10,25,"Okay.  I know a lady never tells, but that makes you 54.  Is that right?",q,MS. CUEVAS,start_answer
78,280,11,2,I'll be 54.,a,THE WITNESS,start_question
79,281,11,3,"All right.  Almost, right.",q,MS. CUEVAS,start_answer
80,282,11,4,Yeah.,a,THE WITNESS,start_question
81,283,11,5,My math is not so good.,q,MS. CUEVAS,start_answer
82,284,11,6,Don't make me 54 yet.,a,THE WITNESS,start_question
83,285,11,7,"And where are you from, Mrs. West?",q,MS. CUEVAS,start_answer
84,286,11,8,"Originally from Vidalia, Georgia.",a,THE WITNESS,start_question
85,287,11,9,Okay.  Where did you grow up?,q,MS. CUEVAS,start_answer
86,288,11,10,"Around that area, Johnson Corner, Vidalia, Lyons.",a,THE WITNESS,start_question
87,290,11,12,"And when did you first move to Bluffton, South Carolina?",q,MS. CUEVAS,start_answer
88,292,11,14,Almost three years ago.,a,THE WITNESS,start_question
89,293,11,15,Okay.  What brought you to -- what brought you here?,q,MS. CUEVAS,start_answer
90,295,11,17,Randy.,a,THE WITNESS,start_question
91,296,11,18,"Do you have any children, Mrs. West?",q,MS. CUEVAS,start_answer
92,297,11,19,No.,a,THE WITNESS,start_question
93,298,11,20,"I want to talk a little bit about your family background.  And I'm sorry to start off with a sad memory, but I understand that your father died in a fire-related incident.  Is that right?",q,MS. CUEVAS,start_answer
94,302,11,24,Yes.,a,THE WITNESS,start_question
95,303,11,25,When did that happen?,q,MS. CUEVAS,start_answer
96,305,12,1,2012.,a,THE WITNESS,start_question
97,306,12,2,And where was it?,q,MS. CUEVAS,start_answer
98,307,12,3,At his house.,a,THE WITNESS,start_question
99,308,12,4,Where is that?,q,MS. CUEVAS,start_answer
100,309,12,5,"Oh, I'm sorry.  In Johnson Corner.  It's out in the country.",a,THE WITNESS,start_question
101,311,12,7,Okay.  And that's Georgia?,q,MS. CUEVAS,start_answer
