,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," witness. SHERRY LEIGH WEST being first duly sworn, testified as follows: EXAMINATION",,,start_question
1,140,5,6,"Leigh, we met off the record earlier briefly, but for fullness of the record, my name is Jesse-Justin Cuevas, and I represent the defendants in this case. And I am going to refer to the defendants collectively as Walmart.  Is that fair?",q,MR. CUEVAS,start_answer
2,146,5,12,(Witness moves head up and down.),a,THE WITNESS,start_question
3,147,5,13,Yes?,q,MR. CUEVAS,start_answer
4,148,5,14,Yes.,a,THE WITNESS,start_question
5,149,5,15,"So if I say ""Walmart,"" I mean Walmart Stores, Inc., Walmart Stores East, LP, and Walmart Stores East, Inc.  Does that make sense?",q,MR. CUEVAS,start_answer
6,152,5,18,Yes.,a,THE WITNESS,start_question
7,153,5,19,Please state your name for the record.,q,MR. CUEVAS,start_answer
8,154,5,20,Sherry Leigh West.,a,THE WITNESS,start_question
9,155,5,21,"Ms. West, what is your home address?",q,MR. CUEVAS,start_answer
10,156,5,22,"50 Pritchard Street, Bluffton, South Carolina, 29910.",a,THE WITNESS,start_question
11,158,5,24,"And you're the daughter of William Randolph West, right?",q,MR. CUEVAS,start_answer
12,161,6,1,Correct.,a,THE WITNESS,start_question
13,162,6,2,I understand that people called him Randy.,q,MR. CUEVAS,start_answer
14,164,6,4,Correct.,a,THE WITNESS,start_question
15,165,6,5,"Do you mind if I call him that, or would you prefer Mr. West?",q,MR. CUEVAS,start_answer
16,167,6,7,"Mr. West, please.",a,THE WITNESS,start_question
17,168,6,8,"Sure.  Firstly, I'm very sorry that your father was injured, and I'm deeply sorry for your loss, and I really appreciate you being here today. I understand that at times this could be difficult today, so we'll just go at your pace.",q,MR. CUEVAS,start_answer
18,173,6,13,Okay.,a,THE WITNESS,start_question
19,174,6,14,Have you ever been deposed before?,q,MR. CUEVAS,start_answer
20,175,6,15,No.,a,THE WITNESS,start_question
21,176,6,16,Okay.  Have you ever testified in a court of law or any administrative proceeding?,q,MR. CUEVAS,start_answer
22,178,6,18,No.,a,THE WITNESS,start_question
23,179,6,19,You do understand that you're testifying under the penalty of perjury today?,q,MR. CUEVAS,start_answer
24,181,6,21,Yes.,a,THE WITNESS,start_question
25,182,6,22,"So even though there's not a judge or a jury in the room, that means that you are testifying today the same as if we were in a courtroom.  Does that make sense?",q,MR. CUEVAS,start_answer
26,187,7,1,Yes.,a,THE WITNESS,start_question
27,188,7,2,Okay.  Can you think of any reason why you can't give your full and truthful testimony today?,q,MR. CUEVAS,start_answer
28,191,7,5,No.,a,THE WITNESS,start_question
29,192,7,6,Are you under the influence of any medications that would impact your ability to give full and truthful testimony today?,q,MR. CUEVAS,start_answer
30,195,7,9,No.,a,THE WITNESS,start_question
31,196,7,10,Any drugs?,q,MR. CUEVAS,start_answer
32,197,7,11,No.,a,THE WITNESS,start_question
33,198,7,12,Or any alcohol?,q,MR. CUEVAS,start_answer
34,199,7,13,No.,a,THE WITNESS,start_question
35,200,7,14,And you don't have any medical conditions that would impact your ability to testify truthfully and accurately today?,q,MR. CUEVAS,start_answer
36,203,7,17,No.,a,THE WITNESS,start_question
37,204,7,18,"Just a few ground rules about depositions.  As you can tell here, there is a court reporter who is writing down what we say, and even though it's normal in conversation to nod or shake your head, in order for the court reporter to record the testimony as accurately as possible, it's important that you answer yes or no or otherwise to questions.  Is that all right?",q,MR. CUEVAS,start_answer
38,213,8,1,Yes.,a,THE WITNESS,start_question
39,214,8,2,"And similarly, even though in conversation, in normal conversation, people tend to kind of talk over each other, today it's important that we let one another finish talking before we respond.  So I will do my best to let you finish your testimony before I ask the next question; I would also ask that you let me finish my question before you answer.  Understand?",q,MR. CUEVAS,start_answer
40,222,8,10,Yes.,a,THE WITNESS,start_question
41,223,8,11,"So at times your attorney may object to a question today.  That does not relieve you from your obligation to answer the question.  If there is a question that you should not answer, your attorney will instruct you not to answer the question.  Does that make sense?",q,MR. CUEVAS,start_answer
42,229,8,17,Yes.,a,THE WITNESS,start_question
43,230,8,18,"If you don't understand a question, please ask me, not your attorney, for more explanation or for anything that you might need to better understand the question.  If you do not ask me to explain a question or a word or anything, I will assume that you understand the question and are answering it as such.  Does that make sense?",q,MR. CUEVAS,start_answer
44,237,8,25,Yes.,a,THE WITNESS,start_question
45,239,9,1,"If you need to take a break at any point, that's all right.  Just let me know.  I'll try to take a break as regularly as possible.  I want to get you out of here before it gets dark.  So just let me know if you need a break.",q,MR. CUEVAS,start_answer
46,244,9,6,Okay.,a,THE WITNESS,start_question
47,245,9,7,"I just ask that if you need to take a break, please answer a pending question before we go off the record, okay.",q,MR. CUEVAS,start_answer
48,248,9,10,Okay.,a,THE WITNESS,start_question
49,249,9,11,All right.  Did you do anything today to prepare for today's -- excuse me.  Did you do anything to prepare for today's deposition?,q,MR. CUEVAS,start_answer
50,252,9,14,No.,a,THE WITNESS,start_question
51,253,9,15,Okay.  So you did not meet with your attorney before this deposition to talk about it?,q,MR. CUEVAS,start_answer
