,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," SHELLIE LYNNE WEST HODGES being first duly sworn, testified as follows: EXAMINATION",,,start_question
1,138,4,5,"State your full name for the record, please.",q,MR. WRAY,start_answer
2,140,4,7,Shellie Lynne West Hodges.,a,THE WITNESS,start_question
3,141,4,8,And I understand you prefer to go by Ms. West.  Is that correct?,q,MR. WRAY,start_answer
4,143,4,10,"Yeah.  That's my maiden name, and that's how people know me here, I grew up here, so Shellie West is good for me.",a,THE WITNESS,start_question
5,146,4,13,"Ms. West, my name is Ron Wray, and I introduced myself just prior to the deposition today.  I am one of the attorneys representing the defendants in a lawsuit that you've brought, and I'm here today to ask you some questions about that. For purposes of today, do you understand that in this lawsuit you've named a number of different Walmart entities as defendants in this case?",q,MR. WRAY,start_answer
6,156,4,23,I guess that's correct.,a,THE WITNESS,start_question
7,157,4,24,"Well, there are a number of different defendants in the case.  I just wanted you to understand that for purposes of today, when I refer to Walmart, I'm talking about all the defendants named in the case.  Do you understand that?",q,MR. WRAY,start_answer
8,163,5,4,"Yes, yes.  Okay.",a,THE WITNESS,start_question
9,164,5,5,Have you ever given a deposition before?,q,MR. WRAY,start_answer
10,165,5,6,"Yes, I have.",a,THE WITNESS,start_question
11,166,5,7,In what context was that?,q,MR. WRAY,start_answer
12,167,5,8,This is my third deposition.  The first was as a defamation of character lawsuit with a councilwoman on Hilton Head.  I was brought in by the defendant just as an expert on how tax money is handled with the Convention and Visitor Bureau and Chamber of Commerce because I run the Chamber.  And the second one was for probate.,a,THE WITNESS,start_question
13,174,5,15,"In the defamation claim that you were involved in, were you actually a party to that case or just a witness?",q,MR. WRAY,start_answer
14,177,5,18,"No, just a -- just an expert witness on use of funds.",a,THE WITNESS,start_question
15,179,5,20,And you were asked to come in and testify as an expert on behalf of the defendant in that case you said?,q,MR. WRAY,start_answer
16,182,5,23,I'm not sure.  I guess it was on his behalf.,a,THE WITNESS,start_question
17,184,5,25,Do you recall who the parties were?,q,MR. WRAY,start_answer
18,186,6,1,It's Skip Hoagland.  I don't remember the attorney.,a,THE WITNESS,start_question
19,188,6,3,Skip Hegland was --,q,MR. WRAY,start_answer
20,189,6,4,"Hoagland, H-O-A-G-L-A-N-D.",a,THE WITNESS,start_question
21,190,6,5,Was that the party that you were retained to testify for?,q,MR. WRAY,start_answer
22,192,6,7,"That's who I was deposed by, yes.",a,THE WITNESS,start_question
23,193,6,8,That was the lawyer who took your deposition?,q,MR. WRAY,start_answer
24,195,6,10,"No, that is the defendant against the defamation suit.",a,THE WITNESS,start_question
25,197,6,12,And who was the person bringing the lawsuit?  Do you recall?,q,MR. WRAY,start_answer
26,199,6,14,"Kim Lankins, counsel on Hilton Head.",a,THE WITNESS,start_question
27,200,6,15,Who was it that retained you in that case to testify?,q,MR. WRAY,start_answer
28,202,6,17,What do you mean retained me?,a,THE WITNESS,start_question
29,203,6,18,You said you were hired as an expert witness.  Who was it that actually --,q,MR. WRAY,start_answer
30,205,6,20,"Oh, no, I wasn't hired, no.  He just -- I was just brought in to say how chambers are run and how those monies and funds are distributed through chambers of commerce.",a,THE WITNESS,start_question
31,209,6,24,"And then the probate case, is that the matter involving --",q,MR. WRAY,start_answer
32,212,7,1,The estate.,a,THE WITNESS,start_question
33,213,7,2,-- Gayla?,q,MR. WRAY,start_answer
34,214,7,3,Yes.,a,THE WITNESS,start_question
35,215,7,4,And are you the plaintiff in that case?,q,MR. WRAY,start_answer
36,216,7,5,I am the personal representative.,a,THE WITNESS,start_question
37,217,7,6,When were you deposed in that case?,q,MR. WRAY,start_answer
38,218,7,7,"Couple weeks ago, maybe three weeks ago, maybe four.",a,THE WITNESS,start_question
39,220,7,9,Who is representing you as the personal representative?,q,MR. WRAY,start_answer
40,222,7,11,Antonia Lucia.  She's the probate attorney.,a,THE WITNESS,start_question
41,224,7,13,And do you recall the lawyer who actually took your deposition?,q,MR. WRAY,start_answer
42,226,7,15,Brian Treacy.,a,THE WITNESS,start_question
43,227,7,16,"So you've been deposed twice before, and today will make your third opportunity to give a deposition?",q,MR. WRAY,start_answer
44,230,7,19,Yes.,a,THE WITNESS,start_question
45,231,7,20,So you're familiar with the procedure?,q,MR. WRAY,start_answer
46,232,7,21,Uh-huh.,a,THE WITNESS,start_question
47,233,7,22,Is that yes?,q,MR. WRAY,start_answer
48,234,7,23,Yes.  I'm sorry.,a,THE WITNESS,start_question
49,235,7,24,"Well, I was going to tell you --",q,MR. WRAY,start_answer
50,236,7,25,"I know the head shake doesn't count. Yes, yes.  Sorry.",a,THE WITNESS,start_question
51,239,8,2,Right.  A couple ground rules is we will need verbal responses.,q,MR. WRAY,start_answer
52,241,8,4,Right.,a,THE WITNESS,start_question
53,242,8,5,"And then also we're talking a little bit over each other this morning.  If you'll wait until I'm finished with my question, I'll try to wait until you're finished with your answer, and that way we can get an accurate transcript, okay.",q,MR. WRAY,start_answer
54,247,8,10,Okay.,a,THE WITNESS,start_question
55,248,8,11,"I'm sure -- I'm confident that today I'll ask you something that's confusing or doesn't make any sense.  If that should happen, would you please just ask me to repeat my question to make sure you understand it?",q,MR. WRAY,start_answer
56,253,8,16,Yes.,a,THE WITNESS,start_question
57,254,8,17,Is there any reason that you can't give honest and truthful testimony this morning?,q,MR. WRAY,start_answer
58,256,8,19,"No, there is not.",a,THE WITNESS,start_question
