,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," patients.  If there is any identification of patients during this examination, we'd ask that they be done with initials. EXAMINATION",,,start_question
1,129,4,12,Good afternoon.,q,MR. WIENCEK,start_answer
2,130,4,13,Hello.,a,THE WITNESS,start_question
3,131,4,14,"State and spell your name for the record, please.",q,MR. WIENCEK,start_answer
4,133,4,16,"It's Jennifer Haaser, J-E-N-N-I-F-E-R, H-A-A-S-E-R.",a,THE WITNESS,start_question
5,135,4,18,"Have you given a deposition before, Jennifer?",q,MR. WIENCEK,start_answer
6,137,4,20,No.,a,THE WITNESS,start_question
7,138,4,21,"It's fairly simple.  I'll be asking you some questions.  The court reporter will be taking down your answers, so please answer them orally. If you don't understand a question, please -- please ask me.  If you want to clarify the question, please ask me. And that goes the same with Mr. Archinaco, who will be given an opportunity to ask you some questions.",q,MR. WIENCEK,start_answer
8,149,5,6,Okay.,a,THE WITNESS,start_question
9,150,5,7,All right.  So where do you currently work?,q,MR. WIENCEK,start_answer
10,152,5,9,Mercy Health Physicians.,a,THE WITNESS,start_question
11,153,5,10,And what are your current duties and responsibilities?,q,MR. WIENCEK,start_answer
12,155,5,12,"I'm a director of operations for the physician group, so I oversee the women's and children's service lines from the ambulatory physician practice perspective.",a,THE WITNESS,start_question
13,159,5,16,And have you ever had responsibility over CT surgery at Mercy-St. Vincent?,q,MR. WIENCEK,start_answer
14,162,5,19,"Yes, for the physician group.",a,THE WITNESS,start_question
15,163,5,20,And when was that?,q,MR. WIENCEK,start_answer
16,164,5,21,"That was in April of 2014, through November of 2016.",a,THE WITNESS,start_question
17,166,5,23,And what was your job title when you were over CT surgery?,q,MR. WIENCEK,start_answer
18,168,5,25,I was regional manager.,a,THE WITNESS,start_question
19,170,6,1,And what period of time were you the regional manager?,q,MR. WIENCEK,start_answer
20,172,6,3,From April of 2014 through November of 2016.,a,THE WITNESS,start_question
21,174,6,5,Okay.  And what were your duties and responsibilities as a regional manager over CT surgery?,q,MR. WIENCEK,start_answer
22,177,6,8,"Yes.  So I had several different practices, CT surgery being one of them, and I oversee the day-to-day operations, so revenue cycle, patient workflow in the office, things such as that.",a,THE WITNESS,start_question
23,182,6,13,Do you know a gentleman by the name of Adam Carruthers?,q,MR. WIENCEK,start_answer
24,184,6,15,Yes.,a,THE WITNESS,start_question
25,185,6,16,Did you ever supervise him?,q,MR. WIENCEK,start_answer
26,186,6,17,Yes.,a,THE WITNESS,start_question
27,187,6,18,And what was his job title when you supervised him?,q,MR. WIENCEK,start_answer
28,189,6,20,He was a physician assistant.,a,THE WITNESS,start_question
29,190,6,21,And during what period of time did you supervise him?,q,MR. WIENCEK,start_answer
30,192,6,23,From April of 2014 through the November of 2016.,a,THE WITNESS,start_question
31,194,6,25,How would you describe your professional relationship with him between that time?,q,MR. WIENCEK,start_answer
