,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," JESSICA QUIST, Deponent, having been satisfactorily identified and duly sworn by the Notary Public, deposes and states as follows:",,,start_question
1,153,10,13,Good morning.  Good afternoon.  Thank you for being here.  Could you please state your name for the record?,q,MR. LOVEALL,start_answer
2,156,10,16,Jessica Quist.,a,THE WITNESS,start_question
3,157,10,17,What is your current job?,q,MR. LOVEALL,start_answer
4,158,10,18,I'm a registered nurse.,a,THE WITNESS,start_question
5,159,10,19,Where?,q,MR. LOVEALL,start_answer
6,160,10,20,Saint Vincent's Hospital.,a,THE WITNESS,start_question
7,161,10,21,"What was your job on December 1st, 2013?",q,MR. LOVEALL,start_answer
8,162,10,22,A registered nurse.,a,THE WITNESS,start_question
9,163,10,23,Where?,q,MR. LOVEALL,start_answer
10,164,10,24,St. Francis Home.,a,THE WITNESS,start_question
11,167,11,1,Have you had a deposition before?,q,MR. LOVEALL,start_answer
12,168,11,2,No.,a,THE WITNESS,start_question
13,169,11,3,"So I'd just like to go over a few ground rules.  First, the result of today will be a written transcript of everything we say, so it's important that we don't talk over each other, which means that even if you know what my question is probably going to say or if I think I know what you're about to answer, if we could just let each other both finish, it makes the transcript cleaner.",q,MR. LOVEALL,start_answer
14,177,11,11,Okay.,a,THE WITNESS,start_question
15,178,11,12,"If you don't understand a question, please just let me know, and I'd be happy to re-ask.  If you do answer, I'll assume you understood.  Is that fair?",q,MR. LOVEALL,start_answer
16,181,11,15,That's fair.,a,THE WITNESS,start_question
17,182,11,16,"If you need a break at any point, that's totally fine.  Please just let us know.  We'll be happy to accommodate you.",q,MR. LOVEALL,start_answer
18,185,11,19,Okay.,a,THE WITNESS,start_chat
19,186,11,20,"Counsel, is the usual stipulations agreeable?",side_chat,MR. LOVEALL,start_chat
20,188,11,22,Agreed.,side_chat,MR. MCLAUGHLIN,start_chat
21,189,11,23,Agreed.,side_chat,MS. LOPEZ,start_chat
22,190,11,24,Yes.,side_chat,MS. THEBAUD,start_question
23,194,12,2,"Did you drive on Route 290 on December 1st, 2013?",q,MR. LOVEALL,start_answer
24,196,12,4,Yes.,a,THE WITNESS,start_question
25,197,12,5,Where were you coming from that day?,q,MR. LOVEALL,start_answer
26,198,12,6,Home.,a,THE WITNESS,start_question
27,199,12,7,Where was home?,q,MR. LOVEALL,start_answer
28,200,12,8,"Proctor Street, Worcester.",a,THE WITNESS,start_question
29,201,12,9,Where were you going?,q,MR. LOVEALL,start_answer
30,202,12,10,To work at St. Francis.,a,THE WITNESS,start_question
31,203,12,11,What time did you get up that day?,q,MR. LOVEALL,start_answer
32,204,12,12,"I don't remember what time I got up. Probably, I would assume, 5:30 to get ready for work.",a,THE WITNESS,start_question
33,206,12,14,What time did you have to be at work?,q,MR. LOVEALL,start_answer
34,207,12,15,For 7:00.,a,THE WITNESS,start_question
35,208,12,16,What time did you leave your house?,q,MR. LOVEALL,start_answer
36,209,12,17,"I mean, that's a long time ago.  I don't really remember.",a,THE WITNESS,start_question
37,211,12,19,"At some point while driving on Route 290, did you see vehicles stopped in front of you?",q,MR. LOVEALL,start_answer
38,213,12,21,I did.,a,THE WITNESS,start_question
39,214,12,22,Where approximately on Route 290 did you see those vehicles?,q,MR. LOVEALL,start_answer
40,216,12,24,"I was coming -- it's kind of, like, a hill, I guess.  I was coming up over the highway.  It was right in front -- prior to the exit, you could see a sign for Bocado restaurant.  I'm not a hundred percent sure what exit number that is.",a,THE WITNESS,start_question
41,223,13,5,I'm sorry.  What restaurant?,q,MR. LOVEALL,start_answer
42,224,13,6,Bocado.  You can see the sign for it on the building.,a,THE WITNESS,start_question
43,226,13,8,Is that sign still there today?,q,MR. LOVEALL,start_answer
44,227,13,9,I don't know.  Yes.  I don't know.,a,THE WITNESS,start_question
45,228,13,10,"The hill you mentioned, where was that hill in relation to the vehicles that you saw stopped?",q,MR. LOVEALL,start_answer
46,231,13,13,"The vehicles that I saw stopped were up ahead prior to the exit, so, I mean, I don't know how many feet or anything like that.  I just saw it up ahead.",a,THE WITNESS,start_question
47,235,13,17,"So ""up ahead,"" beyond the hill from where you were?",q,MR. LOVEALL,start_answer
48,237,13,19,"Yes.  On that particular highway you drive, and there's just a little hill up and a little down.  It's not any big hill.  I guess it's just an incline and a decline maybe.",a,THE WITNESS,start_question
49,241,13,23,When did you first see those cars stopped in relation to the hill?,q,MR. LOVEALL,start_answer
50,245,14,1,I don't know.,a,THE WITNESS,start_question
51,246,14,2,Could you see them before the hill?,q,MR. LOVEALL,start_answer
52,247,14,3,Possibly.  I don't remember.,a,THE WITNESS,start_question
53,248,14,4,What did you do when you saw the vehicles stopped in the road?,q,MR. LOVEALL,start_answer
54,250,14,6,"The vehicles were from both sides of the highway.  So some on the left and the right.  There was no way that I was going to be able to drive past any of them unless I drove through them.  So I pulled to the right.  I was driving in the right lane, so I tried to get over to the right as much as possible, and I put my car in park.",a,THE WITNESS,start_question
55,257,14,13,Do you recall how many lanes there were?,q,MR. LOVEALL,start_answer
56,258,14,14,That's a three-lane highway.,a,THE WITNESS,start_question
57,259,14,15,Is there a shoulder lane?,q,MR. LOVEALL,start_answer
58,260,14,16,"A breakdown lane, you mean?",a,THE WITNESS,start_question
59,261,14,17,Sure.,q,MR. LOVEALL,start_answer
60,262,14,18,No.,a,THE WITNESS,start_question
61,263,14,19,"And prior to the accident -- immediately prior to the accident, what lane were you driving in?",q,MR. LOVEALL,start_answer
62,265,14,21,On the right.,a,THE WITNESS,start_question
63,266,14,22,The rightmost lane?,q,MR. LOVEALL,start_answer
64,267,14,23,Yes.,a,THE WITNESS,start_question
65,268,14,24,And then you said you pulled over?,q,MR. LOVEALL,start_answer
66,271,15,1,I tried to pull over closer to the jersey barrier of the highway.  There was nowhere else for me to go.,a,THE WITNESS,start_question
67,274,15,4,"What do you mean by ""jersey barrier""?",q,MR. LOVEALL,start_answer
68,275,15,5,"There's a cement barrier, I guess, on the side of the highway, and then over that -- it's a bridge right there.  So if you go over that cement, you go over the bridge.",a,THE WITNESS,start_question
69,279,15,9,I'd like to show you what's been marked as Exhibit 2.,q,MR. LOVEALL,start_answer
70,281,15,11,Sure.,a,THE WITNESS,start_question
71,282,15,12,Can you tell me whether the vehicle you were driving that day appears in that photograph?,q,MR. LOVEALL,start_answer
72,284,15,14,"Yes, it does.",a,THE WITNESS,start_question
73,285,15,15,Does your vehicle in that photograph have a number over it?,q,MR. LOVEALL,start_answer
74,287,15,17,Yes.,a,THE WITNESS,start_question
75,288,15,18,Which number?,q,MR. LOVEALL,start_answer
76,289,15,19,Five.,a,THE WITNESS,start_question
77,290,15,20,"The object in the left of the photo, is that what you would describe as the jersey wall?",q,MR. LOVEALL,start_answer
78,292,15,22,"Yeah, the cement wall or whatever that is.",a,THE WITNESS,start_question
79,293,15,23,Which appears to the far left of car number 2 in this photograph?  Is that the jersey wall you're describing?,q,MR. LOVEALL,start_answer
80,298,16,2,"Correct.  So when I was driving, it would be my right.",a,THE WITNESS,start_question
81,300,16,4,And you said you pulled -- tried to pull close to that jersey wall?,q,MR. LOVEALL,start_answer
82,302,16,6,"I tried to, correct.",a,THE WITNESS,start_question
83,303,16,7,How close were you able to get to it?,q,MR. LOVEALL,start_answer
84,304,16,8,As close as you see here because that car was able to wedge itself in between myself and the wall.,a,THE WITNESS,start_question
85,307,16,11,"So when did you notice the car number 2, the VW Bug, when did you first notice that vehicle?",q,MR. LOVEALL,start_answer
86,309,16,13,I was parked.  That car came up on the right side of me and wedged itself in.,a,THE WITNESS,start_question
87,311,16,15,Do you remember about how long after you parked that the VW Bug wedged itself in?,q,MR. LOVEALL,start_answer
88,313,16,17,I don't.  Everything happened very fast.,a,THE WITNESS,start_question
89,314,16,18,Were you able to -- or what caused your car to stop?,q,MR. LOVEALL,start_answer
90,316,16,20,I slowed down.  I put the brakes on and put it in park.,a,THE WITNESS,start_question
91,318,16,22,So you were able to stop the vehicle just using the brakes?,q,MR. LOVEALL,start_answer
92,320,16,24,Correct.,a,THE WITNESS,start_question
93,323,17,1,"When you put your vehicle in park, do you recall whether there was a vehicle to your right?",q,MR. LOVEALL,start_answer
94,325,17,3,No.  It was just me.  Are you talking about the Volkswagen?,a,THE WITNESS,start_question
95,327,17,5,Yeah.  Was that car there yet?,q,MR. LOVEALL,start_answer
96,328,17,6,No.  It was just me.,a,THE WITNESS,start_question
97,329,17,7,"So when you put your car in park, there was empty space to the right of your car?",q,MR. LOVEALL,start_answer
98,331,17,9,Yes.,a,THE WITNESS,start_question
99,332,17,10,If I can show you what's been marked as Exhibit 4.,q,MR. LOVEALL,start_answer
100,334,17,12,Okay.,a,THE WITNESS,start_question
101,335,17,13,Does this photograph depict the hill you were describing in 290?,q,MR. LOVEALL,start_answer
