,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," DONNA JURKA, DULY SWORN DIRECT EXAMINATION",,,start_question
1,154,5,4,"All right.  Ms. Jurka, am I saying your name the right way?",q,MS. KAPLAN,start_answer
2,156,5,6,Jurka.,a,THE WITNESS,start_question
3,157,5,7,"Thank you.  I will try to remember that.  My name is Jackie Kaplan, and I introduced myself to you off the record this morning, but so the record is clear, I'm going to be asking you probably most of if not all of the questions today. First I'll just ask Attorney Donohue if we can agree to the usual stipulations?",q,MS. KAPLAN,start_chat
4,165,5,15,Yes.  That's agreed.,side_chat,MR. DONOHUE,start_question
5,166,5,16,"And I'll put them on the record just to be clear.  So first of all, all objections except as to form are reserved, motions except as to strike are reserved.  An objection by one Defendant is good for all Defendants, and although I don't think that this is an issue, I will put it on the record, appearance today does not waive any jurisdictional claims or defenses including those related to service of process. Are those all agreed?",q,MS. KAPLAN,start_chat
6,177,6,3,Those are agreed.,side_chat,MR. DONOHUE,start_question
7,178,6,4,"Excellent.  Ms. Jurka, have you ever been deposed before?",q,MS. KAPLAN,start_answer
8,180,6,6,No.,a,THE WITNESS,start_question
9,181,6,7,"Okay.  I'll set out a few rules and we'll try to go from there.  So the first and most important thing is that we have a court reporter here today which you may have noticed, and so you and I are going to do our very best or I'll ask you to do your very best not to speak over one another so try to let me finish my question before you answer and I'll try to let you finish your answer before I ask my next question. Next is that all your answers do need to be verbal today because we can't take down a head nod or a head shake or anything like that.  So I'll ask that you say yes and no or anything else that you have to say. If you answer a question that I ask, I'm going to assume you understood my question. However, if you don't understand my question or you want me to rephrase it, just let me know and I'm happy to do so. If you need a break you can let us know and we're happy to take a break.  You just need to answer the one question if it's pending at the time, and then we'll take a break. Understand all of that?",q,MS. KAPLAN,start_answer
10,206,7,8,"Yes, I do.",a,THE WITNESS,start_question
11,207,7,9,"Thank you.  Okay.  And then one other rule I like to mention is that this is what we call a discovery deposition, and what we mean by that is we're trying to discover whatever information you are aware of and recall, and we want to make a record of that.  We don't want you to guess as to anything.  So if the answer to a question is either I don't know or I don't remember, those are perfectly acceptable answers.  We just don't want you to assume or guess or anything like that.  All right?",q,MS. KAPLAN,start_answer
12,218,7,20,(Nods head.),a,THE WITNESS,start_chat
13,219,7,21,Is that yes?,side_chat,COURT REPORTER,start_answer
14,220,7,22,Yes.,a,THE WITNESS,start_question
15,221,7,23,It's only natural so we'll try to remind you. One other question.  Are you represented by counsel today?,q,MS. KAPLAN,start_answer
16,225,8,3,"No, I'm not.",a,THE WITNESS,start_question
17,226,8,4,Okay.  Have you spoken to Mr. Donohue who represents your brother?,q,MS. KAPLAN,start_answer
18,228,8,6,"Yes, I have.",a,THE WITNESS,start_question
19,229,8,7,Okay.  Did you speak to Mr. Donohue before today?,q,MS. KAPLAN,start_answer
20,231,8,9,"Yes, I have.",a,THE WITNESS,start_question
21,232,8,10,Have you spoken with anyone else from Mr. Donohue's office?,q,MS. KAPLAN,start_answer
22,234,8,12,No.,a,THE WITNESS,start_question
23,235,8,13,How many times have you spoken with Mr. Donohue before today?,q,MS. KAPLAN,start_answer
24,237,8,15,Twice.,a,THE WITNESS,start_question
25,238,8,16,And when were those occasions?,q,MS. KAPLAN,start_answer
26,239,8,17,"He called me two or three weeks ago and we spoke at that time, and then he called me again on Monday or Tuesday and we spoke then.",a,THE WITNESS,start_question
27,242,8,20,All right.,q,MS. KAPLAN,start_answer
28,243,8,21,"Oh, he also came to my house.",a,THE WITNESS,start_question
29,244,8,22,When was that?,q,MS. KAPLAN,start_answer
30,245,8,23,"In the two or three week time frame, shortly after I had spoken to him on the phone.",a,THE WITNESS,start_question
31,248,9,2,So he visited your home between the first and second phone call you had with him?,q,MS. KAPLAN,start_answer
32,250,9,4,Yes.,a,THE WITNESS,start_question
33,251,9,5,"The first phone call, the one that was 2 to 3 weeks ago, how long was that?",q,MS. KAPLAN,start_answer
34,253,9,7,About a half an hour.,a,THE WITNESS,start_question
35,254,9,8,And what did you discuss?,q,MS. KAPLAN,start_answer
36,255,9,9,We discussed broadly what I knew about my brother's condition and about the new heating system that was installed in the family home.,a,THE WITNESS,start_question
37,258,9,12,"Okay.  And I'll ask you more about those in a few minutes. When Mr. Donohue visited you at your home, how long was that visit?",q,MS. KAPLAN,start_answer
38,262,9,16,About half an hour.,a,THE WITNESS,start_question
39,263,9,17,And what did you discuss during that visit?,q,MS. KAPLAN,start_answer
40,264,9,18,"The same thing.  He spoke about the deposition, some of the things that you just went over, what would be happening.",a,THE WITNESS,start_question
41,267,9,21,A little preview?,q,MS. KAPLAN,start_answer
42,268,9,22,Yes.,a,THE WITNESS,start_question
43,269,9,23,"And when you spoke on Monday or Tuesday of this week, how long was that call?",q,MS. KAPLAN,start_answer
44,272,10,2,20 minutes?,a,THE WITNESS,start_question
45,273,10,3,And what did you discuss during that call?,q,MS. KAPLAN,start_answer
46,274,10,4,Pretty much just reviewed the same things. Nothing different.,a,THE WITNESS,start_question
47,276,10,6,"Other than conversations with Mr. Donahue, have you done anything else to prepare for today's deposition?",q,MS. KAPLAN,start_answer
48,279,10,9,No.,a,THE WITNESS,start_question
49,280,10,10,Have you spoken with your brother about today's deposition?,q,MS. KAPLAN,start_answer
50,282,10,12,Only to the extent that he knows it's going on.,a,THE WITNESS,start_question
51,283,10,13,Is your brother the one who originally told you you might be deposed in this case?,q,MS. KAPLAN,start_answer
52,285,10,15,I don't know.,a,THE WITNESS,start_question
53,286,10,16,"And when you say only to the extent he knows what's going on, what do you mean by that?",q,MS. KAPLAN,start_answer
54,288,10,18,I told him that I had spoken to Matt and that there would be deposition that they wanted me to come to.,a,THE WITNESS,start_question
55,291,10,21,Did you speak with your brother about what Matt had told you would be the substance of today's deposition?,q,MS. KAPLAN,start_answer
56,295,11,1,No.,a,THE WITNESS,start_question
57,296,11,2,Have you spoken with your brother about the deposition more than one time?,q,MS. KAPLAN,start_answer
58,298,11,4,No.,a,THE WITNESS,start_question
59,299,11,5,"When your brother was originally deposed back in March, did you speak with him about that deposition?",q,MS. KAPLAN,start_answer
60,302,11,8,"I knew it was going on, but we didn't discuss what was talked about at the deposition.",a,THE WITNESS,start_question
61,304,11,10,What did you believe was going on at that deposition?,q,MS. KAPLAN,start_answer
62,306,11,12,"I knew there was a law case concerning the mesothelioma.  So I believed it was discussion, you know, how to put this.  About the law case.",a,THE WITNESS,start_question
63,309,11,15,"Understood.  Other than the medical diagnosis and condition, the mesothelioma, did you understand what else was discussed at the deposition in March?",q,MS. KAPLAN,start_answer
64,313,11,19,I knew nothing about the deposition other than the fact that there was one.,a,THE WITNESS,start_question
65,315,11,21,And I'll ask you the same question about Day 2 of your brother's deposition which was last week or the week before?,q,MS. KAPLAN,start_answer
66,319,12,1,I knew there was a second deposition.,a,THE WITNESS,start_question
67,320,12,2,And did you speak with your brother about that deposition?,q,MS. KAPLAN,start_answer
68,322,12,4,Only that he told me it was very short.,a,THE WITNESS,start_question
69,323,12,5,So let me ask you because you mentioned that your conversations with Mr. Donohue were related to both your brother's condition as well as the new heating system in your home.  Is that correct?,q,MS. KAPLAN,start_answer
70,328,12,10,Yes.,a,THE WITNESS,start_question
71,329,12,11,And did you speak with your brother about that new heating system that was in your home?,q,MS. KAPLAN,start_answer
72,331,12,13,No.,a,THE WITNESS,start_question
73,332,12,14,Are you close with your brother?,q,MS. KAPLAN,start_answer
74,333,12,15,Yes.,a,THE WITNESS,start_question
75,334,12,16,"Now, I understood, correct me if I'm wrong, that you live next door to one another?",q,MS. KAPLAN,start_answer
