,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," August 21st, 2019.  We're on the record at 9:33 a.m. DONALD RAY LOOPER, having been first duly sworn, testified as follows: EXAMINATION",,,start_question
1,99,4,7,"Good morning, Mr. Looper.  Can you give your full name for the record, please?",q,MR. WAWRO,start_answer
2,101,4,9,Donald Ray Looper.,a,THE WITNESS,start_question
3,102,4,10,And where do you work?,q,MR. WAWRO,start_answer
4,103,4,11,At Looper Goodwine.,a,THE WITNESS,start_question
5,104,4,12,"And you have been tendered as an expert witness in the case on behalf of the defendant, correct?",q,MR. WAWRO,start_answer
6,106,4,14,"On behalf of NRP, yeah.",a,THE WITNESS,start_question
7,107,4,15,Yeah.  Have you ever testified before?,q,MR. WAWRO,start_answer
8,108,4,16,I have testified before.,a,THE WITNESS,start_question
9,109,4,17,In what circumstances?,q,MR. WAWRO,start_answer
10,110,4,18,As a witness.,a,THE WITNESS,start_question
11,111,4,19,Expert witness or fact witness?,q,MR. WAWRO,start_answer
12,112,4,20,"Well, both.  I mean, I have testified as a fact witness; and they also qualified me as a expert on certain issues.",a,THE WITNESS,start_question
13,115,4,23,And what was the subject matter of your expertise in that other matter?,q,MR. WAWRO,start_answer
14,117,4,25,"It was corporate law.  I think it was only once, and it was a corporate law matter related to the dissolution of a company and whether the -- what the extent of liability was for the transferees under the dissolution matter.",a,THE WITNESS,start_question
15,123,5,5,And what was the name of that case?,q,MR. WAWRO,start_answer
16,124,5,6,"I am trying to remember.  Forrest Wynn was the lawyer, so you could ask him; but I've forgotten the name of the company.",a,THE WITNESS,start_question
17,127,5,9,And had you been involved in the transaction that that lawsuit was about where you gave testimony?,q,MR. WAWRO,start_answer
18,129,5,11,Yes.,a,THE WITNESS,start_question
19,130,5,12,In what capacity?,q,MR. WAWRO,start_answer
20,131,5,13,I was the lawyer for the party that was being liquidated.  I've just forgotten the name of the company.,a,THE WITNESS,start_question
21,134,5,16,And what was the nature of the lawsuit?,q,MR. WAWRO,start_answer
22,135,5,17,"There were five or six partners that hired us, hired Looper Goodwine, to represent them in drafting a limited liability company agreement.  Excuse me. One of the parties was from Equatorial Guinea.  And I've forgotten whether he was a US citizen or not, but he was in the US routinely. But they -- it was our understanding that they all got together and decided to make the investment in an oil well.  The -- and then we drafted the LLC agreement. One of them, the guy from Equatorial Guinea contended that he was sold a limited liability company agreement.  The jury agreed with him.  But it was as a result of certain emails that were exchanged before the -- before he signed the contract.",a,THE WITNESS,start_question
23,151,6,7,Was that lawsuit in state court or federal court?,q,MR. WAWRO,start_answer
24,153,6,9,State court.,a,THE WITNESS,start_question
25,154,6,10,Here in Harris County?,q,MR. WAWRO,start_answer
26,155,6,11,Yes.,a,THE WITNESS,start_question
27,156,6,12,Do you remember who the judge was or what the court was?,q,MR. WAWRO,start_answer
28,158,6,14,Judge Baker.,a,THE WITNESS,start_question
29,159,6,15,Caroline Baker?,q,MR. WAWRO,start_answer
30,160,6,16,Yes.,a,THE WITNESS,start_question
31,161,6,17,And how long ago was that case?,q,MR. WAWRO,start_answer
32,162,6,18,Two or three years ago.,a,THE WITNESS,start_question
33,163,6,19,"Your resume is attached as part of your report in this case, correct?",q,MR. WAWRO,start_answer
34,165,6,21,Yes.,a,THE WITNESS,start_question
35,166,6,22,"That testimony as an expert is not listed on your resume, is it?",q,MR. WAWRO,start_answer
36,168,6,24,That's correct.  It was not a significant transaction.,a,THE WITNESS,start_question
37,171,7,1,And what was the nature of your opinion in that case insofar as it involved expert opinion?,q,MR. WAWRO,start_answer
38,173,7,3,"For the expert part of the opinion, it had to deal -- do with the exposure of a transferee.  Part of the case dealt with a deposit of escrowed funds into -- into our law firm account.  And I had -- the factual part was we had agreed to hold the money for the other five in this escrow until the other guy had agreed to this additional payment, working interest payment. And the -- I told all of them we would give the money back to them.  It wasn't in the company. We would give the money back to them if the last guy didn't come in with his working interest share.  He didn't, so we gave the money back.  That was the factual part of the testimony. On the legal side -- the company then dissolved, I believe.  And then the legal piece of it was what is the liability exposure for the transferees of any money that came out of the liquidation.",a,THE WITNESS,start_question
39,190,7,20,And you had in the underlying transaction represented the liquidee?,q,MR. WAWRO,start_answer
40,192,7,22,Yes.,a,THE WITNESS,start_question
41,193,7,23,And you don't remember the name of that company?,q,MR. WAWRO,start_answer
42,195,7,25,Yeah.  Just right now I just can't remember the name of that company.,a,THE WITNESS,start_question
43,198,8,2,And who were the other parties?  Do you remember any of them?,q,MR. WAWRO,start_answer
44,200,8,4,Yes.  The -- one of the partners was Kevin Diber.  One of the partners was -- I think his name was Friedman.  He was from Israel.  Another partner was from Morocco.  And right now I can't remember his -- I'm just drawing a blank on his name right now.,a,THE WITNESS,start_question
45,205,8,9,"And Kevin Diber, how do you spell his name?",q,MR. WAWRO,start_answer
46,206,8,10,D-i-b-e-r.,a,THE WITNESS,start_question
47,207,8,11,"Diber, okay.",q,MR. WAWRO,start_answer
48,208,8,12,"And then the -- the party that brought the -- the mineral property to the table and was the operator, I've forgotten his name as well.",a,THE WITNESS,start_question
49,211,8,15,Okay.,q,MR. WAWRO,start_answer
50,212,8,16,"I'm sorry, I can't -- you know, if I could pull the file, I could look at their names quickly.",a,THE WITNESS,start_question
51,214,8,18,You could get that information from the files you maintain at Looper Goodwine?,q,MR. WAWRO,start_answer
52,216,8,20,Yes.,a,THE WITNESS,start_chat
53,217,8,21,And I'd request that we get that information.,side_chat,MR. WAWRO,start_chat
54,219,8,23,We'll look into it.,side_chat,MR. PATRICK,start_question
55,220,8,24,(By Mr. Wawro)  Did you give a deposition in that case?,q,MR. WAWRO,start_answer
56,223,9,1,I don't believe I did.  I don't -- I don't remember one.,a,THE WITNESS,start_question
57,225,9,3,"If there is a transcript of either a deposition, if you did give one, and the trial testimony, we'd request that to be produced to us.",q,MR. WAWRO,start_answer
58,228,9,6,Okay.,a,THE WITNESS,start_question
59,229,9,7,What was your opinion in that case?,q,MR. WAWRO,start_answer
60,230,9,8,The opinion for the expert opinion?,a,THE WITNESS,start_question
61,231,9,9,The -- the expert opinion that you gave.,q,MR. WAWRO,start_answer
62,232,9,10,"The transferee liability, the State of Texas has a two-year statute -- I believe that's right -- for extending to the liability of the transferees.  So a -- a party has two years if they object to the distribution that's going out to those party -- the party has two years to go at them.  But their exposure is limited to the amount of the interest or property that they received.",a,THE WITNESS,start_question
