,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, so help you God?,,,start_chat
1,277,16,16,I do. EXAMINATION,side_chat,THE WITNESS,start_question
2,281,16,20,"Good morning, Dr. Galatsis.  My name is Farooq Tayab.  I represent ITW/Hobart in this matter. Would you please state your full name for the record.",q,MR. TAYAB,start_answer
3,286,16,25,My name is Kosmas Galatsis.,a,THE WITNESS,start_question
4,288,17,1,How do you spell that?,q,MR. TAYAB,start_answer
5,289,17,2,"K-o-s-m-a-s, last name, G-a-l-a-t-s-i-s.",a,THE WITNESS,start_question
6,290,17,3,So I'll call you Dr. Galatsis for the rest of the deposition. Is that okay with you?,q,MR. TAYAB,start_answer
7,293,17,6,Absolutely.,a,THE WITNESS,start_question
8,294,17,7,So have you been deposed before?,q,MR. TAYAB,start_answer
9,295,17,8,Yes.,a,THE WITNESS,start_question
10,296,17,9,How many times?,q,MR. TAYAB,start_answer
11,297,17,10,Four times.,a,THE WITNESS,start_question
12,298,17,11,"What are you looking at, Dr. Galatsis?",q,MR. TAYAB,start_answer
13,299,17,12,"I'm looking at my list, my testimony list that highlights my deposition history and trial history.",a,THE WITNESS,start_question
14,302,17,15,And is this a complete list of your deposition and testimonial history?,q,MR. TAYAB,start_answer
15,304,17,17,Correct.,a,THE WITNESS,start_question
16,305,17,18,"So I see that the first case here is from 2012, and that's the Saba case.  And I believe the last case here listed is the Nealan case from 2019. So between 2012 and 2019, this is a list of all the cases in which you've either been deposed or have testified at trial?",q,MR. TAYAB,start_answer
17,311,17,24,That's correct.,a,THE WITNESS,start_question
18,312,17,25,Okay.  And so it is a total of four depositions?,q,MR. TAYAB,start_answer
19,315,18,2,Correct.,a,THE WITNESS,start_question
20,316,18,3,And a total of two trials?,q,MR. TAYAB,start_answer
21,317,18,4,Correct.,a,THE WITNESS,start_question
22,318,18,5,And there were two depositions in the Saba case?,q,MR. TAYAB,start_answer
23,320,18,7,Correct.,a,THE WITNESS,start_question
24,321,18,8,"And you were deposed and went to trial in the Maciel versus Anderson case, the last two entries?",q,MR. TAYAB,start_answer
25,324,18,11,"In that situation -- yes, that's correct. Yes.",a,THE WITNESS,start_chat
26,326,18,13,Okay.  Let me go ahead and enter this document as Exhibit 1.  You already have it.  I'll just enter it.  We may come back to it later.,side_chat,MR. TAYAB,is brackets
27,330,18,17,"(Whereupon, Galatsis Exhibit 1 was marked for identification by the deposition reporter and is attached hereto.)",brackets,,start_question
28,335,18,22,"You're generally familiar with the deposition process, I take it?",q,MR. TAYAB,start_answer
29,337,18,24,Yes.,a,THE WITNESS,start_question
30,338,18,25,"So in that case, I'm not going to give you my usual lengthy admonitions, other than to say are you taking any medications today that would in any way impair you offering truthful testimony today?",q,MR. TAYAB,start_answer
31,343,19,4,No.,a,THE WITNESS,start_question
32,344,19,5,So you understand that you're under oath and the testimony you're going to give in front of us today is like testifying before a judge and jury; is that correct?,q,MR. TAYAB,start_answer
33,348,19,9,Yes.,a,THE WITNESS,start_question
34,349,19,10,"Okay.  So Kristi here is going to be our court reporter and she's got a hard job to do, so what I request is when I ask questions, please don't interrupt me, and I'll try not to interrupt you when you are answering so that we have a clear record; is that okay?",q,MR. TAYAB,start_answer
35,355,19,16,Yes.,a,THE WITNESS,start_question
36,356,19,17,"All right.  And then all of your answers, please provide verbal answers, no ""uh-huhs"" and, you know, gestures and things like that.  Just try to answer ""yes,"" ""no"" in words, okay?",q,MR. TAYAB,start_answer
37,360,19,21,Yes.,a,THE WITNESS,start_question
38,361,19,22,"Okay.  And if I ask you a question and you answer it, I'm going to assume that you understood my question.  If you don't understand my question, please go ahead and tell me.  I'll try to rephrase it or try to clarify it.  You're entitled to a fair question and I will try to do my best to ask you clear and fair questions; is that okay?",q,MR. TAYAB,start_answer
39,369,20,4,Yes.,a,THE WITNESS,start_question
40,370,20,5,"Okay.  And then if you need a break, just let me know.  I will try as best we can to accommodate you.  We'll try to take a break every once in an hour or so. Okay.  I want to start with your background.  Perhaps what we can do is -- obviously, you're a talented man.  I've taken a look at your CV and you have a lot of different talents, not only in carbon monoxide but everything else.  What I'll do is -- let me get his declaration. So you've got some background material in your declaration; correct?",q,MR. TAYAB,start_answer
41,382,20,17,Correct.  I believe so.,a,THE WITNESS,start_question
42,383,20,18,"And that, I would assume, pertains to your experience as at least this case; correct?",q,MR. TAYAB,start_answer
43,385,20,20,Correct.,a,THE WITNESS,start_chat
44,386,20,21,Let me go ahead and mark your declaration as an exhibit.,side_chat,MR. TAYAB,symbols
45,388,20,23,///,symbols,,symbols
46,389,20,24,///,symbols,,symbols
47,390,20,25,///,symbols,,is brackets
48,392,21,1,"(Whereupon, Galatsis Exhibit 2 was marked for identification by the deposition reporter and is attached hereto.)",brackets,,start_chat
49,396,21,5,So here you go.  And you may refer to that if you want.  That's fine.  I'm just marking this for the record.,side_chat,MR. TAYAB,start_question
50,400,21,9,So could you go ahead and tell me a little about your background.,q,MR. TAYAB,start_answer
51,402,21,11,"Absolutely.  So I have an engineering major, undergraduate.  I have a postgraduate in engineering, also, Ph.D., specifically in sensor technology, specifically in developing, inventing, testing and designing sensor technology to detect toxic gas components.",a,THE WITNESS,start_question
52,408,21,17,"Now, your undergraduate degree, when and where did you earn that from?",q,MR. TAYAB,start_answer
53,410,21,19,"In my undergraduate degree, I earned that at Royal Melbourne Institute of Technology.",a,THE WITNESS,start_question
54,412,21,21,In what discipline?,q,MR. TAYAB,start_answer
55,413,21,22,"In computer systems engineering.  That was the major.  During that period, however, I also had a major project that involved developing a smoke analyzer working very intimately with a combustion burner and a stack at a private company called Novatech Controls in Melbourne, Australia.",a,THE WITNESS,start_question
56,420,22,3,And this is during your undergraduate years?,q,MR. TAYAB,start_answer
57,422,22,5,That is correct.,a,THE WITNESS,start_question
58,423,22,6,And what time frame was that?,q,MR. TAYAB,start_answer
59,424,22,7,"I began my undergraduate course in 2000 and 99 -- no, excuse me.  I'll take that back.  '95 to '99, inclusive.",a,THE WITNESS,start_question
60,427,22,10,Okay.,q,MR. TAYAB,start_answer
61,428,22,11,"And my experience related to this case working with sensor technology began three years into that course, and as I mentioned, that involved developing a smoke analyzer for a flue gas environment. And in addition, I had another project to develop a carbon monoxide system for an automobile that was funded by the Australian Medical Association and the Australian government to develop an interlock system for a vehicle to prevent exhaust gas suicides.  Again, both projects were undertaken at the undergraduate level.",a,THE WITNESS,start_question
62,440,22,23,So what did you do upon graduating from your bachelor's program in 1999?,q,MR. TAYAB,start_answer
63,442,22,25,"Upon graduating, I wanted to pursue my passion for sensor technology, specifically for toxic gas detection.  I applied for scholarship.  I was successful.  I had a great rapport with my supervisor at the time, and that shelved me into working as a graduate student in the premier center technology laboratory in Australia.",a,THE WITNESS,start_question
64,450,23,7,When did you complete your doctoral work?,q,MR. TAYAB,start_answer
65,451,23,8,"Roughly 2003, I believe it was.",a,THE WITNESS,start_question
66,452,23,9,And what did you do after you finished your doctorate?,q,MR. TAYAB,start_answer
67,454,23,11,"After I finished my doctorate, I also completed an MBA.  After that, I spent -- also, during that period of time, I was still continually working on a part-time basis for the laboratory that I graduated from continuing these projects, and in 2005, I believe, I -- 2000 and -- let me check here so I don't get that wrong.",a,THE WITNESS,start_chat
68,461,23,18,Let me go ahead and enter your CV as Exhibit 3 so that you can refer to it --,side_chat,MR. TAYAB,start_chat
69,463,23,20,Sure.  Appreciate it.,side_chat,THE WITNESS,start_chat
70,464,23,21,-- if you'd like.,side_chat,MR. TAYAB,is brackets
71,465,23,22,"(Whereupon, Galatsis Exhibit 3 was marked for identification by the deposition reporter and is attached hereto.)",brackets,,start_question
72,471,24,2,Can you take a look at Exhibit 3. Is that the most current version of your CV?,q,MR. TAYAB,start_answer
73,474,24,5,"Yes.  Yes, correct. And in 2004, I arrived into the U.S. and I was appointed at UCLA as a -- at the time, the job description was as a professional engineer, which then evolved into a professorship as an adjunct associate professor.",a,THE WITNESS,start_question
74,480,24,11,And so you've been an associate professor at UCLA for how long?,q,MR. TAYAB,start_answer
75,482,24,13,That lasted from 2004 through 2015.,a,THE WITNESS,start_question
76,483,24,14,Okay.  And then what happened after 2015?,q,MR. TAYAB,start_answer
77,484,24,15,"After 2015 -- 2014, 2015 time, so there was some overlap -- we were developing some technology with the semiconducting industry in the U.S., names such as Intel, IBM, and we worked on a certain specific technology related to telecommunications and we raised some venture funding, and we transferred that technology from the university to a startup company in Los Angeles.",a,THE WITNESS,start_question
78,492,24,23,"So in the 11 years that you were an associate professor, did you work on any sensor technologies?",q,MR. TAYAB,start_answer
79,496,25,1,"Yes.  During that period, I parented a very important sensor with BASF, one of the premier chemical materials companies in Europe, with a colleague of mine that at the time was working on campus at UCLA. I collaborated with numerous professors at UCLA on sensor technology, and some of that technology was published with various professors. And actually, we leveraged that technology into a very -- a different application, as I mentioned, in telecommunications.  So the same technology we were developing for sensing gas toxic detection, we leveraged for a different application.",a,THE WITNESS,start_question
80,509,25,14,But were you doing anything related to gas sensing between 2004 and 2015?,q,MR. TAYAB,start_answer
81,511,25,16,Yes.,a,THE WITNESS,start_question
82,512,25,17,And were any of those efforts directed to carbon monoxide sensors?,q,MR. TAYAB,start_answer
83,514,25,19,I believe so.,a,THE WITNESS,start_question
84,515,25,20,And then in 2015 you became a technologist of the school of engineering and school of technology at UCLA?,q,MR. TAYAB,start_answer
85,518,25,23,That's correct.,a,THE WITNESS,start_question
86,519,25,24,And what's a technologist?,q,MR. TAYAB,start_answer
87,520,25,25,"So at the time in 2014, I went to Carbonics as the CEO.  It was a full-time position while my professorship was still valid at UCLA. When that diminished and sun set, I was converted over to a technologist and I was part of an affiliation with the school of engineering, and that allowed me to continue to write proposals, obtain funding for various activities, one being I was coordinating working groups in nanotechnology for a certain conference, and that allowed me to obtain funding from the National Science Foundation and still be involved in some academic activity whilst I was at Carbonics full time as CEO.",a,THE WITNESS,start_question
88,534,26,13,"And Carbonics, what does it do?",q,MR. TAYAB,start_answer
89,535,26,14,"As I mentioned, the objective of Carbonics is to commercialize next-generation telecommunication technology, using the work and the technology we invented during my time at UCLA.",a,THE WITNESS,start_question
90,539,26,18,Does that work involve extending battery life and things like that?,q,MR. TAYAB,start_answer
91,541,26,20,That's correct.,a,THE WITNESS,start_question
