,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,202,16,15,I do.,side_chat,THE WITNESS,start_chat
2,203,16,16,Please commence. EXAMINATION,side_chat,DEPOSITION REPORTER,start_question
3,207,16,20,"Good morning, sir.",q,MR. CROSS,start_answer
4,208,16,21,Good morning.,a,THE WITNESS,start_question
5,209,16,22,Can you state your name for the record.,q,MR. CROSS,start_answer
6,210,16,23,James William Jones.,a,THE WITNESS,start_question
7,211,16,24,"All right.  I just mentioned it at the start of our tape here, but my name's Bryan Cross. I represent ITW Food Equipment Group in a lawsuit that you've been retained as an expert in.  Okay?",q,MR. CROSS,start_answer
8,216,17,3,Okay.,a,THE WITNESS,start_question
9,217,17,4,"And I'll be probably asking you most, if not all, of the questions today. But I understand you were retained as an expert witness in this case; is that correct?",q,MR. CROSS,start_answer
10,221,17,8,That is true.,a,THE WITNESS,start_question
11,222,17,9,Okay.  And you're offering opinions and testimony on behalf of the plaintiffs in this case?,q,MR. CROSS,start_answer
12,224,17,11,Yes.,a,THE WITNESS,start_question
13,225,17,12,"Okay.  We have not had an opportunity to meet before, so I want to review a little bit of your history and background just to make sure I have a firm understanding of your qualifications and experience.  Okay?",q,MR. CROSS,start_answer
14,230,17,17,That would be great.,a,THE WITNESS,start_question
15,231,17,18,All right.  So I have a curriculum vitae that I've seen dated July of 2018. Do you know if there's been any significant updates to your curriculum vitae since 2018?,q,MR. CROSS,start_answer
16,236,17,23,"Yeah, only a few.  I'm sure I sent you a later in our -- in our deposition materials.  It should be August of 2019.",a,THE WITNESS,start_question
17,240,18,1,Okay.,q,MR. CROSS,start_answer
18,241,18,2,"But the only major changes would be depositions, trial testimony, that sort of thing.",a,THE WITNESS,start_question
19,243,18,4,Okay.  So you've appeared at a couple more depositions and possibly a trial or two since July of last year?,q,MR. CROSS,start_answer
20,246,18,7,That's correct.,a,THE WITNESS,start_question
21,247,18,8,All right.  But you're -- okay. And it looks like I'm being handed one that was revised in April of 2019. Does that sound closer to being correct?,q,MR. CROSS,start_answer
22,251,18,12,"That's probably right, yes.",a,THE WITNESS,start_question
23,252,18,13,"All right.  You haven't had any additional educational experience since that time, have you, sir?",q,MR. CROSS,start_answer
24,255,18,16,"No, sir, I have not.",a,THE WITNESS,start_question
25,256,18,17,All right.  Have you taken on any other professional positions or employment other than J. William Jones & Associates?,q,MR. CROSS,start_answer
26,259,18,20,"No, sir, I have not.",a,THE WITNESS,start_question
27,260,18,21,Okay.  So it looks like you studied engineering and obtained multiple degrees between 1966 and 1973?,q,MR. CROSS,start_answer
28,263,18,24,"Yes, sir.",a,THE WITNESS,start_question
29,264,18,25,"Okay.  And after working for a few years as an engineer in various positions, it looks like you became primarily involved with engineering software. Is that a fair assessment?",q,MR. CROSS,start_answer
30,270,19,5,"Well, not really.  I was a distributor for the ANSYS computer program, which is in my resumé, but my primary business was consulting work at that time.",a,THE WITNESS,start_question
31,274,19,9,Okay.  So as early as 1977 you were acting as a consultant?,q,MR. CROSS,start_answer
32,276,19,11,"Actually, I started my first consulting business in 1974.",a,THE WITNESS,start_question
33,278,19,13,Okay.  And what was the name of that consulting business?,q,MR. CROSS,start_answer
