,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,167,5,1,Yes.,side_chat,MS. THEBAUD,start_question
2,170,5,4,"Hi, Miss Pomeroy.  My name is Joshua Loveall.  I'm the attorney for the plaintiff in this case.  Have you had a deposition before?",q,MR. LOVEALL,start_answer
3,173,5,7,No.,a,THE WITNESS,start_question
4,174,5,8,So I'd just like to go over some basic ground rules to make sure this goes as smoothly as possible.  One of the biggest aspects to keep in mind as we go on today is that everything that we say is being written down.  So if we could let each other finish our answers and questions even if we have a pretty good idea of what the other person is about to say.  That will enable us to have a clean record.  Is that okay?,q,MR. LOVEALL,start_answer
5,183,5,17,Yes.,a,THE WITNESS,start_question
6,184,5,18,"I also want to point out that if you need to take a break at any time, that that's perfectly acceptable, and to please just let us know.  If you don't understand a question or you can't hear me, I ask that you just point that out.  I'd be happy to restate the question or rephrase if that would be helpful.  Is that okay?",q,MR. LOVEALL,start_answer
7,193,6,1,Yes.,a,THE WITNESS,start_question
8,194,6,2,Can you hear me all right?,q,MR. LOVEALL,start_answer
9,195,6,3,"I can right now, yes.",a,THE WITNESS,start_question
10,196,6,4,Okay.  And are you under any medications or conditions that would affect your memory recall today?,q,MR. LOVEALL,start_answer
11,199,6,7,No.,a,THE WITNESS,start_question
12,200,6,8,What is your current job?,q,MR. LOVEALL,start_answer
13,201,6,9,Vice president at St. Mary's Bank. Director of business analytics and project management.,a,THE WITNESS,start_question
14,204,6,12,"And what was your job on December 1st, 2013?",q,MR. LOVEALL,start_answer
15,206,6,14,"Principal consultant for Crankfrog Consulting Firm based out of Washington, D.C.",a,THE WITNESS,start_chat
16,208,6,16,What was that word? Frankfrog?,side_chat,MS. THEBAUD,start_chat
17,210,6,18,"Crankfrog, C-R-A-N-K-F-R-O-G.",side_chat,THE WITNESS,start_question
18,213,6,21,"Thank you.  And in December 2013, where were you living?",q,MR. LOVEALL,start_answer
19,215,6,23,"Manchester, New Hampshire.",a,THE WITNESS,start_question
20,216,6,24,"And where were you -- were you driving on December 1st, 2013?",q,MR. LOVEALL,start_answer
21,220,7,2,Yes.,a,THE WITNESS,start_question
22,221,7,3,Where were you driving?,q,MR. LOVEALL,start_answer
23,222,7,4,"From Manchester, New Hampshire to Washington, D.C.",a,THE WITNESS,start_question
24,224,7,6,Did you have a weather report or check the weather that day before starting driving?,q,MR. LOVEALL,start_answer
25,226,7,8,I don't remember.,a,THE WITNESS,start_question
26,227,7,9,Do you recall what the weather was like before you started driving that day?,q,MR. LOVEALL,start_answer
27,229,7,11,I know it was cold.  I don't remember other than that.,a,THE WITNESS,start_question
