,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,111,4,17,Sure.,side_chat,MR. DOBSON,symbols
2,112,4,18,-  -  - EXAMINATION,symbols,,symbols
3,114,4,20,-  -  -,symbols,,start_question
4,116,4,22,Hi.  My name is Kathleen Eager.  This is a deposition.  Have you ever been deposed before?,q,MS. EAGER,start_answer
5,118,4,24,(No response.),a,THE WITNESS,start_question
6,120,5,1,Have you ever been in a deposition before?,q,MS. EAGER,start_answer
7,121,5,2,No.,a,THE WITNESS,start_question
8,122,5,3,"This is just my opportunity to ask you questions regarding this accident.  There's just a few things to remember about a deposition that are different than the course of a normal conversation. Oftentimes in normal conversations we tend to answer questions by making hand gestures or nodding our head or saying mm-hmm.  In a deposition we have a court reporter, so everything you say has to be audible so she can record it.",q,MS. EAGER,start_answer
9,131,5,12,Okay.,a,THE WITNESS,start_question
10,132,5,13,"Also, during the course of normal conversation sometimes we tend to anticipate the end of a question and we start to answer before the other person is finished.  Once again, because we have a court reporter, she has to record everything we say, so we both can't be speaking at once.  So just try to wait until I'm finished before you answer the question.",q,MS. EAGER,start_answer
11,140,5,21,All right.,a,THE WITNESS,start_question
12,141,5,22,"The most important thing to remember is to tell the truth.  If you don't remember something, simply say ""I don't remember.""  I don't want you to have to guess.",q,MS. EAGER,start_answer
13,146,6,2,Okay.,a,THE WITNESS,start_question
14,147,6,3,"If at any point you need me to repeat a question, or if I'm speaking too fast, which I sometimes do, just ask me and we can do so.",q,MS. EAGER,start_answer
15,150,6,6,Okay.,a,THE WITNESS,start_question
16,151,6,7,"I don't anticipate this taking too long.  I think the setup probably will have taken longer than this actual deposition, but if at any point you need to stop and take a break or speak to your attorney, just let me know and we can do so.",q,MS. EAGER,start_answer
17,156,6,12,Okay.,a,THE WITNESS,start_question
18,157,6,13,We'll start with something simple.  What's your name?,q,MS. EAGER,start_answer
19,159,6,15,Preston Moragne.,a,THE WITNESS,start_question
20,160,6,16,Your date of birth?,q,MS. EAGER,start_answer
21,161,6,17,7/27/70.,a,THE WITNESS,start_question
22,162,6,18,And your present address?,q,MS. EAGER,start_answer
23,163,6,19,421 Springton Way.,a,THE WITNESS,start_question
24,164,6,20,Who do you presently reside with?,q,MS. EAGER,start_answer
25,165,6,21,My wife and children.,a,THE WITNESS,start_question
26,166,6,22,And what is your wife's name?,q,MS. EAGER,start_answer
27,167,6,23,Nina.  Same last name.,a,THE WITNESS,start_question
28,168,6,24,And how many children reside with you?,q,MS. EAGER,start_answer
29,170,7,1,"Well, I have one at home and then one at college -- two at college.",a,THE WITNESS,start_question
30,172,7,3,What is the age of the child at home?,q,MS. EAGER,start_answer
31,173,7,4,16.,a,THE WITNESS,start_question
32,174,7,5,How long have you lived at that residence?,q,MS. EAGER,start_answer
33,175,7,6,About 14 years.,a,THE WITNESS,start_question
34,176,7,7,"So, it's safe to say you lived there at the time of the accident?",q,MS. EAGER,start_answer
35,178,7,9,Yes.,a,THE WITNESS,start_question
36,179,7,10,And at the time of the accident were you living with your wife and children as well?,q,MS. EAGER,start_answer
37,181,7,12,Yes.,a,THE WITNESS,start_question
38,182,7,13,Why don't you tell me a little bit about your educational history.,q,MS. EAGER,start_answer
39,184,7,15,"I have a bachelor's degree from Millersville University.  And I'm a private pilot, certified private pilot.",a,THE WITNESS,start_question
40,187,7,18,What high school did you graduate from?,q,MS. EAGER,start_answer
41,188,7,19,Abraham Lincoln High School in Philadelphia.,a,THE WITNESS,start_question
42,190,7,21,And you said you have a private pilot certification?  Is that what you said?,q,MS. EAGER,start_answer
43,192,7,23,Correct.,a,THE WITNESS,start_question
44,193,7,24,Any other schooling or certifications?,q,MS. EAGER,start_answer
45,195,8,1,I'm a certified scuba diver.,a,THE WITNESS,start_question
46,196,8,2,Anything else?,q,MS. EAGER,start_answer
47,197,8,3,That's about it.,a,THE WITNESS,start_question
48,198,8,4,Are you presently employed?,q,MS. EAGER,start_answer
49,199,8,5,Yes.,a,THE WITNESS,start_question
50,200,8,6,Where at?,q,MS. EAGER,start_answer
51,201,8,7,Lancaster Early Education Center.,a,THE WITNESS,start_question
52,202,8,8,How long have you been employed there?,q,MS. EAGER,start_answer
53,203,8,9,"There, about -- going on like three weeks.",a,THE WITNESS,start_question
54,204,8,10,Okay.,q,MS. EAGER,start_answer
55,205,8,11,"Because I volunteer there also, so...",a,THE WITNESS,start_question
56,206,8,12,What are your job duties there?,q,MS. EAGER,start_answer
57,207,8,13,I do the marketing for them.,a,THE WITNESS,start_question
58,208,8,14,Is that full-time?,q,MS. EAGER,start_answer
59,209,8,15,Yes.,a,THE WITNESS,start_question
60,210,8,16,Monday through Friday?,q,MS. EAGER,start_answer
61,211,8,17,Yes.,a,THE WITNESS,start_question
62,212,8,18,40 hours a week?,q,MS. EAGER,start_answer
63,213,8,19,Yes.,a,THE WITNESS,start_question
64,214,8,20,Are you paid hourly or by salary?,q,MS. EAGER,start_answer
65,215,8,21,It is salary.,a,THE WITNESS,start_question
66,216,8,22,Do you know what that is by chance?,q,MS. EAGER,start_answer
67,217,8,23,It's like 22.50.  22.50 an hour is what it boils out to be.,a,THE WITNESS,start_question
68,220,9,1,Where did you work prior to that?,q,MS. EAGER,start_answer
69,221,9,2,"Prior to that, I also own my own company which I do marketing for.  It's a marketing company.",a,THE WITNESS,start_question
70,223,9,4,What is that company's name?,q,MS. EAGER,start_answer
71,224,9,5,"Karman Line Marketing, with a ""K"".",a,THE WITNESS,start_question
72,225,9,6,How long did you have that company?,q,MS. EAGER,start_answer
73,226,9,7,"Five years, at least.",a,THE WITNESS,start_question
74,227,9,8,Is that where you were working at the time of the accident?,q,MS. EAGER,start_answer
75,229,9,10,Yes.,a,THE WITNESS,start_question
76,230,9,11,What kind of job duties do you do at your company?,q,MS. EAGER,start_answer
77,232,9,13,I did digital marketing.,a,THE WITNESS,start_chat
78,233,9,14,"And just to verify, there is no wage loss or loss of earning capacity claim; correct?",side_chat,MS. EAGER,start_chat
79,236,9,17,Right.,side_chat,MR. DOBSON,start_question
80,238,9,19,Let's talk about the date of the accident. Do you remember the date?,q,MS. EAGER,start_answer
81,240,9,21,The date itself?,a,THE WITNESS,start_question
82,241,9,22,Yes.,q,MS. EAGER,start_answer
83,242,9,23,I just remember it was in May.,a,THE WITNESS,start_question
84,243,9,24,"Would May 10th, 2016 sound correct?",q,MS. EAGER,start_answer
85,245,10,1,I would say so.,a,THE WITNESS,start_question
86,246,10,2,Do you remember the time?,q,MS. EAGER,start_answer
87,247,10,3,It was in the afternoon.,a,THE WITNESS,start_question
88,248,10,4,And how about the weather conditions that day?,q,MS. EAGER,start_answer
89,250,10,6,Clear.,a,THE WITNESS,start_question
90,251,10,7,"How about the roadway?  Was it wet; was it dry, if you can recall?",q,MS. EAGER,start_answer
91,253,10,9,Dry.,a,THE WITNESS,start_question
92,254,10,10,Were you the driver of the vehicle?,q,MS. EAGER,start_answer
93,255,10,11,Yes.,a,THE WITNESS,start_question
94,256,10,12,Did you have any passengers in your vehicle?,q,MS. EAGER,start_answer
95,258,10,14,No.,a,THE WITNESS,start_question
96,259,10,15,What kind of vehicle were you driving?,q,MS. EAGER,start_answer
97,260,10,16,Nissan Altima.  A black Nissan Altima.  I think it was like a 2015.,a,THE WITNESS,start_question
98,262,10,18,Where were you coming from at the time of the accident?,q,MS. EAGER,start_answer
99,264,10,20,I was coming from Lancaster City and I was headed down Columbia Avenue.,a,THE WITNESS,start_question
100,266,10,22,Where were you headed to?,q,MS. EAGER,start_answer
101,267,10,23,Home.,a,THE WITNESS,start_question
102,268,10,24,Why don't you just tell me what happened in the accident?,q,MS. EAGER,start_answer
103,271,11,2,"So, I was on Columbia Avenue and there's a lot of traffic on that street, and I was stopped because of the traffic.  Then I just saw a car in my rearview mirror.  I stopped and I always just check back to see if anybody else is -- making sure everybody else is going to stop, and I just noticed this car, like, coming at a high rate of speed.  And at that point I was like, Wow, I hope this car slows down.  And boom, it didn't slow down.  And then I was rear ended.",a,THE WITNESS,start_question
104,281,11,12,Just some followup questions on that.  So at the time of impact were you stopped?,q,MS. EAGER,start_answer
105,283,11,14,Yes.,a,THE WITNESS,start_question
106,284,11,15,And you said you saw the vehicle prior to impact; correct?,q,MS. EAGER,start_answer
107,286,11,17,Correct.,a,THE WITNESS,start_question
108,287,11,18,Could you approximate how far the vehicle was when you first saw it?,q,MS. EAGER,start_answer
109,289,11,20,"When I first saw it, it looked like it was probably about -- well, the part of that area that I was in, it could have been maybe about ten cars back.",a,THE WITNESS,start_question
110,293,11,24,Were you able to approximate the speed of the vehicle?,q,MS. EAGER,start_answer
111,296,12,2,It was going faster than anything that I saw in my rearview mirror before.,a,THE WITNESS,start_question
112,298,12,4,Could you clarify that at all?,q,MS. EAGER,start_answer
113,299,12,5,"No.  I couldn't tell you the speed, but I can tell you that it was alarming to see someone coming when I'm stopped and somebody not slowing down.  It was just...",a,THE WITNESS,start_question
114,303,12,9,"Would you say more than 15 miles an hour, 20 miles an hour?",q,MS. EAGER,start_answer
115,305,12,11,"Yeah.  It was probably around like at least 15, 20 miles an hour.",a,THE WITNESS,start_question
116,307,12,13,And you said you saw the vehicle prior to impact.  Were you able to take any evasive measures to avoid the impact?,q,MS. EAGER,start_answer
117,310,12,16,"When I looked out of my rearview mirror, I was, like, wow, this car is going to go, but the car that was in front of me didn't allow me to -- I wouldn't have been able to swerve.  So, I didn't get the opportunity to do anything.",a,THE WITNESS,start_question
118,315,12,21,What part of the other vehicle impacted your vehicle?,q,MS. EAGER,start_answer
119,317,12,23,Her front end impacted my car.,a,THE WITNESS,start_question
120,318,12,24,"How would you categorize the severity of the impact?  Would you say it was a light impact, medium, heavy?",q,MS. EAGER,start_answer
121,322,13,3,"Well, I had to take my car to get it repaired.  The trunk, the fender, some under -- construction parts, I don't know what you call them, but that all had to get redone by the body shop.",a,THE WITNESS,start_question
122,326,13,7,How would you actually categorize the impact as you were in the vehicle?,q,MS. EAGER,start_answer
123,328,13,9,"Oh, my impact?",a,THE WITNESS,start_question
124,329,13,10,"The impact, yes.",q,MS. EAGER,start_answer
125,330,13,11,I would say it was heavy.,a,THE WITNESS,start_question
126,331,13,12,A heavy impact?,q,MS. EAGER,start_answer
127,332,13,13,Yeah.,a,THE WITNESS,start_question
128,333,13,14,Did your airbags deploy?,q,MS. EAGER,start_answer
129,334,13,15,No.,a,THE WITNESS,start_question
130,335,13,16,"So, upon impact, what happened to your body inside the vehicle?  Did you move forward, backward, to the left, to the right?",q,MS. EAGER,start_answer
131,338,13,19,"So, upon impact, I felt two things:  I felt my abs get stressed out, and I guess that was because of the seatbelt catching me from the impact. And then the back of my head, because it felt -- I know for a fact that I blacked out for like a few seconds or whatever it was, because I was disoriented.  So, I didn't know if I hit my head on the steering wheel or the headset -- I mean, the headrest had hit the back of my head, or my head hit the headrest, whichever one you want to call it, but I felt that impact.",a,THE WITNESS,start_question
132,350,14,6,Did your body move forward?  Is that what you are stating?,q,MS. EAGER,start_answer
133,352,14,8,"Yeah.  Well, the car hit me and it slammed my head into the headrest, which caused the stress of my stomach and then the back of my head.",a,THE WITNESS,start_question
134,355,14,11,"Okay.  So, your body moved backwards if you hit the headrest?",q,MS. EAGER,start_answer
135,357,14,13,"Yeah, but it moved forward into the seatbelt.",a,THE WITNESS,start_question
136,359,14,15,"It moved forward and backward, to summarize?",q,MS. EAGER,start_answer
137,361,14,17,"Yeah, exactly.",a,THE WITNESS,start_question
138,362,14,18,Once the seatbelt locked up?  Is that what you meant?,q,MS. EAGER,start_answer
139,364,14,20,Right.  Yeah.,a,THE WITNESS,start_question
140,365,14,21,"And I think we have covered this a little bit, but just to specifically ask, did your body strike anything inside the vehicle?",q,MS. EAGER,start_answer
141,368,14,24,Yes.  Definitely the headrest.,a,THE WITNESS,start_question
142,370,15,1,Anything else that you can recall?,q,MS. EAGER,start_answer
143,371,15,2,Being pushed up against the seatbelt more.,a,THE WITNESS,start_question
144,372,15,3,Okay.  Did you have any open cuts or bruises?,q,MS. EAGER,start_answer
145,374,15,5,No.,a,THE WITNESS,start_question
146,375,15,6,"I think you briefly mentioned this as well, but did you lose consciousness?",q,MS. EAGER,start_answer
147,377,15,8,Yes.,a,THE WITNESS,start_question
148,378,15,9,And then after impact what happened?,q,MS. EAGER,start_answer
149,379,15,10,"After impact, I -- Well, I looked back out the window to see -- I looked back out the rearview mirror to see if the car was there.  And then I didn't see a car behind me.  And then I exited my car.  I saw my car was hit, and I'm like, Wow. Like, What happened? And then I looked at the guy -- Well, I looked at the car that was behind me at that time. I said, Did you hit me?  And he was like, No, no. And I looked at this other car, and I said, Did you hit me?  And he's like, No. I said, Do you know who hit me?  And then he was like, Oh, it's the car up there. So the person that hit me had taken off. So, then I drove up in the middle of the median on Columbia Avenue to find the car with the front end damage.  And then finally I'm like, You hit me.  And she's like, Yeah. I said, You've got to pull over in this lot.  So then I pulled over in the lot, and she was like, Well, you know, I didn't think it was that bad, or something like that. I said, Hey, you've got to wait for the police to come.  And she's like, I have to go; I have to pick up my children.  How long is that going to take?  I said, Well, I don't know how long it's going to take, but we have to wait for the police. And I said, Your car is leaking.  And she said, Oh, my car is leaking?  Am I going to be able to get to work?  Is it okay to drive like this? I'm, like, Listen.  I don't know about your situation, but we have to wait for the police to come.",a,THE WITNESS,start_question
150,414,16,20,Okay.,q,MS. EAGER,start_answer
151,415,16,21,And then she attempted to drive off and then I had to park her in so she couldn't pull out. It was a disaster.,a,THE WITNESS,start_question
152,418,16,24,"Just some followup questions on that. So the impact, you stated that you were stopped on Columbia Avenue, correct?",q,MS. EAGER,start_answer
153,422,17,3,Correct.,a,THE WITNESS,start_question
154,423,17,4,And then you felt the impact and then she drove away?,q,MS. EAGER,start_answer
155,425,17,6,Correct.,a,THE WITNESS,start_question
156,426,17,7,So you followed her on Columbia Avenue?,q,MS. EAGER,start_answer
157,427,17,8,"I had to catch up to her because it was a traffic jam on Columbia Avenue.  Well, not a traffic jam, but everybody was stopped. And then, again, once I was hit, she pulled over.  Like I pulled into the median just to try to let the traffic pass, and then other people were going onto the shoulder to go around me.  And then that's when the guy -- somebody was like, Hey, there's a car up there.  And I drove up, you know, beside the car actually to figure out who it was. And then I was able to.",a,THE WITNESS,start_question
158,438,17,19,How were you able to get her attention?,q,MS. EAGER,start_answer
159,439,17,20,"I was like, Hey.  Because I looked at her car and I was like, Hey, you hit me, pull over.  And then that's when she pulled over.",a,THE WITNESS,start_question
160,442,17,23,So she had her window down and you were able --,q,MS. EAGER,start_answer
161,445,18,1,No.  I was just signifying.,a,THE WITNESS,start_question
162,446,18,2,Okay.,q,MS. EAGER,start_answer
163,447,18,3,Yeah.,a,THE WITNESS,start_question
164,448,18,4,So you were just making hand gestures for her to pull off the side of the road?,q,MS. EAGER,start_answer
165,450,18,6,Correct.,a,THE WITNESS,start_question
166,451,18,7,"And she did so, obviously?",q,MS. EAGER,start_answer
167,452,18,8,Yes.,a,THE WITNESS,start_question
168,453,18,9,And you said you pulled over into a parking lot?,q,MS. EAGER,start_answer
169,455,18,11,Correct.,a,THE WITNESS,start_question
170,456,18,12,I think the police report might have said it was a --,q,MS. EAGER,start_answer
171,458,18,14,Dairy Queen.,a,THE WITNESS,start_question
172,459,18,15,-- Dairy Queen parking lot.  Does that sound correct?,q,MS. EAGER,start_answer
173,461,18,17,Yes.,a,THE WITNESS,start_question
174,462,18,18,And who called the police?,q,MS. EAGER,start_answer
175,463,18,19,I called the police.,a,THE WITNESS,start_question
176,464,18,20,And you mentioned that you had a conversation with her and that was basically about how she had to go and pick up her kids and her vehicle was drivable?,q,MS. EAGER,start_answer
177,468,18,24,Correct.,a,THE WITNESS,start_question
178,470,19,1,Was anything else done?,q,MS. EAGER,start_answer
179,471,19,2,Excuse me?,a,THE WITNESS,start_question
180,472,19,3,Did she say anything else?,q,MS. EAGER,start_answer
181,473,19,4,"She just said, I am going to be late to pick up my children; I can't be late.  And, I have to go, and, I can't wait here.",a,THE WITNESS,start_question
182,476,19,7,"I think you stated that you parked her in so that she couldn't leave, correct?",q,MS. EAGER,start_answer
183,478,19,9,Yeah.,a,THE WITNESS,start_question
184,479,19,10,"So when the police arrived, she was still there?",q,MS. EAGER,start_answer
185,481,19,12,Correct.,a,THE WITNESS,start_question
186,482,19,13,Did you speak to the police?,q,MS. EAGER,start_answer
187,483,19,14,Did I speak to the police?,a,THE WITNESS,start_question
188,484,19,15,Yes.,q,MS. EAGER,start_answer
189,485,19,16,Yes.,a,THE WITNESS,start_question
190,486,19,17,Did you tell them the same thing you just told me?,q,MS. EAGER,start_answer
191,488,19,19,Yes.,a,THE WITNESS,start_question
192,489,19,20,How did you leave the accident scene?,q,MS. EAGER,start_answer
193,490,19,21,I left the accident scene in my vehicle.,a,THE WITNESS,start_question
194,491,19,22,So your vehicle was drivable at that point?,q,MS. EAGER,start_answer
195,492,19,23,Yes.,a,THE WITNESS,start_question
196,493,19,24,Did the police ask you if you wanted an ambulance?,q,MS. EAGER,start_answer
197,496,20,2,Yes.,a,THE WITNESS,start_question
198,497,20,3,What did you say?,q,MS. EAGER,start_answer
199,498,20,4,I said no.,a,THE WITNESS,start_question
200,499,20,5,Why did you say no?,q,MS. EAGER,start_answer
201,500,20,6,I said no because at the time I wanted to get home from the accident.,a,THE WITNESS,start_question
202,502,20,8,"So even though you said you lost consciousness, you still didn't want to get that checked out?",q,MS. EAGER,start_answer
